,Rigidity,initialLatitude,initialLongitude,Filter,Lat,Long,Xpla,Ypla,Zpla,initialZenith,initialAzimuth,THETApla,PHIpla,angleDiffRad,weightingFactor,Rlower,Reffective,Rupper,angleBetweenIMFinRadians,PitchAngleWeightingFactor,RigidityWeightingFactor,fullRigidityPitchWeightingFactor,Energy,fullEnergyPitchWeightingFactor
0,0.2,65.02,25.5,0.0,14.46994453,-19.05547034,-3.92125211,1.70193208,1.55190165,0.0,0.0,70.04677000397055,156.53782040145944,1.4743973867917206,0.19160568220167062,0.8,0.8,0.8,1.4634253453231822,0.2270108019045472,0.0,0.0,21.079000549767272,0.0
1,0.3,65.02,25.5,0.0,42.4293936,-108.92146767,-3.71811733,-2.06948562,-1.49259228,0.0,0.0,-70.67092826414516,209.10009485334314,1.801821259310851,-0.44578395963780176,0.8,0.8,0.8,2.7306533190158295,0.4061744708239334,0.0,0.0,46.79365147090057,0.0
2,0.4,65.02,25.5,0.0,-39.5657172,27.57257633,2.70836427,-4.20303582,-1.71324776,0.0,0.0,-71.08626177476484,-57.2029616472813,1.2611205428413426,0.5805072935110431,0.8,0.8,0.8,0.553588603469424,0.4743516235140326,0.0,0.0,81.70561325092207,0.0
3,0.5,65.02,25.5,0.0,4.04385759,168.94250214,3.24880983,5.8152854,1.01529175,0.0,0.0,81.33381795409773,60.809335282319324,1.4418340756595696,0.2550742594153236,0.8,0.8,0.8,1.9332291189893935,0.3810959634068221,0.0,0.0,124.90922815058818,0.0
4,0.6,65.02,25.5,0.0,27.80006645,68.82650184,-1.8154871,2.91079404,-1.17977706,0.0,0.0,-71.0217748660516,121.95214227073552,1.5477699580626432,0.046036460663742104,0.8,0.8,0.8,0.8789206050582646,0.19977909369779956,0.0,0.0,175.43995331406097,0.0
5,0.7,65.02,25.5,0.0,-23.30863871,3.3515014,42.41969026,-16.62435779,-18.82553595,0.0,0.0,-67.54984930255418,-21.40030789015538,0.8191910059937206,0.9977169568221576,0.8,0.8,0.8,0.8802231236530615,0.1992163768166933,0.0,0.0,232.34933283538004,0.0
6,0.8,65.02,25.5,1.0,0.82311857,151.0269893,-0.9310362,11.38445641,-1.5743677,0.0,0.0,-82.15232062107097,94.67532150666716,1.4417983246163688,0.2551433956654589,0.8,0.8,0.8,1.6219673740532392,0.2797592217556434,0.0,0.0,294.75447735234286,0.0
7,0.9,65.02,25.5,1.0,-7.57599352,132.14755314,1.06024012,11.91658027,-1.82955059,0.0,0.0,-81.30536091730863,84.91567646052921,1.3301355788521938,0.46295093212685373,0.8,0.8,0.8,1.2625894160775162,0.174043721929423,18.605830540384165,3.2382279968365877,361.8642551603903,0.004677931008365575
8,1.0,65.02,25.5,1.0,-11.89763392,119.61400477,2.40749341,12.18601059,-1.67761641,0.0,0.0,-82.3083481484944,78.82444125532284,1.281109983499143,0.5474991047605282,0.8,0.8,0.8,1.034240037240182,0.15939878691617326,12.8,2.040304472527018,432.9881027533349,0.002797788301075826
9,1.1,65.02,25.5,1.0,-14.18268385,111.73422324,3.18331897,12.26002485,-1.4482044,0.0,0.0,-83.47752992503212,75.44455374316864,1.259448035844359,0.5832277352804384,0.8,0.8,0.8,0.8944735625319626,0.19332703805803053,9.039130757524477,1.747508375971449,507.5337463637673,0.002296870733032567
10,1.2,65.02,25.5,1.0,-14.51369875,105.0985111,3.85340769,12.31399556,-1.30193678,0.0,0.0,-84.23817823127294,72.62357921265935,1.2581855835238827,0.5852768760046948,0.8,0.8,0.8,0.7851123515953127,0.2515110198944753,6.519876348390483,1.6398207499695574,584.9989025375396,0.0020815761490168803
11,1.3,65.02,25.5,1.0,-14.08268974,98.90080027,4.52640174,12.36701531,-0.72509747,0.0,0.0,-86.84850302146135,69.89707131846554,1.3017536498227067,0.5124928417353801,0.8,0.8,0.8,0.6866860114421283,0.3303841734050896,4.78544576393237,1.5810355430916834,664.9604311761684,0.0019498212287250784
12,1.4,65.02,25.5,1.0,-13.71886226,94.99709459,4.90729803,12.40394091,-0.65610316,0.0,0.0,-87.18415370576103,68.41505428057302,1.3082323538958738,0.5013237151333144,0.8,0.8,0.8,0.6254389170325774,0.3918191568280368,3.5638829678469612,1.3963976194955978,747.0630449847885,0.0016809985488263996
