,latitude,longitude,altitude (km),edose,adose,dosee,tn1,tn2,tn3,SEU,SEL,longitudeTranslated,datetime,SEU (Upsets/hr/Gb),SEL (Latch-ups/hr/device)
0,-90.0,0.0,11.89,13.166595271530365,11.734174103923653,9.232465918925396,3.5798454838275013,2.3070420228360096,1.5909521515569574,2.735238933677801e-13,2.735238933677801e-08,0.0,2012-05-17 01:55:00+00:00,0.5216459569962522,5.216459569962522e-05
1,-90.0,5.0,11.89,13.166595272262379,11.73417410555902,9.232465920185398,3.579845484763239,2.307042023414822,1.5909521519089367,2.7352389342566135e-13,2.7352389342566134e-08,10.0,2012-05-17 01:55:00+00:00,0.5216459569962522,5.216459569962522e-05
2,-90.0,10.0,11.89,13.166595289387452,11.734174119365758,9.232465928654618,3.5798454900333576,2.3070420268123653,1.5909521542704068,2.735238937654157e-13,2.735238937654157e-08,20.0,2012-05-17 01:55:00+00:00,0.5216459569962522,5.216459569962522e-05
3,-90.0,15.0,11.89,13.166595268789576,11.734174101081662,9.23246591701469,3.5798454825961166,2.3070420220463506,1.5909521510176294,2.7352389328881425e-13,2.7352389328881424e-08,30.0,2012-05-17 01:55:00+00:00,0.5216459569962522,5.216459569962522e-05
4,-90.0,20.0,11.89,13.166595268844135,11.734174100434334,9.23246591707275,3.5798454822236936,2.3070420218001653,1.5909521508579485,2.7352389326419563e-13,2.7352389326419565e-08,40.0,2012-05-17 01:55:00+00:00,0.5216459569962522,5.216459569962522e-05
5,-90.0,25.0,11.89,13.1665952651068,11.734174097129937,9.23246591503749,3.579845480891535,2.307042020950055,1.5909521502686987,2.735238931791847e-13,2.7352389317918468e-08,50.0,2012-05-17 01:55:00+00:00,0.5216459569962522,5.216459569962522e-05
6,-90.0,30.0,11.89,13.166595258249092,11.734174092193108,9.23246591127424,3.579845479094856,2.307042019795425,1.5909521494804404,2.7352389306372166e-13,2.7352389306372162e-08,60.0,2012-05-17 01:55:00+00:00,0.5216459569962522,5.216459569962522e-05
7,-90.0,35.0,11.89,13.166595272033698,11.734174102891641,9.232465918972999,3.5798454830543447,2.3070420223500143,1.5909521512451867,2.735238933191806e-13,2.735238933191806e-08,70.0,2012-05-17 01:55:00+00:00,0.5216459569962522,5.216459569962522e-05
8,-90.0,40.0,11.89,13.166595277979246,11.73417410864144,9.232465921473157,3.5798454855015125,2.307042023913509,1.590952152310757,2.735238934755301e-13,2.7352389347553004e-08,80.0,2012-05-17 01:55:00+00:00,0.5216459569962522,5.216459569962522e-05
9,-90.0,45.0,11.89,13.166595277144662,11.734174108215152,9.232465921590146,3.57984548539918,2.3070420238526133,1.5909521522684602,2.7352389346944043e-13,2.7352389346944047e-08,90.0,2012-05-17 01:55:00+00:00,0.5216459569962522,5.216459569962522e-05
10,-90.0,50.0,11.89,13.166595294313169,11.73417412296336,9.232465931159936,3.5798454912638054,2.3070420276307324,1.5909521548804186,2.7352389384725234e-13,2.7352389384725237e-08,100.0,2012-05-17 01:55:00+00:00,0.5216459569962522,5.216459569962522e-05
11,-90.0,55.0,11.89,13.166595287801576,11.734174117923224,9.232465927724895,3.579845489382836,2.3070420264096176,1.5909521540140539,2.735238937251409e-13,2.7352389372514093e-08,110.0,2012-05-17 01:55:00+00:00,0.5216459569962522,5.216459569962522e-05
12,-90.0,60.0,11.89,13.166595263739406,11.734174095867244,9.2324659135516,3.5798454803358553,2.3070420205976396,1.5909521500413706,2.7352389314394314e-13,2.735238931439431e-08,120.0,2012-05-17 01:55:00+00:00,0.5216459569962522,5.216459569962522e-05
13,-90.0,65.0,11.89,13.166595267684482,11.734174099133629,9.232465916310655,3.579845481527502,2.3070420213693246,1.590952150572007,2.735238932211116e-13,2.735238932211116e-08,130.0,2012-05-17 01:55:00+00:00,0.5216459569962522,5.216459569962522e-05
14,-90.0,70.0,11.89,13.166595267482062,11.734174098838523,9.232465915698604,3.579845481471189,2.3070420213186025,1.5909521505390447,2.735238932160394e-13,2.7352389321603938e-08,140.0,2012-05-17 01:55:00+00:00,0.5216459569962522,5.216459569962522e-05
15,-90.0,75.0,11.89,13.166595285408738,11.73417411504488,9.232465925714745,3.5798454880477113,2.307042025555866,1.5909521534401205,2.735238936397657e-13,2.735238936397657e-08,150.0,2012-05-17 01:55:00+00:00,0.5216459569962522,5.216459569962522e-05
16,-90.0,80.0,11.89,13.166595265630065,11.734174098554488,9.232465915287046,3.579845481603793,2.3070420214085114,1.5909521505823538,2.735238932250303e-13,2.735238932250303e-08,160.0,2012-05-17 01:55:00+00:00,0.5216459569962522,5.216459569962522e-05
17,-90.0,85.0,11.89,13.16659526698696,11.734174100228474,9.232465916661598,3.579845482433563,2.3070420219299517,1.5909521509121483,2.7352389327717435e-13,2.7352389327717432e-08,170.0,2012-05-17 01:55:00+00:00,0.5216459569962522,5.216459569962522e-05
18,-90.0,90.0,11.89,13.166595279003868,11.734174109820781,9.232465923019522,3.579845486049588,2.307042024272353,1.5909521525547876,2.735238935114145e-13,2.7352389351141446e-08,180.0,2012-05-17 01:55:00+00:00,0.5216459569962522,5.216459569962522e-05
19,-90.0,95.0,11.89,13.166595270179883,11.734174101431279,9.232465917222509,3.579845482516588,2.307042021998016,1.5909521510096676,2.735238932839807e-13,2.7352389328398072e-08,190.0,2012-05-17 01:55:00+00:00,0.5216459569962522,5.216459569962522e-05
20,-90.0,100.0,11.89,13.166595274366554,11.734174105635363,9.232465920009737,3.579845484379926,2.307042023190937,1.590952151810416,2.735238934032729e-13,2.735238934032729e-08,200.0,2012-05-17 01:55:00+00:00,0.5216459569962522,5.216459569962522e-05
21,-90.0,105.0,11.89,13.166595258867131,11.734174092612342,9.232465911434964,3.579845479246014,2.3070420198878114,1.590952149531471,2.735238930729603e-13,2.735238930729603e-08,210.0,2012-05-17 01:55:00+00:00,0.5216459569962522,5.216459569962522e-05
22,-90.0,110.0,11.89,13.166595288899568,11.734174119135634,9.23246592886298,3.579845489897422,2.3070420267387597,1.5909521542329292,2.735238937580551e-13,2.735238937580551e-08,220.0,2012-05-17 01:55:00+00:00,0.5216459569962522,5.216459569962522e-05
23,-90.0,115.0,11.89,13.16659527440838,11.734174104025659,9.232465919922276,3.5798454833246556,2.3070420225249633,1.5909521513737284,2.7352389333667546e-13,2.7352389333667547e-08,230.0,2012-05-17 01:55:00+00:00,0.5216459569962522,5.216459569962522e-05
24,-90.0,120.0,11.89,13.166595270654426,11.734174103556164,9.232465918320287,3.5798454837875653,2.3070420228023587,1.5909521515174634,2.7352389336441504e-13,2.73523893364415e-08,240.0,2012-05-17 01:55:00+00:00,0.5216459569962522,5.216459569962522e-05
25,-90.0,125.0,11.89,13.166595290649227,11.73417411964244,9.232465929209491,3.579845489888772,2.307042026732416,1.590952154242195,2.7352389375742075e-13,2.7352389375742076e-08,250.0,2012-05-17 01:55:00+00:00,0.5216459569962522,5.216459569962522e-05
26,-90.0,130.0,11.89,13.166595267478392,11.734174099506244,9.232465916051012,3.5798454818265064,2.3070420215566108,1.5909521507001854,2.7352389323984025e-13,2.735238932398402e-08,260.0,2012-05-17 01:55:00+00:00,0.5216459569962522,5.216459569962522e-05
27,-90.0,135.0,11.89,13.166595268020693,11.734174099851298,9.2324659163104,3.5798454819154744,2.307042021627933,1.5909521507577864,2.7352389324697246e-13,2.7352389324697243e-08,270.0,2012-05-17 01:55:00+00:00,0.5216459569962522,5.216459569962522e-05
28,-90.0,140.0,11.89,13.166595279322046,11.73417411099459,9.232465923440216,3.579845486747537,2.3070420247018313,1.5909521528197508,2.7352389355436225e-13,2.7352389355436228e-08,280.0,2012-05-17 01:55:00+00:00,0.5216459569962522,5.216459569962522e-05
29,-90.0,145.0,11.89,13.166595271920887,11.734174102723955,9.232465918506197,3.579845482967441,2.3070420223039116,1.5909521512239373,2.7352389331457034e-13,2.735238933145703e-08,290.0,2012-05-17 01:55:00+00:00,0.5216459569962522,5.216459569962522e-05
30,-90.0,150.0,11.89,13.166595285683648,11.734174116569015,9.232465926552145,3.579845488917292,2.3070420261139875,1.5909521538020255,2.735238936955779e-13,2.735238936955779e-08,300.0,2012-05-17 01:55:00+00:00,0.5216459569962522,5.216459569962522e-05
31,-90.0,155.0,11.89,13.166595280718607,11.734174110834783,9.232465923848464,3.579845486356586,2.3070420244648524,1.5909521526779786,2.735238935306644e-13,2.735238935306644e-08,310.0,2012-05-17 01:55:00+00:00,0.5216459569962522,5.216459569962522e-05
32,-90.0,160.0,11.89,13.16659526390586,11.734174096139089,9.232465913918057,3.579845480465985,2.307042020679321,1.5909521500924493,2.7352389315211124e-13,2.7352389315211123e-08,320.0,2012-05-17 01:55:00+00:00,0.5216459569962522,5.216459569962522e-05
33,-90.0,165.0,11.89,13.166595259552466,11.734174091926427,9.232465911109328,3.5798454786953533,2.307042019533993,1.5909521493089316,2.7352389303757843e-13,2.7352389303757844e-08,330.0,2012-05-17 01:55:00+00:00,0.5216459569962522,5.216459569962522e-05
34,-90.0,170.0,11.89,13.16659525187374,11.734174085986915,9.232465907142679,3.579845476421876,2.3070420180962645,1.5909521483364337,2.735238928938056e-13,2.7352389289380562e-08,340.0,2012-05-17 01:55:00+00:00,0.5216459569962522,5.216459569962522e-05
35,-90.0,175.0,11.89,13.166595276523456,11.734174106363136,9.232465920893501,3.5798454843891205,2.307042023199542,1.5909521518251393,2.7352389340413335e-13,2.7352389340413334e-08,350.0,2012-05-17 01:55:00+00:00,0.5216459569962522,5.216459569962522e-05
36,-90.0,180.0,11.89,13.166595268664622,11.73417410045246,9.232465916798935,3.5798454821923418,2.307042021794806,1.5909521508685507,2.7352389326365976e-13,2.735238932636597e-08,360.0,2012-05-17 01:55:00+00:00,0.5216459569962522,5.216459569962522e-05
37,-90.0,185.0,11.89,13.166595263881378,11.734174097026902,9.232465914655158,3.5798454810309064,2.3070420210311164,1.5909521503063322,2.7352389318729086e-13,2.7352389318729082e-08,10.0,2012-05-17 01:55:00+00:00,0.5216459569962522,5.216459569962522e-05
38,-90.0,190.0,11.89,13.166595261989901,11.734174094942825,9.232465912922217,3.579845480071932,2.3070420204237174,1.5909521499116455,2.735238931265509e-13,2.7352389312655088e-08,20.0,2012-05-17 01:55:00+00:00,0.5216459569962522,5.216459569962522e-05
39,-90.0,195.0,11.89,13.166595282855978,11.734174113241782,9.232465924520394,3.579845487463534,2.3070420251593644,1.590952153144375,2.735238936001156e-13,2.7352389360011555e-08,30.0,2012-05-17 01:55:00+00:00,0.5216459569962522,5.216459569962522e-05
40,-90.0,200.0,11.89,13.16659526806486,11.734174099611725,9.232465916456448,3.57984548179353,2.307042021538154,1.5909521506886302,2.7352389323799454e-13,2.7352389323799454e-08,40.0,2012-05-17 01:55:00+00:00,0.5216459569962522,5.216459569962522e-05
41,-90.0,205.0,11.89,13.166595270167345,11.734174101780823,9.232465917355446,3.5798454827868325,2.3070420221665064,1.5909521511098776,2.735238933008298e-13,2.735238933008298e-08,50.0,2012-05-17 01:55:00+00:00,0.5216459569962522,5.216459569962522e-05
42,-90.0,210.0,11.89,13.16659527562837,11.734174104796633,9.232465920462051,3.5798454834922246,2.3070420226536674,1.5909521514915943,2.735238933495459e-13,2.7352389334954587e-08,60.0,2012-05-17 01:55:00+00:00,0.5216459569962522,5.216459569962522e-05
43,-90.0,215.0,11.89,13.166595272944424,11.734174103928414,9.232465919263275,3.5798454834863547,2.307042022635141,1.5909521514560985,2.735238933476932e-13,2.7352389334769322e-08,70.0,2012-05-17 01:55:00+00:00,0.5216459569962522,5.216459569962522e-05
44,-90.0,220.0,11.89,13.16659527700875,11.734174107089919,9.232465921578632,3.5798454847055536,2.3070420234159617,1.590952151984747,2.7352389342577535e-13,2.7352389342577533e-08,80.0,2012-05-17 01:55:00+00:00,0.5216459569962522,5.216459569962522e-05
45,-90.0,225.0,11.89,13.166595261234484,11.734174094725784,9.232465912643942,3.5798454800964965,2.3070420204328927,1.59095214991378,2.735238931274684e-13,2.735238931274684e-08,90.0,2012-05-17 01:55:00+00:00,0.5216459569962522,5.216459569962522e-05
46,-90.0,230.0,11.89,13.16659525796664,11.7341740911864,9.232465910908676,3.579845478538509,2.307042019436146,1.590952149224925,2.7352389302779373e-13,2.7352389302779372e-08,100.0,2012-05-17 01:55:00+00:00,0.5216459569962522,5.216459569962522e-05
47,-90.0,235.0,11.89,13.166595274197288,11.734174104807689,9.232465920148009,3.5798454838813596,2.307042022874797,1.5909521515925416,2.735238933716589e-13,2.7352389337165886e-08,110.0,2012-05-17 01:55:00+00:00,0.5216459569962522,5.216459569962522e-05
