,latitude,longitude,altitude (km),edose,adose,dosee,tn1,tn2,tn3,SEU,SEL,longitudeTranslated,SEU (Upsets/hr/Gb),SEL (Latch-ups/hr/device)
0,-90.0,0.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,0.0,1.974397510492362,0.00019743975104923622
1,-90.0,5.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,5.0,1.974397510492362,0.00019743975104923622
2,-90.0,10.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,10.0,1.974397510492362,0.00019743975104923622
3,-90.0,15.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,15.0,1.974397510492362,0.00019743975104923622
4,-90.0,20.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,20.0,1.974397510492362,0.00019743975104923622
5,-90.0,25.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,25.0,1.974397510492362,0.00019743975104923622
6,-90.0,30.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,30.0,1.974397510492362,0.00019743975104923622
7,-90.0,35.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,35.0,1.974397510492362,0.00019743975104923622
8,-90.0,40.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,40.0,1.974397510492362,0.00019743975104923622
9,-90.0,45.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,45.0,1.974397510492362,0.00019743975104923622
10,-90.0,50.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,50.0,1.974397510492362,0.00019743975104923622
11,-90.0,55.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,55.0,1.974397510492362,0.00019743975104923622
12,-90.0,60.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,60.0,1.974397510492362,0.00019743975104923622
13,-90.0,65.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,65.0,1.974397510492362,0.00019743975104923622
14,-90.0,70.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,70.0,1.974397510492362,0.00019743975104923622
15,-90.0,75.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,75.0,1.974397510492362,0.00019743975104923622
