,20km,20km,12km,12km,5km,5km,2km,2km,0km,0km
,X,Y,X,Y,X,Y,X,Y,X,Y
0,2012-05-17 01:59:10.700559,21.19345528844035,2012-05-17 01:58:26.124790,3.475123286256285,2012-05-17 02:00:36.460108,0.1383111815634043,2012-05-17 02:01:10.301678,0.0151100959094915,2012-05-17 02:01:01.882951,0.0016427751250108
1,2012-05-17 01:56:46.184500,15.46665194533426,2012-05-17 02:06:48.831477,4.623682968790588,2012-05-17 02:10:07.184992,0.1560749130734011,2012-05-17 02:10:51.307922,0.0158413100237459,2012-05-17 02:10:42.819922,0.001691111771509
2,2012-05-17 02:00:35.954190,26.360424085152715,2012-05-17 02:15:10.301433,4.440560638864323,2012-05-17 02:17:35.099153,0.1228987909014737,2012-05-17 02:18:19.071312,0.0119880043271266,2012-05-17 02:18:36.888777,0.0012478618181947
3,2012-05-17 02:11:20.805035,41.74429348208521,2012-05-17 02:21:18.949268,3.4393836268291778,2012-05-17 02:22:50.987494,0.0962736865874918,2012-05-17 02:23:34.952182,0.0093724195641357,2012-05-17 02:24:19.081225,0.0009528167673542
4,2012-05-17 02:04:22.946404,33.32449530289364,2012-05-17 02:27:01.143850,2.6276519889179304,2012-05-17 02:30:18.695194,0.0717940678072534,2012-05-17 02:31:02.716252,0.0070939032561197,2012-05-17 02:31:46.900305,0.0007317117479453
5,2012-05-17 02:18:49.310576,34.691753951142765,2012-05-17 02:34:29.143758,2.1164003751006115,2012-05-17 02:39:42.672872,0.0550353557655443,2012-05-17 02:40:42.500028,0.0053885713756593,2012-05-17 02:41:26.712606,0.0005600071445464
6,2012-05-17 02:28:24.184312,23.936402769491156,2012-05-17 02:43:42.691751,1.6792839804804696,2012-05-17 02:48:03.780673,0.0480436113282268,2012-05-17 02:49:30.223891,0.0049780571002141,2012-05-17 02:50:38.546699,0.0005324395899985
7,2012-05-17 02:23:39.016208,28.787219504239182,2012-05-17 02:51:43.699241,1.6435961379718609,2012-05-17 02:53:25.787250,0.0572620868330352,2012-05-17 02:58:19.857067,0.0076068459021145,2012-05-17 02:57:53.642608,0.0007856038054917
8,2012-05-17 02:35:04.190882,20.667656829805612,2012-05-17 02:57:22.451212,2.378999847505128,2012-05-17 02:59:21.440909,0.0769853197567376,2012-05-17 03:08:00.341726,0.0069506061476385,2012-05-17 03:07:51.768153,0.0007254515529086
9,2012-05-17 02:43:22.166915,15.849176559408727,2012-05-17 03:01:35.423357,2.55764296448228,2012-05-17 03:09:01.839995,0.0687749835211677,2012-05-17 03:17:40.243674,0.0054467589569584,2012-05-17 03:17:31.649727,0.0005654466462872
10,2012-05-17 02:55:37.855387,20.997191487706157,2012-05-17 03:11:00.659770,2.2394077995768966,2012-05-17 03:18:41.758243,0.0541267284034197,2012-05-17 03:27:20.410491,0.0045769165008435,2012-05-17 03:27:11.820619,0.0004756559321163
11,2012-05-17 02:50:53.228177,14.264443044569944,2012-05-17 03:20:40.732864,1.8358603056025016,2012-05-17 03:28:22.031007,0.0467707521041234,2012-05-17 03:37:01.111119,0.0044270353349702,2012-05-17 03:36:52.484573,0.0004556536478873
12,2012-05-17 03:02:21.803777,25.09859394224969,2012-05-17 03:30:21.241971,1.688326368100738,2012-05-17 03:38:02.658287,0.0443729418852341,2012-05-17 03:45:48.325620,0.0035759609412124,2012-05-17 03:45:39.714468,0.0003695530409623
13,2012-05-17 03:12:02.354843,23.338292476011382,2012-05-17 03:40:01.763304,1.5576595057452167,2012-05-17 03:46:23.490523,0.0360220394081311,2012-05-17 03:54:35.501636,0.0028593490084145,2012-05-17 03:54:26.875090,0.0002942991658493
14,2012-05-17 03:22:19.119826,19.832759414481156,2012-05-17 03:47:29.951162,1.3183084645125676,2012-05-17 03:54:44.356377,0.0295030283847973,2012-05-17 04:02:57.088746,0.0028322227675071,2012-05-17 04:03:14.777343,0.0002849675980081
15,2012-05-17 03:30:46.769796,19.49127199291021,2012-05-17 03:54:58.100987,1.1046075382728564,2012-05-17 04:02:13.286544,0.0303656826994618,,,2012-05-17 04:10:15.993103,0.0002074876911332
16,2012-05-17 03:41:03.713886,17.36426789303985,2012-05-17 04:04:38.842364,1.0799720553291094,,,,,,
17,2012-05-17 03:48:58.207112,14.329408662610009,2012-05-17 04:09:55.188451,0.9544882328716856,,,,,,
18,2012-05-17 03:56:53.049614,12.96527191401627,,,,,,,,
