,latitude,longitude,altitude (km),edose,adose,dosee,tn1,tn2,tn3,SEU,SEL,longitudeTranslated,datetime
0,-90.0,0.0,11.89,3.316514723472467,4.185802838879203,2.1147795359949204,1.986559423777533,1.260386349662387,0.8344664780257829,1.260386349662387e-13,1.260386349662387e-08,0.0,2012-05-17 03:35:00+00:00
1,-90.0,5.0,11.89,3.3165147214436277,4.1858028364580475,2.1147795346490588,1.9865594226392025,1.2603863489368392,0.8344664775391232,1.2603863489368393e-13,1.2603863489368393e-08,5.0,2012-05-17 03:35:00+00:00
2,-90.0,10.0,11.89,3.3165147233579395,4.185802838782726,2.1147795358888795,1.9865594237370974,1.2603863496327594,0.8344664780003808,1.2603863496327595e-13,1.2603863496327594e-08,10.0,2012-05-17 03:35:00+00:00
3,-90.0,15.0,11.89,3.3165147217889293,4.185802836527818,2.1147795349094896,1.9865594226279626,1.2603863489351075,0.8344664775484597,1.2603863489351076e-13,1.2603863489351075e-08,15.0,2012-05-17 03:35:00+00:00
4,-90.0,20.0,11.89,3.316514722851122,4.185802838090426,2.1147795355012984,1.9865594233882484,1.2603863494079346,0.8344664778459963,1.2603863494079346e-13,1.2603863494079347e-08,20.0,2012-05-17 03:35:00+00:00
5,-90.0,25.0,11.89,3.316514722363584,4.185802837461441,2.114779535259882,1.9865594231009305,1.2603863492291125,0.8344664777336248,1.2603863492291126e-13,1.2603863492291126e-08,25.0,2012-05-17 03:35:00+00:00
6,-90.0,30.0,11.89,3.316514722152196,4.185802837126603,2.1147795351124756,1.9865594229306267,1.260386349122985,0.8344664776659053,1.260386349122985e-13,1.260386349122985e-08,30.0,2012-05-17 03:35:00+00:00
7,-90.0,35.0,11.89,3.316514723819164,4.185802839522813,2.11477953622636,1.9865594241159592,1.2603863498689531,0.8344664781509626,1.2603863498689533e-13,1.2603863498689532e-08,35.0,2012-05-17 03:35:00+00:00
8,-90.0,40.0,11.89,3.3165147236001244,4.185802839078199,2.1147795360181787,1.9865594238689774,1.26038634971603,0.8344664780543164,1.2603863497160299e-13,1.26038634971603e-08,40.0,2012-05-17 03:35:00+00:00
9,-90.0,45.0,11.89,3.316514721615183,4.185802836369863,2.114779534786276,1.9865594225639387,1.260386348889476,0.8344664775108148,1.260386348889476e-13,1.260386348889476e-08,45.0,2012-05-17 03:35:00+00:00
10,-90.0,50.0,11.89,3.3165147238321513,4.185802839664431,2.1147795361772137,1.9865594241908753,1.260386349914704,0.8344664781772143,1.2603863499147042e-13,1.260386349914704e-08,50.0,2012-05-17 03:35:00+00:00
11,-90.0,55.0,11.89,3.316514721351924,4.18580283620678,2.11477953461303,1.986559422505785,1.2603863488527536,0.8344664774855912,1.2603863488527535e-13,1.2603863488527535e-08,55.0,2012-05-17 03:35:00+00:00
12,-90.0,60.0,11.89,3.3165147222791855,4.185802837601961,2.1147795352202468,1.986559423210671,1.2603863492968201,0.8344664777751408,1.26038634929682e-13,1.2603863492968202e-08,60.0,2012-05-17 03:35:00+00:00
13,-90.0,65.0,11.89,3.3165147218364366,4.185802836921206,2.114779534928825,1.9865594228511383,1.2603863490682028,0.8344664776227684,1.260386349068203e-13,1.2603863490682028e-08,65.0,2012-05-17 03:35:00+00:00
14,-90.0,70.0,11.89,3.3165147229403975,4.1858028383327195,2.114779535672176,1.9865594235385304,1.2603863495088545,0.8344664779210832,1.2603863495088546e-13,1.2603863495088545e-08,70.0,2012-05-17 03:35:00+00:00
