,latitude,longitude,altitude (km),edose,adose,dosee,tn1,tn2,tn3,SEU,SEL,datetime
0,-90.0,0.0,15.24,10.182800911651434,10.450449313225624,6.359211675146879,4.353814922353233,2.7220003908159773,1.7829243878033252,2.722000390815977e-13,2.7220003908159774e-08,2012-05-17 03:20:00+00:00
1,-90.0,5.0,15.24,10.182800911052738,10.450449315551376,6.359211675952458,4.353814923843633,2.72200039175898,1.7829243884065196,2.7220003917589797e-13,2.7220003917589798e-08,2012-05-17 03:20:00+00:00
2,-90.0,10.0,15.24,10.182800916875909,10.450449323984644,6.359211680053136,4.353814927981817,2.722000394352186,1.7829243900917493,2.722000394352186e-13,2.722000394352186e-08,2012-05-17 03:20:00+00:00
3,-90.0,15.0,15.24,10.182800915856214,10.450449319713154,6.359211678621049,4.353814925513736,2.7220003928175163,1.782924389112769,2.7220003928175165e-13,2.7220003928175162e-08,2012-05-17 03:20:00+00:00
4,-90.0,20.0,15.24,10.182800914822355,10.450449320933334,6.359211678347398,4.353814926564201,2.7220003934660597,1.7829243895185898,2.7220003934660596e-13,2.72200039346606e-08,2012-05-17 03:20:00+00:00
5,-90.0,25.0,15.24,10.182800910461008,10.450449314723048,6.359211675153591,4.353814923652039,2.7220003916570517,1.7829243883573132,2.722000391657052e-13,2.7220003916570517e-08,2012-05-17 03:20:00+00:00
6,-90.0,30.0,15.24,10.18280090727292,10.450449310820163,6.359211672799538,4.353814921876938,2.7220003905245105,1.7829243876021676,2.7220003905245106e-13,2.7220003905245104e-08,2012-05-17 03:20:00+00:00
7,-90.0,35.0,15.24,10.182800915059927,10.450449320414453,6.359211678815692,4.353814926064378,2.722000393172361,1.7829243893430669,2.722000393172361e-13,2.722000393172361e-08,2012-05-17 03:20:00+00:00
8,-90.0,40.0,15.24,10.182800909063234,10.450449311965977,6.359211673741187,4.353814922206136,2.7220003907280668,1.7829243877359386,2.722000390728067e-13,2.722000390728067e-08,2012-05-17 03:20:00+00:00
9,-90.0,45.0,15.24,10.1828009108768,10.450449316014225,6.359211675155649,4.353814924431645,2.722000392111154,1.78292438862573,2.7220003921111545e-13,2.7220003921111543e-08,2012-05-17 03:20:00+00:00
