ALMA-ATA-B LATITUDE    43.14     LONGITUDE     76.6      ALTITUDE    3340 M
ALMA-ATA-B INSTRUMENT   18-NM-64  NEUTRON MONITOR
ALMA-ATA-B STANDARD PRESSURE    679.3   MB     COEFFICIENT   -0.72     % / MB
ALMA-ATA-B PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
ALMA-ATA-B PRE-INCREASE AVERAGE COUNTING RATE  1,138.36      COUNTS PER SECOND
ALMA-ATA-B TIME INTERVALS    60          3600     
ALMA-ATA-B SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
ALMA-ATA-B 000713 3600 000000-010000   00    1216.61  680.0   1222.76     7.40    -9999
ALMA-ATA-B 000713 3600 010000-020000   00    1219.61  680.0   1225.78     7.70    -9999
ALMA-ATA-B 000713 3600 020000-030000   00    1214.86  680.1   1221.88     7.30    -9999
ALMA-ATA-B 000713 3600 030000-040000   00    1215.96  680.3   1224.74     7.60    -9999
ALMA-ATA-B 000713 3600 040000-050000   00    1219.11  680.4   1228.80     7.90    -9999
ALMA-ATA-B 000713 3600 050000-060000   00    1219.55  680.6   1231.02     8.10    -9999
ALMA-ATA-B 000713 3600 060000-070000   00    1222.05  680.8   1235.31     8.50    -9999
ALMA-ATA-B 000713 3600 070000-080000   00    1227.67  680.9   1241.89     9.10    -9999
ALMA-ATA-B 000713 3600 080000-090000   00    1217.98  681.1   1233.87     8.40    -9999
ALMA-ATA-B 000713 3600 090000-100000   00    1219.39  681.1   1235.30     8.50    -9999
ALMA-ATA-B 000713 3600 100000-110000   00    1202.84  681.2   1219.41     7.10    -9999
ALMA-ATA-B 000713 3600 110000-120000   00    1198.54  681.3   1215.92     6.80    -9999
ALMA-ATA-B 000713 3600 120000-130000   00    1188.10  681.3   1205.33     5.90    -9999
ALMA-ATA-B 000713 3600 130000-140000   00    1168.27  681.4   1186.07     4.20    -9999
ALMA-ATA-B 000713 3600 140000-150000   00    1140.16  681.5   1158.36     1.80    -9999
ALMA-ATA-B 000713 3600 150000-160000   00    1134.16  681.6   1153.10     1.30    -9999
ALMA-ATA-B 000713 3600 160000-170000   00    1131.14  681.4   1148.38     0.90    -9999
ALMA-ATA-B 000713 3600 170000-180000   00    1136.37  680.9   1149.54     1.00    -9999
ALMA-ATA-B 000713 3600 180000-190000   00    1141.43  680.6   1152.16     1.20    -9999
ALMA-ATA-B 000713 3600 190000-200000   00    1144.52  680.2   1151.96     1.20    -9999
ALMA-ATA-B 000713 3600 200000-210000   00    1150.44  679.7   1153.76     1.40    -9999
ALMA-ATA-B 000713 3600 210000-220000   00    1156.66  679.3   1156.66     1.60    -9999
ALMA-ATA-B 000713 3600 220000-230000   00    1162.70  679.3   1162.70     2.10    -9999
ALMA-ATA-B 000713 3600 230000-240000   00    1166.02  679.2   1165.18     2.40    -9999
ALMA-ATA-B 000714 3600 000000-010000   00    1158.01  679.3   1158.01     1.70    -9999
ALMA-ATA-B 000714 3600 010000-020000   00    1149.12  679.4   1149.95     1.00    -9999
ALMA-ATA-B 000714 3600 020000-030000   00    1149.68  679.5   1151.34     1.10    -9999
ALMA-ATA-B 000714 3600 030000-040000   00    1150.30  679.4   1151.13     1.10    -9999
ALMA-ATA-B 000714 3600 040000-050000   00    1152.08  679.2   1151.25     1.10    -9999
ALMA-ATA-B 000714 3600 050000-060000   00    1152.91  679.3   1152.91     1.30    -9999
ALMA-ATA-B 000714 3600 060000-070000   00    1156.72  679.2   1155.89     1.50    -9999
ALMA-ATA-B 000714 3600 070000-080000   00    1161.01  678.7   1156.00     1.60    -9999
ALMA-ATA-B 000714 60   080000-080100   00    1142.27  678.7   1137.32    -0.10    -9999
ALMA-ATA-B 000714 60   080100-080200   00    1154.13  678.7   1149.15     0.90    -9999
ALMA-ATA-B 000714 60   080200-080300   00    1141.47  678.7   1136.55    -0.20    -9999
ALMA-ATA-B 000714 60   080300-080400   00    1128.93  678.7   1124.09    -1.30    -9999
ALMA-ATA-B 000714 60   080400-080500   00    1128.40  678.7   1123.57    -1.30    -9999
ALMA-ATA-B 000714 60   080500-080600   00    1159.73  678.7   1154.79     1.40    -9999
ALMA-ATA-B 000714 60   080600-080700   00    1157.87  678.7   1152.95     1.30    -9999
ALMA-ATA-B 000714 60   080700-080800   00    1137.47  678.7   1132.65    -0.50    -9999
ALMA-ATA-B 000714 60   080800-080900   00    1139.33  678.7   1134.53    -0.30    -9999
ALMA-ATA-B 000714 60   080900-081000   00    1126.53  678.7   1121.80    -1.50    -9999
ALMA-ATA-B 000714 60   081000-081100   00    1122.93  678.7   1118.24    -1.80    -9999
