APATITY    LATITUDE    67.55     LONGITUDE     33.33     ALTITUDE    177 M
APATITY    INSTRUMENT   18-NM-64  NEUTRON MONITOR	
APATITY    STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.72     % / MB
APATITY    PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
APATITY    PRE-INCREASE AVERAGE COUNTING RATE    145.42      COUNTS PER SECOND
APATITY    TIME INTERVALS    300         3600     
APATITY    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
APATITY    000713 3600 000000-010000   00    -999.00 -999.0    155.16     6.70    -9999
APATITY    000713 3600 010000-020000   00    -999.00 -999.0    155.80     7.10    -9999
APATITY    000713 3600 020000-030000   00    -999.00 -999.0    155.53     7.00    -9999
APATITY    000713 3600 030000-040000   00    -999.00 -999.0    155.60     7.00    -9999
APATITY    000713 3600 040000-050000   00    -999.00 -999.0    155.40     6.90    -9999
APATITY    000713 3600 050000-060000   00    -999.00 -999.0    155.16     6.70    -9999
APATITY    000713 3600 060000-070000   00    -999.00 -999.0    155.70     7.10    -9999
APATITY    000713 3600 070000-080000   00    -999.00 -999.0    155.90     7.20    -9999
APATITY    000713 3600 080000-090000   00    -999.00 -999.0    156.66     7.70    -9999
APATITY    000713 3600 090000-100000   00    -999.00 -999.0    156.14     7.40    -9999
APATITY    000713 3600 100000-110000   00    -999.00 -999.0    155.31     6.80    -9999
APATITY    000713 3600 110000-120000   00    -999.00 -999.0    151.41     4.10    -9999
APATITY    000713 3600 120000-130000   00    -999.00 -999.0    148.83     2.30    -9999
APATITY    000713 3600 130000-140000   00    -999.00 -999.0    147.94     1.70    -9999
APATITY    000713 3600 140000-150000   00    -999.00 -999.0    145.84     0.30    -9999
APATITY    000713 3600 150000-160000   00    -999.00 -999.0    146.71     0.90    -9999
APATITY    000713 3600 160000-170000   00    -999.00 -999.0    144.56    -0.60    -9999
APATITY    000713 3600 170000-180000   00    -999.00 -999.0    144.19    -0.80    -9999
APATITY    000713 3600 180000-190000   00    -999.00 -999.0    143.40    -1.40    -9999
APATITY    000713 3600 190000-200000   00    -999.00 -999.0    142.49    -2.00    -9999
APATITY    000713 3600 200000-210000   00    -999.00 -999.0    142.25    -2.20    -9999
APATITY    000713 3600 210000-220000   00    -999.00 -999.0    143.04    -1.60    -9999
APATITY    000713 3600 220000-230000   00    -999.00 -999.0    143.18    -1.50    -9999
APATITY    000713 3600 230000-240000   00    -999.00 -999.0    143.48    -1.30    -9999
APATITY    000714 3600 000000-010000   00     156.34  988.1    143.57    -1.30    -9999
APATITY    000714 3600 010000-020000   00     157.83  988.1    144.92    -0.30    -9999
APATITY    000714 3600 020000-030000   00     159.04  988.0    145.96     0.40    -9999
APATITY    000714 3600 030000-040000   00     159.25  988.1    146.24     0.60    -9999
APATITY    000714 3600 040000-050000   00     160.11  987.9    146.81     1.00    -9999
APATITY    000714 3600 050000-060000   00     159.22  988.0    146.10     0.50    -9999
APATITY    000714 3600 060000-070000   00     158.54  988.4    145.92     0.30    -9999
APATITY    000714 3600 070000-080000   00     158.51  988.5    145.99     0.40    -9999
APATITY    000714 3600 080000-090000   00     158.79  988.4    146.13     0.50    -9999
APATITY    000714 3600 090000-100000   00     158.26  988.2    145.42     0.00    -9999
APATITY    000714 300  100000-100500   00     157.87  988.0    144.80    -0.40    -0.41
APATITY    000714 300  100500-101000   00     162.13  988.0    148.71     2.30     2.29
APATITY    000714 300  101000-101500   00     155.73  988.0    142.84    -1.80    -1.81
APATITY    000714 300  101500-102000   00     160.00  988.0    146.76     0.90     0.88
APATITY    000714 300  102000-102500   00     158.29  988.0    145.19    -0.20    -0.22
APATITY    000714 300  102500-103000   00     156.16  988.0    143.23    -1.50    -1.52
APATITY    000714 300  103000-103500   00     168.11  988.0    154.19     6.00     5.98
APATITY    000714 300  103500-104000   00     191.57  988.0    175.72    20.80    20.77
APATITY    000714 300  104000-104500   00     209.07  988.0    191.76    31.90    31.87
APATITY    000714 300  104500-105000   00     211.63  988.0    194.11    33.50    33.47
APATITY    000714 300  105000-105500   00     205.23  988.0    188.24    29.40    29.37
APATITY    000714 300  105500-106000   00     201.81  988.0    185.11    27.30    27.27
APATITY    000714 300  110000-110500   00     205.65  987.9    188.50    29.60    29.56
APATITY    000714 300  110500-111000   00     203.09  987.9    186.15    28.00    27.96
APATITY    000714 300  111000-111500   00     202.24  987.9    185.37    27.50    27.46
APATITY    000714 300  111500-112000   00     197.55  987.9    181.06    24.50    24.46
APATITY    000714 300  112000-112500   00     199.68  987.9    183.02    25.90    25.86
APATITY    000714 300  112500-113000   00     196.69  987.9    180.28    24.00    23.95
