CALGARY    LATITUDE    51.08     LONGITUDE     245.86    ALTITUDE    1128 M
CALGARY    INSTRUMENT   12-NM-64  NEUTRON MONITOR	
CALGARY    STANDARD PRESSURE    883     MB     COEFFICIENT   -0.7718   % / MB
CALGARY    PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
CALGARY    PRE-INCREASE AVERAGE COUNTING RATE    264.53      COUNTS PER SECOND
CALGARY    TIME INTERVALS    300         3600     
CALGARY    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
CALGARY    000713 3600 000000-010000   00     275.75  885.1    280.31     6.00    -9999
CALGARY    000713 3600 010000-020000   00     275.83  885.2    280.56     6.10    -9999
CALGARY    000713 3600 020000-030000   00     275.19  885.4    280.36     6.00    -9999
CALGARY    000713 3600 030000-040000   00     274.58  885.8    280.69     6.10    -9999
CALGARY    000713 3600 040000-050000   00     274.11  886.2    281.06     6.20    -9999
CALGARY    000713 3600 050000-060000   00     273.11  886.6    280.83     6.20    -9999
CALGARY    000713 3600 060000-070000   00     273.28  886.9    281.64     6.50    -9999
CALGARY    000713 3600 070000-080000   00     273.36  887.0    282.06     6.60    -9999
CALGARY    000713 3600 080000-090000   00     273.33  887.1    282.22     6.70    -9999
CALGARY    000713 3600 090000-100000   00     269.83  887.3    279.03     5.50    -9999
CALGARY    000713 3600 100000-110000   00     262.97  887.6    272.67     3.10    -9999
CALGARY    000713 3600 110000-120000   00     258.61  888.0    268.92     1.70    -9999
CALGARY    000713 3600 120000-130000   00     259.19  888.2    269.89     2.00    -9999
CALGARY    000713 3600 130000-140000   00     256.53  888.2    267.22     1.00    -9999
CALGARY    000713 3600 140000-150000   00     254.69  888.3    265.50     3.70    -9999
CALGARY    000713 3600 150000-160000   00     251.00  888.0    261.03    -1.30    -9999
CALGARY    000713 3600 160000-170000   00     252.78  887.7    262.17    -8.90    -9999
CALGARY    000713 3600 170000-180000   00     253.42  887.5    262.39    -8.10    -9999
CALGARY    000713 3600 180000-190000   00     253.89  887.0    261.92    -9.90    -9999
CALGARY    000713 3600 190000-200000   00     254.22  886.4    261.06    -1.30    -9999
CALGARY    000713 3600 200000-210000   00     255.56  885.8    261.14    -1.30    -9999
CALGARY    000713 3600 210000-220000   00     254.36  885.1    258.56    -2.30    -9999
CALGARY    000713 3600 220000-230000   00     254.89  884.7    258.42    -2.30    -9999
CALGARY    000713 3600 230000-240000   00     254.94  884.0    257.03    -2.80    -9999
CALGARY    000714 3600 000000-010000   00     256.53  883.3    257.28    -2.70    -9999
CALGARY    000714 3600 010000-020000   00     256.22  882.9    256.14    -3.20    -9999
CALGARY    000714 3600 020000-030000   00     257.31  882.9    257.25    -2.80    -9999
CALGARY    000714 3600 030000-040000   00     258.11  883.2    258.56    -2.30    -9999
CALGARY    000714 3600 040000-050000   00     259.00  883.5    260.06    -1.70    -9999
CALGARY    000714 3600 050000-060000   00     259.75  883.6    261.00    -1.30    -9999
CALGARY    000714 3600 060000-070000   00     259.56  883.9    261.53    -1.10    -9999
CALGARY    000714 3600 070000-080000   00     260.94  883.9    262.78    -0.70    -9999
CALGARY    000714 3600 080000-090000   00     261.83  884.2    264.36    -0.10    -9999
CALGARY    000714 300  090000-090500   00     262.15  884.9    266.03     0.60    -9999
CALGARY    000714 300  090500-091000   00     260.03  884.9    263.87    -0.20    -9999
CALGARY    000714 300  091000-091500   00     260.20  884.7    263.63    -0.30    -9999
CALGARY    000714 300  091500-092000   00     260.29  884.8    263.93    -0.20    -9999
CALGARY    000714 300  092000-092500   00     261.69  884.8    265.35     0.30    -9999
CALGARY    000714 300  092500-093000   00     261.32  884.7    264.78     0.10    -9999
CALGARY    000714 300  093000-093500   00     260.23  884.7    263.66    -0.30    -9999
CALGARY    000714 300  093500-094000   00     263.62  884.6    266.89     0.90    -9999
CALGARY    000714 300  094000-094500   00     260.56  884.5    263.59    -0.40    -9999
CALGARY    000714 300  094500-095000   00     261.62  884.5    264.67     0.10    -9999
CALGARY    000714 300  095000-095500   00     261.62  884.5    264.67     0.10    -9999
CALGARY    000714 300  095500-100000   00     260.29  884.5    263.33    -0.50    -9999
CALGARY    000714 300  100000-100500   00     261.96  884.7    265.41     0.30     0.06
CALGARY    000714 300  100500-101000   00     265.14  884.7    268.65     1.60     1.33
CALGARY    000714 300  101000-101500   00     260.16  884.8    263.80    -0.30    -0.59
CALGARY    000714 300  101500-102000   00     262.59  884.8    266.26     0.70     0.39
CALGARY    000714 300  102000-102500   00     258.67  885.0    262.69    -0.70    -1.03
CALGARY    000714 300  102500-103000   00     260.46  884.9    264.31    -0.10    -0.45
CALGARY    000714 300  103000-103500   00     262.98  884.7    266.46     0.70     0.33
CALGARY    000714 300  103500-104000   00     270.59  884.9    274.59     3.80     3.41
CALGARY    000714 300  104000-104500   00     315.07  884.7    319.23    20.70    20.29
CALGARY    000714 300  104500-105000   00     330.18  885.0    335.32    26.80    26.37
