GOOSE BAY  LATITUDE    53.27     LONGITUDE     299.6     ALTITUDE    46 M
GOOSE BAY  INSTRUMENT   18-NM-64  NEUTRON MONITOR	
GOOSE BAY  STANDARD PRESSURE    758     MMHG   COEFFICIENT   -0.987    % / MMHG
GOOSE BAY  PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
GOOSE BAY  PRE-INCREASE AVERAGE COUNTING RATE    168.03      COUNTS PER SECOND
GOOSE BAY  TIME INTERVALS    60          300         3600     
GOOSE BAY  SCALE FACTORS     1           1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
GOOSE BAY  000713 3600 000000-010000   00    -999.00 -999.0   -999.00    -9999    -9999
GOOSE BAY  000713 3600 010000-020000   00    -999.00 -999.0   -999.00    -9999    -9999
GOOSE BAY  000713 3600 020000-030000   00    -999.00 -999.0   -999.00    -9999    -9999
GOOSE BAY  000713 3600 030000-040000   00    -999.00 -999.0   -999.00    -9999    -9999
GOOSE BAY  000713 3600 040000-050000   00    -999.00 -999.0   -999.00    -9999    -9999
GOOSE BAY  000713 3600 050000-060000   00    -999.00 -999.0   -999.00    -9999    -9999
GOOSE BAY  000713 3600 060000-070000   00    -999.00 -999.0   -999.00    -9999    -9999
GOOSE BAY  000713 3600 070000-080000   00    -999.00 -999.0   -999.00    -9999    -9999
GOOSE BAY  000713 3600 080000-090000   00    -999.00 -999.0   -999.00    -9999    -9999
GOOSE BAY  000713 3600 090000-100000   00    -999.00 -999.0   -999.00    -9999    -9999
GOOSE BAY  000713 3600 100000-110000   00    -999.00 -999.0   -999.00    -9999    -9999
GOOSE BAY  000713 3600 110000-120000   00    -999.00 -999.0   -999.00    -9999    -9999
GOOSE BAY  000713 3600 120000-130000   00    -999.00 -999.0   -999.00    -9999    -9999
GOOSE BAY  000713 3600 130000-140000   00    -999.00 -999.0   -999.00    -9999    -9999
GOOSE BAY  000713 3600 140000-150000   00    -999.00 -999.0   -999.00    -9999    -9999
GOOSE BAY  000713 3600 150000-160000   00    -999.00 -999.0   -999.00    -9999    -9999
GOOSE BAY  000713 3600 160000-170000   00    -999.00 -999.0   -999.00    -9999    -9999
GOOSE BAY  000713 3600 170000-180000   00    -999.00 -999.0   -999.00    -9999    -9999
GOOSE BAY  000713 3600 180000-190000   00    -999.00 -999.0   -999.00    -9999    -9999
GOOSE BAY  000713 3600 190000-200000   00    -999.00 -999.0   -999.00    -9999    -9999
GOOSE BAY  000713 3600 200000-210000   00    -999.00 -999.0   -999.00    -9999    -9999
GOOSE BAY  000713 3600 210000-220000   00    -999.00 -999.0   -999.00    -9999    -9999
GOOSE BAY  000713 3600 220000-230000   00    -999.00 -999.0   -999.00    -9999    -9999
GOOSE BAY  000713 3600 230000-240000   00    -999.00 -999.0   -999.00    -9999    -9999
GOOSE BAY  000714 3600 000000-010000   00     171.79  753.8    164.82    -1.90    -9999
GOOSE BAY  000714 3600 010000-020000   00     172.05  754.0    165.38    -1.60    -9999
GOOSE BAY  000714 3600 020000-030000   00     172.76  754.1    166.24    -1.10    -9999
GOOSE BAY  000714 3600 030000-040000   00     172.76  754.4    166.74    -0.80    -9999
GOOSE BAY  000714 3600 040000-050000   00     172.38  754.4    166.35    -1.00    -9999
GOOSE BAY  000714 3600 050000-060000   00     173.07  754.3    166.88    -0.70    -9999
GOOSE BAY  000714 3600 060000-070000   00     173.96  754.4    167.88    -0.10    -9999
GOOSE BAY  000714 3600 070000-080000   00     174.79  754.3    168.51     0.30    -9999
GOOSE BAY  000714 3600 080000-090000   00     174.15  754.4    168.07     0.00    -9999
GOOSE BAY  000714 3600 090000-100000   00     173.96  754.5    168.04     0.00    -9999
GOOSE BAY  000714 300  100000-100500   00     172.50  754.7    166.97    -0.60    -0.60
GOOSE BAY  000714 300  100500-101000   00     174.83  754.7    169.23     0.70     0.70
GOOSE BAY  000714 300  101000-101500   00     173.83  754.7    168.26     0.10     0.10
GOOSE BAY  000714 300  101500-102000   00     172.83  754.7    167.29    -0.40    -0.40
GOOSE BAY  000714 300  102000-102500   00     173.50  754.8    168.11     0.00     0.00
GOOSE BAY  000714 300  102500-103000   00     174.17  754.8    168.75     0.40     0.40
GOOSE BAY  000714 300  103000-103500   00     176.17  754.9    170.86     1.70     1.70
GOOSE BAY  000714 60   103500-103600   00     179.49  755.0    172.73     2.80     2.80
GOOSE BAY  000714 60   103600-103700   00     183.00  755.0    177.66     5.70     5.70
GOOSE BAY  000714 60   103700-103800   00     192.17  755.0    186.56    11.00    11.00
GOOSE BAY  000714 60   103800-103900   00     185.50  754.9    179.91     7.10     7.10
GOOSE BAY  000714 60   103900-104000   00     197.17  754.9    191.23    13.80    13.80
GOOSE BAY  000714 60   104000-104100   00     197.17  754.9    191.23    13.80    13.80
GOOSE BAY  000714 60   104100-104200   00     202.17  755.0    196.27    16.80    16.80
GOOSE BAY  000714 60   104200-104300   00     210.50  755.0    204.36    21.60    21.60
GOOSE BAY  000714 60   104300-104400   00     207.17  755.0    201.12    19.70    19.70
GOOSE BAY  000714 60   104400-104500   00     210.50  755.0    204.36    21.60    21.60
GOOSE BAY  000714 60   104500-104600   00     220.50  755.0    214.07    27.40    27.40
GOOSE BAY  000714 60   104600-104700   00     210.50  755.0    204.36    21.60    21.60
GOOSE BAY  000714 60   104700-104800   00     212.17  755.0    205.98    22.60    22.60
GOOSE BAY  000714 60   104800-104900   00     210.50  755.0    204.36    21.60    21.60
GOOSE BAY  000714 60   104900-105000   00     214.19  755.0    207.94    23.80    23.80
GOOSE BAY  000714 60   105000-105100   00     213.83  755.0    207.59    23.50    23.50
GOOSE BAY  000714 60   105100-105200   00     210.50  755.0    204.36    21.60    21.60
GOOSE BAY  000714 60   105200-105300   00     220.50  755.1    214.28    27.50    27.50
GOOSE BAY  000714 60   105300-105400   00     210.50  755.0    204.36    21.60    21.60
GOOSE BAY  000714 60   105400-105500   00     220.50  755.1    214.28    27.50    27.50
GOOSE BAY  000714 60   105500-105600   00     213.83  755.0    207.59    23.50    23.50
GOOSE BAY  000714 60   105600-105700   00     218.83  755.0    212.45    26.40    26.40
GOOSE BAY  000714 60   105700-105800   00     218.83  755.1    212.66    26.60    26.60
GOOSE BAY  000714 60   105800-105900   00     228.83  755.0    222.16    32.20    32.20
GOOSE BAY  000714 60   105900-110000   00     228.83  755.1    222.38    32.30    32.30
GOOSE BAY  000714 60   110000-110100   00     222.17  755.0    215.68    28.40    28.40
GOOSE BAY  000714 60   110100-110200   00     230.50  755.0    223.77    33.20    33.20
GOOSE BAY  000714 60   110200-110300   00     233.83  755.0    227.01    35.10    35.10
GOOSE BAY  000714 60   110300-110400   00     222.17  755.0    215.68    28.40    28.40
GOOSE BAY  000714 60   110400-110500   00     225.50  755.0    218.92    30.30    30.30
GOOSE BAY  000714 60   110500-110600   00     223.83  755.0    217.30    29.30    29.30
GOOSE BAY  000714 60   110600-110700   00     222.54  755.0    216.04    28.60    28.60
GOOSE BAY  000714 60   110700-110800   00     222.17  755.1    215.90    28.50    28.50
GOOSE BAY  000714 60   110800-110900   00     222.17  755.0    215.68    28.40    28.40
GOOSE BAY  000714 60   110900-111000   00     222.17  755.0    215.68    28.40    28.40
GOOSE BAY  000714 60   111000-111100   00     215.50  755.1    209.42    24.60    24.60
GOOSE BAY  000714 60   111100-111200   00     217.17  755.0    210.83    25.50    25.50
GOOSE BAY  000714 60   111200-111300   00     220.50  755.0    214.07    27.40    27.40
GOOSE BAY  000714 60   111300-111400   00     222.17  755.0    215.68    28.40    28.40
GOOSE BAY  000714 60   111400-111500   00     223.83  755.0    217.30    29.30    29.30
GOOSE BAY  000714 60   111500-111600   00     220.50  755.0    214.07    27.40    27.40
GOOSE BAY  000714 60   111600-111700   00     220.50  755.0    214.07    27.40    27.40
