HOBART     LATITUDE    -42.9     LONGITUDE     147.33    ALTITUDE    18 M
HOBART     INSTRUMENT   IGY     NEUTRON MONITOR
HOBART     STANDARD PRESSURE    1012.5  MB     COEFFICIENT   -0.739    % / MB
HOBART     PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
HOBART     PRE-INCREASE AVERAGE COUNTING RATE     74.00      COUNTS PER SECOND
HOBART     TIME INTERVALS    60          3600     
HOBART     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
HOBART     000713 3600 000000-010000   00    -999.00 -999.0   -999.00    -9999    -9999
HOBART     000713 3600 010000-020000   00    -999.00 -999.0   -999.00    -9999    -9999
HOBART     000713 3600 020000-030000   00    -999.00 -999.0   -999.00    -9999    -9999
HOBART     000713 3600 030000-040000   00    -999.00 -999.0   -999.00    -9999    -9999
HOBART     000713 3600 040000-050000   00    -999.00 -999.0   -999.00    -9999    -9999
HOBART     000713 3600 050000-060000   00    -999.00 -999.0   -999.00    -9999    -9999
HOBART     000713 3600 060000-070000   00    -999.00 -999.0   -999.00    -9999    -9999
HOBART     000713 3600 070000-080000   00    -999.00 -999.0   -999.00    -9999    -9999
HOBART     000713 3600 080000-090000   00    -999.00 -999.0   -999.00    -9999    -9999
HOBART     000713 3600 090000-100000   00    -999.00 -999.0   -999.00    -9999    -9999
HOBART     000713 3600 100000-110000   00    -999.00 -999.0   -999.00    -9999    -9999
HOBART     000713 3600 110000-120000   00    -999.00 -999.0   -999.00    -9999    -9999
HOBART     000713 3600 120000-130000   00    -999.00 -999.0   -999.00    -9999    -9999
HOBART     000713 3600 130000-140000   00    -999.00 -999.0   -999.00    -9999    -9999
HOBART     000713 3600 140000-150000   00    -999.00 -999.0   -999.00    -9999    -9999
HOBART     000713 3600 150000-160000   00    -999.00 -999.0   -999.00    -9999    -9999
HOBART     000713 3600 160000-170000   00    -999.00 -999.0   -999.00    -9999    -9999
HOBART     000713 3600 170000-180000   00    -999.00 -999.0   -999.00    -9999    -9999
HOBART     000713 3600 180000-190000   00    -999.00 -999.0   -999.00    -9999    -9999
HOBART     000713 3600 190000-200000   00    -999.00 -999.0   -999.00    -9999    -9999
HOBART     000713 3600 200000-210000   00    -999.00 -999.0   -999.00    -9999    -9999
HOBART     000713 3600 210000-220000   00    -999.00 -999.0   -999.00    -9999    -9999
HOBART     000713 3600 220000-230000   00    -999.00 -999.0   -999.00    -9999    -9999
HOBART     000713 3600 230000-240000   00    -999.00 -999.0   -999.00    -9999    -9999
HOBART     000714 60   000000-000100   00      82.67  999.8     75.26     1.70    -9999
HOBART     000714 60   000100-000200   00      81.07  999.8     73.80    -0.30    -9999
HOBART     000714 60   000200-000300   00      82.13  999.8     74.78     1.00    -9999
HOBART     000714 60   000300-000400   00      80.80  999.8     73.56    -0.60    -9999
HOBART     000714 60   000400-000500   00      81.33  999.8     74.05     0.10    -9999
HOBART     000714 60   000500-000600   00      84.27  999.8     76.72     3.70    -9999
HOBART     000714 60   000600-000700   00      82.13  999.8     74.78     1.00    -9999
HOBART     000714 60   000700-000800   00      83.73  999.8     76.23     3.00    -9999
HOBART     000714 60   000800-000900   00      83.47  999.8     75.99     2.70    -9999
HOBART     000714 60   000900-001000   00      86.67  999.8     78.90     6.60    -9999
HOBART     000714 60   001000-001100   00      80.80  999.7     73.51    -0.70    -9999
HOBART     000714 60   001100-001200   00      85.87  999.7     78.12     5.60    -9999
HOBART     000714 60   001200-001300   00      81.60  999.7     74.24     0.30    -9999
HOBART     000714 60   001300-001400   00      82.13  999.7     74.72     1.00    -9999
HOBART     000714 60   001400-001500   00      82.67  999.6     75.15     1.60    -9999
HOBART     000714 60   001500-001600   00      79.47  999.6     72.24    -2.40    -9999
HOBART     000714 60   001600-001700   00      81.60  999.6     74.18     0.20    -9999
HOBART     000714 60   001700-001800   00      85.07  999.5     77.27     4.40    -9999
HOBART     000714 60   001800-001900   00      80.53  999.5     73.16    -1.10    -9999
HOBART     000714 60   001900-002000   00      80.27  999.5     72.91    -1.50    -9999
HOBART     000714 60   002000-002100   00      84.53  999.5     76.79     3.80    -9999
HOBART     000714 60   002100-002200   00      86.13  999.5     78.24     5.70    -9999
HOBART     000714 60   002200-002300   00      81.87  999.5     74.37     0.50    -9999
HOBART     000714 60   002300-002400   00      79.47  999.5     72.19    -2.50    -9999
HOBART     000714 60   002400-002500   00      81.60  999.5     74.13     0.20    -9999
HOBART     000714 60   002500-002600   00      83.20  999.5     75.58     2.10    -9999
HOBART     000714 60   002600-002700   00      81.87  999.5     74.37     0.50    -9999
HOBART     000714 60   002700-002800   00      79.73  999.5     72.43    -2.10    -9999
HOBART     000714 60   002800-002900   00      80.80  999.5     73.40    -0.80    -9999
HOBART     000714 60   002900-003000   00      79.73  999.5     72.43    -2.10    -9999
HOBART     000714 60   003000-003100   00      79.20  999.5     71.95    -2.80    -9999
HOBART     000714 60   003100-003200   00      81.07  999.4     73.59    -0.60    -9999
HOBART     000714 60   003200-003300   00      80.00  999.4     72.62    -1.90    -9999
HOBART     000714 60   003300-003400   00      80.80  999.4     73.34    -0.90    -9999
HOBART     000714 60   003400-003500   00      81.60  999.4     74.07     0.10    -9999
HOBART     000714 60   003500-003600   00      83.20  999.4     75.52     2.10    -9999
HOBART     000714 60   003600-003700   00      85.07  999.4     77.22     4.30    -9999
HOBART     000714 60   003700-003800   00      81.87  999.4     74.31     0.40    -9999
HOBART     000714 60   003800-003900   00      77.60  999.4     70.44    -4.80    -9999
HOBART     000714 60   003900-004000   00      80.80  999.4     73.34    -0.90    -9999
HOBART     000714 60   004000-004100   00      83.20  999.4     75.52     2.10    -9999
HOBART     000714 60   004100-004200   00      80.53  999.4     73.10    -1.20    -9999
HOBART     000714 60   004200-004300   00      81.87  999.4     74.31     0.40    -9999
HOBART     000714 60   004300-004400   00      85.33  999.4     77.46     4.70    -9999
HOBART     000714 60   004400-004500   00      82.13  999.4     74.55     0.70    -9999
HOBART     000714 60   004500-004600   00      82.93  999.4     75.28     1.70    -9999
HOBART     000714 60   004600-004700   00      84.53  999.4     76.73     3.70    -9999
HOBART     000714 60   004700-004800   00      79.47  999.4     72.13    -2.50    -9999
HOBART     000714 60   004800-004900   00      78.40  999.4     71.17    -3.80    -9999
HOBART     000714 60   004900-005000   00      81.33  999.4     73.83    -0.20    -9999
HOBART     000714 60   005000-005100   00      83.47  999.4     75.77     2.40    -9999
HOBART     000714 60   005100-005200   00      80.53  999.4     73.10    -1.20    -9999
HOBART     000714 60   005200-005300   00      83.73  999.4     76.01     2.70    -9999
HOBART     000714 60   005300-005400   00      80.27  999.3     72.81    -1.60    -9999
HOBART     000714 60   005400-005500   00      80.80  999.3     73.29    -1.00    -9999
HOBART     000714 60   005500-005600   00      81.87  999.3     74.26     0.30    -9999
HOBART     000714 60   005600-005700   00      81.87  999.2     74.20     0.30    -9999
HOBART     000714 60   005700-005800   00      82.67  999.2     74.93     1.30    -9999
HOBART     000714 60   005800-005900   00      83.73  999.2     75.89     2.60    -9999
HOBART     000714 60   005900-010000   00      79.73  999.2     72.27    -2.30    -9999
HOBART     000714 60   010000-010100   00      82.13  999.1     74.39     0.50    -9999
HOBART     000714 60   010100-010200   00      84.27  999.1     76.32     3.10    -9999
HOBART     000714 60   010200-010300   00      78.40  999.1     71.01    -4.00    -9999
HOBART     000714 60   010300-010400   00      87.47  999.1     79.22     7.10    -9999
HOBART     000714 60   010400-010500   00      84.27  999.1     76.32     3.10    -9999
HOBART     000714 60   010500-010600   00      80.80  999.1     73.18    -1.10    -9999
HOBART     000714 60   010600-010700   00      82.93  999.1     75.11     1.50    -9999
HOBART     000714 60   010700-010800   00      84.53  999.1     76.56     3.50    -9999
HOBART     000714 60   010800-010900   00      81.33  999.1     73.67    -0.50    -9999
HOBART     000714 60   010900-011000   00      81.87  999.1     74.15     0.20    -9999
HOBART     000714 60   011000-011100   00      80.53  999.1     72.94    -1.40    -9999
HOBART     000714 60   011100-011200   00      82.40  999.1     74.63     0.80    -9999
HOBART     000714 60   011200-011300   00      80.80  999.1     73.18    -1.10    -9999
HOBART     000714 60   011300-011400   00      82.93  999.0     75.06     1.40    -9999
HOBART     000714 60   011400-011500   00      82.67  999.0     74.82     1.10    -9999
HOBART     000714 60   011500-011600   00      83.20  999.0     75.30     1.80    -9999
HOBART     000714 60   011600-011700   00      80.80  998.9     73.07    -1.30    -9999
HOBART     000714 60   011700-011800   00      80.80  998.9     73.07    -1.30    -9999
HOBART     000714 60   011800-011900   00      82.13  998.9     74.28     0.40    -9999
HOBART     000714 60   011900-012000   00      80.00  998.9     72.35    -2.20    -9999
HOBART     000714 60   012000-012100   00      86.13  998.8     77.84     5.20    -9999
HOBART     000714 60   012100-012200   00      82.40  998.8     74.47     0.60    -9999
HOBART     000714 60   012200-012300   00      80.27  998.8     72.54    -2.00    -9999
HOBART     000714 60   012300-012400   00      85.07  998.8     76.88     3.90    -9999
HOBART     000714 60   012400-012500   00      80.80  998.8     73.02    -1.30    -9999
HOBART     000714 60   012500-012600   00      84.00  998.7     75.86     2.50    -9999
HOBART     000714 60   012600-012700   00      82.40  998.7     74.41     0.60    -9999
HOBART     000714 60   012700-012800   00      80.80  998.7     72.97    -1.40    -9999
HOBART     000714 60   012800-012900   00      86.13  998.7     77.78     5.10    -9999
HOBART     000714 60   012900-013000   00      82.13  998.6     74.12     0.20    -9999
HOBART     000714 60   013000-013100   00      85.07  998.6     76.76     3.70    -9999
HOBART     000714 60   013100-013200   00      80.80  998.6     72.91    -1.50    -9999
HOBART     000714 60   013200-013300   00      82.93  998.5     74.78     1.10    -9999
HOBART     000714 60   013300-013400   00      79.47  998.5     71.66    -3.20    -9999
HOBART     000714 60   013400-013500   00      80.80  998.5     72.86    -1.50    -9999
HOBART     000714 60   013500-013600   00      79.73  998.5     71.90    -2.80    -9999
HOBART     000714 60   013600-013700   00      85.33  998.5     76.95     4.00    -9999
HOBART     000714 60   013700-013800   00      78.67  998.5     70.93    -4.10    -9999
HOBART     000714 60   013800-013900   00      81.87  998.5     73.82    -0.20    -9999
HOBART     000714 60   013900-014000   00      83.20  998.5     75.02     1.40    -9999
HOBART     000714 60   014000-014100   00      85.87  998.5     77.43     4.60    -9999
HOBART     000714 60   014100-014200   00      81.07  998.5     73.10    -1.20    -9999
HOBART     000714 60   014200-014300   00      84.80  998.5     76.47     3.30    -9999
HOBART     000714 60   014300-014400   00      80.53  998.5     72.62    -1.90    -9999
HOBART     000714 60   014400-014500   00      84.80  998.5     76.47     3.30    -9999
HOBART     000714 60   014500-014600   00      82.13  998.5     74.06     0.10    -9999
HOBART     000714 60   014600-014700   00      85.07  998.5     76.71     3.70    -9999
HOBART     000714 60   014700-014800   00      83.20  998.5     75.02     1.40    -9999
HOBART     000714 60   014800-014900   00      81.33  998.4     73.29    -1.00    -9999
HOBART     000714 60   014900-015000   00      78.67  998.4     70.88    -4.20    -9999
HOBART     000714 60   015000-015100   00      86.40  998.4     77.85     5.20    -9999
HOBART     000714 60   015100-015200   00      82.13  998.4     74.01     0.00    -9999
HOBART     000714 60   015200-015300   00      80.00  998.3     72.03    -2.70    -9999
HOBART     000714 60   015300-015400   00      81.87  998.3     73.71    -0.40    -9999
HOBART     000714 60   015400-015500   00      81.07  998.3     72.99    -1.40    -9999
HOBART     000714 60   015500-015600   00      81.07  998.3     72.99    -1.40    -9999
HOBART     000714 60   015600-015700   00      83.47  998.3     75.15     1.60    -9999
HOBART     000714 60   015700-015800   00      84.27  998.3     75.87     2.50    -9999
HOBART     000714 60   015800-015900   00      83.20  998.4     74.97     1.30    -9999
HOBART     000714 60   015900-020000   00      82.93  998.4     74.73     1.00    -9999
HOBART     000714 60   020000-020100   00      78.93  998.4     71.12    -3.90    -9999
