HERMANUS   LATITUDE    -34.42    LONGITUDE     19.22     ALTITUDE    26 M
HERMANUS   INSTRUMENT   IGY     NEUTRON MONITOR                           
HERMANUS   STANDARD PRESSURE    1010.8  MB     COEFFICIENT   -0.71     % / MB
HERMANUS   PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
HERMANUS   PRE-INCREASE AVERAGE COUNTING RATE    103.58      COUNTS PER SECOND
HERMANUS   TIME INTERVALS    3600     
HERMANUS   SCALE FACTORS     1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
HERMANUS   000713 3600 000000-010000   00    -999.00 1007.9    109.08     5.30    -9999
HERMANUS   000713 3600 010000-020000   00    -999.00 1007.2    109.86     6.10    -9999
HERMANUS   000713 3600 020000-030000   00    -999.00 1006.9    109.17     5.40    -9999
HERMANUS   000713 3600 030000-040000   00    -999.00 1006.1    109.42     5.60    -9999
HERMANUS   000713 3600 040000-050000   00    -999.00 1005.5    108.97     5.20    -9999
HERMANUS   000713 3600 050000-060000   00    -999.00 1005.2    108.75     5.00    -9999
HERMANUS   000713 3600 060000-070000   00    -999.00 1005.2    109.61     5.80    -9999
HERMANUS   000713 3600 070000-080000   00    -999.00 1005.3    110.31     6.50    -9999
HERMANUS   000713 3600 080000-090000   00    -999.00 1005.3    110.53     6.70    -9999
HERMANUS   000713 3600 090000-100000   00    -999.00 1004.9    110.47     6.70    -9999
HERMANUS   000713 3600 100000-110000   00    -999.00 1003.6    109.86     6.10    -9999
HERMANUS   000713 3600 110000-120000   00    -999.00 1002.0    110.11     6.30    -9999
HERMANUS   000713 3600 120000-130000   00    -999.00 1000.8    109.86     6.10    -9999
HERMANUS   000713 3600 130000-140000   00    -999.00  999.9    109.47     5.70    -9999
HERMANUS   000713 3600 140000-150000   00    -999.00  999.5    105.72     2.10    -9999
HERMANUS   000713 3600 150000-160000   00    -999.00  999.3    105.36     1.70    -9999
HERMANUS   000713 3600 160000-170000   00    -999.00  999.5    104.61     1.00    -9999
HERMANUS   000713 3600 170000-180000   00    -999.00  999.7    103.67     0.10    -9999
HERMANUS   000713 3600 180000-190000   00    -999.00  999.6    102.64    -0.90    -9999
HERMANUS   000713 3600 190000-200000   00    -999.00  999.2    102.58    -1.00    -9999
HERMANUS   000713 3600 200000-210000   00    -999.00  998.9    102.94    -0.60    -9999
HERMANUS   000713 3600 210000-220000   00    -999.00  997.9    102.75    -0.80    -9999
HERMANUS   000713 3600 220000-230000   00    -999.00  997.2    102.56    -1.00    -9999
HERMANUS   000713 3600 230000-240000   00    -999.00  996.9    102.58    -1.00    -9999
HERMANUS   000714 3600 000000-010000   00    -999.00  996.7    102.86    -0.70    -9999
HERMANUS   000714 3600 010000-020000   00    -999.00  995.1    103.83     0.20    -9999
HERMANUS   000714 3600 020000-030000   00    -999.00  994.7    103.28    -0.30    -9999
HERMANUS   000714 3600 030000-040000   00    -999.00  994.3    104.47     0.90    -9999
HERMANUS   000714 3600 040000-050000   00    -999.00  993.5    104.17     0.60    -9999
HERMANUS   000714 3600 050000-060000   00    -999.00  993.7    103.50    -0.10    -9999
HERMANUS   000714 3600 060000-070000   00    -999.00  994.4    103.81     0.20    -9999
HERMANUS   000714 3600 070000-080000   00    -999.00  994.7    103.94     0.30    -9999
HERMANUS   000714 3600 080000-090000   00    -999.00  994.4    103.64     0.10    -9999
HERMANUS   000714 3600 090000-100000   00    -999.00  993.7    103.58     0.00    -9999
HERMANUS   000714 3600 100000-110000   00    -999.00  993.9    104.08     0.50    -9999
HERMANUS   000714 3600 110000-120000   00    -999.00  993.7    103.97     0.40    -9999
HERMANUS   000714 3600 120000-130000   00    -999.00  993.5    103.58     0.00    -9999
HERMANUS   000714 3600 130000-140000   00    -999.00  994.4    103.11    -0.50    -9999
HERMANUS   000714 3600 140000-150000   00    -999.00  997.5    103.47    -0.10    -9999
HERMANUS   000714 3600 150000-160000   00    -999.00  997.9    103.33    -0.20    -9999
HERMANUS   000714 3600 160000-170000   00    -999.00  997.7    103.50    -0.10    -9999
HERMANUS   000714 3600 170000-180000   00    -999.00  998.1    102.67    -0.90    -9999
HERMANUS   000714 3600 180000-190000   00    -999.00  998.5    102.56    -1.00    -9999
HERMANUS   000714 3600 190000-200000   00    -999.00  999.5    102.56    -1.00    -9999
HERMANUS   000714 3600 200000-210000   00    -999.00 1000.3    102.78    -0.80    -9999
HERMANUS   000714 3600 210000-220000   00    -999.00  999.7    102.81    -0.70    -9999
HERMANUS   000714 3600 220000-230000   00    -999.00 1000.7    102.47    -1.10    -9999
HERMANUS   000714 3600 230000-240000   00    -999.00 1000.7    102.69    -0.90    -9999
HERMANUS   000715 3600 000000-010000   00    -999.00 1000.8    102.72    -0.80    -9999
HERMANUS   000715 3600 010000-020000   00    -999.00 1001.1    102.67    -0.90    -9999
HERMANUS   000715 3600 020000-030000   00    -999.00 1000.9    103.22    -0.30    -9999
HERMANUS   000715 3600 030000-040000   00    -999.00 1000.8    103.14    -0.40    -9999
HERMANUS   000715 3600 040000-050000   00    -999.00 1001.5    103.44    -0.10    -9999
HERMANUS   000715 3600 050000-060000   00    -999.00 1001.5    103.81     0.20    -9999
