INUVIK     LATITUDE    68.35     LONGITUDE     226.28    ALTITUDE    21 M
INUVIK     INSTRUMENT   18-NM-64  NEUTRON MONITOR	
INUVIK     STANDARD PRESSURE    758     MMHG   COEFFICIENT   -0.987    % / MMHG
INUVIK     PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
INUVIK     PRE-INCREASE AVERAGE COUNTING RATE    162.58      COUNTS PER SECOND
INUVIK     TIME INTERVALS    300         3600     
INUVIK     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
INUVIK     000713 3600 000000-010000   00    -999.00 -999.0    175.03     7.70    -9999
INUVIK     000713 3600 010000-020000   00    -999.00 -999.0    174.49     7.30    -9999
INUVIK     000713 3600 020000-030000   00    -999.00 -999.0    174.74     7.50    -9999
INUVIK     000713 3600 030000-040000   00    -999.00 -999.0    174.09     7.10    -9999
INUVIK     000713 3600 040000-050000   00    -999.00 -999.0    173.81     6.90    -9999
INUVIK     000713 3600 050000-060000   00    -999.00 -999.0    174.40     7.30    -9999
INUVIK     000713 3600 060000-070000   00    -999.00 -999.0    174.12     7.10    -9999
INUVIK     000713 3600 070000-080000   00    -999.00 -999.0    174.66     7.40    -9999
INUVIK     000713 3600 080000-090000   00    -999.00 -999.0    174.46     7.30    -9999
INUVIK     000713 3600 090000-100000   00    -999.00 -999.0    172.79     6.30    -9999
INUVIK     000713 3600 100000-110000   00    -999.00 -999.0    167.83     3.20    -9999
INUVIK     000713 3600 110000-120000   00    -999.00 -999.0    166.59     2.50    -9999
INUVIK     000713 3600 120000-130000   00    -999.00 -999.0    166.50     2.40    -9999
INUVIK     000713 3600 130000-140000   00    -999.00 -999.0    164.32     1.10    -9999
INUVIK     000713 3600 140000-150000   00    -999.00 -999.0    163.64     0.70    -9999
INUVIK     000713 3600 150000-160000   00    -999.00 -999.0    162.48    -0.10    -9999
INUVIK     000713 3600 160000-170000   00    -999.00 -999.0    163.59     0.60    -9999
INUVIK     000713 3600 170000-180000   00    -999.00 -999.0    162.96     0.20    -9999
INUVIK     000713 3600 180000-190000   00    -999.00 -999.0    163.33     0.50    -9999
