IRKUTSK    LATITUDE    52.47     LONGITUDE     104.03    ALTITUDE    433 M
IRKUTSK    INSTRUMENT   IGY     NEUTRON MONITOR
IRKUTSK    STANDARD PRESSURE    948.3   MB     COEFFICIENT   -0.71     % / MB
IRKUTSK    PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
IRKUTSK    PRE-INCREASE AVERAGE COUNTING RATE    188.20      COUNTS PER SECOND
IRKUTSK    TIME INTERVALS    300         3600     
IRKUTSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
IRKUTSK    000713 3600 000000-010000   00     208.16  943.6    201.30     7.00    -9999
IRKUTSK    000713 3600 010000-020000   00     208.38  943.7    201.66     7.10    -9999
IRKUTSK    000713 3600 020000-030000   00     207.69  943.7    200.99     6.80    -9999
IRKUTSK    000713 3600 030000-040000   00     208.33  944.0    202.04     7.40    -9999
IRKUTSK    000713 3600 040000-050000   00     207.70  944.2    201.71     7.20    -9999
IRKUTSK    000713 3600 050000-060000   00     207.62  944.2    201.64     7.10    -9999
IRKUTSK    000713 3600 060000-070000   00     208.61  944.0    202.31     7.50    -9999
IRKUTSK    000713 3600 070000-080000   00     209.38  943.8    202.77     7.70    -9999
IRKUTSK    000713 3600 080000-090000   00     209.24  943.7    202.49     7.60    -9999
IRKUTSK    000713 3600 090000-100000   00     208.62  943.9    202.18     7.40    -9999
IRKUTSK    000713 3600 100000-110000   00     206.59  944.1    200.49     6.50    -9999
IRKUTSK    000713 3600 110000-120000   00     204.45  944.2    198.56     5.50    -9999
IRKUTSK    000713 3600 120000-130000   00     200.23  944.6    195.01     3.60    -9999
IRKUTSK    000713 3600 130000-140000   00     196.35  945.3    192.20     2.10    -9999
IRKUTSK    000713 3600 140000-150000   00     189.91  946.7    187.76    -0.20    -9999
IRKUTSK    000713 3600 150000-160000   00     190.12  946.8    188.10    -0.10    -9999
IRKUTSK    000713 3600 160000-170000   00     189.27  947.0    187.53    -0.40    -9999
IRKUTSK    000713 3600 170000-180000   00     189.33  947.2    187.85    -0.20    -9999
IRKUTSK    000713 3600 180000-190000   00     190.08  947.0    188.33     0.10    -9999
IRKUTSK    000713 3600 190000-200000   00     189.85  947.0    188.10    -0.10    -9999
IRKUTSK    000713 3600 200000-210000   00     190.94  947.0    189.18     0.50    -9999
IRKUTSK    000713 3600 210000-220000   00     191.52  947.2    190.02     1.00    -9999
IRKUTSK    000713 3600 220000-230000   00     192.49  947.2    190.99     1.50    -9999
IRKUTSK    000713 3600 230000-240000   00     191.56  947.2    190.06     1.00    -9999
IRKUTSK    000714 3600 000000-010000   00     191.32  947.0    189.56     0.70    -9999
IRKUTSK    000714 3600 010000-020000   00     190.99  947.2    189.50     0.70    -9999
IRKUTSK    000714 3600 020000-030000   00     190.77  947.2    189.28     0.60    -9999
