JUNGFRAUJ  LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3550 M
JUNGFRAUJ  INSTRUMENT   IGY     NEUTRON MONITOR
JUNGFRAUJ  STANDARD PRESSURE    482     MMHG   COEFFICIENT   -0.96     % / MMHG
JUNGFRAUJ  PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
JUNGFRAUJ  PRE-INCREASE AVERAGE COUNTING RATE    131.87      COUNTS PER SECOND
JUNGFRAUJ  TIME INTERVALS    60          300         3600     
JUNGFRAUJ  SCALE FACTORS     1           1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
JUNGFRAUJ  000713 3600 000000-010000   30     127.85  491.3    139.81     6.00    -9999
JUNGFRAUJ  000713 3600 010000-020000   30     128.50  491.2    140.32     6.40    -9999
JUNGFRAUJ  000713 3600 020000-030000   30     128.61  491.1    140.33     6.40    -9999
JUNGFRAUJ  000713 3600 030000-040000   30     127.50  491.1    139.13     5.50    -9999
JUNGFRAUJ  000713 3600 040000-050000   30     128.03  491.2    139.78     6.00    -9999
JUNGFRAUJ  000713 3600 050000-060000   30     127.77  491.3    139.71     5.90    -9999
JUNGFRAUJ  000713 3600 060000-070000   30     128.63  491.5    140.96     6.90    -9999
JUNGFRAUJ  000713 3600 070000-080000   30     128.50  491.7    141.09     7.00    -9999
JUNGFRAUJ  000713 3600 080000-090000   30     128.95  491.9    141.87     7.60    -9999
JUNGFRAUJ  000713 3600 090000-100000   30     128.70  492.2    141.91     7.60    -9999
JUNGFRAUJ  000713 3600 100000-110000   30     127.65  492.4    140.98     6.90    -9999
JUNGFRAUJ  000713 3600 110000-120000   30     127.37  492.5    140.90     6.80    -9999
JUNGFRAUJ  000713 3600 120000-130000   30     126.73  492.6    140.31     6.40    -9999
JUNGFRAUJ  000713 3600 130000-140000   30     124.67  492.7    138.08     4.70    -9999
JUNGFRAUJ  000713 3600 140000-150000   30     122.91  492.6    136.08     3.20    -9999
JUNGFRAUJ  000713 3600 150000-160000   30     122.71  492.5    135.77     3.00    -9999
JUNGFRAUJ  000713 3600 160000-170000   30     120.07  492.2    132.36     0.40    -9999
JUNGFRAUJ  000713 3600 170000-180000   30     119.18  492.3    131.51    -0.30    -9999
JUNGFRAUJ  000713 3600 180000-190000   30     118.47  492.2    130.61    -1.00    -9999
JUNGFRAUJ  000713 3600 190000-200000   30     118.49  492.2    130.67    -0.90    -9999
JUNGFRAUJ  000713 3600 200000-210000   30     118.27  492.3    130.53    -1.00    -9999
JUNGFRAUJ  000713 3600 210000-220000   30     118.21  492.1    130.29    -1.20    -9999
JUNGFRAUJ  000713 3600 220000-230000   30     118.43  492.1    130.44    -1.10    -9999
JUNGFRAUJ  000713 3600 230000-240000   30     119.38  491.9    131.24    -0.50    -9999
JUNGFRAUJ  000714 3600 000000-010000   30     119.39  491.6    130.96    -0.70    -9999
JUNGFRAUJ  000714 3600 010000-020000   30     120.82  491.2    131.92     0.00    -9999
JUNGFRAUJ  000714 3600 020000-030000   30     121.88  491.0    132.82     0.70    -9999
JUNGFRAUJ  000714 3600 030000-040000   30     121.79  490.7    132.34     0.40    -9999
JUNGFRAUJ  000714 3600 040000-050000   30     122.20  490.6    132.66     0.60    -9999
JUNGFRAUJ  000714 3600 050000-060000   30     122.01  490.4    132.26     0.30    -9999
JUNGFRAUJ  000714 3600 060000-070000   30     121.79  490.1    131.64    -0.20    -9999
JUNGFRAUJ  000714 3600 070000-080000   30     121.83  489.9    131.41    -0.30    -9999
JUNGFRAUJ  000714 3600 080000-090000   30     122.18  489.8    131.69    -0.10    -9999
JUNGFRAUJ  000714 60   090000-090100   30     120.57  489.9    130.07    -1.40    -9999
JUNGFRAUJ  000714 60   090100-090200   30     123.45  489.8    133.05     0.90    -9999
JUNGFRAUJ  000714 60   090200-090300   30     124.22  489.9    134.00     1.60    -9999
JUNGFRAUJ  000714 60   090300-090400   30     123.22  489.7    132.67     0.60    -9999
JUNGFRAUJ  000714 60   090400-090500   30     122.92  489.9    132.60     0.60    -9999
JUNGFRAUJ  000714 60   090500-090600   30     118.48  489.8    127.68    -3.20    -9999
JUNGFRAUJ  000714 60   090600-090700   30     123.60  489.7    133.08     0.90    -9999
JUNGFRAUJ  000714 60   090700-090800   30     125.13  489.8    134.87     2.30    -9999
JUNGFRAUJ  000714 60   090800-090900   30     121.45  489.9    131.02    -0.60    -9999
JUNGFRAUJ  000714 60   090900-091000   30     127.47  489.9    137.52     4.30    -9999
JUNGFRAUJ  000714 60   091000-091100   30     121.97  489.9    131.58    -0.20    -9999
JUNGFRAUJ  000714 60   091100-091200   30     120.83  489.8    130.22    -1.30    -9999
JUNGFRAUJ  000714 60   091200-091300   30     122.55  489.8    132.08     0.20    -9999
JUNGFRAUJ  000714 60   091300-091400   30     123.73  489.8    133.35     1.10    -9999
JUNGFRAUJ  000714 60   091400-091500   30     125.05  489.8    134.77     2.20    -9999
JUNGFRAUJ  000714 60   091500-091600   30     121.93  489.8    131.42    -0.30    -9999
JUNGFRAUJ  000714 60   091600-091700   30     124.22  489.9    134.00     1.60    -9999
JUNGFRAUJ  000714 60   091700-091800   30     121.60  489.8    131.07    -0.60    -9999
JUNGFRAUJ  000714 60   091800-091900   30     124.02  489.8    133.67     1.40    -9999
JUNGFRAUJ  000714 60   091900-092000   30     122.98  489.9    132.68     0.60    -9999
JUNGFRAUJ  000714 60   092000-092100   30     119.80  489.9    129.23    -2.00    -9999
JUNGFRAUJ  000714 60   092100-092200   30     122.93  489.8    132.48     0.50    -9999
JUNGFRAUJ  000714 60   092200-092300   30     127.27  489.9    137.28     4.10    -9999
JUNGFRAUJ  000714 60   092300-092400   30     121.02  489.8    130.43    -1.10    -9999
JUNGFRAUJ  000714 60   092400-092500   30     125.50  489.9    135.40     2.70    -9999
JUNGFRAUJ  000714 60   092500-092600   30     122.85  489.9    132.53     0.50    -9999
JUNGFRAUJ  000714 60   092600-092700   30     121.62  489.8    131.07    -0.60    -9999
JUNGFRAUJ  000714 60   092700-092800   30     122.08  489.9    131.70    -0.10    -9999
JUNGFRAUJ  000714 60   092800-092900   30     121.63  489.9    131.22    -0.50    -9999
JUNGFRAUJ  000714 60   092900-093000   30     122.55  489.7    131.95     0.10    -9999
JUNGFRAUJ  000714 60   093000-093100   30     122.18  489.9    131.82     0.00    -9999
