KERGUELEN  LATITUDE    -49.35    LONGITUDE     70.22     ALTITUDE    33 M
KERGUELEN  INSTRUMENT   IGY     NEUTRON MONITOR
KERGUELEN  STANDARD PRESSURE    750     MMHG   COEFFICIENT   -1.01     % / MMHG
KERGUELEN  PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
KERGUELEN  PRE-INCREASE AVERAGE COUNTING RATE    184.24      COUNTS PER SECOND
KERGUELEN  TIME INTERVALS    300      
KERGUELEN  SCALE FACTORS     1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
KERGUELEN  000713 300  000000-000500   00     181.73  755.9    192.53     4.50    -9999
KERGUELEN  000713 300  000500-001000   00     181.73  755.9    192.67     4.60    -9999
KERGUELEN  000713 300  001000-001500   00     186.13  755.8    197.20     7.00    -9999
KERGUELEN  000713 300  001500-002000   00     182.13  755.8    192.93     4.70    -9999
KERGUELEN  000713 300  002000-002500   00     185.20  755.8    196.13     6.50    -9999
KERGUELEN  000713 300  002500-003000   00     181.47  755.8    192.27     4.40    -9999
KERGUELEN  000713 300  003000-003500   00     182.00  755.6    192.40     4.40    -9999
KERGUELEN  000713 300  003500-004000   00     182.93  755.7    193.60     5.10    -9999
KERGUELEN  000713 300  004000-004500   00     183.60  755.5    193.87     5.20    -9999
KERGUELEN  000713 300  004500-005000   00     186.00  755.3    196.00     6.40    -9999
KERGUELEN  000713 300  005000-005500   00     186.93  755.4    197.33     7.10    -9999
KERGUELEN  000713 300  005500-010000   00     184.00  755.4    194.13     5.40    -9999
KERGUELEN  000713 300  010000-010500   00     184.93  755.6    195.47     6.10    -9999
KERGUELEN  000713 300  010500-011000   00     183.73  755.4    193.73     5.20    -9999
KERGUELEN  000713 300  011000-011500   00     182.93  755.3    192.93     4.70    -9999
KERGUELEN  000713 300  011500-012000   00     184.80  755.5    195.20     5.90    -9999
KERGUELEN  000713 300  012000-012500   00     183.73  755.5    194.13     5.40    -9999
KERGUELEN  000713 300  012500-013000   00     184.53  755.4    194.67     5.70    -9999
KERGUELEN  000713 300  013000-013500   00     184.13  755.2    193.87     5.20    -9999
KERGUELEN  000713 300  013500-014000   00     185.07  755.2    194.80     5.70    -9999
KERGUELEN  000713 300  014000-014500   00     184.13  755.4    194.27     5.40    -9999
KERGUELEN  000713 300  014500-015000   00     184.27  755.3    194.27     5.40    -9999
KERGUELEN  000713 300  015000-015500   00     186.93  755.2    196.80     6.80    -9999
KERGUELEN  000713 300  015500-020000   00     184.93  755.1    194.53     5.60    -9999
KERGUELEN  000713 300  020000-020500   00     185.33  755.0    194.80     5.70    -9999
KERGUELEN  000713 300  020500-021000   00     187.60  754.9    196.80     6.80    -9999
KERGUELEN  000713 300  021000-021500   00     187.47  754.9    196.80     6.80    -9999
KERGUELEN  000713 300  021500-022000   00     187.33  754.8    196.53     6.70    -9999
KERGUELEN  000713 300  022000-022500   00     187.33  754.8    196.53     6.70    -9999
KERGUELEN  000713 300  022500-023000   00     187.07  754.9    196.27     6.50    -9999
KERGUELEN  000713 300  023000-023500   00     186.80  754.9    196.00     6.40    -9999
KERGUELEN  000713 300  023500-024000   00     187.73  754.9    197.07     7.00    -9999
KERGUELEN  000713 300  024000-024500   00     185.87  754.9    195.07     5.90    -9999
KERGUELEN  000713 300  024500-025000   00     186.40  754.8    195.47     6.10    -9999
KERGUELEN  000713 300  025000-025500   00     186.80  754.7    195.60     6.20    -9999
KERGUELEN  000713 300  025500-030000   00     185.87  754.7    194.67     5.70    -9999
KERGUELEN  000713 300  030000-030500   00     188.40  754.6    197.20     7.00    -9999
KERGUELEN  000713 300  030500-031000   00     186.53  754.6    195.33     6.00    -9999
KERGUELEN  000713 300  031000-031500   00     187.33  754.7    196.13     6.50    -9999
KERGUELEN  000713 300  031500-032000   00     184.53  754.5    192.93     4.70    -9999
KERGUELEN  000713 300  032000-032500   00     186.80  754.6    195.60     6.20    -9999
KERGUELEN  000713 300  032500-033000   00     186.53  754.5    194.93     5.80    -9999
KERGUELEN  000713 300  033000-033500   00     187.47  754.4    195.87     6.30    -9999
KERGUELEN  000713 300  033500-034000   00     186.93  754.4    195.33     6.00    -9999
KERGUELEN  000713 300  034000-034500   00     187.73  754.2    195.73     6.20    -9999
KERGUELEN  000713 300  034500-035000   00     185.87  754.2    193.73     5.20    -9999
KERGUELEN  000713 300  035000-035500   00     190.13  754.1    198.00     7.50    -9999
KERGUELEN  000713 300  035500-040000   00     187.07  754.1    194.67     5.70    -9999
KERGUELEN  000713 300  040000-040500   00     186.67  753.9    194.00     5.30    -9999
KERGUELEN  000713 300  040500-041000   00     187.07  753.7    194.00     5.30    -9999
KERGUELEN  000713 300  041000-041500   00     187.20  753.6    194.00     5.30    -9999
KERGUELEN  000713 300  041500-042000   00     191.20  753.6    198.00     7.50    -9999
KERGUELEN  000713 300  042000-042500   00     187.87  753.5    194.40     5.50    -9999
KERGUELEN  000713 300  042500-043000   00     191.20  753.4    197.60     7.30    -9999
KERGUELEN  000713 300  043000-043500   00     189.73  753.3    196.00     6.40    -9999
KERGUELEN  000713 300  043500-044000   00     189.87  752.9    195.47     6.10    -9999
KERGUELEN  000713 300  044000-044500   00     189.87  752.8    195.07     5.90    -9999
KERGUELEN  000713 300  044500-045000   00     190.67  752.7    195.73     6.20    -9999
KERGUELEN  000713 300  045000-045500   00     188.80  752.5    193.47     5.00    -9999
KERGUELEN  000713 300  045500-050000   00     191.07  752.5    195.87     6.30    -9999
KERGUELEN  000713 300  050000-050500   00     190.67  752.3    195.07     5.90    -9999
KERGUELEN  000713 300  050500-051000   00     189.87  752.1    193.87     5.20    -9999
KERGUELEN  000713 300  051000-051500   00     193.07  752.1    197.07     7.00    -9999
