KIEL       LATITUDE    54.33     LONGITUDE     10.13     ALTITUDE    33 M
KIEL       INSTRUMENT   IGY     NEUTRON MONITOR
KIEL       STANDARD PRESSURE    993.5   mb     COEFFICIENT   -0.72     % / mb
KIEL       PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
KIEL       PRE-INCREASE AVERAGE COUNTING RATE    165.62      COUNTS PER SECOND
KIEL       TIME INTERVALS    300         3600     
KIEL       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
KIEL       000713 3600 000000-010000   00     163.51 1003.3    175.47     5.90    -9999
KIEL       000713 3600 010000-020000   00     163.76 1003.2    175.60     6.00    -9999
KIEL       000713 3600 020000-030000   00     164.68 1002.6    175.83     6.20    -9999
KIEL       000713 3600 030000-040000   00     164.46 1002.3    175.21     5.80    -9999
KIEL       000713 3600 040000-050000   00     164.53 1002.1    175.04     5.70    -9999
KIEL       000713 3600 050000-060000   00     163.74 1002.0    174.08     5.10    -9999
KIEL       000713 3600 060000-070000   00     164.27 1001.7    174.27     5.20    -9999
KIEL       000713 3600 070000-080000   00     166.10 1001.6    176.08     6.30    -9999
KIEL       000713 3600 080000-090000   00     167.01 1001.3    176.66     6.70    -9999
KIEL       000713 3600 090000-100000   00     167.20 1001.1    176.61     6.60    -9999
KIEL       000713 3600 100000-110000   00     167.24 1000.8    176.27     6.40    -9999
KIEL       000713 3600 110000-120000   00     166.37 1000.6    175.10     5.70    -9999
KIEL       000713 3600 120000-130000   00     163.98 1000.2    172.09     3.90    -9999
KIEL       000713 3600 130000-140000   00     164.07  999.9    171.81     3.70    -9999
KIEL       000713 3600 140000-150000   00     160.72  999.7    168.06     1.50    -9999
KIEL       000713 3600 150000-160000   00     161.06  999.4    168.05     1.50    -9999
KIEL       000713 3600 160000-170000   00     159.30  999.1    165.85     0.10    -9999
KIEL       000713 3600 170000-180000   00     157.73  998.6    163.63    -1.20    -9999
KIEL       000713 3600 180000-190000   00     157.51  998.2    162.93    -1.60    -9999
KIEL       000713 3600 190000-200000   00     158.46  997.8    163.45    -1.30    -9999
KIEL       000713 3600 200000-210000   00     158.76  997.5    163.40    -1.30    -9999
KIEL       000713 3600 210000-220000   00     158.27  997.0    162.31    -2.00    -9999
KIEL       000713 3600 220000-230000   00     159.64  996.3    162.89    -1.60    -9999
KIEL       000713 3600 230000-240000   00     160.35  995.8    163.03    -1.60    -9999
KIEL       000714 3600 000000-010000   00     161.03  995.4    163.25    -1.40    -9999
KIEL       000714 3600 010000-020000   00     162.49  994.9    164.13    -0.90    -9999
KIEL       000714 3600 020000-030000   00     163.88  994.5    165.07    -0.30    -9999
KIEL       000714 3600 030000-040000   00     165.19  994.2    166.02     0.20    -9999
KIEL       000714 3600 040000-050000   00     165.04  993.9    165.51    -0.10    -9999
KIEL       000714 3600 050000-060000   00     165.88  993.7    166.12     0.30    -9999
KIEL       000714 3600 060000-070000   00     165.62  993.6    165.74     0.10    -9999
KIEL       000714 3600 070000-080000   00     165.43  993.7    165.66     0.00    -9999
KIEL       000714 3600 080000-090000   00     165.16  993.7    165.40    -0.10    -9999
KIEL       000714 300  090000-090500   00     163.96  993.6    164.07    -0.90    -9999
KIEL       000714 300  090500-091000   00     164.19  993.6    164.29    -0.80    -9999
KIEL       000714 300  091000-091500   00     166.52  993.6    166.60     0.60    -9999
KIEL       000714 300  091500-092000   00     167.01  993.5    167.07     0.90    -9999
KIEL       000714 300  092000-092500   00     166.29  993.5    166.33     0.40    -9999
KIEL       000714 300  092500-093000   00     164.45  993.5    164.46    -0.70    -9999
KIEL       000714 300  093000-093500   00     167.27  993.5    167.27     1.00    -9999
KIEL       000714 300  093500-094000   00     164.02  993.5    164.00    -1.00    -9999
KIEL       000714 300  094000-094500   00     164.62  993.5    164.58    -0.60    -9999
KIEL       000714 300  094500-095000   00     166.87  993.4    166.81     0.70    -9999
KIEL       000714 300  095000-095500   00     165.12  993.4    165.04    -0.30    -9999
KIEL       000714 300  095500-100000   00     167.10  993.4    167.00     0.80    -9999
KIEL       000714 300  100000-100500   00     164.70  993.3    164.51    -0.70    -0.70
KIEL       000714 300  100500-101000   00     162.96  993.3    162.76    -1.70    -1.70
KIEL       000714 300  101000-101500   00     166.80  993.3    166.58     0.60     0.60
KIEL       000714 300  101500-102000   00     163.34  993.3    163.10    -1.50    -1.50
KIEL       000714 300  102000-102500   00     162.24  993.3    162.01    -2.20    -2.20
KIEL       000714 300  102500-103000   00     166.04  993.3    165.80     0.10     0.10
KIEL       000714 300  103000-103500   00     167.39  993.3    167.15     0.90     0.90
KIEL       000714 300  103500-104000   00     171.49  993.3    171.25     3.40     3.40
KIEL       000714 300  104000-104500   00     178.51  993.3    178.27     7.60     7.60
KIEL       000714 300  104500-105000   00     179.97  993.3    179.75     8.50     8.50
KIEL       000714 300  105000-105500   00     177.69  993.3    177.49     7.20     7.20
KIEL       000714 300  105500-110000   00     177.29  993.4    177.12     6.90     6.90
KIEL       000714 300  110000-110500   00     176.76  993.5    176.73     6.70     6.70
