LOMNICKY   LATITUDE    49.2      LONGITUDE     20.22     ALTITUDE    2632 M
LOMNICKY   INSTRUMENT   IGY     NEUTRON MONITOR
LOMNICKY   STANDARD PRESSURE    731.1   MB     COEFFICIENT   -0.73     % / MB
LOMNICKY   PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
LOMNICKY   PRE-INCREASE AVERAGE COUNTING RATE    342.45      COUNTS PER SECOND
LOMNICKY   TIME INTERVALS    300         3600     
LOMNICKY   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
LOMNICKY   000713 3600 000000-010000   00     355.33  734.5    364.26     6.40    -9999
LOMNICKY   000713 3600 010000-020000   00     356.25  734.4    364.93     6.60    -9999
LOMNICKY   000713 3600 020000-030000   00     356.05  734.3    364.46     6.40    -9999
LOMNICKY   000713 3600 030000-040000   00     354.47  734.2    362.58     5.90    -9999
LOMNICKY   000713 3600 040000-050000   00     355.21  734.1    363.07     6.00    -9999
LOMNICKY   000713 3600 050000-060000   00     353.82  734.1    361.66     5.60    -9999
LOMNICKY   000713 3600 060000-070000   00     357.04  734.2    365.21     6.60    -9999
LOMNICKY   000713 3600 070000-080000   00     358.62  734.2    366.83     7.10    -9999
LOMNICKY   000713 3600 080000-090000   00     359.36  734.3    367.86     7.40    -9999
LOMNICKY   000713 3600 090000-100000   00     358.84  734.4    367.59     7.30    -9999
LOMNICKY   000713 3600 100000-110000   00     357.83  734.4    366.55     7.00    -9999
LOMNICKY   000713 3600 110000-120000   00     354.64  734.5    363.55     6.20    -9999
LOMNICKY   000713 3600 120000-130000   00     354.00  734.4    362.63     5.90    -9999
LOMNICKY   000713 3600 130000-140000   00     351.97  734.4    360.55     5.30    -9999
LOMNICKY   000713 3600 140000-150000   00     344.92  734.4    353.33     3.20    -9999
LOMNICKY   000713 3600 150000-160000   00     343.00  734.2    350.85     2.50    -9999
LOMNICKY   000713 3600 160000-170000   00     337.48  734.0    344.70     0.70    -9999
LOMNICKY   000713 3600 170000-180000   00     333.08  733.7    339.46    -0.90    -9999
LOMNICKY   000713 3600 180000-190000   00     332.14  733.7    338.51    -1.20    -9999
LOMNICKY   000713 3600 190000-200000   00     333.30  733.7    339.69    -0.80    -9999
