MCMURDO    LATITUDE    -77.85    LONGITUDE     166.72    ALTITUDE    48 M
MCMURDO    INSTRUMENT   18-NM-64  NEUTRON MONITOR	
MCMURDO    STANDARD PRESSURE    730     MMHG   COEFFICIENT   -0.99     % / MMHG
MCMURDO    PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
MCMURDO    PRE-INCREASE AVERAGE COUNTING RATE    225.22      COUNTS PER SECOND
MCMURDO    TIME INTERVALS    60          3600     
MCMURDO    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
MCMURDO    000713 3600 000000-010000   00     230.31  733.1    237.47     5.40    -9999
MCMURDO    000713 3600 010000-020000   00     230.58  732.8    237.06     5.30    -9999
MCMURDO    000713 3600 020000-030000   00     232.06  732.6    238.11     5.70    -9999
MCMURDO    000713 3600 030000-040000   00     231.69  732.5    237.50     5.50    -9999
MCMURDO    000713 3600 040000-050000   00     232.17  732.4    237.75     5.60    -9999
MCMURDO    000713 3600 050000-060000   00     233.56  732.0    238.25     5.80    -9999
MCMURDO    000713 3600 060000-070000   00     235.28  731.6    239.03     6.10    -9999
MCMURDO    000713 3600 070000-080000   00     236.75  731.2    239.58     6.40    -9999
MCMURDO    000713 3600 080000-090000   00     237.44  730.8    239.33     6.30    -9999
MCMURDO    000713 3600 090000-100000   00     238.89  730.5    240.06     6.60    -9999
MCMURDO    000713 3600 100000-110000   00     239.14  730.1    239.39     6.30    -9999
MCMURDO    000713 3600 110000-120000   00     236.75  730.0    236.75     5.10    -9999
MCMURDO    000713 3600 120000-130000   00     233.69  729.8    233.25     3.60    -9999
MCMURDO    000713 3600 130000-140000   00     232.64  729.6    231.72     2.90    -9999
MCMURDO    000713 3600 140000-150000   00     229.53  729.5    228.39     1.40    -9999
MCMURDO    000713 3600 150000-160000   00     225.31  729.7    224.64    -0.30    -9999
MCMURDO    000713 3600 160000-170000   00     225.75  729.5    224.64    -0.30    -9999
MCMURDO    000713 3600 170000-180000   00     224.64  729.5    223.53    -0.80    -9999
MCMURDO    000713 3600 180000-190000   00     224.86  729.5    223.75    -0.70    -9999
MCMURDO    000713 3600 190000-200000   00     223.78  729.5    222.67    -1.10    -9999
MCMURDO    000713 3600 200000-210000   00     223.03  729.9    222.81    -1.10    -9999
MCMURDO    000713 3600 210000-220000   00     223.39  729.9    223.17    -0.90    -9999
MCMURDO    000713 3600 220000-230000   00     223.14  729.9    222.92    -1.00    -9999
MCMURDO    000713 3600 230000-240000   00     222.28  729.8    221.83    -1.50    -9999
MCMURDO    000714 3600 000000-010000   00     222.56  729.9    222.36    -1.30    -9999
MCMURDO    000714 3600 010000-020000   00     221.86  730.1    222.08    -1.40    -9999
MCMURDO    000714 3600 020000-030000   00     220.83  730.6    222.14    -1.40    -9999
MCMURDO    000714 3600 030000-040000   00     221.78  730.5    222.86    -1.00    -9999
MCMURDO    000714 3600 040000-050000   00     221.06  730.6    222.36    -1.30    -9999
MCMURDO    000714 3600 050000-060000   00     221.67  730.7    223.19    -0.90    -9999
MCMURDO    000714 3600 060000-070000   00     222.61  730.9    224.61    -0.30    -9999
MCMURDO    000714 3600 070000-080000   00     222.92  731.2    225.58     0.20    -9999
MCMURDO    000714 60   080000-080100   00     215.58  731.3    218.37    -3.20    -9999
MCMURDO    000714 60   080100-080200   00     227.18  731.3    230.13     2.00    -9999
MCMURDO    000714 60   080200-080300   00     222.21  731.3    225.09    -0.30    -9999
MCMURDO    000714 60   080300-080400   00     215.58  731.3    218.41    -3.20    -9999
MCMURDO    000714 60   080400-080500   00     223.87  731.4    226.99     0.60    -9999
MCMURDO    000714 60   080500-080600   00     218.89  731.4    221.99    -1.60    -9999
MCMURDO    000714 60   080600-080700   00     222.21  731.5    225.53    -0.10    -9999
MCMURDO    000714 60   080700-080800   00     217.24  731.5    220.45    -2.30    -9999
MCMURDO    000714 60   080800-080900   00     218.89  731.4    221.95    -1.70    -9999
MCMURDO    000714 60   080900-081000   00     222.21  731.4    225.35    -0.20    -9999
MCMURDO    000714 60   081000-081100   00     218.89  731.5    222.17    -1.60    -9999
MCMURDO    000714 60   081100-081200   00     222.21  731.5    225.57    -0.10    -9999
MCMURDO    000714 60   081200-081300   00     223.87  731.6    227.44     0.80    -9999
MCMURDO    000714 60   081300-081400   00     222.21  731.6    225.76     0.00    -9999
MCMURDO    000714 60   081400-081500   00     223.87  731.6    227.44     0.80    -9999
MCMURDO    000714 60   081500-081600   00     225.53  731.6    229.13     1.50    -9999
MCMURDO    000714 60   081600-081700   00     220.55  731.6    224.07    -0.70    -9999
MCMURDO    000714 60   081700-081800   00     225.53  731.6    229.13     1.50    -9999
