MAGADAN    LATITUDE    60.12     LONGITUDE     151.02    ALTITUDE    220 M
MAGADAN    INSTRUMENT   18-NM-64  NEUTRON MONITOR	
MAGADAN    STANDARD PRESSURE    986.9   mb     COEFFICIENT   -0.74     % / mb
MAGADAN    PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
MAGADAN    PRE-INCREASE AVERAGE COUNTING RATE    121.70      COUNTS PER SECOND
MAGADAN    TIME INTERVALS    300         3600     
MAGADAN    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
MAGADAN    000713 3600 000000-010000   00     135.32  982.3    130.80     7.50    -9999
MAGADAN    000713 3600 010000-020000   00     135.16  982.2    130.54     7.30    -9999
MAGADAN    000713 3600 020000-030000   00     134.65  981.7    129.57     6.50    -9999
MAGADAN    000713 3600 030000-040000   00     135.64  981.4    130.23     7.00    -9999
MAGADAN    000713 3600 040000-050000   00     135.89  981.3    130.38     7.10    -9999
MAGADAN    000713 3600 050000-060000   00     136.04  981.3    130.51     7.20    -9999
MAGADAN    000713 3600 060000-070000   00     136.11  981.4    130.68     7.40    -9999
MAGADAN    000713 3600 070000-080000   00     135.36  981.7    130.25     7.00    -9999
MAGADAN    000713 3600 080000-090000   00     135.45  982.1    130.72     7.40    -9999
MAGADAN    000713 3600 090000-100000   00     134.61  982.5    130.30     7.10    -9999
MAGADAN    000713 3600 100000-110000   00     132.05  983.2    128.49     5.60    -9999
MAGADAN    000713 3600 110000-120000   00     129.44  983.7    126.41     3.90    -9999
MAGADAN    000713 3600 120000-130000   00     128.16  984.1    125.53     3.10    -9999
MAGADAN    000713 3600 130000-140000   00     126.26  984.4    123.94     1.80    -9999
MAGADAN    000713 3600 140000-150000   00     124.30  984.6    122.20     0.40    -9999
MAGADAN    000713 3600 150000-160000   00     123.43  984.9    121.62    -0.10    -9999
MAGADAN    000713 3600 160000-170000   00     123.59  985.1    121.96     0.20    -9999
MAGADAN    000713 3600 170000-180000   00     123.96  985.4    122.60     0.70    -9999
MAGADAN    000713 3600 180000-190000   00     123.84  985.6    122.65     0.80    -9999
MAGADAN    000713 3600 190000-200000   00     124.85  985.8    123.84     1.80    -9999
MAGADAN    000713 3600 200000-210000   00     124.52  986.1    123.78     1.70    -9999
MAGADAN    000713 3600 210000-220000   00     123.75  986.1    123.02     1.10    -9999
MAGADAN    000713 3600 220000-230000   00     124.52  985.9    123.60     1.60    -9999
MAGADAN    000713 3600 230000-240000   00     123.93  985.8    122.92     1.00    -9999
MAGADAN    000714 3600 000000-010000   00     123.22  985.7    122.13     0.40    -9999
MAGADAN    000714 3600 010000-020000   00     122.83  985.6    121.65     0.00    -9999
MAGADAN    000714 3600 020000-030000   00     123.18  985.4    121.82     0.10    -9999
MAGADAN    000714 3600 030000-040000   00     123.73  985.5    122.46     0.60    -9999
MAGADAN    000714 3600 040000-050000   00     123.61  985.4    122.24     0.40    -9999
MAGADAN    000714 3600 050000-060000   00     123.40  985.4    122.03     0.30    -9999
MAGADAN    000714 3600 060000-070000   00     123.64  985.4    122.28     0.50    -9999
MAGADAN    000714 3600 070000-080000   00     122.67  985.7    121.58    -0.10    -9999
MAGADAN    000714 300  080000-080500   00     124.11  985.9    123.22     1.20    -9999
MAGADAN    000714 300  080500-081000   00     122.67  986.0    121.83     0.10    -9999
MAGADAN    000714 300  081000-081500   00     121.97  986.0    121.18    -0.40    -9999
MAGADAN    000714 300  081500-082000   00     122.35  986.1    121.59    -0.10    -9999
MAGADAN    000714 300  082000-082500   00     122.72  986.1    122.00     0.30    -9999
MAGADAN    000714 300  082500-083000   00     123.68  986.2    123.00     1.10    -9999
MAGADAN    000714 300  083000-083500   00     120.85  986.2    120.24    -1.20    -9999
MAGADAN    000714 300  083500-084000   00     123.36  986.3    122.77     0.90    -9999
MAGADAN    000714 300  084000-084500   00     123.63  986.3    123.09     1.10    -9999
MAGADAN    000714 300  084500-085000   00     122.24  986.4    121.75     0.10    -9999
MAGADAN    000714 300  085000-085500   00     121.81  986.4    121.38    -0.30    -9999
MAGADAN    000714 300  085500-090000   00     121.33  986.5    120.95    -0.60    -9999
MAGADAN    000714 300  090000-090500   00     121.92  986.6    121.65    -0.10    -9999
MAGADAN    000714 300  090500-091000   00     121.28  986.7    121.07    -0.50    -9999
MAGADAN    000714 300  091000-091500   00     121.87  986.7    121.70     0.00    -9999
MAGADAN    000714 300  091500-092000   00     122.29  986.8    122.17     0.40    -9999
MAGADAN    000714 300  092000-092500   00     121.23  986.8    121.15    -0.40    -9999
MAGADAN    000714 300  092500-093000   00     121.12  986.9    121.09    -0.50    -9999
MAGADAN    000714 300  093000-093500   00     121.01  986.9    121.02    -0.50    -9999
MAGADAN    000714 300  093500-094000   00     121.17  986.9    121.21    -0.40    -9999
MAGADAN    000714 300  094000-094500   00     121.97  987.0    122.05     0.30    -9999
MAGADAN    000714 300  094500-095000   00     121.49  987.0    121.60    -0.10    -9999
MAGADAN    000714 300  095000-095500   00     123.63  987.0    123.76     1.70    -9999
MAGADAN    000714 300  095500-100000   00     121.44  987.1    121.60    -0.10    -9999
