MOSCOW     LATITUDE    55.47     LONGITUDE     37.32     ALTITUDE    200 M
MOSCOW     INSTRUMENT   12-NM-64  NEUTRON MONITOR	
MOSCOW     STANDARD PRESSURE    985.3   MB     COEFFICIENT   -0.71     % / MB
MOSCOW     PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
MOSCOW     PRE-INCREASE AVERAGE COUNTING RATE    210.79      COUNTS PER SECOND
MOSCOW     TIME INTERVALS    300         3600     
MOSCOW     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
MOSCOW     000713 3600 000000-010000   00     223.08  986.4    224.84     6.70    -9999
MOSCOW     000713 3600 010000-020000   00     222.03  986.5    223.94     6.20    -9999
MOSCOW     000713 3600 020000-030000   00     221.26  986.6    223.32     5.90    -9999
MOSCOW     000713 3600 030000-040000   00     221.65  986.7    223.88     6.20    -9999
MOSCOW     000713 3600 040000-050000   00     222.14  986.5    224.06     6.30    -9999
MOSCOW     000713 3600 050000-060000   00     223.23  986.5    225.15     6.80    -9999
MOSCOW     000713 3600 060000-070000   00     224.31  986.4    226.08     7.30    -9999
MOSCOW     000713 3600 070000-080000   00     224.25  986.5    226.18     7.30    -9999
MOSCOW     000713 3600 080000-090000   00     223.87  986.2    225.31     6.90    -9999
MOSCOW     000713 3600 090000-100000   00     223.90  986.0    225.03     6.80    -9999
MOSCOW     000713 3600 100000-110000   00     223.25  985.5    223.57     6.10    -9999
MOSCOW     000713 3600 110000-120000   00     220.39  985.6    220.86     4.80    -9999
MOSCOW     000713 3600 120000-130000   00     220.41  985.9    221.36     5.00    -9999
MOSCOW     000713 3600 130000-140000   00     215.46  985.9    216.39     2.70    -9999
MOSCOW     000713 3600 140000-150000   00     213.41  986.1    214.64     1.80    -9999
MOSCOW     000713 3600 150000-160000   00     209.30  986.4    210.95     0.10    -9999
MOSCOW     000713 3600 160000-170000   00     208.06  986.4    209.71    -0.50    -9999
MOSCOW     000713 3600 170000-180000   00     206.98  986.4    208.62    -1.00    -9999
MOSCOW     000713 3600 180000-190000   00     206.60  986.3    208.08    -1.30    -9999
MOSCOW     000713 3600 190000-200000   00     206.08  986.4    207.71    -1.50    -9999
