MAWSON     LATITUDE    -67.6     LONGITUDE     62.88     ALTITUDE    15 M
MAWSON     INSTRUMENT   IGY     NEUTRON MONITOR                           
MAWSON     STANDARD PRESSURE    990     MB     COEFFICIENT   -0.739    % / MB
MAWSON     PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
MAWSON     PRE-INCREASE AVERAGE COUNTING RATE     71.98      COUNTS PER SECOND
MAWSON     TIME INTERVALS    60          3600     
MAWSON     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
MAWSON     000713 3600 000000-010000   00    -999.00 -999.0     75.15     4.40    -9999
MAWSON     000713 3600 010000-020000   00    -999.00 -999.0     74.68     3.80    -9999
MAWSON     000713 3600 020000-030000   00    -999.00 -999.0     75.52     4.90    -9999
MAWSON     000713 3600 030000-040000   00    -999.00 -999.0     75.23     4.50    -9999
MAWSON     000713 3600 040000-050000   00    -999.00 -999.0     75.04     4.30    -9999
MAWSON     000713 3600 050000-060000   00    -999.00 -999.0     75.52     4.90    -9999
MAWSON     000713 3600 060000-070000   00    -999.00 -999.0     75.45     4.80    -9999
MAWSON     000713 3600 070000-080000   00    -999.00 -999.0     75.96     5.50    -9999
MAWSON     000713 3600 080000-090000   00    -999.00 -999.0     75.89     5.40    -9999
MAWSON     000713 3600 090000-100000   00    -999.00 -999.0     76.29     6.00    -9999
MAWSON     000713 3600 100000-110000   00    -999.00 -999.0     76.95     6.90    -9999
MAWSON     000713 3600 110000-120000   00    -999.00 -999.0     75.78     5.30    -9999
MAWSON     000713 3600 120000-130000   00    -999.00 -999.0     75.48     4.90    -9999
MAWSON     000713 3600 130000-140000   00    -999.00 -999.0     74.64     3.70    -9999
MAWSON     000713 3600 140000-150000   00    -999.00 -999.0     72.98     1.40    -9999
MAWSON     000713 3600 150000-160000   00    -999.00 -999.0     72.51     0.70    -9999
MAWSON     000713 3600 160000-170000   00    -999.00 -999.0     71.52    -0.60    -9999
MAWSON     000713 3600 170000-180000   00    -999.00 -999.0     70.97    -1.40    -9999
MAWSON     000713 3600 180000-190000   00    -999.00 -999.0     70.49    -2.10    -9999
MAWSON     000713 3600 190000-200000   00    -999.00 -999.0     70.93    -1.50    -9999
MAWSON     000713 3600 200000-210000   00    -999.00 -999.0     70.86    -1.60    -9999
MAWSON     000713 3600 210000-220000   00    -999.00 -999.0     71.15    -1.20    -9999
MAWSON     000713 3600 220000-230000   00    -999.00 -999.0     70.97    -1.40    -9999
MAWSON     000713 3600 230000-240000   00    -999.00 -999.0     70.86    -1.60    -9999
MAWSON     000714 60   000000-000100   00      74.13  981.8     69.77    -3.10    -9999
MAWSON     000714 60   000100-000200   00      71.47  981.8     67.26    -6.60    -9999
MAWSON     000714 60   000200-000300   00      77.60  981.8     73.04     1.50    -9999
MAWSON     000714 60   000300-000400   00      74.93  981.8     70.53    -2.00    -9999
MAWSON     000714 60   000400-000500   00      76.27  981.8     71.78    -0.30    -9999
MAWSON     000714 60   000500-000600   00      74.67  981.8     70.28    -2.40    -9999
MAWSON     000714 60   000600-000700   00      72.80  981.8     68.52    -4.80    -9999
MAWSON     000714 60   000700-000800   00      76.00  981.9     71.58    -0.60    -9999
MAWSON     000714 60   000800-000900   00      75.47  981.9     71.08    -1.30    -9999
MAWSON     000714 60   000900-001000   00      75.47  981.9     71.08    -1.30    -9999
MAWSON     000714 60   001000-001100   00      78.13  981.9     73.59     2.20    -9999
MAWSON     000714 60   001100-001200   00      75.47  981.9     71.08    -1.30    -9999
MAWSON     000714 60   001200-001300   00      76.27  981.9     71.84    -0.20    -9999
MAWSON     000714 60   001300-001400   00      70.67  981.9     66.56    -7.50    -9999
MAWSON     000714 60   001400-001500   00      74.67  981.9     70.33    -2.30    -9999
MAWSON     000714 60   001500-001600   00      73.33  981.9     69.07    -4.00    -9999
MAWSON     000714 60   001600-001700   00      74.13  981.9     69.83    -3.00    -9999
MAWSON     000714 60   001700-001800   00      77.33  981.9     72.84     1.20    -9999
MAWSON     000714 60   001800-001900   00      76.00  981.9     71.58    -0.60    -9999
MAWSON     000714 60   001900-002000   00      75.73  981.9     71.33    -0.90    -9999
MAWSON     000714 60   002000-002100   00      75.20  981.9     70.83    -1.60    -9999
MAWSON     000714 60   002100-002200   00      77.87  981.9     73.34     1.90    -9999
MAWSON     000714 60   002200-002300   00      78.40  982.0     73.90     2.70    -9999
MAWSON     000714 60   002300-002400   00      74.67  982.0     70.38    -2.20    -9999
MAWSON     000714 60   002400-002500   00      77.60  982.0     73.15     1.60    -9999
MAWSON     000714 60   002500-002600   00      75.73  982.0     71.39    -0.80    -9999
MAWSON     000714 60   002600-002700   00      73.07  982.0     68.87    -4.30    -9999
MAWSON     000714 60   002700-002800   00      74.40  982.0     70.13    -2.60    -9999
MAWSON     000714 60   002800-002900   00      75.20  982.0     70.88    -1.50    -9999
MAWSON     000714 60   002900-003000   00      73.87  982.0     69.63    -3.30    -9999
MAWSON     000714 60   003000-003100   00      72.27  982.0     68.12    -5.40    -9999
MAWSON     000714 60   003100-003200   00      78.67  982.0     74.15     3.00    -9999
MAWSON     000714 60   003200-003300   00      73.60  982.0     69.37    -3.60    -9999
