MEXICOCITY LATITUDE    19.33     LONGITUDE     260.82    ALTITUDE    2274 M
MEXICOCITY INSTRUMENT   IGY     NEUTRON MONITOR
MEXICOCITY STANDARD PRESSURE    779     MB     COEFFICIENT   -0.7125   % / MB
MEXICOCITY PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
MEXICOCITY PRE-INCREASE AVERAGE COUNTING RATE    196.83      COUNTS PER SECOND
MEXICOCITY TIME INTERVALS    300         3600     
MEXICOCITY SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
MEXICOCITY 000713 3600 000000-010000   00     210.96  775.4    206.11     4.70    -9999
MEXICOCITY 000713 3600 010000-020000   00     208.45  776.4    205.12     4.20    -9999
MEXICOCITY 000713 3600 020000-030000   00     207.65  777.4    205.79     4.60    -9999
MEXICOCITY 000713 3600 030000-040000   00     206.71  777.9    205.65     4.50    -9999
MEXICOCITY 000713 3600 040000-050000   00     207.58  777.9    206.40     4.90    -9999
MEXICOCITY 000713 3600 050000-060000   00     207.00  777.9    205.86     4.60    -9999
MEXICOCITY 000713 3600 060000-070000   00     207.47  777.8    206.14     4.70    -9999
MEXICOCITY 000713 3600 070000-080000   00     209.02  777.5    207.22     5.30    -9999
MEXICOCITY 000713 3600 080000-090000   00     207.82  777.2    205.71     4.50    -9999
MEXICOCITY 000713 3600 090000-100000   00     205.98  777.2    203.91     3.60    -9999
MEXICOCITY 000713 3600 100000-110000   00     205.83  777.3    203.82     3.60    -9999
MEXICOCITY 000713 3600 110000-120000   00     203.69  777.4    201.80     2.50    -9999
MEXICOCITY 000713 3600 120000-130000   00     202.23  777.8    200.92     2.10    -9999
MEXICOCITY 000713 3600 130000-140000   00     200.21  778.2    199.56     1.40    -9999
MEXICOCITY 000713 3600 140000-150000   00     197.09  778.3    196.57    -0.10    -9999
MEXICOCITY 000713 3600 150000-160000   00     196.29  778.3    195.83    -0.50    -9999
MEXICOCITY 000713 3600 160000-170000   00     195.83  778.1    195.03    -0.90    -9999
MEXICOCITY 000713 3600 170000-180000   00     196.42  777.6    194.90    -1.00    -9999
MEXICOCITY 000713 3600 180000-190000   00     197.33  776.9    194.81    -1.00    -9999
MEXICOCITY 000713 3600 190000-200000   00     198.14  776.3    194.81    -1.00    -9999
MEXICOCITY 000713 3600 200000-210000   00     198.64  775.6    194.29    -1.30    -9999
MEXICOCITY 000713 3600 210000-220000   00     200.25  775.0    195.05    -0.90    -9999
MEXICOCITY 000713 3600 220000-230000   00     199.38  774.2    193.21    -1.80    -9999
MEXICOCITY 000713 3600 230000-240000   00     200.77  773.9    194.10    -1.40    -9999
MEXICOCITY 000714 3600 000000-010000   00     199.02  774.8    193.57    -1.70    -9999
MEXICOCITY 000714 3600 010000-020000   00     197.82  776.0    194.03    -1.40    -9999
MEXICOCITY 000714 3600 020000-030000   00     196.72  776.8    194.15    -1.40    -9999
MEXICOCITY 000714 3600 030000-040000   00     196.74  777.7    195.41    -0.70    -9999
MEXICOCITY 000714 3600 040000-050000   00     195.57  778.0    194.71    -1.10    -9999
MEXICOCITY 000714 3600 050000-060000   00     196.39  778.4    196.04    -0.40    -9999
MEXICOCITY 000714 3600 060000-070000   00     197.43  778.2    196.78     0.00    -9999
MEXICOCITY 000714 3600 070000-080000   00     197.52  777.9    196.41    -0.20    -9999
MEXICOCITY 000714 300  080000-080500   00     196.17  777.6    194.67    -1.10    -9999
MEXICOCITY 000714 300  080500-081000   00     199.27  777.6    197.77     0.50    -9999
MEXICOCITY 000714 300  081000-081500   00     197.30  777.6    195.80    -0.50    -9999
MEXICOCITY 000714 300  081500-082000   00     199.50  777.5    197.83     0.50    -9999
MEXICOCITY 000714 300  082000-082500   00     196.03  777.5    194.40    -1.20    -9999
MEXICOCITY 000714 300  082500-083000   00     196.07  777.6    194.57    -1.10    -9999
MEXICOCITY 000714 300  083000-083500   00     196.53  777.6    195.03    -0.90    -9999
MEXICOCITY 000714 300  083500-084000   00     198.73  777.5    197.10     0.10    -9999
MEXICOCITY 000714 300  084000-084500   00     197.93  777.4    196.17    -0.30    -9999
MEXICOCITY 000714 300  084500-085000   00     198.37  777.3    196.43    -0.20    -9999
MEXICOCITY 000714 300  085000-085500   00     196.63  777.3    194.73    -1.10    -9999
MEXICOCITY 000714 300  085500-090000   00     198.33  777.2    196.27    -0.30    -9999
MEXICOCITY 000714 300  090000-090500   00     199.30  777.2    197.23     0.20    -9999
MEXICOCITY 000714 300  090500-091000   00     199.03  777.2    196.97     0.10    -9999
MEXICOCITY 000714 300  091000-091500   00     200.53  777.3    198.60     0.90    -9999
MEXICOCITY 000714 300  091500-092000   00     198.70  777.2    196.63    -0.10    -9999
MEXICOCITY 000714 300  092000-092500   00     198.77  777.2    196.70    -0.10    -9999
MEXICOCITY 000714 300  092500-093000   00     198.63  777.2    196.57    -0.10    -9999
MEXICOCITY 000714 300  093000-093500   00     199.83  777.3    197.90     0.50    -9999
MEXICOCITY 000714 300  093500-094000   00     199.30  777.2    197.23     0.20    -9999
MEXICOCITY 000714 300  094000-094500   00     198.27  777.2    196.20    -0.30    -9999
MEXICOCITY 000714 300  094500-095000   00     196.90  777.1    194.70    -1.10    -9999
MEXICOCITY 000714 300  095000-095500   00     199.40  777.1    197.20     0.20    -9999
MEXICOCITY 000714 300  095500-100000   00     198.07  777.1    195.87    -0.50    -9999
MEXICOCITY 000714 300  100000-100500   00     198.23  777.1    196.03    -0.40    -9999
MEXICOCITY 000714 300  100500-101000   00     199.07  777.1    196.87     0.00    -9999
MEXICOCITY 000714 300  101000-101500   00     196.50  777.1    194.33    -1.30    -9999
MEXICOCITY 000714 300  101500-102000   00     196.90  777.1    194.70    -1.10    -9999
MEXICOCITY 000714 300  102000-102500   00     198.40  777.1    196.20    -0.30    -9999
MEXICOCITY 000714 300  102500-103000   00     198.27  777.1    196.07    -0.40    -9999
MEXICOCITY 000714 300  103000-103500   00     198.27  777.2    196.20    -0.30    -9999
MEXICOCITY 000714 300  103500-104000   00     197.70  777.2    195.63    -0.60    -9999
MEXICOCITY 000714 300  104000-104500   00     199.30  777.3    197.37     0.30    -9999
MEXICOCITY 000714 300  104500-105000   00     197.40  777.3    195.50    -0.70    -9999
MEXICOCITY 000714 300  105000-105500   00     197.33  777.3    195.43    -0.70    -9999
MEXICOCITY 000714 300  105500-110000   00     193.60  777.4    191.87    -2.50    -9999
MEXICOCITY 000714 300  110000-110500   00     198.60  777.3    196.67    -0.10    -9999
MEXICOCITY 000714 300  110500-111000   00     196.80  777.3    194.90    -1.00    -9999
MEXICOCITY 000714 300  111000-111500   00     199.27  777.2    197.20     0.20    -9999
MEXICOCITY 000714 300  111500-112000   00     197.03  777.2    195.00    -0.90    -9999
MEXICOCITY 000714 300  112000-112500   00     198.33  777.2    196.27    -0.30    -9999
MEXICOCITY 000714 300  112500-113000   00     196.33  777.2    194.30    -1.30    -9999
MEXICOCITY 000714 300  113000-113500   00     199.23  777.2    197.17     0.20    -9999
MEXICOCITY 000714 300  113500-114000   00     199.17  777.2    197.10     0.10    -9999
MEXICOCITY 000714 300  114000-114500   00     198.73  777.2    196.67    -0.10    -9999
MEXICOCITY 000714 300  114500-115000   00     196.43  777.1    194.27    -1.30    -9999
MEXICOCITY 000714 300  115000-115500   00     200.30  777.2    198.23     0.70    -9999
MEXICOCITY 000714 300  115500-120000   00     196.80  777.2    194.77    -1.00    -9999
MEXICOCITY 000714 300  120000-120500   00     196.30  777.3    194.40    -1.20    -9999
MEXICOCITY 000714 300  120500-121000   00     197.67  777.2    195.60    -0.60    -9999
MEXICOCITY 000714 300  121000-121500   00     198.83  777.3    196.90     0.00    -9999
MEXICOCITY 000714 300  121500-122000   00     197.43  777.5    195.80    -0.50    -9999
MEXICOCITY 000714 300  122000-122500   00     199.03  777.6    197.53     0.40    -9999
MEXICOCITY 000714 300  122500-123000   00     200.00  777.7    198.63     0.90    -9999
MEXICOCITY 000714 300  123000-123500   00     198.97  777.7    197.60     0.40    -9999
MEXICOCITY 000714 300  123500-124000   00     197.57  777.8    196.37    -0.20    -9999
MEXICOCITY 000714 300  124000-124500   00     198.77  777.8    197.53     0.40    -9999
MEXICOCITY 000714 300  124500-125000   00     199.87  777.9    198.77     1.00    -9999
MEXICOCITY 000714 300  125000-125500   00     198.97  777.8    197.73     0.50    -9999
MEXICOCITY 000714 300  125500-130000   00     196.07  777.9    195.00    -0.90    -9999
MEXICOCITY 000714 300  130000-130500   00     198.27  777.9    197.20     0.20    -9999
MEXICOCITY 000714 300  130500-131000   00     198.67  778.0    197.73     0.50    -9999
MEXICOCITY 000714 300  131000-131500   00     201.27  777.9    200.17     1.70    -9999
MEXICOCITY 000714 300  131500-132000   00     195.63  778.0    194.70    -1.10    -9999
MEXICOCITY 000714 300  132000-132500   00     197.40  778.0    196.47    -0.20    -9999
MEXICOCITY 000714 300  132500-133000   00     195.90  778.0    194.97    -0.90    -9999
MEXICOCITY 000714 300  133000-133500   00     192.67  777.9    191.63    -2.60    -9999
MEXICOCITY 000714 300  133500-134000   00     198.87  778.0    197.93     0.60    -9999
MEXICOCITY 000714 300  134000-134500   00     198.33  778.0    197.40     0.30    -9999
MEXICOCITY 000714 300  134500-135000   00     201.00  778.1    200.20     1.70    -9999
MEXICOCITY 000714 300  135000-135500   00     198.47  778.2    197.80     0.50    -9999
MEXICOCITY 000714 300  135500-140000   00     197.93  778.3    197.43     0.30    -9999
MEXICOCITY 000714 300  140000-140500   00     199.60  778.3    199.07     1.10    -9999
MEXICOCITY 000714 300  140500-141000   00     196.43  778.3    195.93    -0.50    -9999
MEXICOCITY 000714 300  141000-141500   00     195.17  778.3    194.67    -1.10    -9999
MEXICOCITY 000714 300  141500-142000   00     200.33  778.4    199.97     1.60    -9999
MEXICOCITY 000714 300  142000-142500   00     197.30  778.4    196.93     0.10    -9999
MEXICOCITY 000714 300  142500-143000   00     199.43  778.4    199.07     1.10    -9999
MEXICOCITY 000714 300  143000-143500   00     196.63  778.5    196.40    -0.20    -9999
MEXICOCITY 000714 300  143500-144000   00     196.17  778.5    195.93    -0.50    -9999
MEXICOCITY 000714 300  144000-144500   00     194.70  778.6    194.60    -1.10    -9999
MEXICOCITY 000714 300  144500-145000   00     193.57  778.5    193.33    -1.80    -9999
MEXICOCITY 000714 300  145000-145500   00     197.10  778.5    196.87     0.00    -9999
MEXICOCITY 000714 300  145500-150000   00     195.87  778.5    195.63    -0.60    -9999
MEXICOCITY 000714 300  150000-150500   00     197.00  778.5    196.77     0.00    -9999
MEXICOCITY 000714 300  150500-151000   00     195.70  778.5    195.47    -0.70    -9999
MEXICOCITY 000714 300  151000-151500   00     197.17  778.5    196.93     0.10    -9999
MEXICOCITY 000714 300  151500-152000   00     198.63  778.5    198.40     0.80    -9999
MEXICOCITY 000714 300  152000-152500   00     197.70  778.6    197.60     0.40    -9999
MEXICOCITY 000714 300  152500-153000   00     197.60  778.6    197.50     0.30    -9999
MEXICOCITY 000714 300  153000-153500   00     194.87  778.6    194.77    -1.00    -9999
MEXICOCITY 000714 300  153500-154000   00     195.87  778.6    195.77    -0.50    -9999
MEXICOCITY 000714 300  154000-154500   00     194.03  778.6    193.93    -1.50    -9999
MEXICOCITY 000714 300  154500-155000   00     196.80  778.6    196.70    -0.10    -9999
MEXICOCITY 000714 300  155000-155500   00     196.77  778.6    196.67    -0.10    -9999
MEXICOCITY 000714 300  155500-160000   00     194.93  778.6    194.83    -1.00    -9999
MEXICOCITY 000714 300  160000-160500   00     196.73  778.5    196.50    -0.20    -9999
MEXICOCITY 000714 300  160500-161000   00     195.70  778.5    195.47    -0.70    -9999
MEXICOCITY 000714 300  161000-161500   00     197.37  778.5    197.13     0.20    -9999
MEXICOCITY 000714 300  161500-162000   00     196.50  778.5    196.27    -0.30    -9999
MEXICOCITY 000714 300  162000-162500   00     198.23  778.5    198.00     0.60    -9999
MEXICOCITY 000714 300  162500-163000   00     196.23  778.5    196.00    -0.40    -9999
MEXICOCITY 000714 300  163000-163500   00     194.77  778.4    194.40    -1.20    -9999
MEXICOCITY 000714 300  163500-164000   00     194.77  778.4    194.40    -1.20    -9999
MEXICOCITY 000714 300  164000-164500   00     197.97  778.4    197.60     0.40    -9999
MEXICOCITY 000714 300  164500-165000   00     197.60  778.4    197.23     0.20    -9999
MEXICOCITY 000714 300  165000-165500   00     196.80  778.3    196.30    -0.30    -9999
MEXICOCITY 000714 300  165500-170000   00     195.30  778.2    194.67    -1.10    -9999
MEXICOCITY 000714 300  170000-170500   00     197.13  778.2    196.47    -0.20    -9999
MEXICOCITY 000714 300  170500-171000   00     194.23  778.2    193.60    -1.60    -9999
MEXICOCITY 000714 300  171000-171500   00     196.93  778.1    196.13    -0.40    -9999
MEXICOCITY 000714 300  171500-172000   00     197.40  778.1    196.60    -0.10    -9999
MEXICOCITY 000714 300  172000-172500   00     193.27  778.0    192.37    -2.30    -9999
MEXICOCITY 000714 300  172500-173000   00     194.70  777.9    193.63    -1.60    -9999
MEXICOCITY 000714 300  173000-173500   00     197.47  777.9    196.40    -0.20    -9999
MEXICOCITY 000714 300  173500-174000   00     195.17  777.9    194.10    -1.40    -9999
MEXICOCITY 000714 300  174000-174500   00     196.90  777.8    195.70    -0.60    -9999
MEXICOCITY 000714 300  174500-175000   00     194.37  777.7    193.03    -1.90    -9999
MEXICOCITY 000714 300  175000-175500   00     195.23  777.7    193.90    -1.50    -9999
MEXICOCITY 000714 300  175500-180000   00     196.57  777.7    195.23    -0.80    -9999
MEXICOCITY 000714 300  180000-180500   00     194.93  777.6    193.47    -1.70    -9999
MEXICOCITY 000714 300  180500-181000   00     194.27  777.6    192.80    -2.00    -9999
MEXICOCITY 000714 300  181000-181500   00     196.33  777.6    194.83    -1.00    -9999
MEXICOCITY 000714 300  181500-182000   00     194.20  777.5    192.60    -2.10    -9999
MEXICOCITY 000714 300  182000-182500   00     196.37  777.5    194.73    -1.10    -9999
MEXICOCITY 000714 300  182500-183000   00     196.20  777.4    194.43    -1.20    -9999
MEXICOCITY 000714 300  183000-183500   00     194.13  777.4    192.40    -2.30    -9999
MEXICOCITY 000714 300  183500-184000   00     197.87  777.2    195.80    -0.50    -9999
MEXICOCITY 000714 300  184000-184500   00     194.93  777.2    192.90    -2.00    -9999
MEXICOCITY 000714 300  184500-185000   00     197.03  777.1    194.83    -1.00    -9999
MEXICOCITY 000714 300  185000-185500   00     196.30  777.1    194.13    -1.40    -9999
MEXICOCITY 000714 300  185500-190000   00     196.57  777.1    194.40    -1.20    -9999
MEXICOCITY 000714 300  190000-190500   00     195.63  777.0    193.33    -1.80    -9999
MEXICOCITY 000714 300  190500-191000   00     194.97  777.0    192.67    -2.10    -9999
MEXICOCITY 000714 300  191000-191500   00     197.40  777.0    195.07    -0.90    -9999
MEXICOCITY 000714 300  191500-192000   00     198.87  776.9    196.37    -0.20    -9999
MEXICOCITY 000714 300  192000-192500   00     195.77  776.8    193.17    -1.90    -9999
MEXICOCITY 000714 300  192500-193000   00     197.37  776.8    194.77    -1.00    -9999
MEXICOCITY 000714 300  193000-193500   00     197.53  776.8    194.93    -1.00    -9999
