NOVOSIBIRS LATITUDE    54.8      LONGITUDE     83        ALTITUDE    0 M
NOVOSIBIRS INSTRUMENT   12-NM-64  NEUTRON MONITOR
NOVOSIBIRS STANDARD PRESSURE    985.5   MB     COEFFICIENT   -0.72     % / MB
NOVOSIBIRS PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
NOVOSIBIRS PRE-INCREASE AVERAGE COUNTING RATE    163.77      COUNTS PER SECOND
NOVOSIBIRS TIME INTERVALS    300         3600     
NOVOSIBIRS SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
NOVOSIBIRS 000713 3600 000000-010000   00     180.55  981.2    175.05     6.90    -9999
NOVOSIBIRS 000713 3600 010000-020000   00     180.00  981.8    175.26     7.00    -9999
NOVOSIBIRS 000713 3600 020000-030000   00     179.86  981.9    175.26     7.00    -9999
NOVOSIBIRS 000713 3600 030000-040000   00     180.38  982.0    175.89     7.40    -9999
NOVOSIBIRS 000713 3600 040000-050000   00     180.03  982.8    176.57     7.80    -9999
NOVOSIBIRS 000713 3600 050000-060000   00     178.92  983.1    175.85     7.40    -9999
NOVOSIBIRS 000713 3600 060000-070000   00     178.57  982.1    174.25     6.40    -9999
NOVOSIBIRS 000713 3600 070000-080000   00     179.65  982.5    175.81     7.40    -9999
NOVOSIBIRS 000713 3600 080000-090000   00     179.89  982.7    176.30     7.70    -9999
NOVOSIBIRS 000713 3600 090000-100000   00     179.20  982.4    175.24     7.00    -9999
NOVOSIBIRS 000713 3600 100000-110000   00     177.00  983.7    174.72     6.70    -9999
NOVOSIBIRS 000713 3600 110000-120000   00     174.18  984.0    172.31     5.20    -9999
NOVOSIBIRS 000713 3600 120000-130000   00     172.69  984.2    171.08     4.50    -9999
NOVOSIBIRS 000713 3600 130000-140000   00     170.67  984.5    169.44     3.50    -9999
NOVOSIBIRS 000713 3600 140000-150000   00     165.62  984.7    164.67     0.50    -9999
NOVOSIBIRS 000713 3600 150000-160000   00     164.16  984.9    163.45    -0.20    -9999
NOVOSIBIRS 000713 3600 160000-170000   00     163.64  984.9    162.93    -0.50    -9999
NOVOSIBIRS 000713 3600 170000-180000   00     163.08  985.1    162.61    -0.70    -9999
NOVOSIBIRS 000713 3600 180000-190000   00     163.39  985.1    162.92    -0.50    -9999
NOVOSIBIRS 000713 3600 190000-200000   00     162.98  985.1    162.51    -0.80    -9999
NOVOSIBIRS 000713 3600 200000-210000   00     163.11  985.0    162.53    -0.80    -9999
NOVOSIBIRS 000713 3600 210000-220000   00     163.64  984.8    162.81    -0.60    -9999
NOVOSIBIRS 000713 3600 220000-230000   00     164.09  984.8    163.26    -0.30    -9999
NOVOSIBIRS 000713 3600 230000-240000   00     165.52  985.2    165.16     0.80    -9999
NOVOSIBIRS 000714 300  000000-000500   00     165.12  985.2    164.72     0.60    -9999
NOVOSIBIRS 000714 300  000500-001000   00     163.41  985.2    163.02    -0.50    -9999
NOVOSIBIRS 000714 300  001000-001500   00     164.69  985.2    164.30     0.30    -9999
NOVOSIBIRS 000714 300  001500-002000   00     164.69  985.2    164.31     0.30    -9999
NOVOSIBIRS 000714 300  002000-002500   00     163.84  985.2    163.47    -0.20    -9999
NOVOSIBIRS 000714 300  002500-003000   00     165.55  985.2    165.18     0.90    -9999
NOVOSIBIRS 000714 300  003000-003500   00     165.55  985.2    165.20     0.90    -9999
