NEWARK     LATITUDE    39.7      LONGITUDE     284.3     ALTITUDE    50 M
NEWARK     INSTRUMENT   9-NM-64  NEUTRON MONITOR                           	
NEWARK     STANDARD PRESSURE    760     MMHG   COEFFICIENT   -0.98     % / MMHG
NEWARK     PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
NEWARK     PRE-INCREASE AVERAGE COUNTING RATE     83.60      COUNTS PER SECOND
NEWARK     TIME INTERVALS    300         3600     
NEWARK     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
NEWARK     000713 3600 000000-010000   00      88.28  758.0     86.53     3.50    -9999
NEWARK     000713 3600 010000-020000   00      87.81  758.4     86.42     3.40    -9999
NEWARK     000713 3600 020000-030000   00      87.06  758.9     86.08     3.00    -9999
NEWARK     000713 3600 030000-040000   00      87.58  759.2     86.86     3.90    -9999
NEWARK     000713 3600 040000-050000   00      87.78  759.1     86.97     4.00    -9999
NEWARK     000713 3600 050000-060000   00      87.47  759.0     86.58     3.60    -9999
NEWARK     000713 3600 060000-070000   00      87.61  758.9     86.64     3.60    -9999
NEWARK     000713 3600 070000-080000   00      87.69  758.6     86.47     3.40    -9999
NEWARK     000713 3600 080000-090000   00      86.86  758.5     85.56     2.30    -9999
NEWARK     000713 3600 090000-100000   00      86.47  758.7     85.36     2.10    -9999
NEWARK     000713 3600 100000-110000   00      85.83  758.8     84.81     1.40    -9999
NEWARK     000713 3600 110000-120000   00      84.64  758.8     83.61     0.00    -9999
NEWARK     000713 3600 120000-130000   00      84.22  758.9     83.28    -0.40    -9999
NEWARK     000713 3600 130000-140000   00      83.81  758.9     82.86    -0.90    -9999
NEWARK     000713 3600 140000-150000   00      82.94  758.8     81.94    -2.00    -9999
NEWARK     000713 3600 150000-160000   00      82.25  758.6     81.08    -3.00    -9999
NEWARK     000713 3600 160000-170000   00      82.17  758.2     80.69    -3.50    -9999
NEWARK     000713 3600 170000-180000   00      82.53  757.9     80.83    -3.30    -9999
NEWARK     000713 3600 180000-190000   00      82.92  757.7     81.03    -3.10    -9999
NEWARK     000713 3600 190000-200000   00      82.86  757.7     80.97    -3.10    -9999
NEWARK     000713 3600 200000-210000   00      82.14  757.7     80.28    -4.00    -9999
NEWARK     000713 3600 210000-220000   00      82.19  757.6     80.25    -4.00    -9999
NEWARK     000713 3600 220000-230000   00      82.08  757.4     80.00    -4.30    -9999
NEWARK     000713 3600 230000-240000   00      82.78  757.2     80.50    -3.70    -9999
NEWARK     000714 3600 000000-010000   00      82.97  756.8     80.36    -3.90    -9999
NEWARK     000714 3600 010000-020000   00      83.31  756.8     80.72    -3.40    -9999
NEWARK     000714 3600 020000-030000   00      83.89  756.8     81.28    -2.80    -9999
NEWARK     000714 3600 030000-040000   00      83.97  756.8     81.36    -2.70    -9999
NEWARK     000714 3600 040000-050000   00      83.78  756.7     81.06    -3.00    -9999
NEWARK     000714 3600 050000-060000   00      84.19  756.4     81.25    -2.80    -9999
NEWARK     000714 3600 060000-070000   00      84.89  756.0     81.58    -2.40    -9999
NEWARK     000714 3600 070000-080000   00      86.33  755.6     82.64    -1.10    -9999
NEWARK     000714 300  080000-080500   00      84.06  757.1     81.71    -2.30    -9999
NEWARK     000714 300  080500-081000   00      86.62  757.1     84.22     0.70    -9999
NEWARK     000714 300  081000-081500   00      85.66  757.1     83.26    -0.40    -9999
NEWARK     000714 300  081500-082000   00      85.02  757.1     82.67    -1.10    -9999
NEWARK     000714 300  082000-082500   00      85.65  757.1     83.24    -0.40    -9999
NEWARK     000714 300  082500-083000   00      84.38  757.0     81.97    -1.90    -9999
NEWARK     000714 300  083000-083500   00      86.93  757.0     84.45     1.00    -9999
NEWARK     000714 300  083500-084000   00      85.66  757.0     83.21    -0.50    -9999
NEWARK     000714 300  084000-084500   00      85.98  757.0     83.50    -0.10    -9999
NEWARK     000714 300  084500-085000   00      86.30  756.9     83.75     0.20    -9999
NEWARK     000714 300  085000-085500   00      85.66  757.0     83.18    -0.50    -9999
NEWARK     000714 300  085500-090000   00      86.61  757.0     84.14     0.60    -9999
NEWARK     000714 300  090000-090500   00      84.70  756.9     82.23    -1.60    -9999
