OULU       LATITUDE    65.01     LONGITUDE     25.51     ALTITUDE    15 M
OULU       INSTRUMENT   9-NM-64  NEUTRON MONITOR	
OULU       STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.74     % / MB
OULU       PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
OULU       PRE-INCREASE AVERAGE COUNTING RATE     88.65      COUNTS PER SECOND
OULU       TIME INTERVALS    300         3600     
OULU       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
OULU       000713 3600 000000-010000   00      92.37 1001.7     93.53     5.50    -9999
OULU       000713 3600 010000-020000   00      93.40 1001.4     94.35     6.40    -9999
OULU       000713 3600 020000-030000   00      93.76 1000.8     94.34     6.40    -9999
OULU       000713 3600 030000-040000   00      93.67 1000.6     94.06     6.10    -9999
OULU       000713 3600 040000-050000   00      94.09 1000.2     94.20     6.30    -9999
OULU       000713 3600 050000-060000   00      94.42  999.7     94.18     6.20    -9999
OULU       000713 3600 060000-070000   00      94.61  999.4     94.17     6.20    -9999
OULU       000713 3600 070000-080000   00      95.41  999.0     94.69     6.80    -9999
OULU       000713 3600 080000-090000   00      95.80  998.7     94.85     7.00    -9999
OULU       000713 3600 090000-100000   00      96.03  997.9     94.54     6.60    -9999
OULU       000713 3600 100000-110000   00      96.60  997.1     94.57     6.70    -9999
OULU       000713 3600 110000-120000   00      94.89  996.2     92.28     4.10    -9999
OULU       000713 3600 120000-130000   00      93.73  995.4     90.58     2.20    -9999
OULU       000713 3600 130000-140000   00      93.48  994.9     89.99     1.50    -9999
OULU       000713 3600 140000-150000   00      92.44  994.3     88.60    -0.10    -9999
OULU       000713 3600 150000-160000   00      92.64  994.7     89.09     0.50    -9999
OULU       000713 3600 160000-170000   00      90.75  995.4     87.68    -1.10    -9999
OULU       000713 3600 170000-180000   00      90.32  996.2     87.84    -0.90    -9999
OULU       000713 3600 180000-190000   00      88.98  996.9     86.94    -1.90    -9999
OULU       000713 3600 190000-200000   00      88.69  996.9     86.66    -2.30    -9999
OULU       000713 3600 200000-210000   00      88.31  997.1     86.44    -2.50    -9999
OULU       000713 3600 210000-220000   00      88.09  997.4     86.39    -2.60    -9999
OULU       000713 3600 220000-230000   00      88.39  997.6     86.80    -2.10    -9999
OULU       000713 3600 230000-240000   00      88.43  997.7     86.93    -1.90    -9999
OULU       000714 3600 000000-010000   00      88.92  997.7     87.43    -1.40    -9999
OULU       000714 3600 010000-020000   00      88.92  997.9     87.54    -1.30    -9999
OULU       000714 3600 020000-030000   00      90.06  997.9     88.67     0.00    -9999
OULU       000714 3600 030000-040000   00      90.08  998.2     88.85     0.20    -9999
OULU       000714 3600 040000-050000   00      89.80  998.4     88.77     0.10    -9999
OULU       000714 3600 050000-060000   00      89.33  998.8     88.56    -0.10    -9999
OULU       000714 3600 060000-070000   00      88.83  999.5     88.47    -0.20    -9999
OULU       000714 3600 070000-080000   00      89.02  999.9     88.96     0.30    -9999
OULU       000714 300  080000-080500   00      87.08 1000.0     87.10    -1.80    -9999
OULU       000714 300  080500-081000   00      90.05 1000.1     90.08     1.60    -9999
OULU       000714 300  081000-081500   00      89.77 1000.1     89.82     1.30    -9999
OULU       000714 300  081500-082000   00      88.37 1000.1     88.46    -0.20    -9999
OULU       000714 300  082000-082500   00      88.70 1000.1     88.79     0.20    -9999
OULU       000714 300  082500-083000   00      88.19 1000.2     88.31    -0.40    -9999
OULU       000714 300  083000-083500   00      89.58 1000.3     89.77     1.30    -9999
OULU       000714 300  083500-084000   00      89.14 1000.4     89.39     0.80    -9999
OULU       000714 300  084000-084500   00      87.89 1000.4     88.13    -0.60    -9999
OULU       000714 300  084500-085000   00      88.54 1000.4     88.83     0.20    -9999
OULU       000714 300  085000-085500   00      87.76 1000.5     88.09    -0.60    -9999
OULU       000714 300  085500-090000   00      88.04 1000.5     88.36    -0.30    -9999
OULU       000714 300  090000-090500   00      87.87 1000.5     88.19    -0.50    -9999
OULU       000714 300  090500-091000   00      88.31 1000.5     88.64     0.00    -9999
OULU       000714 300  091000-091500   00      88.24 1000.5     88.55    -0.10    -9999
OULU       000714 300  091500-092000   00      87.24 1000.4     87.52    -1.30    -9999
OULU       000714 300  092000-092500   00      88.98 1000.5     89.30     0.70    -9999
OULU       000714 300  092500-093000   00      87.93 1000.5     88.27    -0.40    -9999
OULU       000714 300  093000-093500   00      88.23 1000.5     88.57    -0.10    -9999
OULU       000714 300  093500-094000   00      89.33 1000.6     89.70     1.20    -9999
OULU       000714 300  094000-094500   00      88.67 1000.5     89.03     0.40    -9999
OULU       000714 300  094500-095000   00      88.00 1000.6     88.36    -0.30    -9999
OULU       000714 300  095000-095500   00      89.20 1000.6     89.60     1.10    -9999
OULU       000714 300  095500-100000   00      87.66 1000.7     88.10    -0.60    -9999
OULU       000714 300  100000-100500   00      87.82 1000.6     88.23    -0.50    -0.60
OULU       000714 300  100500-101000   00      87.92 1000.7     88.35    -0.30    -0.40
OULU       000714 300  101000-101500   00      87.97 1000.7     88.42    -0.30    -0.40
