ROME       LATITUDE    41.9      LONGITUDE     12.52     ALTITUDE    60 M
ROME       INSTRUMENT   IGY     NEUTRON MONITOR
ROME       STANDARD PRESSURE    1009    MB     COEFFICIENT   -0.705    % / MB
ROME       PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
ROME       PRE-INCREASE AVERAGE COUNTING RATE    117.24      COUNTS PER SECOND
ROME       TIME INTERVALS    300         3600     
ROME       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
ROME       000713 3600 000000-010000   00     120.54 1012.3    123.12     5.00    -9999
ROME       000713 3600 010000-020000   00     120.32 1012.5    123.08     5.00    -9999
ROME       000713 3600 020000-030000   00     120.50 1012.8    123.50     5.30    -9999
ROME       000713 3600 030000-040000   00     119.14 1013.0    122.29     4.30    -9999
ROME       000713 3600 040000-050000   00     118.32 1013.2    121.66     3.80    -9999
ROME       000713 3600 050000-060000   00     118.25 1013.9    122.12     4.20    -9999
ROME       000713 3600 060000-070000   00     118.92 1014.2    123.11     5.00    -9999
ROME       000713 3600 070000-080000   00     119.92 1014.3    124.24     6.00    -9999
ROME       000713 3600 080000-090000   00     119.66 1014.2    123.87     5.70    -9999
ROME       000713 3600 090000-100000   00     119.31 1014.2    123.48     5.30    -9999
ROME       000713 3600 100000-110000   00     119.05 1014.0    123.10     5.00    -9999
ROME       000713 3600 110000-120000   00     118.14 1014.1    122.18     4.20    -9999
ROME       000713 3600 120000-130000   00     117.62 1014.0    121.56     3.70    -9999
ROME       000713 3600 130000-140000   00     117.31 1013.8    121.13     3.30    -9999
ROME       000713 3600 140000-150000   00     115.50 1013.7    119.13     1.60    -9999
ROME       000713 3600 150000-160000   00     115.59 1013.3    118.91     1.40    -9999
ROME       000713 3600 160000-170000   00     114.51 1013.1    117.61     0.30    -9999
ROME       000713 3600 170000-180000   00     113.06 1013.2    116.23    -0.90    -9999
ROME       000713 3600 180000-190000   00     112.57 1013.4    115.83    -1.20    -9999
ROME       000713 3600 190000-200000   00     112.87 1013.6    116.31    -0.80    -9999
ROME       000713 3600 200000-210000   00     112.91 1013.8    116.52    -0.60    -9999
ROME       000713 3600 210000-220000   00     112.34 1013.7    115.85    -1.20    -9999
ROME       000713 3600 220000-230000   00     113.33 1013.3    116.54    -0.60    -9999
ROME       000713 3600 230000-240000   00     113.12 1012.9    116.00    -1.10    -9999
ROME       000714 3600 000000-010000   00     114.36 1012.3    116.82    -0.40    -9999
ROME       000714 3600 010000-020000   00     114.95 1011.8    117.01    -0.20    -9999
ROME       000714 3600 020000-030000   00     115.50 1011.2    117.06    -0.20    -9999
ROME       000714 3600 030000-040000   00     115.47 1010.8    116.71    -0.50    -9999
ROME       000714 3600 040000-050000   00     116.12 1010.6    117.20     0.00    -9999
ROME       000714 3600 050000-060000   00     115.79 1010.7    116.95    -0.20    -9999
ROME       000714 3600 060000-070000   00     115.74 1010.6    116.80    -0.40    -9999
ROME       000714 3600 070000-080000   00     115.69 1010.3    116.53    -0.60    -9999
ROME       000714 300  080000-080500   00     115.10 1010.1    115.81    -1.20    -9999
ROME       000714 300  080500-081000   00     117.53 1010.1    118.27     0.90    -9999
ROME       000714 300  081000-081500   00     116.03 1010.1    116.74    -0.40    -9999
ROME       000714 300  081500-082000   00     115.07 1010.1    115.73    -1.30    -9999
ROME       000714 300  082000-082500   00     116.80 1010.0    117.42     0.20    -9999
ROME       000714 300  082500-083000   00     116.23 1009.9    116.77    -0.40    -9999
ROME       000714 300  083000-083500   00     115.50 1009.9    116.01    -1.00    -9999
ROME       000714 300  083500-084000   00     116.43 1009.9    116.93    -0.30    -9999
ROME       000714 300  084000-084500   00     117.40 1009.8    117.82     0.50    -9999
ROME       000714 300  084500-085000   00     115.47 1009.8    115.88    -1.20    -9999
ROME       000714 300  085000-085500   00     116.07 1009.8    116.49    -0.60    -9999
ROME       000714 300  085500-090000   00     118.47 1009.7    118.83     1.40    -9999
ROME       000714 300  090000-090500   00     116.17 1009.7    116.50    -0.60    -9999
ROME       000714 300  090500-091000   00     116.60 1009.7    116.93    -0.30    -9999
ROME       000714 300  091000-091500   00     116.97 1009.6    117.29     0.00    -9999
ROME       000714 300  091500-092000   00     115.77 1009.6    116.07    -1.00    -9999
ROME       000714 300  092000-092500   00     117.00 1009.6    117.30     0.10    -9999
ROME       000714 300  092500-093000   00     118.60 1009.6    118.93     1.40    -9999
ROME       000714 300  093000-093500   00     116.87 1009.7    117.20     0.00    -9999
ROME       000714 300  093500-094000   00     118.70 1009.6    119.02     1.50    -9999
ROME       000714 300  094000-094500   00     117.17 1009.6    117.47     0.20    -9999
ROME       000714 300  094500-095000   00     116.87 1009.6    117.16    -0.10    -9999
ROME       000714 300  095000-095500   00     115.90 1009.6    116.18    -0.90    -9999
ROME       000714 300  095500-100000   00     117.50 1009.5    117.75     0.40    -9999
ROME       000714 300  100000-100500   00     117.33 1009.5    117.54     0.30    -9999
ROME       000714 300  100500-101000   00     117.10 1009.4    117.25     0.00    -9999
ROME       000714 300  101000-101500   00     117.17 1009.4    117.25     0.00    -9999
ROME       000714 300  101500-102000   00     117.07 1009.3    117.11    -0.10    -9999
ROME       000714 300  102000-102500   00     117.30 1009.3    117.31     0.10    -9999
ROME       000714 300  102500-103000   00     119.03 1009.3    119.07     1.60    -9999
ROME       000714 300  103000-103500   00     117.83 1009.3    117.87     0.50    -9999
ROME       000714 300  103500-104000   00     117.13 1009.3    117.17    -0.10    -9999
ROME       000714 300  104000-104500   00     117.93 1009.4    118.04     0.70    -9999
ROME       000714 300  104500-105000   00     114.70 1009.5    114.86    -2.00    -9999
ROME       000714 300  105000-105500   00     115.73 1009.4    115.88    -1.20    -9999
ROME       000714 300  105500-110000   00     116.57 1009.5    116.73    -0.40    -9999
ROME       000714 300  110000-110500   00     117.67 1009.5    117.86     0.50    -9999
ROME       000714 300  110500-111000   00     116.00 1009.5    116.17    -0.90    -9999
ROME       000714 300  111000-111500   00     116.20 1009.4    116.32    -0.80    -9999
ROME       000714 300  111500-112000   00     117.27 1009.3    117.33     0.10    -9999
ROME       000714 300  112000-112500   00     116.20 1009.3    116.23    -0.90    -9999
ROME       000714 300  112500-113000   00     117.03 1009.2    117.02    -0.20    -9999
ROME       000714 300  113000-113500   00     117.77 1009.1    117.61     0.30    -9999
ROME       000714 300  113500-114000   00     117.67 1009.0    117.42     0.20    -9999
ROME       000714 300  114000-114500   00     117.40 1008.9    117.15    -0.10    -9999
ROME       000714 300  114500-115000   00     117.03 1008.9    116.76    -0.40    -9999
ROME       000714 300  115000-115500   00     115.37 1008.9    115.06    -1.90    -9999
ROME       000714 300  115500-120000   00     116.50 1008.7    116.06    -1.00    -9999
ROME       000714 300  120000-120500   00     117.23 1008.6    116.67    -0.50    -9999
ROME       000714 300  120500-121000   00     117.67 1008.6    117.12    -0.10    -9999
ROME       000714 300  121000-121500   00     118.80 1008.7    118.31     0.90    -9999
ROME       000714 300  121500-122000   00     116.73 1008.6    116.24    -0.90    -9999
ROME       000714 300  122000-122500   00     117.07 1008.5    116.49    -0.60    -9999
ROME       000714 300  122500-123000   00     117.93 1008.5    117.31     0.10    -9999
ROME       000714 300  123000-123500   00     118.00 1008.5    117.38     0.10    -9999
ROME       000714 300  123500-124000   00     117.00 1008.5    116.39    -0.70    -9999
ROME       000714 300  124000-124500   00     120.67 1008.5    120.04     2.40    -9999
ROME       000714 300  124500-125000   00     116.43 1008.5    115.81    -1.20    -9999
ROME       000714 300  125000-125500   00     117.30 1008.4    116.60    -0.50    -9999
ROME       000714 300  125500-130000   00     116.87 1008.3    116.11    -1.00    -9999
ROME       000714 300  130000-130500   00     119.37 1008.3    118.54     1.10    -9999
ROME       000714 300  130500-131000   00     117.23 1008.2    116.39    -0.70    -9999
ROME       000714 300  131000-131500   00     117.77 1008.2    116.89    -0.30    -9999
ROME       000714 300  131500-132000   00     117.83 1008.0    116.85    -0.30    -9999
ROME       000714 300  132000-132500   00     117.30 1007.9    116.22    -0.90    -9999
ROME       000714 300  132500-133000   00     118.50 1007.9    117.39     0.10    -9999
ROME       000714 300  133000-133500   00     118.33 1007.9    117.22     0.00    -9999
ROME       000714 300  133500-134000   00     117.43 1007.9    116.34    -0.80    -9999
ROME       000714 300  134000-134500   00     116.00 1007.9    114.92    -2.00    -9999
ROME       000714 300  134500-135000   00     118.43 1007.8    117.27     0.00    -9999
ROME       000714 300  135000-135500   00     117.50 1007.8    116.29    -0.80    -9999
ROME       000714 300  135500-140000   00     118.80 1007.7    117.51     0.20    -9999
ROME       000714 300  140000-140500   00     116.73 1007.6    115.43    -1.50    -9999
ROME       000714 300  140500-141000   00     117.53 1007.6    116.19    -0.90    -9999
ROME       000714 300  141000-141500   00     117.73 1007.5    116.34    -0.80    -9999
ROME       000714 300  141500-142000   00     118.63 1007.5    117.19     0.00    -9999
ROME       000714 300  142000-142500   00     119.87 1007.4    118.35     0.90    -9999
ROME       000714 300  142500-143000   00     118.53 1007.4    116.99    -0.20    -9999
ROME       000714 300  143000-143500   00     119.73 1007.4    118.17     0.80    -9999
ROME       000714 300  143500-144000   00     118.07 1007.3    116.48    -0.60    -9999
ROME       000714 300  144000-144500   00     118.70 1007.2    117.04    -0.20    -9999
ROME       000714 300  144500-145000   00     118.27 1007.1    116.51    -0.60    -9999
ROME       000714 300  145000-145500   00     117.80 1007.0    116.00    -1.10    -9999
ROME       000714 300  145500-150000   00     117.23 1007.0    115.43    -1.50    -9999
ROME       000714 300  150000-150500   00     119.27 1006.9    117.35     0.10    -9999
ROME       000714 300  150500-151000   00     119.30 1006.8    117.28     0.00    -9999
ROME       000714 300  151000-151500   00     118.73 1006.7    116.65    -0.50    -9999
ROME       000714 300  151500-152000   00     118.40 1006.6    116.24    -0.90    -9999
ROME       000714 300  152000-152500   00     119.03 1006.5    116.73    -0.40    -9999
ROME       000714 300  152500-153000   00     119.80 1006.3    117.38     0.10    -9999
ROME       000714 300  153000-153500   00     117.07 1006.3    114.65    -2.20    -9999
ROME       000714 300  153500-154000   00     118.53 1006.2    116.03    -1.00    -9999
ROME       000714 300  154000-154500   00     119.07 1006.1    116.51    -0.60    -9999
ROME       000714 300  154500-155000   00     118.23 1006.2    115.71    -1.30    -9999
ROME       000714 300  155000-155500   00     118.93 1006.1    116.36    -0.80    -9999
