SANAE      LATITUDE    -70.3     LONGITUDE     357.65    ALTITUDE    52 M
SANAE      INSTRUMENT   03-NM-64  NEUTRON MONITOR	
SANAE      STANDARD PRESSURE    877.8   MB     COEFFICIENT   -0.72     % / MB
SANAE      PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
SANAE      PRE-INCREASE AVERAGE COUNTING RATE    137.31      COUNTS PER SECOND
SANAE      TIME INTERVALS    3600     
SANAE      SCALE FACTORS     1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
SANAE      000713 3600 000000-010000   00    -999.00  882.5    143.53     4.50    -9999
SANAE      000713 3600 010000-020000   00    -999.00  883.1    143.78     4.70    -9999
SANAE      000713 3600 020000-030000   00    -999.00  883.6    144.44     5.20    -9999
SANAE      000713 3600 030000-040000   00    -999.00  884.0    144.56     5.30    -9999
SANAE      000713 3600 040000-050000   00    -999.00  884.5    144.89     5.50    -9999
SANAE      000713 3600 050000-060000   00    -999.00  885.2    144.22     5.00    -9999
SANAE      000713 3600 060000-070000   00    -999.00  885.7    144.89     5.50    -9999
SANAE      000713 3600 070000-080000   00    -999.00  886.0    145.47     5.90    -9999
SANAE      000713 3600 080000-090000   00    -999.00  886.1    146.94     7.00    -9999
SANAE      000713 3600 090000-100000   00    -999.00  886.5    146.83     6.90    -9999
SANAE      000713 3600 100000-110000   00    -999.00  886.8    146.14     6.40    -9999
SANAE      000713 3600 110000-120000   00    -999.00  886.5    144.67     5.40    -9999
SANAE      000713 3600 120000-130000   00    -999.00  886.5    142.86     4.00    -9999
SANAE      000713 3600 130000-140000   00    -999.00  886.7    142.53     3.80    -9999
SANAE      000713 3600 140000-150000   00    -999.00  886.4    138.67     1.00    -9999
SANAE      000713 3600 150000-160000   00    -999.00  886.4    136.97    -0.20    -9999
SANAE      000713 3600 160000-170000   00    -999.00  886.3    135.50    -1.30    -9999
SANAE      000713 3600 170000-180000   00    -999.00  886.3    135.25    -1.50    -9999
SANAE      000713 3600 180000-190000   00    -999.00  886.3    135.72    -1.20    -9999
SANAE      000713 3600 190000-200000   00    -999.00  886.3    135.61    -1.20    -9999
SANAE      000713 3600 200000-210000   00    -999.00  886.1    134.92    -1.70    -9999
SANAE      000713 3600 210000-220000   00    -999.00  886.0    134.25    -2.20    -9999
SANAE      000713 3600 220000-230000   00    -999.00  886.1    134.58    -2.00    -9999
SANAE      000713 3600 230000-240000   00    -999.00  886.1    134.14    -2.30    -9999
SANAE      000714 3600 000000-010000   00    -999.00  886.4    134.36    -2.10    -9999
SANAE      000714 3600 010000-020000   00    -999.00  886.8    134.92    -1.70    -9999
SANAE      000714 3600 020000-030000   00    -999.00  887.3    134.81    -1.80    -9999
SANAE      000714 3600 030000-040000   00    -999.00  887.7    134.92    -1.70    -9999
SANAE      000714 3600 040000-050000   00    -999.00  887.9    135.94    -1.00    -9999
SANAE      000714 3600 050000-060000   00    -999.00  888.4    136.61    -0.50    -9999
SANAE      000714 3600 060000-070000   00    -999.00  888.8    137.08    -0.20    -9999
SANAE      000714 3600 070000-080000   00    -999.00  889.3    136.86    -0.30    -9999
SANAE      000714 3600 080000-090000   00    -999.00  889.6    136.97    -0.20    -9999
SANAE      000714 3600 090000-100000   00    -999.00  889.9    137.31     0.00    -9999
SANAE      000714 3600 100000-110000   00    -999.00  889.9    161.78    17.80    17.94
SANAE      000714 3600 110000-120000   00    -999.00  890.0    191.17    39.20    39.39
SANAE      000714 3600 120000-130000   00    -999.00  890.1    166.78    21.50    21.73
SANAE      000714 3600 130000-140000   00    -999.00  890.3    156.81    14.20    14.47
SANAE      000714 3600 140000-150000   00    -999.00  890.7    151.36    10.20    10.51
SANAE      000714 3600 150000-160000   00    -999.00  891.1    148.19     7.90     8.25
SANAE      000714 3600 160000-170000   00    -999.00  891.3    145.11     5.70     6.10
SANAE      000714 3600 170000-180000   00    -999.00  891.3    143.42     4.40     4.84
SANAE      000714 3600 180000-190000   00    -999.00  891.5    141.06     2.70     3.18
SANAE      000714 3600 190000-200000   00    -999.00  891.3    139.56     1.60     2.12
SANAE      000714 3600 200000-210000   00    -999.00  891.3    138.56     0.90     1.46
SANAE      000714 3600 210000-220000   00    -999.00  891.2    137.19    -0.10     0.50
SANAE      000714 3600 220000-230000   00    -999.00  891.1    136.50    -0.60     0.05
SANAE      000714 3600 230000-240000   00    -999.00  891.2    136.97    -0.20     0.49
SANAE      000715 3600 000000-010000   00    -999.00  890.8    135.83    -1.10    -9999
SANAE      000715 3600 010000-020000   00    -999.00  890.7    136.06    -0.90    -9999
SANAE      000715 3600 020000-030000   00    -999.00  890.9    135.50    -1.30    -9999
SANAE      000715 3600 030000-040000   00    -999.00  891.6    136.17    -0.80    -9999
SANAE      000715 3600 040000-050000   00    -999.00  892.0    137.53     0.20    -9999
SANAE      000715 3600 050000-060000   00    -999.00  892.7    137.31     0.00    -9999
SANAE      000715 3600 060000-070000   00    -999.00  892.8    136.17    -0.80    -9999
SANAE      000715 3600 070000-080000   00    -999.00  893.2    136.86    -0.30    -9999
SANAE      000715 3600 080000-090000   00    -999.00  893.7    137.08    -0.20    -9999
SANAE      000715 3600 090000-100000   00    -999.00  894.0    138.08     0.60    -9999
SANAE      000715 3600 100000-110000   00    -999.00  894.1    137.08    -0.20    -9999
SANAE      000715 3600 110000-120000   00    -999.00  894.4    136.72    -0.40    -9999
SANAE      000715 3600 120000-130000   00    -999.00  895.2    135.83    -1.10    -9999
SANAE      000715 3600 130000-140000   00    -999.00  895.6    135.25    -1.50    -9999
SANAE      000715 3600 140000-150000   00    -999.00  896.3    135.61    -1.20    -9999
SANAE      000715 3600 150000-160000   00    -999.00  897.1    134.92    -1.70    -9999
SANAE      000715 3600 160000-170000   00    -999.00  897.5    134.14    -2.30    -9999
SANAE      000715 3600 170000-180000   00    -999.00  898.1    132.31    -3.60    -9999
SANAE      000715 3600 180000-190000   00    -999.00  898.9    131.97    -3.90    -9999
SANAE      000715 3600 190000-200000   00    -999.00  899.3    130.72    -4.80    -9999
SANAE      000715 3600 200000-210000   00    -999.00  899.7    127.89    -6.90    -9999
SANAE      000715 3600 210000-220000   00    -999.00  900.1    125.39    -8.70    -9999
SANAE      000715 3600 220000-230000   00    -999.00  900.4    123.58   -10.00    -9999
SANAE      000715 3600 230000-240000   00    -999.00  900.5    122.89   -10.50    -9999
*
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2022-05-13 14:50:50 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE59/C059SNAE_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
