SOUTH POLE LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOUTH POLE INSTRUMENT   IGY     NEUTRON MONITOR	
SOUTH POLE STANDARD PRESSURE    510     MMHG   COEFFICIENT   -1        % / MMHG
SOUTH POLE PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
SOUTH POLE PRE-INCREASE AVERAGE COUNTING RATE    236.96      COUNTS PER SECOND
SOUTH POLE TIME INTERVALS    300         3600     
SOUTH POLE SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
SOUTH POLE 000713 3600 000000-010000   00     272.19  502.1    251.53     6.10    -9999
SOUTH POLE 000713 3600 010000-020000   00     271.89  502.0    250.97     5.80    -9999
SOUTH POLE 000713 3600 020000-030000   00     270.92  502.1    250.33     5.60    -9999
SOUTH POLE 000713 3600 030000-040000   00     271.81  502.2    251.42     6.00    -9999
SOUTH POLE 000713 3600 040000-050000   00     272.94  502.3    252.72     6.60    -9999
SOUTH POLE 000713 3600 050000-060000   00     272.67  502.3    252.47     6.50    -9999
SOUTH POLE 000713 3600 060000-070000   00     272.64  502.4    252.69     6.60    -9999
SOUTH POLE 000713 3600 070000-080000   00     272.75  502.7    253.56     6.90    -9999
SOUTH POLE 000713 3600 080000-090000   00     271.94  502.9    253.31     6.80    -9999
SOUTH POLE 000713 3600 090000-100000   00     272.67  503.1    254.50     7.30    -9999
SOUTH POLE 000713 3600 100000-110000   00     269.64  503.3    252.17     6.30    -9999
SOUTH POLE 000713 3600 110000-120000   00     265.50  503.5    248.81     4.90    -9999
SOUTH POLE 000713 3600 120000-130000   00     262.03  503.8    246.28     3.90    -9999
SOUTH POLE 000713 3600 130000-140000   00     258.75  504.3    244.42     3.10    -9999
SOUTH POLE 000713 3600 140000-150000   00     253.42  504.4    239.61     1.10    -9999
SOUTH POLE 000713 3600 150000-160000   00     246.50  505.0    234.47    -1.10    -9999
SOUTH POLE 000713 3600 160000-170000   00     244.56  505.3    233.33    -1.60    -9999
SOUTH POLE 000713 3600 170000-180000   00     243.25  505.6    232.78    -1.80    -9999
SOUTH POLE 000713 3600 180000-190000   00     242.11  506.1    232.83    -1.80    -9999
SOUTH POLE 000713 3600 190000-200000   00     240.78  506.6    232.75    -1.80    -9999
SOUTH POLE 000713 3600 200000-210000   00     238.97  507.3    232.61    -1.90    -9999
SOUTH POLE 000713 3600 210000-220000   00     238.14  507.8    232.94    -1.80    -9999
SOUTH POLE 000713 3600 220000-230000   00     237.78  507.8    232.58    -1.90    -9999
SOUTH POLE 000713 3600 230000-240000   00     237.25  508.1    232.81    -1.80    -9999
SOUTH POLE 000714 3600 000000-010000   00     236.06  508.6    232.78    -1.80    -9999
SOUTH POLE 000714 3600 010000-020000   00     234.33  509.4    232.92    -1.80    -9999
SOUTH POLE 000714 3600 020000-030000   00     233.06  509.9    232.83    -1.80    -9999
SOUTH POLE 000714 3600 030000-040000   00     231.61  510.5    232.78    -1.80    -9999
SOUTH POLE 000714 3600 040000-050000   00     231.28  510.8    233.14    -1.70    -9999
SOUTH POLE 000714 3600 050000-060000   00     232.44  511.2    235.25    -0.80    -9999
SOUTH POLE 000714 3600 060000-070000   00     232.42  511.4    235.69    -0.60    -9999
SOUTH POLE 000714 3600 070000-080000   00     231.94  511.7    235.92    -0.50    -9999
SOUTH POLE 000714 300  080000-080500   00     229.06  512.0    233.69    -1.40    -9999
SOUTH POLE 000714 300  080500-081000   00     233.09  512.0    237.80     0.30    -9999
SOUTH POLE 000714 300  081000-081500   00     232.42  512.1    237.26     0.10    -9999
SOUTH POLE 000714 300  081500-082000   00     230.07  512.1    234.95    -0.90    -9999
SOUTH POLE 000714 300  082000-082500   00     229.40  512.1    234.27    -1.20    -9999
SOUTH POLE 000714 300  082500-083000   00     232.76  512.2    237.89     0.30    -9999
SOUTH POLE 000714 300  083000-083500   00     231.08  512.2    236.22    -0.40    -9999
SOUTH POLE 000714 300  083500-084000   00     231.41  512.2    236.65    -0.20    -9999
SOUTH POLE 000714 300  084000-084500   00     231.75  512.3    237.05     0.00    -9999
SOUTH POLE 000714 300  084500-085000   00     230.41  512.3    235.76    -0.60    -9999
SOUTH POLE 000714 300  085000-085500   00     231.41  512.3    236.71    -0.20    -9999
SOUTH POLE 000714 300  085500-090000   00     229.73  512.3    235.09    -0.90    -9999
SOUTH POLE 000714 300  090000-090500   00     230.74  512.4    236.25    -0.40    -9999
SOUTH POLE 000714 300  090500-091000   00     231.08  512.4    236.69    -0.20    -9999
SOUTH POLE 000714 300  091000-091500   00     231.08  512.4    236.69    -0.20    -9999
SOUTH POLE 000714 300  091500-092000   00     231.41  512.4    237.14     0.00    -9999
SOUTH POLE 000714 300  092000-092500   00     229.73  512.5    235.60    -0.60    -9999
SOUTH POLE 000714 300  092500-093000   00     231.41  512.6    237.51     0.20    -9999
SOUTH POLE 000714 300  093000-093500   00     231.08  512.6    237.17     0.00    -9999
SOUTH POLE 000714 300  093500-094000   00     230.41  512.6    236.48    -0.30    -9999
SOUTH POLE 000714 300  094000-094500   00     231.08  512.6    237.17     0.00    -9999
SOUTH POLE 000714 300  094500-095000   00     232.42  512.6    238.55     0.60    -9999
SOUTH POLE 000714 300  095000-095500   00     231.08  512.6    237.22     0.00    -9999
SOUTH POLE 000714 300  095500-100000   00     230.74  512.7    237.06     0.00    -9999
SOUTH POLE 000714 300  100000-100500   00     229.73  512.7    236.11    -0.40    -0.22
SOUTH POLE 000714 300  100500-101000   00     230.07  512.8    236.56    -0.20    -0.02
SOUTH POLE 000714 300  101000-101500   00     231.75  512.8    238.33     0.50     0.67
SOUTH POLE 000714 300  101500-102000   00     230.07  512.8    236.61    -0.20    -0.03
SOUTH POLE 000714 300  102000-102500   00     228.73  512.9    235.46    -0.70    -0.53
SOUTH POLE 000714 300  102500-103000   00     228.73  512.9    235.46    -0.70    -0.54
SOUTH POLE 000714 300  103000-103500   00     231.08  512.9    237.88     0.30     0.46
SOUTH POLE 000714 300  103500-104000   00     251.56  512.9    258.97     9.20     9.36
SOUTH POLE 000714 300  104000-104500   00     282.13  512.9    290.50    22.50    22.65
SOUTH POLE 000714 300  104500-105000   00     315.38  513.0    324.98    37.10    37.25
SOUTH POLE 000714 300  105000-105500   00     331.84  513.0    341.94    44.20    44.35
SOUTH POLE 000714 300  105500-110000   00     345.61  513.0    356.29    50.30    50.44
SOUTH POLE 000714 300  110000-110500   00     351.32  513.1    362.38    52.80    52.94
SOUTH POLE 000714 300  110500-111000   00     358.37  513.1    369.67    55.90    56.04
SOUTH POLE 000714 300  111000-111500   00     358.37  513.2    370.02    56.10    56.24
SOUTH POLE 000714 300  111500-112000   00     359.38  513.2    371.07    56.50    56.63
SOUTH POLE 000714 300  112000-112500   00     358.71  513.2    370.37    56.20    56.33
SOUTH POLE 000714 300  112500-113000   00     362.40  513.2    374.04    57.80    57.93
SOUTH POLE 000714 300  113000-113500   00     360.39  513.2    371.96    56.90    57.02
SOUTH POLE 000714 300  113500-114000   00     359.04  513.2    370.86    56.40    56.52
SOUTH POLE 000714 300  114000-114500   00     352.66  513.2    364.13    53.60    53.72
SOUTH POLE 000714 300  114500-115000   00     353.00  513.2    364.62    53.80    53.91
SOUTH POLE 000714 300  115000-115500   00     359.71  513.2    371.41    56.60    56.71
SOUTH POLE 000714 300  115500-120000   00     358.37  513.3    370.33    56.20    56.31
SOUTH POLE 000714 300  120000-120500   00     355.35  513.3    367.27    54.90    55.00
SOUTH POLE 000714 300  120500-121000   00     347.96  513.4    359.93    51.80    51.90
SOUTH POLE 000714 300  121000-121500   00     339.56  513.4    351.30    48.10    48.20
SOUTH POLE 000714 300  121500-122000   00     335.20  513.4    346.94    46.30    46.40
SOUTH POLE 000714 300  122000-122500   00     330.83  513.5    342.70    44.50    44.59
SOUTH POLE 000714 300  122500-123000   00     328.48  513.6    340.52    43.60    43.69
SOUTH POLE 000714 300  123000-123500   00     325.12  513.6    337.11    42.20    42.29
SOUTH POLE 000714 300  123500-124000   00     318.73  513.7    330.62    39.40    39.48
SOUTH POLE 000714 300  124000-124500   00     315.04  513.7    326.92    37.90    37.98
SOUTH POLE 000714 300  124500-125000   00     311.35  513.7    323.08    36.30    36.38
SOUTH POLE 000714 300  125000-125500   00     308.33  513.7    319.95    34.90    34.97
SOUTH POLE 000714 300  125500-130000   00     303.62  513.7    315.07    32.90    32.97
SOUTH POLE 000714 300  130000-130500   00     302.62  513.7    314.10    32.50    32.57
SOUTH POLE 000714 300  130500-131000   00     298.92  513.8    310.37    30.90    30.97
SOUTH POLE 000714 300  131000-131500   00     298.58  513.8    310.15    30.80    30.86
SOUTH POLE 000714 300  131500-132000   00     295.56  513.8    307.14    29.50    29.56
SOUTH POLE 000714 300  132000-132500   00     290.86  513.9    302.43    27.60    27.66
SOUTH POLE 000714 300  132500-133000   00     293.54  513.9    305.22    28.70    28.75
SOUTH POLE 000714 300  133000-133500   00     290.53  513.9    301.96    27.40    27.45
SOUTH POLE 000714 300  133500-134000   00     289.52  513.8    300.78    26.90    26.95
SOUTH POLE 000714 300  134000-134500   00     286.16  513.8    297.24    25.40    25.44
SOUTH POLE 000714 300  134500-135000   00     284.15  513.8    295.28    24.50    24.54
SOUTH POLE 000714 300  135000-135500   00     284.48  513.9    295.86    24.80    24.84
