TERREADELI LATITUDE    -66.67    LONGITUDE     140.02    ALTITUDE    45 M
TERREADELI INSTRUMENT   9-NM-64  NEUTRON MONITOR	
TERREADELI STANDARD PRESSURE    740     MMHG   COEFFICIENT   -0.99     % / MMHG
TERREADELI PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
TERREADELI PRE-INCREASE AVERAGE COUNTING RATE     96.65      COUNTS PER SECOND
TERREADELI TIME INTERVALS    300      
TERREADELI SCALE FACTORS     1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
TERREADELI 000713 300  000000-000500   00     109.53  733.2    102.27     5.80    -9999
TERREADELI 000713 300  000500-001000   00     107.53  732.9    100.20     3.70    -9999
TERREADELI 000713 300  001000-001500   00     109.47  733.1    102.13     5.70    -9999
TERREADELI 000713 300  001500-002000   00     109.00  733.0    101.60     5.10    -9999
TERREADELI 000713 300  002000-002500   00     108.33  733.0    100.93     4.40    -9999
TERREADELI 000713 300  002500-003000   00     109.80  733.1    102.47     6.00    -9999
TERREADELI 000713 300  003000-003500   00     108.33  733.2    101.20     4.70    -9999
TERREADELI 000713 300  003500-004000   00     110.33  733.3    103.20     6.80    -9999
TERREADELI 000713 300  004000-004500   00     108.20  733.4    101.33     4.80    -9999
TERREADELI 000713 300  004500-005000   00     109.80  733.4    102.80     6.40    -9999
TERREADELI 000713 300  005000-005500   00     109.13  733.3    102.07     5.60    -9999
TERREADELI 000713 300  005500-010000   00     108.60  733.2    101.47     5.00    -9999
TERREADELI 000713 300  010000-010500   00     109.80  733.2    102.60     6.20    -9999
TERREADELI 000713 300  010500-011000   00     110.20  733.2    102.87     6.40    -9999
TERREADELI 000713 300  011000-011500   00     109.93  733.1    102.60     6.20    -9999
TERREADELI 000713 300  011500-012000   00     109.47  733.0    102.00     5.50    -9999
TERREADELI 000713 300  012000-012500   00     109.07  733.1    101.80     5.30    -9999
TERREADELI 000713 300  012500-013000   00     110.33  733.2    103.00     6.60    -9999
TERREADELI 000713 300  013000-013500   00     108.87  733.4    101.93     5.50    -9999
TERREADELI 000713 300  013500-014000   00     109.13  733.2    101.93     5.50    -9999
TERREADELI 000713 300  014000-014500   00     108.67  733.4    101.67     5.20    -9999
TERREADELI 000713 300  014500-015000   00     109.07  733.3    102.00     5.50    -9999
TERREADELI 000713 300  015000-015500   00     108.67  733.2    101.53     5.00    -9999
TERREADELI 000713 300  015500-020000   00     109.80  733.1    102.53     6.10    -9999
TERREADELI 000713 300  020000-020500   00     109.47  733.0    102.07     5.60    -9999
TERREADELI 000713 300  020500-021000   00     108.80  733.1    101.47     5.00    -9999
TERREADELI 000713 300  021000-021500   00     108.87  733.1    101.60     5.10    -9999
TERREADELI 000713 300  021500-022000   00     109.93  733.0    102.53     6.10    -9999
TERREADELI 000713 300  022000-022500   00     110.60  733.1    103.20     6.80    -9999
TERREADELI 000713 300  022500-023000   00     108.60  733.4    101.60     5.10    -9999
TERREADELI 000713 300  023000-023500   00     109.13  733.3    102.00     5.50    -9999
TERREADELI 000713 300  023500-024000   00     110.47  733.3    103.27     6.80    -9999
TERREADELI 000713 300  024000-024500   00     109.60  733.4    102.60     6.20    -9999
TERREADELI 000713 300  024500-025000   00     108.07  733.4    101.20     4.70    -9999
TERREADELI 000713 300  025000-025500   00     108.00  733.3    101.00     4.50    -9999
TERREADELI 000713 300  025500-030000   00     110.13  733.2    102.93     6.50    -9999
TERREADELI 000713 300  030000-030500   00     108.93  732.9    101.53     5.00    -9999
TERREADELI 000713 300  030500-031000   00     108.53  732.9    101.07     4.60    -9999
TERREADELI 000713 300  031000-031500   00     110.00  733.0    102.53     6.10    -9999
TERREADELI 000713 300  031500-032000   00     109.53  732.9    102.00     5.50    -9999
TERREADELI 000713 300  032000-032500   00     109.87  732.9    102.27     5.80    -9999
TERREADELI 000713 300  032500-033000   00     108.53  733.1    101.27     4.80    -9999
TERREADELI 000713 300  033000-033500   00     108.87  733.2    101.67     5.20    -9999
TERREADELI 000713 300  033500-034000   00     110.20  733.2    102.87     6.40    -9999
TERREADELI 000713 300  034000-034500   00     108.40  733.0    101.00     4.50    -9999
TERREADELI 000713 300  034500-035000   00     109.80  732.9    102.27     5.80    -9999
TERREADELI 000713 300  035000-035500   00     110.33  733.2    103.07     6.60    -9999
TERREADELI 000713 300  035500-040000   00     111.13  733.3    103.87     7.50    -9999
TERREADELI 000713 300  040000-040500   00     109.13  733.3    102.00     5.50    -9999
TERREADELI 000713 300  040500-041000   00     107.13  733.1     99.93     3.40    -9999
TERREADELI 000713 300  041000-041500   00     110.20  733.1    102.80     6.40    -9999
TERREADELI 000713 300  041500-042000   00     110.07  732.8    102.40     5.90    -9999
TERREADELI 000713 300  042000-042500   00     108.80  732.9    101.27     4.80    -9999
TERREADELI 000713 300  042500-043000   00     109.27  732.7    101.60     5.10    -9999
TERREADELI 000713 300  043000-043500   00     109.60  733.1    102.27     5.80    -9999
TERREADELI 000713 300  043500-044000   00     110.60  733.1    103.20     6.80    -9999
TERREADELI 000713 300  044000-044500   00     109.80  733.1    102.47     6.00    -9999
TERREADELI 000713 300  044500-045000   00     108.80  733.2    101.60     5.10    -9999
TERREADELI 000713 300  045000-045500   00     107.27  733.2    100.20     3.70    -9999
TERREADELI 000713 300  045500-050000   00     110.40  732.9    102.80     6.40    -9999
TERREADELI 000713 300  050000-050500   00     109.40  733.0    102.00     5.50    -9999
TERREADELI 000713 300  050500-051000   00     110.73  733.1    103.27     6.80    -9999
TERREADELI 000713 300  051000-051500   00     107.87  733.1    100.67     4.20    -9999
TERREADELI 000713 300  051500-052000   00     107.80  733.0    100.47     4.00    -9999
TERREADELI 000713 300  052000-052500   00     109.53  733.2    102.33     5.90    -9999
TERREADELI 000713 300  052500-053000   00     108.47  733.3    101.40     4.90    -9999
TERREADELI 000713 300  053000-053500   00     109.33  733.2    102.13     5.70    -9999
TERREADELI 000713 300  053500-054000   00     107.87  733.4    100.93     4.40    -9999
TERREADELI 000713 300  054000-054500   00     108.53  733.3    101.40     4.90    -9999
TERREADELI 000713 300  054500-055000   00     108.53  733.3    101.53     5.00    -9999
TERREADELI 000713 300  055000-055500   00     108.40  732.9    101.00     4.50    -9999
TERREADELI 000713 300  055500-060000   00     110.60  732.8    102.93     6.50    -9999
TERREADELI 000713 300  060000-060500   00     108.20  732.9    100.80     4.30    -9999
TERREADELI 000713 300  060500-061000   00     109.07  732.8    101.47     5.00    -9999
TERREADELI 000713 300  061000-061500   00     110.33  733.0    102.80     6.40    -9999
TERREADELI 000713 300  061500-062000   00     108.87  733.1    101.53     5.00    -9999
TERREADELI 000713 300  062000-062500   00     109.27  733.1    101.93     5.50    -9999
TERREADELI 000713 300  062500-063000   00     109.87  733.2    102.67     6.20    -9999
TERREADELI 000713 300  063000-063500   00     109.33  733.3    102.20     5.70    -9999
TERREADELI 000713 300  063500-064000   00     107.33  733.2    100.27     3.70    -9999
TERREADELI 000713 300  064000-064500   00     109.53  733.2    102.27     5.80    -9999
TERREADELI 000713 300  064500-065000   00     109.20  733.3    102.07     5.60    -9999
TERREADELI 000713 300  065000-065500   00     108.60  733.3    101.53     5.00    -9999
TERREADELI 000713 300  065500-070000   00     109.27  733.2    102.00     5.50    -9999
TERREADELI 000713 300  070000-070500   00     109.93  733.3    102.73     6.30    -9999
TERREADELI 000713 300  070500-071000   00     108.67  733.5    101.80     5.30    -9999
TERREADELI 000713 300  071000-071500   00     109.20  733.5    102.33     5.90    -9999
TERREADELI 000713 300  071500-072000   00     109.60  733.5    102.67     6.20    -9999
TERREADELI 000713 300  072000-072500   00     107.60  733.6    100.93     4.40    -9999
TERREADELI 000713 300  072500-073000   00     109.07  733.5    102.13     5.70    -9999
TERREADELI 000713 300  073000-073500   00     109.53  733.3    102.47     6.00    -9999
TERREADELI 000713 300  073500-074000   00     108.80  733.3    101.73     5.30    -9999
TERREADELI 000713 300  074000-074500   00     110.47  733.4    103.40     7.00    -9999
TERREADELI 000713 300  074500-075000   00     110.13  733.3    102.93     6.50    -9999
TERREADELI 000713 300  075000-075500   00     108.20  733.4    101.20     4.70    -9999
TERREADELI 000713 300  075500-080000   00     107.47  733.5    100.67     4.20    -9999
TERREADELI 000713 300  080000-080500   00     109.13  733.3    102.00     5.50    -9999
