THULE      LATITUDE    76.58     LONGITUDE     291.58    ALTITUDE    260 M
THULE      INSTRUMENT   IGY     NEUTRON MONITOR                           
THULE      STANDARD PRESSURE    754     MMHG   COEFFICIENT   -0.99     % / MMHG
THULE      PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
THULE      PRE-INCREASE AVERAGE COUNTING RATE    104.19      COUNTS PER SECOND
THULE      TIME INTERVALS    300         3600     
THULE      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
THULE      000713 3600 000000-010000   00     113.64  751.4    110.72     6.30    -9999
THULE      000713 3600 010000-020000   00     114.06  751.2    110.97     6.50    -9999
THULE      000713 3600 020000-030000   00     114.00  751.0    110.72     6.30    -9999
THULE      000713 3600 030000-040000   00     114.50  751.0    111.11     6.60    -9999
THULE      000713 3600 040000-050000   00     114.83  751.0    111.42     6.90    -9999
THULE      000713 3600 050000-060000   00     114.22  750.9    110.72     6.30    -9999
THULE      000713 3600 060000-070000   00     114.19  750.9    110.69     6.20    -9999
THULE      000713 3600 070000-080000   00     114.44  750.7    110.81     6.30    -9999
THULE      000713 3600 080000-090000   00     112.72  750.5    108.94     4.60    -9999
THULE      000713 3600 090000-100000   00     112.83  750.4    108.83     4.50    -9999
THULE      000713 3600 100000-110000   00     111.31  750.4    107.33     3.00    -9999
THULE      000713 3600 110000-120000   00     110.08  750.2    105.97     1.70    -9999
THULE      000713 3600 120000-130000   00     110.25  750.0    106.03     1.80    -9999
THULE      000713 3600 130000-140000   00     108.72  750.0    104.56     0.30    -9999
THULE      000713 3600 140000-150000   00     108.08  749.9    103.72    -0.50    -9999
THULE      000713 3600 150000-160000   00     110.53  749.7    105.89     1.60    -9999
THULE      000713 3600 160000-170000   00     107.78  749.7    103.36    -0.80    -9999
THULE      000713 3600 170000-180000   00     107.69  749.7    103.14    -1.00    -9999
THULE      000713 3600 180000-190000   00     107.25  749.5    102.64    -1.50    -9999
THULE      000713 3600 190000-200000   00     107.47  749.5    102.83    -1.30    -9999
THULE      000713 3600 200000-210000   00     107.36  749.7    102.83    -1.30    -9999
THULE      000713 3600 210000-220000   00     106.97  749.7    102.44    -1.70    -9999
THULE      000713 3600 220000-230000   00     106.50  749.5    101.92    -2.20    -9999
THULE      000713 3600 230000-240000   00     106.17  749.7    101.69    -2.40    -9999
THULE      000714 3600 000000-010000   00     106.50  749.9    102.22    -1.90    -9999
THULE      000714 3600 010000-020000   00     106.50  750.0    102.31    -1.80    -9999
THULE      000714 3600 020000-030000   00     107.11  749.9    102.81    -1.30    -9999
THULE      000714 3600 030000-040000   00     107.28  749.7    102.86    -1.30    -9999
THULE      000714 3600 040000-050000   00     107.58  749.9    103.25    -0.90    -9999
THULE      000714 3600 050000-060000   00     108.00  749.9    103.67    -0.50    -9999
THULE      000714 3600 060000-070000   00     108.53  749.9    104.17     0.00    -9999
THULE      000714 3600 070000-080000   00     108.25  749.7    103.81    -0.40    -9999
THULE      000714 300  080000-080500   00     110.26  749.8    105.71     1.40    -9999
THULE      000714 300  080500-081000   00     107.25  749.8    102.83    -1.30    -9999
THULE      000714 300  081000-081500   00     109.82  749.8    105.30     1.00    -9999
THULE      000714 300  081500-082000   00     108.54  749.8    104.07    -0.10    -9999
THULE      000714 300  082000-082500   00     108.11  749.8    103.66    -0.50    -9999
THULE      000714 300  082500-083000   00     108.11  749.8    103.66    -0.50    -9999
THULE      000714 300  083000-083500   00     108.54  749.8    104.07    -0.10    -9999
THULE      000714 300  083500-084000   00     108.97  749.8    104.48     0.30    -9999
THULE      000714 300  084000-084500   00     108.97  749.8    104.48     0.30    -9999
THULE      000714 300  084500-085000   00     108.97  749.8    104.48     0.30    -9999
THULE      000714 300  085000-085500   00     108.97  749.8    104.48     0.30    -9999
THULE      000714 300  085500-090000   00     108.97  749.9    104.57     0.30    -9999
THULE      000714 300  090000-090500   00     108.11  749.9    103.76    -0.40    -9999
THULE      000714 300  090500-091000   00     108.11  749.9    103.76    -0.40    -9999
THULE      000714 300  091000-091500   00     108.54  749.9    104.17     0.00    -9999
