TSUMEB     LATITUDE    -19.12    LONGITUDE     17.35     ALTITUDE    1240 M
TSUMEB     INSTRUMENT   18-NM-64  NEUTRON MONITOR
TSUMEB     STANDARD PRESSURE    877.8   MB     COEFFICIENT   -0.7      % / MB
TSUMEB     PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
TSUMEB     PRE-INCREASE AVERAGE COUNTING RATE    299.36      COUNTS PER SECOND
TSUMEB     TIME INTERVALS    3600     
TSUMEB     SCALE FACTORS     1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
TSUMEB     000713 3600 000000-010000   00    -999.00  881.3    312.89     4.50    -9999
TSUMEB     000713 3600 010000-020000   00    -999.00  881.3    313.14     4.60    -9999
TSUMEB     000713 3600 020000-030000   00    -999.00  881.1    313.11     4.60    -9999
TSUMEB     000713 3600 030000-040000   00    -999.00  881.2    311.06     3.90    -9999
TSUMEB     000713 3600 040000-050000   00    -999.00  881.3    310.75     3.80    -9999
TSUMEB     000713 3600 050000-060000   00    -999.00  881.7    310.14     3.60    -9999
TSUMEB     000713 3600 060000-070000   00    -999.00  882.3    312.11     4.30    -9999
TSUMEB     000713 3600 070000-080000   00    -999.00  882.5    313.50     4.70    -9999
TSUMEB     000713 3600 080000-090000   00    -999.00  882.5    314.47     5.00    -9999
TSUMEB     000713 3600 090000-100000   00    -999.00  882.1    315.08     5.30    -9999
TSUMEB     000713 3600 100000-110000   00    -999.00  881.1    313.78     4.80    -9999
TSUMEB     000713 3600 110000-120000   00    -999.00  880.0    311.89     4.20    -9999
TSUMEB     000713 3600 120000-130000   00    -999.00  879.1    309.86     3.50    -9999
TSUMEB     000713 3600 130000-140000   00    -999.00  878.5    308.11     2.90    -9999
TSUMEB     000713 3600 140000-150000   00    -999.00  878.3    302.86     1.20    -9999
TSUMEB     000713 3600 150000-160000   00    -999.00  878.4    302.89     1.20    -9999
TSUMEB     000713 3600 160000-170000   00    -999.00  878.8    299.78     0.10    -9999
TSUMEB     000713 3600 170000-180000   00    -999.00  879.2    297.97    -0.50    -9999
TSUMEB     000713 3600 180000-190000   00    -999.00  879.6    295.39    -1.30    -9999
TSUMEB     000713 3600 190000-200000   00    -999.00  880.0    295.56    -1.30    -9999
TSUMEB     000713 3600 200000-210000   00    -999.00  880.3    295.17    -1.40    -9999
TSUMEB     000713 3600 210000-220000   00    -999.00  880.3    296.00    -1.10    -9999
TSUMEB     000713 3600 220000-230000   00    -999.00  880.0    296.19    -1.10    -9999
TSUMEB     000713 3600 230000-240000   00    -999.00  879.5    296.25    -1.00    -9999
TSUMEB     000714 3600 000000-010000   00    -999.00  879.3    296.11    -1.10    -9999
TSUMEB     000714 3600 010000-020000   00    -999.00  878.9    298.44    -0.30    -9999
TSUMEB     000714 3600 020000-030000   00    -999.00  878.7    298.22    -0.40    -9999
TSUMEB     000714 3600 030000-040000   00    -999.00  878.7    299.11    -0.10    -9999
TSUMEB     000714 3600 040000-050000   00    -999.00  879.1    300.17     0.30    -9999
TSUMEB     000714 3600 050000-060000   00    -999.00  879.5    299.19    -0.10    -9999
TSUMEB     000714 3600 060000-070000   00    -999.00  880.3    298.11    -0.40    -9999
TSUMEB     000714 3600 070000-080000   00    -999.00  880.8    298.86    -0.20    -9999
TSUMEB     000714 3600 080000-090000   00    -999.00  880.9    298.31    -0.40    -9999
TSUMEB     000714 3600 090000-100000   00    -999.00  880.4    299.36     0.00    -9999
TSUMEB     000714 3600 100000-110000   00    -999.00  879.5    299.69     0.10    -9999
TSUMEB     000714 3600 110000-120000   00    -999.00  878.4    299.42     0.00    -9999
TSUMEB     000714 3600 120000-130000   00    -999.00  877.6    298.36    -0.30    -9999
TSUMEB     000714 3600 130000-140000   00    -999.00  877.1    298.08    -0.40    -9999
TSUMEB     000714 3600 140000-150000   00    -999.00  876.7    297.83    -0.50    -9999
TSUMEB     000714 3600 150000-160000   00    -999.00  876.9    297.92    -0.50    -9999
TSUMEB     000714 3600 160000-170000   00    -999.00  877.2    298.28    -0.40    -9999
TSUMEB     000714 3600 170000-180000   00    -999.00  877.7    295.81    -1.20    -9999
TSUMEB     000714 3600 180000-190000   00    -999.00  878.0    296.75    -0.90    -9999
TSUMEB     000714 3600 190000-200000   00    -999.00  878.4    297.89    -0.50    -9999
TSUMEB     000714 3600 200000-210000   00    -999.00  878.8    299.11    -0.10    -9999
TSUMEB     000714 3600 210000-220000   00    -999.00  878.8    297.08    -0.80    -9999
TSUMEB     000714 3600 220000-230000   00    -999.00  878.5    297.42    -0.60    -9999
TSUMEB     000714 3600 230000-240000   00    -999.00  878.4    298.44    -0.30    -9999
TSUMEB     000715 3600 000000-010000   00    -999.00 -999.0   -999.00    -9999    -9999
TSUMEB     000715 3600 010000-020000   00    -999.00 -999.0   -999.00    -9999    -9999
TSUMEB     000715 3600 020000-030000   00    -999.00 -999.0   -999.00    -9999    -9999
TSUMEB     000715 3600 030000-040000   00    -999.00 -999.0   -999.00    -9999    -9999
TSUMEB     000715 3600 040000-050000   00    -999.00 -999.0   -999.00    -9999    -9999
TSUMEB     000715 3600 050000-060000   00    -999.00 -999.0   -999.00    -9999    -9999
TSUMEB     000715 3600 060000-070000   00    -999.00 -999.0   -999.00    -9999    -9999
TSUMEB     000715 3600 070000-080000   00    -999.00 -999.0   -999.00    -9999    -9999
TSUMEB     000715 3600 080000-090000   00    -999.00 -999.0   -999.00    -9999    -9999
TSUMEB     000715 3600 090000-100000   00    -999.00 -999.0   -999.00    -9999    -9999
TSUMEB     000715 3600 100000-110000   00    -999.00 -999.0   -999.00    -9999    -9999
TSUMEB     000715 3600 110000-120000   00    -999.00 -999.0   -999.00    -9999    -9999
TSUMEB     000715 3600 120000-130000   00    -999.00 -999.0   -999.00    -9999    -9999
TSUMEB     000715 3600 130000-140000   00    -999.00 -999.0   -999.00    -9999    -9999
TSUMEB     000715 3600 140000-150000   00    -999.00 -999.0   -999.00    -9999    -9999
TSUMEB     000715 3600 150000-160000   00    -999.00 -999.0   -999.00    -9999    -9999
TSUMEB     000715 3600 160000-170000   00    -999.00 -999.0   -999.00    -9999    -9999
TSUMEB     000715 3600 170000-180000   00    -999.00 -999.0   -999.00    -9999    -9999
TSUMEB     000715 3600 180000-190000   00    -999.00 -999.0   -999.00    -9999    -9999
TSUMEB     000715 3600 190000-200000   00    -999.00 -999.0   -999.00    -9999    -9999
TSUMEB     000715 3600 200000-210000   00    -999.00 -999.0   -999.00    -9999    -9999
