TIXIE BAY  LATITUDE    71.58     LONGITUDE     128.92    ALTITUDE    0 M
TIXIE BAY  INSTRUMENT   18-NM-64  NEUTRON MONITOR
TIXIE BAY  STANDARD PRESSURE    1007.8  MB     COEFFICIENT   -0.72     % / MB
TIXIE BAY  PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
TIXIE BAY  PRE-INCREASE AVERAGE COUNTING RATE    134.42      COUNTS PER SECOND
TIXIE BAY  TIME INTERVALS    300         3600     
TIXIE BAY  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
TIXIE BAY  000713 3600 000000-010000   00     148.14 1003.1    143.19     6.50    -9999
TIXIE BAY  000713 3600 010000-020000   00     147.86 1003.4    143.23     6.60    -9999
TIXIE BAY  000713 3600 020000-030000   00     147.86 1003.4    143.23     6.60    -9999
TIXIE BAY  000713 3600 030000-040000   00     147.69 1003.8    143.49     6.70    -9999
TIXIE BAY  000713 3600 040000-050000   00     147.11 1004.0    143.13     6.50    -9999
TIXIE BAY  000713 3600 050000-060000   00     147.08 1004.1    143.20     6.50    -9999
TIXIE BAY  000713 3600 060000-070000   00     146.75 1004.3    143.09     6.40    -9999
TIXIE BAY  000713 3600 070000-080000   00     145.75 1004.7    142.52     6.00    -9999
TIXIE BAY  000713 3600 080000-090000   00     145.92 1005.0    142.99     6.40    -9999
TIXIE BAY  000713 3600 090000-100000   00     145.50 1005.0    142.59     6.10    -9999
TIXIE BAY  000713 3600 100000-110000   00     144.36 1005.4    141.88     5.60    -9999
TIXIE BAY  000713 3600 110000-120000   00     141.50 1005.7    139.37     3.70    -9999
TIXIE BAY  000713 3600 120000-130000   00     138.89 1005.7    136.80     1.80    -9999
TIXIE BAY  000713 3600 130000-140000   00     137.11 1005.9    135.24     0.60    -9999
TIXIE BAY  000713 3600 140000-150000   00     134.56 1005.8    132.63    -1.30    -9999
TIXIE BAY  000713 3600 150000-160000   00     135.44 1005.8    133.50    -0.70    -9999
TIXIE BAY  000713 3600 160000-170000   00     135.31 1005.7    133.27    -0.90    -9999
TIXIE BAY  000713 3600 170000-180000   00     135.03 1005.6    132.90    -1.10    -9999
TIXIE BAY  000713 3600 180000-190000   00     135.36 1005.8    133.42    -0.70    -9999
TIXIE BAY  000713 3600 190000-200000   00     135.22 1005.9    133.38    -0.80    -9999
TIXIE BAY  000713 3600 200000-210000   00     135.33 1006.1    133.68    -0.50    -9999
TIXIE BAY  000713 3600 210000-220000   00     135.81 1006.0    134.05    -0.30    -9999
TIXIE BAY  000713 3600 220000-230000   00     135.39 1006.1    133.74    -0.50    -9999
TIXIE BAY  000713 3600 230000-240000   00     135.86 1006.3    134.40     0.00    -9999
TIXIE BAY  000714 3600 000000-010000   00     136.03 1006.4    134.66     0.20    -9999
