YAKUTSK    LATITUDE    62.02     LONGITUDE     129.72    ALTITUDE    105 M
YAKUTSK    INSTRUMENT   IGY     NEUTRON MONITOR
YAKUTSK    STANDARD PRESSURE    1003    MB     COEFFICIENT   -0.715    % / MB
YAKUTSK    PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
YAKUTSK    PRE-INCREASE AVERAGE COUNTING RATE     77.62      COUNTS PER SECOND
YAKUTSK    TIME INTERVALS    300         3600     
YAKUTSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
YAKUTSK    000713 3600 000000-010000   00    -999.00 -999.0     83.19     7.20    -9999
YAKUTSK    000713 3600 010000-020000   00    -999.00 -999.0     83.14     7.10    -9999
YAKUTSK    000713 3600 020000-030000   00    -999.00 -999.0     83.27     7.30    -9999
YAKUTSK    000713 3600 030000-040000   00    -999.00 -999.0     83.19     7.20    -9999
YAKUTSK    000713 3600 040000-050000   00    -999.00 -999.0     82.94     6.90    -9999
YAKUTSK    000713 3600 050000-060000   00    -999.00 -999.0     82.91     6.80    -9999
YAKUTSK    000713 3600 060000-070000   00    -999.00 -999.0     82.91     6.80    -9999
YAKUTSK    000713 3600 070000-080000   00    -999.00 -999.0     82.94     6.90    -9999
YAKUTSK    000713 3600 080000-090000   00    -999.00 -999.0     82.86     6.80    -9999
YAKUTSK    000713 3600 090000-100000   00    -999.00 -999.0     82.91     6.80    -9999
YAKUTSK    000713 3600 100000-110000   00    -999.00 -999.0     82.55     6.40    -9999
YAKUTSK    000713 3600 110000-120000   00    -999.00 -999.0     81.30     4.70    -9999
YAKUTSK    000713 3600 120000-130000   00    -999.00 -999.0     79.42     2.30    -9999
YAKUTSK    000713 3600 130000-140000   00    -999.00 -999.0     78.49     1.10    -9999
YAKUTSK    000713 3600 140000-150000   00    -999.00 -999.0     77.58    -0.10    -9999
YAKUTSK    000713 3600 150000-160000   00    -999.00 -999.0     77.67     0.10    -9999
YAKUTSK    000713 3600 160000-170000   00    -999.00 -999.0     77.58    -0.10    -9999
YAKUTSK    000713 3600 170000-180000   00    -999.00 -999.0     77.38    -0.30    -9999
YAKUTSK    000713 3600 180000-190000   00    -999.00 -999.0     78.20     0.70    -9999
YAKUTSK    000713 3600 190000-200000   00    -999.00 -999.0     77.69     0.10    -9999
