BERN       LATITUDE    46.95     LONGITUDE     7.45      ALTITUDE    570 M
BERN       INSTRUMENT   SPECIAL  NEUTRON MONITOR	
BERN       STANDARD PRESSURE    710     MMHG   COEFFICIENT   -0.9557   % / MMHG
BERN       PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
BERN       PRE-INCREASE AVERAGE COUNTING RATE     40.71      COUNTS PER SECOND
BERN       TIME INTERVALS    300         3600     
BERN       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
BERN       010414 3600 000000-010000   20      37.02  717.3     39.72    -2.40    -9999
BERN       010414 3600 010000-020000   20      37.09  717.2     39.75    -2.40    -9999
BERN       010414 3600 020000-030000   20      37.20  717.2     39.84    -2.20    -9999
BERN       010414 3600 030000-040000   20      37.31  717.3     40.02    -1.70    -9999
BERN       010414 3600 040000-050000   20      37.36  717.6     40.17    -1.30    -9999
BERN       010414 3600 050000-060000   20      37.10  717.9     39.99    -1.80    -9999
BERN       010414 3600 060000-070000   20      37.40  718.0     40.38    -0.80    -9999
BERN       010414 3600 070000-080000   20      37.24  718.0     40.21    -1.30    -9999
BERN       010414 3600 080000-090000   20      37.53  718.1     40.56    -0.40    -9999
BERN       010414 3600 090000-100000   20      37.51  718.0     40.50    -0.50    -9999
BERN       010414 3600 100000-110000   20      37.89  717.7     40.80     0.20    -9999
BERN       010414 3600 110000-120000   20      37.47  717.6     40.28    -1.10    -9999
BERN       010414 3600 120000-130000   20      37.61  717.4     40.38    -0.80    -9999
BERN       010414 3600 130000-140000   20      38.09  717.1     40.78     0.20    -9999
BERN       010414 3600 140000-150000   20      37.94  716.9     40.53    -0.50    -9999
BERN       010414 3600 150000-160000   20      37.80  716.9     40.38    -0.80    -9999
BERN       010414 3600 160000-170000   20      37.63  716.9     40.17    -1.30    -9999
BERN       010414 3600 170000-180000   20      37.70  716.8     40.23    -1.20    -9999
BERN       010414 3600 180000-190000   20      37.18  716.8     39.67    -2.60    -9999
BERN       010414 3600 190000-200000   20      37.00  716.9     39.53    -2.90    -9999
BERN       010414 3600 200000-210000   20      36.98  716.9     39.51    -3.00    -9999
BERN       010414 3600 210000-220000   20      37.52  716.9     40.08    -1.50    -9999
BERN       010414 3600 220000-230000   20      37.67  716.7     40.19    -1.30    -9999
BERN       010414 3600 230000-240000   20      37.65  716.3     40.01    -1.70    -9999
BERN       010415 3600 000000-010000   20      38.00  715.7     40.13    -1.40    -9999
BERN       010415 3600 010000-020000   20      38.15  715.1     40.04    -1.60    -9999
BERN       010415 3600 020000-030000   20      38.32  714.6     40.05    -1.60    -9999
BERN       010415 3600 030000-040000   20      38.73  714.0     40.25    -1.10    -9999
