CALGARY    LATITUDE    51.08     LONGITUDE     -114.13   ALTITUDE    1128 M
CALGARY    INSTRUMENT   12NM64    NEUTRON MONITOR     	
CALGARY    STANDARD PRESSURE    883     MB     COEFFICIENT   -0.7718   % / MB
CALGARY    PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
CALGARY    PRE-INCREASE AVERAGE COUNTING RATE    275.36      COUNTS PER SECOND
CALGARY    TIME INTERVALS    300         3600     
CALGARY    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
CALGARY    010414 3600 000000-010000   00     267.64  882.3    266.28    -3.30    -9999
CALGARY    010414 3600 010000-020000   00     265.61  882.5    264.64    -3.90    -9999
CALGARY    010414 3600 020000-030000   00     265.56  882.8    265.25    -3.70    -9999
CALGARY    010414 3600 030000-040000   00     263.67  883.5    264.69    -3.90    -9999
CALGARY    010414 3600 040000-050000   00     264.17  884.0    266.28    -3.30    -9999
CALGARY    010414 3600 050000-060000   00     262.06  884.6    265.33    -3.60    -9999
CALGARY    010414 3600 060000-070000   00     260.42  885.0    264.64    -3.90    -9999
CALGARY    010414 3600 070000-080000   00     261.33  885.0    265.56    -3.60    -9999
CALGARY    010414 3600 080000-090000   00     262.92  885.2    267.56    -2.80    -9999
CALGARY    010414 3600 090000-100000   00     262.17  885.2    266.83    -3.10    -9999
CALGARY    010414 3600 100000-110000   00     262.53  885.2    267.17    -3.00    -9999
CALGARY    010414 3600 110000-120000   00     264.44  885.4    269.44    -2.10    -9999
CALGARY    010414 3600 120000-130000   00     263.89  885.6    269.42    -2.20    -9999
CALGARY    010414 3600 130000-140000   00     265.03  886.1    271.47    -1.40    -9999
CALGARY    010414 3600 140000-150000   00     263.19  886.4    270.36    -1.80    -9999
CALGARY    010414 3600 150000-160000   00     261.17  886.6    268.53    -2.50    -9999
CALGARY    010414 3600 160000-170000   00     261.81  886.9    269.86    -2.00    -9999
CALGARY    010414 3600 170000-180000   00     262.67  887.1    271.11    -1.50    -9999
CALGARY    010414 3600 180000-190000   00     262.28  887.4    271.47    -1.40    -9999
CALGARY    010414 3600 190000-200000   00     262.53  887.6    272.22    -1.10    -9999
CALGARY    010414 3600 200000-210000   00     262.06  888.1    272.64    -1.00    -9999
CALGARY    010414 3600 210000-220000   00     261.17  888.8    273.19    -0.80    -9999
CALGARY    010414 3600 220000-230000   00     260.78  889.2    273.58    -0.60    -9999
CALGARY    010414 3600 230000-240000   00     260.08  889.5    273.58    -0.60    -9999
CALGARY    010415 3600 000000-010000   00     259.78  890.1    274.50    -0.30    -9999
CALGARY    010415 3600 010000-020000   00     259.31  890.5    274.86    -0.20    -9999
CALGARY    010415 3600 020000-030000   00     257.64  891.1    274.33    -0.40    -9999
CALGARY    010415 3600 030000-040000   00     256.47  891.8    274.53    -0.30    -9999
CALGARY    010415 3600 040000-050000   00     256.83  892.0    275.47     0.00    -9999
CALGARY    010415 3600 050000-060000   00     256.06  892.2    275.08    -0.10    -9999
CALGARY    010415 3600 060000-070000   00     255.61  892.3    274.78    -0.20    -9999
CALGARY    010415 3600 070000-080000   00     254.17  892.4    273.44    -0.70    -9999
CALGARY    010415 3600 080000-090000   00     253.75  892.5    273.25    -0.80    -9999
CALGARY    010415 300  090000-090500   00     253.35  892.6    272.84    -0.90    -9999
CALGARY    010415 300  090500-091000   00     255.64  892.6    275.30     0.00    -9999
CALGARY    010415 300  091000-091500   00     255.54  892.5    274.98    -0.10    -9999
CALGARY    010415 300  091500-092000   00     257.50  892.6    277.31     0.70    -9999
CALGARY    010415 300  092000-092500   00     254.21  892.6    273.77    -0.60    -9999
CALGARY    010415 300  092500-093000   00     257.07  892.6    276.84     0.50    -9999
CALGARY    010415 300  093000-093500   00     255.88  892.6    275.56     0.10    -9999
CALGARY    010415 300  093500-094000   00     253.55  892.5    272.84    -0.90    -9999
CALGARY    010415 300  094000-094500   00     257.44  892.6    277.24     0.70    -9999
CALGARY    010415 300  094500-095000   00     256.11  892.6    275.81     0.20    -9999
CALGARY    010415 300  095000-095500   00     255.94  892.6    275.63     0.10    -9999
CALGARY    010415 300  095500-100000   00     256.67  892.6    276.41     0.40    -9999
CALGARY    010415 300  100000-100500   00     255.11  892.5    274.52    -0.30    -9999
CALGARY    010415 300  100500-101000   00     256.81  892.5    276.34     0.40    -9999
CALGARY    010415 300  101000-101500   00     257.04  892.5    276.59     0.40    -9999
CALGARY    010415 300  101500-102000   00     255.84  892.5    275.31     0.00    -9999
CALGARY    010415 300  102000-102500   00     257.74  892.5    277.34     0.70    -9999
CALGARY    010415 300  102500-103000   00     256.87  892.6    276.63     0.50    -9999
CALGARY    010415 300  103000-103500   00     253.55  892.6    273.05    -0.80    -9999
CALGARY    010415 300  103500-104000   00     255.05  892.6    274.66    -0.30    -9999
CALGARY    010415 300  104000-104500   00     257.27  892.5    276.84     0.50    -9999
CALGARY    010415 300  104500-105000   00     255.44  892.6    275.09    -0.10    -9999
CALGARY    010415 300  105000-105500   00     258.30  892.6    278.17     1.00    -9999
CALGARY    010415 300  105500-110000   00     252.99  892.6    272.44    -1.10    -9999
CALGARY    010415 300  110000-110500   00     257.47  892.6    277.27     0.70    -9999
