CAPE SHMID LATITUDE    68.92     LONGITUDE     -179.47   ALTITUDE    0 M
CAPE SHMID INSTRUMENT   12NM64    NEUTRON MONITOR
CAPE SHMID STANDARD PRESSURE    1009.7  MB     COEFFICIENT   -0.72     % / MB
CAPE SHMID PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
CAPE SHMID PRE-INCREASE AVERAGE COUNTING RATE     84.04      COUNTS PER SECOND
CAPE SHMID TIME INTERVALS    300         3600     
CAPE SHMID SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
CAPE SHMID 010414 3600 000000-010000   00      76.49 1019.8     82.26    -2.10    -9999
CAPE SHMID 010414 3600 010000-020000   00      76.55 1020.1     82.50    -1.80    -9999
CAPE SHMID 010414 3600 020000-030000   00      76.39 1020.1     82.33    -2.00    -9999
CAPE SHMID 010414 3600 030000-040000   00      75.83 1020.4     81.91    -2.50    -9999
CAPE SHMID 010414 3600 040000-050000   00      75.77 1020.9     82.13    -2.30    -9999
CAPE SHMID 010414 3600 050000-060000   00      75.20 1021.3     81.75    -2.70    -9999
CAPE SHMID 010414 3600 060000-070000   00      75.16 1021.9     82.06    -2.40    -9999
CAPE SHMID 010414 3600 070000-080000   00      75.00 1022.3     82.12    -2.30    -9999
CAPE SHMID 010414 3600 080000-090000   00      75.35 1022.6     82.69    -1.60    -9999
CAPE SHMID 010414 3600 090000-100000   00      75.41 1022.6     82.75    -1.50    -9999
CAPE SHMID 010414 3600 100000-110000   00      75.32 1022.6     82.65    -1.60    -9999
CAPE SHMID 010414 3600 110000-120000   00      76.12 1022.6     83.53    -0.60    -9999
CAPE SHMID 010414 3600 120000-130000   00      75.41 1022.7     82.81    -1.50    -9999
CAPE SHMID 010414 3600 130000-140000   00      76.22 1022.3     83.46    -0.70    -9999
CAPE SHMID 010414 3600 140000-150000   00      76.13 1022.3     83.36    -0.80    -9999
CAPE SHMID 010414 3600 150000-160000   00      76.48 1021.8     83.44    -0.70    -9999
CAPE SHMID 010414 3600 160000-170000   00      76.58 1021.5     83.37    -0.80    -9999
CAPE SHMID 010414 3600 170000-180000   00      76.88 1021.0     83.40    -0.80    -9999
CAPE SHMID 010414 3600 180000-190000   00      77.16 1020.6     83.46    -0.70    -9999
CAPE SHMID 010414 3600 190000-200000   00      77.23 1019.6     82.94    -1.30    -9999
CAPE SHMID 010414 3600 200000-210000   00      77.79 1018.8     83.06    -1.20    -9999
CAPE SHMID 010414 3600 210000-220000   00      78.54 1018.0     83.37    -0.80    -9999
CAPE SHMID 010414 3600 220000-230000   00      79.11 1016.9     83.32    -0.90    -9999
CAPE SHMID 010414 3600 230000-240000   00      80.03 1015.8     83.62    -0.50    -9999
CAPE SHMID 010415 3600 000000-010000   00      81.20 1014.6     84.12     0.10    -9999
CAPE SHMID 010415 3600 010000-020000   00      81.47 1013.9     83.98    -0.10    -9999
CAPE SHMID 010415 3600 020000-030000   00      81.91 1013.5     84.19     0.20    -9999
CAPE SHMID 010415 3600 030000-040000   00      82.31 1013.2     84.41     0.40    -9999
CAPE SHMID 010415 3600 040000-050000   00      82.13 1012.9     84.04     0.00    -9999
CAPE SHMID 010415 3600 050000-060000   00      82.79 1012.1     84.23     0.20    -9999
CAPE SHMID 010415 3600 060000-070000   00      82.87 1011.8     84.13     0.10    -9999
CAPE SHMID 010415 3600 070000-080000   00      83.06 1011.7     84.26     0.30    -9999
CAPE SHMID 010415 3600 080000-090000   00      82.88 1011.5     83.96    -0.10    -9999
CAPE SHMID 010415 300  090000-090500   00      84.41 1011.2     85.35     1.60    -9999
