FORTHSM5   LATITUDE    60        LONGITUDE     -112      ALTITUDE    0 M
FORTHSM5   INSTRUMENT   18-NM-64  NEUTRON MONITOR	
FORTHSM5   STANDARD PRESSURE    1006.7  mb     COEFFICIENT   -0.74     % / mb
FORTHSM5   PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
FORTHSM5   PRE-INCREASE AVERAGE COUNTING RATE    193.67      COUNTS PER SECOND
FORTHSM5   TIME INTERVALS    300         3600     
FORTHSM5   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
FORTHSM5   010414 3600 000000-010000   00     214.00  988.3    186.67    -3.60    -9999
FORTHSM5   010414 3600 010000-020000   00     213.56  988.8    187.02    -3.40    -9999
FORTHSM5   010414 3600 020000-030000   00     212.61  989.2    186.75    -3.60    -9999
FORTHSM5   010414 3600 030000-040000   00     211.22  989.9    186.45    -3.70    -9999
FORTHSM5   010414 3600 040000-050000   00     209.94  990.7    186.43    -3.70    -9999
FORTHSM5   010414 3600 050000-060000   00     207.86  991.5    185.68    -4.10    -9999
FORTHSM5   010414 3600 060000-070000   00     206.58  992.3    185.64    -4.20    -9999
FORTHSM5   010414 3600 070000-080000   00     206.83  992.8    186.60    -3.70    -9999
FORTHSM5   010414 3600 080000-090000   00     207.22  993.5    187.88    -3.00    -9999
FORTHSM5   010414 3600 090000-100000   00     207.56  993.9    188.74    -2.50    -9999
FORTHSM5   010414 3600 100000-110000   00     205.92  994.5    188.18    -2.80    -9999
FORTHSM5   010414 3600 110000-120000   00     205.83  995.2    189.03    -2.40    -9999
FORTHSM5   010414 3600 120000-130000   00     206.44  995.7    190.35    -1.70    -9999
FORTHSM5   010414 3600 130000-140000   00     206.08  996.5    191.15    -1.30    -9999
FORTHSM5   010414 3600 140000-150000   00     204.53  997.2    190.65    -1.60    -9999
FORTHSM5   010414 3600 150000-160000   00     202.69  997.9    189.87    -2.00    -9999
FORTHSM5   010414 3600 160000-170000   00     201.03  998.4    189.06    -2.40    -9999
FORTHSM5   010414 3600 170000-180000   00     201.64  998.8    190.20    -1.80    -9999
FORTHSM5   010414 3600 180000-190000   00     202.06  999.3    191.35    -1.20    -9999
FORTHSM5   010414 3600 190000-200000   00     201.39  999.6    191.09    -1.30    -9999
FORTHSM5   010414 3600 200000-210000   00     200.61  999.9    190.73    -1.50    -9999
FORTHSM5   010414 3600 210000-220000   00     200.89 1000.1    191.38    -1.20    -9999
FORTHSM5   010414 3600 220000-230000   00     201.44 1000.5    192.48    -0.60    -9999
FORTHSM5   010414 3600 230000-240000   00     200.81 1000.8    192.25    -0.70    -9999
FORTHSM5   010415 3600 000000-010000   00     200.31 1001.2    192.34    -0.70    -9999
FORTHSM5   010415 3600 010000-020000   00     199.81 1001.6    192.43    -0.60    -9999
FORTHSM5   010415 3600 020000-030000   00     198.19 1002.1    191.63    -1.10    -9999
FORTHSM5   010415 3600 030000-040000   00     198.00 1002.7    192.21    -0.80    -9999
FORTHSM5   010415 3600 040000-050000   00     196.83 1003.3    192.02    -0.90    -9999
FORTHSM5   010415 3600 050000-060000   00     196.47 1004.0    192.62    -0.50    -9999
FORTHSM5   010415 3600 060000-070000   00     195.33 1004.5    192.26    -0.70    -9999
FORTHSM5   010415 3600 070000-080000   00     194.11 1004.9    191.63    -1.10    -9999
FORTHSM5   010415 3600 080000-090000   00     194.11 1005.3    192.20    -0.80    -9999
FORTHSM5   010415 300  090000-090500   00     192.60 1005.5    190.99    -1.40    -9999
FORTHSM5   010415 300  090500-091000   00     194.27 1005.6    192.70    -0.50    -9999
FORTHSM5   010415 300  091000-091500   00     194.14 1005.6    192.61    -0.60    -9999
FORTHSM5   010415 300  091500-092000   00     194.78 1005.6    193.30    -0.20    -9999
FORTHSM5   010415 300  092000-092500   00     195.00 1005.7    193.56    -0.10    -9999
FORTHSM5   010415 300  092500-093000   00     195.57 1005.7    194.18     0.30    -9999
FORTHSM5   010415 300  093000-093500   00     193.27 1005.7    191.94    -0.90    -9999
FORTHSM5   010415 300  093500-094000   00     194.46 1005.8    193.17    -0.20    -9999
FORTHSM5   010415 300  094000-094500   00     193.95 1005.8    192.71    -0.50    -9999
FORTHSM5   010415 300  094500-095000   00     195.82 1005.8    194.61     0.50    -9999
FORTHSM5   010415 300  095000-095500   00     193.55 1005.9    192.41    -0.70    -9999
FORTHSM5   010415 300  095500-100000   00     193.89 1005.9    192.80    -0.50    -9999
FORTHSM5   010415 300  100000-100500   00     194.19 1006.0    193.16    -0.30    -9999
FORTHSM5   010415 300  100500-101000   00     193.00 1006.0    192.02    -0.90    -9999
FORTHSM5   010415 300  101000-101500   00     193.59 1006.0    192.66    -0.50    -9999
FORTHSM5   010415 300  101500-102000   00     194.86 1006.0    193.96     0.20    -9999
FORTHSM5   010415 300  102000-102500   00     193.49 1006.1    192.65    -0.50    -9999
FORTHSM5   010415 300  102500-103000   00     191.97 1006.1    191.18    -1.30    -9999
FORTHSM5   010415 300  103000-103500   00     193.84 1006.1    193.07    -0.30    -9999
FORTHSM5   010415 300  103500-104000   00     194.24 1006.2    193.52    -0.10    -9999
FORTHSM5   010415 300  104000-104500   00     194.11 1006.2    193.42    -0.10    -9999
FORTHSM5   010415 300  104500-105000   00     192.91 1006.2    192.26    -0.70    -9999
FORTHSM5   010415 300  105000-105500   00     192.78 1006.2    192.17    -0.80    -9999
FORTHSM5   010415 300  105500-110000   00     193.26 1006.3    192.68    -0.50    -9999
FORTHSM5   010415 300  110000-110500   00     195.65 1006.3    195.08     0.70    -9999
FORTHSM5   010415 300  110500-111000   00     194.59 1006.3    194.05     0.20    -9999
FORTHSM5   010415 300  111000-111500   00     193.54 1006.3    193.03    -0.30    -9999
FORTHSM5   010415 300  111500-112000   00     193.46 1006.3    192.99    -0.40    -9999
FORTHSM5   010415 300  112000-112500   00     194.31 1006.4    193.87     0.10    -9999
FORTHSM5   010415 300  112500-113000   00     193.78 1006.4    193.37    -0.20    -9999
FORTHSM5   010415 300  113000-113500   00     191.64 1006.4    191.27    -1.20    -9999
FORTHSM5   010415 300  113500-114000   00     191.21 1006.4    190.87    -1.40    -9999
FORTHSM5   010415 300  114000-114500   00     194.79 1006.4    194.47     0.40    -9999
FORTHSM5   010415 300  114500-115000   00     191.99 1006.5    191.71    -1.00    -9999
FORTHSM5   010415 300  115000-115500   00     197.89 1006.5    197.64     2.00    -9999
FORTHSM5   010415 300  115500-120000   00     192.25 1006.5    192.03    -0.90    -9999
FORTHSM5   010415 300  120000-120500   00     192.85 1006.6    192.69    -0.50    -9999
FORTHSM5   010415 300  120500-121000   00     195.59 1006.6    195.46     0.90    -9999
FORTHSM5   010415 300  121000-121500   00     195.67 1006.6    195.57     1.00    -9999
FORTHSM5   010415 300  121500-122000   00     191.66 1006.6    191.59    -1.10    -9999
FORTHSM5   010415 300  122000-122500   00     195.31 1006.6    195.26     0.80    -9999
FORTHSM5   010415 300  122500-123000   00     192.76 1006.7    192.74    -0.50    -9999
FORTHSM5   010415 300  123000-123500   00     190.10 1006.7    190.10    -1.90    -9999
FORTHSM5   010415 300  123500-124000   00     195.50 1006.7    195.53     0.90    -9999
FORTHSM5   010415 300  124000-124500   00     194.86 1006.7    194.91     0.60    -9999
FORTHSM5   010415 300  124500-125000   00     193.91 1006.7    193.98     0.20    -9999
FORTHSM5   010415 300  125000-125500   00     193.49 1006.7    193.57    -0.10    -9999
FORTHSM5   010415 300  125500-130000   00     192.38 1006.7    192.49    -0.60    -9999
FORTHSM5   010415 300  130000-130500   00     191.95 1006.7    192.00    -0.90    -1.02
FORTHSM5   010415 300  130500-131000   00     190.87 1006.7    190.94    -1.40    -1.53
FORTHSM5   010415 300  131000-131500   00     194.99 1006.7    195.08     0.70     0.55
FORTHSM5   010415 300  131500-132000   00     191.14 1006.7    191.25    -1.20    -1.37
FORTHSM5   010415 300  132000-132500   00     191.67 1006.8    191.81    -1.00    -1.19
FORTHSM5   010415 300  132500-133000   00     193.61 1006.8    193.78     0.10    -0.10
FORTHSM5   010415 300  133000-133500   00     192.46 1006.8    192.66    -0.50    -0.72
FORTHSM5   010415 300  133500-134000   00     192.92 1006.8    193.15    -0.30    -0.54
FORTHSM5   010415 300  134000-134500   00     192.36 1006.9    192.63    -0.50    -0.75
FORTHSM5   010415 300  134500-135000   00     193.18 1006.9    193.48    -0.10    -0.37
FORTHSM5   010415 300  135000-135500   00     193.74 1006.9    194.09     0.20    -0.08
FORTHSM5   010415 300  135500-140000   00     212.87 1006.9    213.30    10.10     9.80
FORTHSM5   010415 300  140000-140500   00     252.78 1007.0    253.48    30.90    30.58
FORTHSM5   010415 300  140500-141000   00     270.47 1007.1    271.28    40.10    39.77
FORTHSM5   010415 300  141000-141500   00     292.90 1007.1    293.85    51.70    51.35
FORTHSM5   010415 300  141500-142000   00     306.40 1007.1    307.45    58.80    58.44
FORTHSM5   010415 300  142000-142500   00     320.43 1007.2    321.60    66.10    65.72
FORTHSM5   010415 300  142500-143000   00     327.39 1007.2    328.63    69.70    69.30
FORTHSM5   010415 300  143000-143500   00     350.92 1007.2    352.32    81.90    81.49
FORTHSM5   010415 300  143500-144000   00     371.07 1007.2    372.61    92.40    91.97
FORTHSM5   010415 300  144000-144500   00     375.31 1007.2    376.92    94.60    94.16
FORTHSM5   010415 300  144500-145000   00     369.14 1007.3    370.77    91.40    90.94
FORTHSM5   010415 300  145000-145500   00     366.73 1007.3    368.39    90.20    89.73
FORTHSM5   010415 300  145500-150000   00     353.25 1007.3    354.89    83.20    82.71
FORTHSM5   010415 300  150000-150500   00     347.75 1007.3    349.35    80.40    79.89
FORTHSM5   010415 300  150500-151000   00     343.21 1007.3    344.81    78.00    77.48
FORTHSM5   010415 300  151000-151500   00     337.68 1007.3    339.28    75.20    74.66
FORTHSM5   010415 300  151500-152000   00     334.68 1007.3    336.29    73.60    73.05
FORTHSM5   010415 300  152000-152500   00     325.98 1007.3    327.57    69.10    68.53
FORTHSM5   010415 300  152500-153000   00     319.45 1007.3    321.03    65.80    65.22
FORTHSM5   010415 300  153000-153500   00     302.55 1007.3    304.05    57.00    56.40
FORTHSM5   010415 300  153500-154000   00     298.53 1007.3    300.03    54.90    54.29
FORTHSM5   010415 300  154000-154500   00     290.38 1007.3    291.84    50.70    50.07
FORTHSM5   010415 300  154500-155000   00     283.00 1007.3    284.43    46.90    46.26
FORTHSM5   010415 300  155000-155500   00     277.45 1007.3    278.86    44.00    43.35
FORTHSM5   010415 300  155500-160000   00     272.19 1007.3    273.57    41.30    40.63
FORTHSM5   010415 300  160000-160500   00     268.30 1007.3    269.63    39.20    38.52
FORTHSM5   010415 300  160500-161000   00     262.93 1007.3    264.23    36.40    35.70
FORTHSM5   010415 300  161000-161500   00     259.62 1007.3    260.91    34.70    33.99
FORTHSM5   010415 300  161500-162000   00     253.93 1007.3    255.19    31.80    31.07
FORTHSM5   010415 300  162000-162500   00     248.66 1007.3    249.89    29.00    28.26
FORTHSM5   010415 300  162500-163000   00     247.37 1007.3    248.59    28.40    27.65
FORTHSM5   010415 300  163000-163500   00     244.57 1007.3    245.78    26.90    26.13
FORTHSM5   010415 300  163500-164000   00     241.91 1007.3    243.11    25.50    24.72
FORTHSM5   010415 300  164000-164500   00     240.99 1007.3    242.19    25.00    24.20
FORTHSM5   010415 300  164500-165000   00     240.88 1007.3    242.08    25.00    24.19
FORTHSM5   010415 300  165000-165500   00     237.67 1007.3    238.85    23.30    22.48
FORTHSM5   010415 300  165500-170000   00     235.73 1007.3    236.90    22.30    21.46
FORTHSM5   010415 300  170000-170500   00     234.24 1007.4    235.46    21.60    20.75
FORTHSM5   010415 300  170500-171000   00     230.92 1007.4    232.12    19.90    19.03
FORTHSM5   010415 300  171000-171500   00     228.22 1007.4    229.41    18.50    17.62
FORTHSM5   010415 300  171500-172000   00     227.20 1007.4    228.37    17.90    17.01
FORTHSM5   010415 300  172000-172500   00     224.26 1007.4    225.40    16.40    15.49
FORTHSM5   010415 300  172500-173000   00     225.85 1007.3    226.99    17.20    16.28
FORTHSM5   010415 300  173000-173500   00     225.41 1007.3    226.53    17.00    16.07
FORTHSM5   010415 300  173500-174000   00     225.35 1007.3    226.45    16.90    15.96
FORTHSM5   010415 300  174000-174500   00     224.83 1007.3    225.90    16.60    15.64
