HERMANUS   LATITUDE    -34.42    LONGITUDE     19.22     ALTITUDE    26 M
HERMANUS   INSTRUMENT   12NM64    NEUTRON MONITOR     
HERMANUS   STANDARD PRESSURE    760     MMHG   COEFFICIENT   -0.95     % / MMHG
HERMANUS   PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
HERMANUS   PRE-INCREASE AVERAGE COUNTING RATE    118.24      COUNTS PER SECOND
HERMANUS   TIME INTERVALS    300         3600     
HERMANUS   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
HERMANUS   010414 3600 000000-010000   00    -999.00 -999.0   -999.00    -9999    -9999
HERMANUS   010414 3600 010000-020000   00    -999.00 -999.0   -999.00    -9999    -9999
HERMANUS   010414 3600 020000-030000   00    -999.00 -999.0   -999.00    -9999    -9999
HERMANUS   010414 3600 030000-040000   00    -999.00 -999.0   -999.00    -9999    -9999
HERMANUS   010414 3600 040000-050000   00    -999.00 -999.0   -999.00    -9999    -9999
HERMANUS   010414 3600 050000-060000   00    -999.00 -999.0   -999.00    -9999    -9999
HERMANUS   010414 3600 060000-070000   00    -999.00 -999.0   -999.00    -9999    -9999
HERMANUS   010414 3600 070000-080000   00    -999.00 -999.0   -999.00    -9999    -9999
HERMANUS   010414 3600 080000-090000   00    -999.00 -999.0   -999.00    -9999    -9999
HERMANUS   010414 3600 090000-100000   00    -999.00 -999.0   -999.00    -9999    -9999
HERMANUS   010414 3600 100000-110000   00    -999.00 -999.0   -999.00    -9999    -9999
HERMANUS   010414 3600 110000-120000   00    -999.00 -999.0   -999.00    -9999    -9999
HERMANUS   010414 3600 120000-130000   00    -999.00 -999.0   -999.00    -9999    -9999
HERMANUS   010414 3600 130000-140000   00    -999.00 -999.0   -999.00    -9999    -9999
HERMANUS   010414 3600 140000-150000   00    -999.00 -999.0   -999.00    -9999    -9999
HERMANUS   010414 3600 150000-160000   00    -999.00 -999.0   -999.00    -9999    -9999
HERMANUS   010414 3600 160000-170000   00    -999.00 -999.0   -999.00    -9999    -9999
HERMANUS   010414 3600 170000-180000   00    -999.00 -999.0   -999.00    -9999    -9999
HERMANUS   010414 3600 180000-190000   00    -999.00 -999.0   -999.00    -9999    -9999
HERMANUS   010414 3600 190000-200000   00    -999.00 -999.0   -999.00    -9999    -9999
HERMANUS   010414 3600 200000-210000   00    -999.00 -999.0   -999.00    -9999    -9999
HERMANUS   010414 3600 210000-220000   00    -999.00 -999.0   -999.00    -9999    -9999
HERMANUS   010414 3600 220000-230000   00    -999.00 -999.0   -999.00    -9999    -9999
HERMANUS   010414 3600 230000-240000   00    -999.00 -999.0   -999.00    -9999    -9999
HERMANUS   010415 3600 000000-010000   00     106.58  758.7    107.88    -8.80    -9999
HERMANUS   010415 3600 010000-020000   00     107.03  758.2    108.85    -7.90    -9999
HERMANUS   010415 3600 020000-030000   00     108.48  757.8    110.80    -6.30    -9999
HERMANUS   010415 3600 030000-040000   00     108.70  757.6    111.21    -5.90    -9999
HERMANUS   010415 3600 040000-050000   00     108.90  757.4    111.59    -5.60    -9999
HERMANUS   010415 3600 050000-060000   00     109.44  757.2    112.35    -5.00    -9999
HERMANUS   010415 3600 060000-070000   00     108.40  757.2    111.27    -5.90    -9999
HERMANUS   010415 3600 070000-080000   00     109.33  757.3    112.21    -5.10    -9999
HERMANUS   010415 300  080000-080500   00     110.43  757.1    113.52    -4.00    -9999
HERMANUS   010415 300  080500-081000   00     110.67  757.0    113.83    -3.70    -9999
HERMANUS   010415 300  081000-081500   00     110.41  757.0    113.60    -3.90    -9999
HERMANUS   010415 300  081500-082000   00     109.48  757.0    112.65    -4.70    -9999
HERMANUS   010415 300  082000-082500   00     108.70  757.0    111.84    -5.40    -9999
HERMANUS   010415 300  082500-083000   00     109.30  756.9    112.53    -4.80    -9999
HERMANUS   010415 300  083000-083500   00     110.71  756.9    114.02    -3.60    -9999
HERMANUS   010415 300  083500-084000   00     109.42  756.8    112.75    -4.60    -9999
HERMANUS   010415 300  084000-084500   00     111.26  756.8    114.65    -3.00    -9999
HERMANUS   010415 300  084500-085000   00     110.24  756.8    113.64    -3.90    -9999
HERMANUS   010415 300  085000-085500   00     108.93  756.7    112.36    -5.00    -9999
HERMANUS   010415 300  085500-090000   00     110.07  756.6    113.66    -3.90    -9999
HERMANUS   010415 300  090000-090500   00     110.61  756.6    114.25    -3.40    -9999
HERMANUS   010415 300  090500-091000   00     111.32  756.6    114.99    -2.70    -9999
HERMANUS   010415 300  091000-091500   00     110.67  756.5    114.41    -3.20    -9999
HERMANUS   010415 300  091500-092000   00     109.65  756.5    113.35    -4.10    -9999
HERMANUS   010415 300  092000-092500   00     109.85  756.4    113.63    -3.90    -9999
HERMANUS   010415 300  092500-093000   00     110.83  756.4    114.69    -3.00    -9999
HERMANUS   010415 300  093000-093500   00     111.94  756.4    115.83    -2.00    -9999
HERMANUS   010415 300  093500-094000   00     109.26  756.3    113.12    -4.30    -9999
HERMANUS   010415 300  094000-094500   00     110.95  756.3    114.92    -2.80    -9999
HERMANUS   010415 300  094500-095000   00     108.76  756.3    112.65    -4.70    -9999
HERMANUS   010415 300  095000-095500   00     111.60  756.3    115.61    -2.20    -9999
HERMANUS   010415 300  095500-100000   00     113.73  756.2    117.91    -0.30    -9999
HERMANUS   010415 300  100000-100500   00     112.08  756.2    116.20    -1.70    -9999
