INUVIK     LATITUDE    68.35     LONGITUDE     -133.72   ALTITUDE    21 M
INUVIK     INSTRUMENT   18NM64    NEUTRON MONITOR     	
INUVIK     STANDARD PRESSURE    758     MMHG   COEFFICIENT   -0.997    % / MMHG
INUVIK     PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
INUVIK     PRE-INCREASE AVERAGE COUNTING RATE    163.22      COUNTS PER SECOND
INUVIK     TIME INTERVALS    3600     
INUVIK     SCALE FACTORS     1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
INUVIK     010414 3600 000000-010000   00     160.56  760.3    159.17    -2.50    -9999
INUVIK     010414 3600 010000-020000   00     159.56  760.4    158.28    -3.00    -9999
INUVIK     010414 3600 020000-030000   00     159.58  760.4    158.31    -3.00    -9999
INUVIK     010414 3600 030000-040000   00     159.06  760.5    158.00    -3.20    -9999
INUVIK     010414 3600 040000-050000   00     158.56  760.7    157.81    -3.30    -9999
INUVIK     010414 3600 050000-060000   00     158.92  760.8    158.25    -3.00    -9999
INUVIK     010414 3600 060000-070000   00     157.89  761.2    157.92    -3.20    -9999
INUVIK     010414 3600 070000-080000   00     158.03  761.3    158.19    -3.10    -9999
INUVIK     010414 3600 080000-090000   00     158.72  761.3    158.86    -2.70    -9999
INUVIK     010414 3600 090000-100000   00     158.25  761.8    159.19    -2.50    -9999
INUVIK     010414 3600 100000-110000   00     157.78  762.2    159.36    -2.40    -9999
INUVIK     010414 3600 110000-120000   00     156.33  762.8    158.81    -2.70    -9999
INUVIK     010414 3600 120000-130000   00     156.56  763.6    160.28    -1.80    -9999
INUVIK     010414 3600 130000-140000   00     155.94  764.3    160.81    -1.50    -9999
INUVIK     010414 3600 140000-150000   00     155.08  765.1    161.17    -1.30    -9999
INUVIK     010414 3600 150000-160000   00     154.42  765.7    161.42    -1.10    -9999
INUVIK     010414 3600 160000-170000   00     153.64  766.3    161.56    -1.00    -9999
INUVIK     010414 3600 170000-180000   00     152.03  767.0    161.03    -1.30    -9999
INUVIK     010414 3600 180000-190000   00     151.72  767.6    161.61    -1.00    -9999
INUVIK     010414 3600 190000-200000   00     150.78  768.0    161.25    -1.20    -9999
INUVIK     010414 3600 200000-210000   00     150.53  768.5    161.78    -0.90    -9999
INUVIK     010414 3600 210000-220000   00     150.44  768.7    162.03    -0.70    -9999
INUVIK     010414 3600 220000-230000   00     150.89  768.9    162.83    -0.20    -9999
INUVIK     010414 3600 230000-240000   00     151.03  769.1    163.28     0.00    -9999
INUVIK     010415 3600 000000-010000   00     150.72  769.3    163.25     0.00    -9999
INUVIK     010415 3600 010000-020000   00     150.53  769.2    162.92    -0.20    -9999
INUVIK     010415 3600 020000-030000   00     150.83  769.3    163.39     0.10    -9999
INUVIK     010415 3600 030000-040000   00     150.92  769.3    163.47     0.20    -9999
INUVIK     010415 3600 040000-050000   00     149.81  769.6    162.78    -0.30    -9999
INUVIK     010415 3600 050000-060000   00     149.78  769.9    163.17     0.00    -9999
INUVIK     010415 3600 060000-070000   00     149.58  769.9    162.97    -0.20    -9999
INUVIK     010415 3600 070000-080000   00     149.14  769.9    162.53    -0.40    -9999
INUVIK     010415 3600 080000-090000   00     149.31  769.9    162.72    -0.30    -9999
INUVIK     010415 3600 090000-100000   00     149.69  769.8    162.97    -0.20    -9999
INUVIK     010415 3600 100000-110000   00     149.78  769.8    163.00    -0.10    -9999
INUVIK     010415 3600 110000-120000   00     149.92  769.8    163.17     0.00    -9999
INUVIK     010415 3600 120000-130000   00     150.39  769.5    163.22     0.00    -9999
INUVIK     010415 3600 130000-140000   00     151.69  769.4    164.47     0.80     0.27
INUVIK     010415 3600 140000-150000   00     253.53  769.3    274.64    68.30    67.45
INUVIK     010415 3600 150000-160000   00     222.28  769.0    240.06    47.10    45.96
INUVIK     010415 3600 160000-170000   00     191.56  768.9    206.67    26.60    25.18
INUVIK     010415 3600 170000-180000   00     176.36  768.6    189.75    16.30    14.64
INUVIK     010415 3600 180000-190000   00     169.19  768.1    181.14    11.00     9.11
INUVIK     010415 3600 190000-200000   00     166.00  767.7    177.00     8.40     6.31
INUVIK     010415 3600 200000-210000   00     164.36  767.3    174.58     7.00     4.74
INUVIK     010415 3600 210000-220000   00     163.36  766.7    172.44     5.60     3.18
INUVIK     010415 3600 220000-230000   00     164.08  766.2    172.39     5.60     3.05
INUVIK     010415 3600 230000-240000   00     164.78  765.8    172.42     5.60     2.94
INUVIK     010416 3600 000000-010000   00     165.28  765.3    172.14     5.50     2.76
INUVIK     010416 3600 010000-020000   00     164.81  764.7    170.61     4.50     1.70
INUVIK     010416 3600 020000-030000   00     164.06  764.2    169.00     3.50     0.66
INUVIK     010416 3600 030000-040000   00     164.17  763.6    168.08     3.00     0.15
INUVIK     010416 3600 040000-050000   00     164.67  763.1    167.78     2.80    -0.04
INUVIK     010416 3600 050000-060000   00     165.75  762.7    168.19     3.00    -9999
INUVIK     010416 3600 060000-070000   00     165.81  762.3    167.67     2.70    -9999
INUVIK     010416 3600 070000-080000   00     166.36  761.8    167.39     2.60    -9999
INUVIK     010416 3600 080000-090000   00     166.75  761.5    167.25     2.50    -9999
INUVIK     010416 3600 090000-100000   00     167.11  761.3    167.28     2.50    -9999
INUVIK     010416 3600 100000-110000   00     167.11  761.0    166.78     2.20    -9999
INUVIK     010416 3600 110000-120000   00     166.86  760.7    166.06     1.70    -9999
INUVIK     010416 3600 120000-130000   00     167.53  760.6    166.56     2.00    -9999
INUVIK     010416 3600 130000-140000   00     168.28  760.5    167.11     2.40    -9999
INUVIK     010416 3600 140000-150000   00     168.97  760.5    167.81     2.80    -9999
INUVIK     010416 3600 150000-160000   00     169.22  760.4    167.89     2.90    -9999
INUVIK     010416 3600 160000-170000   00     168.67  760.6    167.69     2.70    -9999
INUVIK     010416 3600 170000-180000   00     169.31  760.7    168.47     3.20    -9999
INUVIK     010416 3600 180000-190000   00     167.97  760.8    167.31     2.50    -9999
INUVIK     010416 3600 190000-200000   00     167.67  760.9    167.17     2.40    -9999
INUVIK     010416 3600 200000-210000   00     167.86  761.1    167.72     2.80    -9999
INUVIK     010416 3600 210000-220000   00     167.22  761.2    167.22     2.50    -9999
INUVIK     010416 3600 220000-230000   00     167.81  761.2    167.81     2.80    -9999
INUVIK     010416 3600 230000-240000   00     168.47  761.2    168.47     3.20    -9999
*
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-04-05 10:02:56 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE60/C060INVK_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
