IRKUTSK    LATITUDE    52.1      LONGITUDE     104       ALTITUDE    433 M
IRKUTSK    INSTRUMENT   18NM64    NEUTRON MONITOR     
IRKUTSK    STANDARD PRESSURE    954.2   mb     COEFFICIENT   -0.71     % / mb
IRKUTSK    PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
IRKUTSK    PRE-INCREASE AVERAGE COUNTING RATE    189.69      COUNTS PER SECOND
IRKUTSK    TIME INTERVALS    300         3600     
IRKUTSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
IRKUTSK    010414 3600 000000-010000   00     185.31  954.7    185.97    -2.00    -9999
IRKUTSK    010414 3600 010000-020000   00     185.53  954.5    185.93    -2.00    -9999
IRKUTSK    010414 3600 020000-030000   00     187.25  953.8    186.72    -1.60    -9999
IRKUTSK    010414 3600 030000-040000   00     188.22  953.4    187.15    -1.30    -9999
IRKUTSK    010414 3600 040000-050000   00     188.50  952.4    186.10    -1.90    -9999
IRKUTSK    010414 3600 050000-060000   00     188.86  951.9    185.79    -2.10    -9999
IRKUTSK    010414 3600 060000-070000   00     189.83  950.9    185.42    -2.30    -9999
IRKUTSK    010414 3600 070000-080000   00     191.64  950.3    186.38    -1.70    -9999
IRKUTSK    010414 3600 080000-090000   00     192.61  949.0    185.60    -2.20    -9999
IRKUTSK    010414 3600 090000-100000   00     193.53  948.0    185.16    -2.40    -9999
IRKUTSK    010414 3600 100000-110000   00     194.53  947.3    185.19    -2.40    -9999
IRKUTSK    010414 3600 110000-120000   00     195.56  946.6    185.24    -2.30    -9999
IRKUTSK    010414 3600 120000-130000   00     196.33  946.0    185.18    -2.40    -9999
IRKUTSK    010414 3600 130000-140000   00     195.14  946.0    184.06    -3.00    -9999
IRKUTSK    010414 3600 140000-150000   00     195.06  946.1    184.11    -2.90    -9999
IRKUTSK    010414 3600 150000-160000   00     193.03  947.5    184.02    -3.00    -9999
IRKUTSK    010414 3600 160000-170000   00     193.25  947.7    184.50    -2.70    -9999
IRKUTSK    010414 3600 170000-180000   00     192.86  948.6    185.31    -2.30    -9999
IRKUTSK    010414 3600 180000-190000   00     191.92  948.9    184.80    -2.60    -9999
IRKUTSK    010414 3600 190000-200000   00     192.36  949.5    186.02    -1.90    -9999
IRKUTSK    010414 3600 200000-210000   00     191.53  950.2    186.14    -1.90    -9999
IRKUTSK    010414 3600 210000-220000   00     189.92  950.9    185.50    -2.20    -9999
IRKUTSK    010414 3600 220000-230000   00     188.67  952.1    185.86    -2.00    -9999
IRKUTSK    010414 3600 230000-240000   00     186.47  953.7    185.81    -2.00    -9999
IRKUTSK    010415 3600 000000-010000   00     186.61  954.4    186.88    -1.50    -9999
IRKUTSK    010415 3600 010000-020000   00     184.53  955.6    186.38    -1.70    -9999
IRKUTSK    010415 3600 020000-030000   00     184.94  955.7    186.93    -1.50    -9999
IRKUTSK    010415 3600 030000-040000   00     185.17  956.5    188.23    -0.80    -9999
IRKUTSK    010415 3600 040000-050000   00     185.22  956.4    188.15    -0.80    -9999
IRKUTSK    010415 3600 050000-060000   00     185.61  956.4    188.55    -0.60    -9999
IRKUTSK    010415 3600 060000-070000   00     187.17  956.0    189.58    -0.10    -9999
IRKUTSK    010415 3600 070000-080000   00     188.36  956.1    190.93     0.70    -9999
IRKUTSK    010415 3600 080000-090000   00     188.78  955.4    190.40     0.40    -9999
IRKUTSK    010415 300  090000-090500   00     188.18  955.2    189.56    -0.10    -9999
IRKUTSK    010415 300  090500-091000   00     189.25  955.2    190.60     0.50    -9999
IRKUTSK    010415 300  091000-091500   00     188.83  955.2    190.15     0.30    -9999
IRKUTSK    010415 300  091500-092000   00     191.36  955.2    192.67     1.60    -9999
IRKUTSK    010415 300  092000-092500   00     190.00  955.1    191.27     0.80    -9999
IRKUTSK    010415 300  092500-093000   00     189.11  955.1    190.34     0.40    -9999
IRKUTSK    010415 300  093000-093500   00     187.68  955.1    188.88    -0.40    -9999
IRKUTSK    010415 300  093500-094000   00     188.90  955.1    190.09     0.20    -9999
IRKUTSK    010415 300  094000-094500   00     188.43  955.1    189.60     0.00    -9999
IRKUTSK    010415 300  094500-095000   00     188.28  955.1    189.43    -0.10    -9999
IRKUTSK    010415 300  095000-095500   00     188.78  955.0    189.92     0.10    -9999
IRKUTSK    010415 300  095500-100000   00     190.49  955.0    191.62     1.00    -9999
IRKUTSK    010415 300  100000-100500   00     188.58  955.1    189.78     0.10    -9999
IRKUTSK    010415 300  100500-101000   00     188.56  955.1    189.75     0.00    -9999
IRKUTSK    010415 300  101000-101500   00     189.27  955.1    190.44     0.40    -9999
IRKUTSK    010415 300  101500-102000   00     186.12  955.1    187.25    -1.30    -9999
IRKUTSK    010415 300  102000-102500   00     187.71  955.0    188.83    -0.50    -9999
IRKUTSK    010415 300  102500-103000   00     188.54  955.0    189.65     0.00    -9999
IRKUTSK    010415 300  103000-103500   00     188.25  955.0    189.32    -0.20    -9999
IRKUTSK    010415 300  103500-104000   00     189.10  955.0    190.15     0.30    -9999
IRKUTSK    010415 300  104000-104500   00     188.10  955.0    189.11    -0.30    -9999
IRKUTSK    010415 300  104500-105000   00     190.51  954.9    191.50     1.00    -9999
IRKUTSK    010415 300  105000-105500   00     187.96  954.9    188.89    -0.40    -9999
IRKUTSK    010415 300  105500-110000   00     189.85  954.9    190.76     0.60    -9999
IRKUTSK    010415 300  110000-110500   00     189.92  954.8    190.73     0.50    -9999
IRKUTSK    010415 300  110500-111000   00     189.36  954.8    190.12     0.20    -9999
IRKUTSK    010415 300  111000-111500   00     188.48  954.7    189.19    -0.30    -9999
IRKUTSK    010415 300  111500-112000   00     190.80  954.7    191.48     1.00    -9999
IRKUTSK    010415 300  112000-112500   00     186.92  954.7    187.54    -1.10    -9999
IRKUTSK    010415 300  112500-113000   00     192.00  954.6    192.59     1.50    -9999
IRKUTSK    010415 300  113000-113500   00     189.79  954.6    190.32     0.30    -9999
IRKUTSK    010415 300  113500-114000   00     190.07  954.6    190.57     0.50    -9999
IRKUTSK    010415 300  114000-114500   00     190.04  954.5    190.49     0.40    -9999
IRKUTSK    010415 300  114500-115000   00     188.67  954.5    189.07    -0.30    -9999
IRKUTSK    010415 300  115000-115500   00     190.34  954.5    190.69     0.50    -9999
IRKUTSK    010415 300  115500-120000   00     188.92  954.4    189.23    -0.20    -9999
IRKUTSK    010415 300  120000-120500   00     190.38  954.3    190.58     0.50    -9999
IRKUTSK    010415 300  120500-121000   00     191.22  954.3    191.38     0.90    -9999
IRKUTSK    010415 300  121000-121500   00     189.24  954.3    189.36    -0.20    -9999
IRKUTSK    010415 300  121500-122000   00     190.53  954.3    190.61     0.50    -9999
IRKUTSK    010415 300  122000-122500   00     188.21  954.2    188.26    -0.80    -9999
IRKUTSK    010415 300  122500-123000   00     189.84  954.2    189.86     0.10    -9999
IRKUTSK    010415 300  123000-123500   00     189.41  954.2    189.41    -0.20    -9999
IRKUTSK    010415 300  123500-124000   00     188.93  954.2    188.90    -0.40    -9999
IRKUTSK    010415 300  124000-124500   00     189.74  954.2    189.70     0.00    -9999
IRKUTSK    010415 300  124500-125000   00     190.43  954.2    190.38     0.40    -9999
IRKUTSK    010415 300  125000-125500   00     188.66  954.2    188.60    -0.60    -9999
IRKUTSK    010415 300  125500-130000   00     189.66  954.2    189.59    -0.10    -9999
IRKUTSK    010415 300  130000-130500   00     189.24  954.4    189.46    -0.10    -0.27
IRKUTSK    010415 300  130500-131000   00     190.52  954.4    190.73     0.50     0.32
IRKUTSK    010415 300  131000-131500   00     189.88  954.3    190.07     0.20     0.02
IRKUTSK    010415 300  131500-132000   00     189.12  954.3    189.28    -0.20    -0.39
IRKUTSK    010415 300  132000-132500   00     191.04  954.3    191.16     0.80     0.61
IRKUTSK    010415 300  132500-133000   00     191.05  954.2    191.11     0.70     0.51
IRKUTSK    010415 300  133000-133500   00     192.30  954.2    192.30     1.30     1.10
IRKUTSK    010415 300  133500-134000   00     189.84  954.1    189.76     0.00    -0.20
IRKUTSK    010415 300  134000-134500   00     187.96  954.1    187.78    -1.00    -1.21
IRKUTSK    010415 300  134500-135000   00     189.96  954.0    189.68     0.00    -0.21
IRKUTSK    010415 300  135000-135500   00     190.94  953.9    190.54     0.40     0.18
IRKUTSK    010415 300  135500-140000   00     195.47  953.8    194.91     2.80     2.58
IRKUTSK    010415 300  140000-140500   00     202.60  953.5    201.59     6.30     6.07
IRKUTSK    010415 300  140500-141000   00     209.02  953.4    207.82     9.60     9.37
IRKUTSK    010415 300  141000-141500   00     214.04  953.3    212.66    12.10    11.86
IRKUTSK    010415 300  141500-142000   00     214.21  953.2    212.66    12.10    11.86
IRKUTSK    010415 300  142000-142500   00     214.73  953.1    213.03    12.30    12.05
IRKUTSK    010415 300  142500-143000   00     217.16  953.0    215.29    13.50    13.25
IRKUTSK    010415 300  143000-143500   00     215.96  952.9    213.95    12.80    12.54
IRKUTSK    010415 300  143500-144000   00     213.23  952.8    211.10    11.30    11.04
IRKUTSK    010415 300  144000-144500   00     212.79  952.7    210.54    11.00    10.73
IRKUTSK    010415 300  144500-145000   00     211.22  952.6    208.85    10.10     9.83
IRKUTSK    010415 300  145000-145500   00     209.03  952.5    206.54     8.90     8.62
IRKUTSK    010415 300  145500-150000   00     207.28  952.4    204.69     7.90     7.62
IRKUTSK    010415 300  150000-150500   00     206.68  952.5    204.13     7.60     7.31
IRKUTSK    010415 300  150500-151000   00     207.52  952.4    204.82     8.00     7.71
IRKUTSK    010415 300  151000-151500   00     206.11  952.3    203.31     7.20     6.90
IRKUTSK    010415 300  151500-152000   00     206.35  952.2    203.41     7.20     6.89
IRKUTSK    010415 300  152000-152500   00     204.20  952.1    201.15     6.00     5.69
IRKUTSK    010415 300  152500-153000   00     202.80  952.0    199.63     5.30     4.98
IRKUTSK    010415 300  153000-153500   00     201.12  951.9    197.84     4.30     3.97
IRKUTSK    010415 300  153500-154000   00     203.94  951.8    200.45     5.70     5.37
IRKUTSK    010415 300  154000-154500   00     200.22  951.7    196.65     3.70     3.36
IRKUTSK    010415 300  154500-155000   00     202.88  951.6    199.10     5.00     4.65
IRKUTSK    010415 300  155000-155500   00     198.05  951.4    194.20     2.40     2.05
IRKUTSK    010415 300  155500-160000   00     201.92  951.3    197.82     4.30     3.94
IRKUTSK    010415 300  160000-160500   00     201.15  951.1    196.75     3.70     3.33
IRKUTSK    010415 300  160500-161000   00     199.06  951.0    194.54     2.50     2.13
IRKUTSK    010415 300  161000-161500   00     201.72  950.9    196.96     3.80     3.42
IRKUTSK    010415 300  161500-162000   00     200.92  950.7    196.02     3.30     2.91
IRKUTSK    010415 300  162000-162500   00     199.37  950.6    194.34     2.50     2.11
IRKUTSK    010415 300  162500-163000   00     198.48  950.5    193.32     1.90     1.50
IRKUTSK    010415 300  163000-163500   00     199.10  950.4    193.77     2.20     1.79
IRKUTSK    010415 300  163500-164000   00     200.87  950.3    195.33     3.00     2.58
IRKUTSK    010415 300  164000-164500   00     199.92  950.2    194.26     2.40     1.98
IRKUTSK    010415 300  164500-165000   00     200.60  950.1    194.77     2.70     2.27
IRKUTSK    010415 300  165000-165500   00     197.83  950.0    191.93     1.20     0.76
IRKUTSK    010415 300  165500-170000   00     200.46  949.9    194.34     2.50     2.05
IRKUTSK    010415 300  170000-170500   00     199.65  949.8    193.47     2.00     1.55
IRKUTSK    010415 300  170500-171000   00     198.15  949.7    191.88     1.10     0.64
IRKUTSK    010415 300  171000-171500   00     200.13  949.6    193.66     2.10     1.63
IRKUTSK    010415 300  171500-172000   00     200.33  949.5    193.72     2.10     1.62
IRKUTSK    010415 300  172000-172500   00     199.42  949.4    192.70     1.60     1.11
IRKUTSK    010415 300  172500-173000   00     200.45  949.3    193.55     2.00     1.51
IRKUTSK    010415 300  173000-173500   00     201.59  949.2    194.52     2.50     2.00
IRKUTSK    010415 300  173500-174000   00     198.87  949.1    191.75     1.10     0.59
IRKUTSK    010415 300  174000-174500   00     199.68  949.0    192.40     1.40     0.88
IRKUTSK    010415 300  174500-175000   00     200.23  948.9    192.79     1.60     1.07
IRKUTSK    010415 300  175000-175500   00     199.31  948.8    191.77     1.10     0.56
IRKUTSK    010415 300  175500-180000   00     199.16  948.7    191.49     0.90     0.35
IRKUTSK    010415 300  180000-180500   00     200.27  948.5    192.36     1.40     0.84
IRKUTSK    010415 300  180500-181000   00     199.01  948.4    191.01     0.70     0.14
IRKUTSK    010415 300  181000-181500   00     201.83  948.3    193.58     2.00     1.43
IRKUTSK    010415 300  181500-182000   00     201.70  948.3    193.33     1.90     1.32
IRKUTSK    010415 300  182000-182500   00     199.85  948.2    191.43     0.90     0.31
IRKUTSK    010415 300  182500-183000   00     202.71  948.1    194.05     2.30     1.70
IRKUTSK    010415 300  183000-183500   00     199.01  948.0    190.39     0.40    -0.21
IRKUTSK    010415 300  183500-184000   00     200.25  947.9    191.47     1.00     0.38
IRKUTSK    010415 300  184000-184500   00     199.47  947.8    190.62     0.50    -0.13
IRKUTSK    010415 300  184500-185000   00     200.21  947.8    191.22     0.80     0.16
IRKUTSK    010415 300  185000-185500   00     200.62  947.7    191.51     1.00     0.35
IRKUTSK    010415 300  185500-190000   00     203.20  947.6    193.88     2.20     1.54
IRKUTSK    010415 300  190000-190500   00     200.11  947.6    190.88     0.60    -0.07
IRKUTSK    010415 300  190500-191000   00     201.79  947.5    192.40     1.40     0.72
IRKUTSK    010415 300  191000-191500   00     203.36  947.4    193.80     2.20     1.51
IRKUTSK    010415 300  191500-192000   00     200.48  947.4    190.97     0.70     0.00
IRKUTSK    010415 300  192000-192500   00     201.40  947.3    191.75     1.10     0.39
IRKUTSK    010415 300  192500-193000   00     201.08  947.3    191.36     0.90     0.18
IRKUTSK    010415 300  193000-193500   00     200.07  947.2    190.32     0.30    -0.43
IRKUTSK    010415 300  193500-194000   00     201.38  947.1    191.48     0.90     0.16
IRKUTSK    010415 300  194000-194500   00     203.26  947.1    193.19     1.90     1.15
IRKUTSK    010415 300  194500-195000   00     202.95  947.0    192.81     1.70     0.94
IRKUTSK    010415 300  195000-195500   00     202.24  946.9    192.05     1.20     0.43
IRKUTSK    010415 300  195500-200000   00     203.83  946.9    193.48     2.00     1.21
IRKUTSK    010415 300  200000-200500   00     201.69  946.7    191.25     0.80     0.00
IRKUTSK    010415 300  200500-201000   00     199.43  946.7    189.03    -0.30    -9999
IRKUTSK    010415 300  201000-201500   00     202.61  946.6    191.98     1.20    -9999
IRKUTSK    010415 300  201500-202000   00     201.83  946.6    191.18     0.80    -9999
IRKUTSK    010415 300  202000-202500   00     201.33  946.6    190.65     0.50    -9999
IRKUTSK    010415 300  202500-203000   00     199.94  946.5    189.30    -0.20    -9999
IRKUTSK    010415 300  203000-203500   00     202.07  946.5    191.28     0.80    -9999
IRKUTSK    010415 300  203500-204000   00     201.77  946.5    190.96     0.70    -9999
IRKUTSK    010415 300  204000-204500   00     201.63  946.5    190.80     0.60    -9999
IRKUTSK    010415 300  204500-205000   00     202.07  946.4    191.21     0.80    -9999
IRKUTSK    010415 300  205000-205500   00     203.39  946.4    192.45     1.50    -9999
IRKUTSK    010415 300  205500-210000   00     201.95  946.4    191.09     0.80    -9999
