JUNGFRAU2  LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3475 M
JUNGFRAU2  INSTRUMENT   3-NM-64  NEUTRON MONITOR	
JUNGFRAU2  STANDARD PRESSURE    482     MMHG   COEFFICIENT   -0.96     % / MMHG
JUNGFRAU2  PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
JUNGFRAU2  PRE-INCREASE AVERAGE COUNTING RATE    309.66      COUNTS PER SECOND
JUNGFRAU2  TIME INTERVALS    60          3600     
JUNGFRAU2  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
JUNGFRAU2  010414 3600 000000-010000   30     271.40  491.6    297.64    -3.90    -9999
JUNGFRAU2  010414 3600 010000-020000   30     273.78  491.1    298.67    -3.60    -9999
JUNGFRAU2  010414 3600 020000-030000   30     275.08  490.7    298.94    -3.50    -9999
JUNGFRAU2  010414 3600 030000-040000   30     275.68  490.5    299.10    -3.40    -9999
JUNGFRAU2  010414 3600 040000-050000   30     277.66  490.5    301.18    -2.70    -9999
JUNGFRAU2  010414 3600 050000-060000   30     279.02  490.5    302.64    -2.30    -9999
JUNGFRAU2  010414 3600 060000-070000   30     278.39  490.6    302.46    -2.30    -9999
JUNGFRAU2  010414 3600 070000-080000   30     277.68  490.8    302.29    -2.40    -9999
JUNGFRAU2  010414 3600 080000-090000   30     277.01  491.2    302.70    -2.20    -9999
JUNGFRAU2  010414 3600 090000-100000   30     277.30  491.5    303.78    -1.90    -9999
JUNGFRAU2  010414 3600 100000-110000   30     276.35  491.9    303.79    -1.90    -9999
JUNGFRAU2  010414 3600 110000-120000   30     275.64  492.2    303.90    -1.90    -9999
JUNGFRAU2  010414 3600 120000-130000   30     273.05  492.5    302.10    -2.40    -9999
JUNGFRAU2  010414 3600 130000-140000   30     273.39  492.9    303.43    -2.00    -9999
JUNGFRAU2  010414 3600 140000-150000   30     273.35  493.0    303.89    -1.90    -9999
JUNGFRAU2  010414 3600 150000-160000   30     274.20  493.2    305.23    -1.40    -9999
JUNGFRAU2  010414 3600 160000-170000   30     273.45  493.3    304.89    -1.50    -9999
JUNGFRAU2  010414 3600 170000-180000   30     271.72  493.4    303.26    -2.10    -9999
JUNGFRAU2  010414 3600 180000-190000   30     269.35  493.6    300.91    -2.80    -9999
JUNGFRAU2  010414 3600 190000-200000   30     267.22  493.8    299.14    -3.40    -9999
JUNGFRAU2  010414 3600 200000-210000   30     267.53  493.9    299.92    -3.10    -9999
JUNGFRAU2  010414 3600 210000-220000   30     268.01  493.8    300.23    -3.00    -9999
JUNGFRAU2  010414 3600 220000-230000   30     269.70  493.5    301.23    -2.70    -9999
JUNGFRAU2  010414 3600 230000-240000   30     269.83  492.9    299.57    -3.30    -9999
JUNGFRAU2  010415 3600 000000-010000   30     270.28  492.7    299.55    -3.30    -9999
JUNGFRAU2  010415 3600 010000-020000   30     271.04  492.6    300.13    -3.10    -9999
JUNGFRAU2  010415 3600 020000-030000   30     272.44  492.3    300.62    -2.90    -9999
JUNGFRAU2  010415 3600 030000-040000   30     274.33  492.0    301.98    -2.50    -9999
JUNGFRAU2  010415 3600 040000-050000   30     274.43  492.0    301.95    -2.50    -9999
JUNGFRAU2  010415 3600 050000-060000   30     274.85  491.9    302.37    -2.40    -9999
JUNGFRAU2  010415 3600 060000-070000   30     274.94  492.0    302.69    -2.30    -9999
JUNGFRAU2  010415 3600 070000-080000   30     276.80  492.0    304.59    -1.60    -9999
JUNGFRAU2  010415 3600 080000-090000   30     279.23  491.5    306.01    -1.20    -9999
JUNGFRAU2  010415 60   090000-090100   30     277.05  491.4    303.22    -2.10    -9999
JUNGFRAU2  010415 60   090100-090200   30     275.92  491.1    301.10    -2.80    -9999
JUNGFRAU2  010415 60   090200-090300   30     282.07  491.9    310.18     0.20    -9999
JUNGFRAU2  010415 60   090300-090400   30     283.00  491.4    309.73     0.00    -9999
JUNGFRAU2  010415 60   090400-090500   30     273.57  491.9    300.83    -2.90    -9999
JUNGFRAU2  010415 60   090500-090600   30     279.65  491.7    306.95    -0.90    -9999
JUNGFRAU2  010415 60   090600-090700   30     272.90  492.2    300.97    -2.80    -9999
JUNGFRAU2  010415 60   090700-090800   30     280.73  491.9    308.72    -0.30    -9999
JUNGFRAU2  010415 60   090800-090900   30     283.92  491.7    311.63     0.60    -9999
JUNGFRAU2  010415 60   090900-091000   30     274.78  491.6    301.30    -2.70    -9999
JUNGFRAU2  010415 60   091000-091100   30     281.77  491.3    308.08    -0.50    -9999
JUNGFRAU2  010415 60   091100-091200   30     277.08  491.5    303.55    -2.00    -9999
JUNGFRAU2  010415 60   091200-091300   30     275.83  491.7    302.77    -2.20    -9999
JUNGFRAU2  010415 60   091300-091400   30     283.07  492.0    311.60     0.60    -9999
JUNGFRAU2  010415 60   091400-091500   30     278.25  491.9    306.00    -1.20    -9999
JUNGFRAU2  010415 60   091500-091600   30     285.65  492.0    314.43     1.50    -9999
JUNGFRAU2  010415 60   091600-091700   30     283.58  491.5    310.67     0.30    -9999
JUNGFRAU2  010415 60   091700-091800   30     277.52  491.6    304.30    -1.70    -9999
JUNGFRAU2  010415 60   091800-091900   30     273.02  491.8    299.95    -3.10    -9999
JUNGFRAU2  010415 60   091900-092000   30     282.23  491.7    309.77     0.00    -9999
JUNGFRAU2  010415 60   092000-092100   30     276.62  491.4    302.73    -2.20    -9999
JUNGFRAU2  010415 60   092100-092200   30     280.43  491.7    307.80    -0.60    -9999
JUNGFRAU2  010415 60   092200-092300   30     279.55  492.4    308.90    -0.20    -9999
JUNGFRAU2  010415 60   092300-092400   30     280.22  491.4    306.68    -1.00    -9999
JUNGFRAU2  010415 60   092400-092500   30     276.52  491.6    303.22    -2.10    -9999
JUNGFRAU2  010415 60   092500-092600   30     277.20  491.9    304.83    -1.60    -9999
JUNGFRAU2  010415 60   092600-092700   30     278.67  491.7    305.85    -1.20    -9999
JUNGFRAU2  010415 60   092700-092800   30     278.97  491.8    306.48    -1.00    -9999
JUNGFRAU2  010415 60   092800-092900   30     280.85  492.0    309.13    -0.20    -9999
JUNGFRAU2  010415 60   092900-093000   30     285.12  492.1    314.13     1.40    -9999
JUNGFRAU2  010415 60   093000-093100   30     279.58  492.1    308.05    -0.50    -9999
JUNGFRAU2  010415 60   093100-093200   30     276.58  492.2    305.03    -1.50    -9999
JUNGFRAU2  010415 60   093200-093300   30     280.20  492.0    308.43    -0.40    -9999
JUNGFRAU2  010415 60   093300-093400   30     277.07  492.3    305.87    -1.20    -9999
JUNGFRAU2  010415 60   093400-093500   30     277.95  492.3    306.83    -0.90    -9999
JUNGFRAU2  010415 60   093500-093600   30     274.43  492.3    302.97    -2.20    -9999
JUNGFRAU2  010415 60   093600-093700   30     278.92  492.3    307.92    -0.60    -9999
JUNGFRAU2  010415 60   093700-093800   30     278.67  492.3    307.63    -0.70    -9999
JUNGFRAU2  010415 60   093800-093900   30     277.93  492.2    306.53    -1.00    -9999
JUNGFRAU2  010415 60   093900-094000   30     281.60  492.0    309.97     0.10    -9999
JUNGFRAU2  010415 60   094000-094100   30     279.35  492.2    308.08    -0.50    -9999
