KERGUELEN  LATITUDE    -49.35    LONGITUDE     70.25     ALTITUDE    33 M
KERGUELEN  INSTRUMENT   18-NM-64  NEUTRON MONITOR	
KERGUELEN  STANDARD PRESSURE    750     MMHG   COEFFICIENT   -1.01     % / MMHG
KERGUELEN  PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
KERGUELEN  PRE-INCREASE AVERAGE COUNTING RATE    188.09      COUNTS PER SECOND
KERGUELEN  TIME INTERVALS    300      
KERGUELEN  SCALE FACTORS     1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
KERGUELEN  010414 300  000000-000500   10     187.87  747.8    183.47    -2.50    -9999
KERGUELEN  010414 300  000500-001000   10     188.40  747.9    184.40    -2.00    -9999
KERGUELEN  010414 300  001000-001500   10     185.20  748.1    181.60    -3.50    -9999
KERGUELEN  010414 300  001500-002000   10     184.40  748.0    180.40    -4.10    -9999
KERGUELEN  010414 300  002000-002500   10     185.07  748.1    181.47    -3.50    -9999
KERGUELEN  010414 300  002500-003000   10     185.60  748.1    182.00    -3.20    -9999
KERGUELEN  010414 300  003000-003500   10     186.13  748.2    182.53    -3.00    -9999
KERGUELEN  010414 300  003500-004000   10     184.40  748.2    180.80    -3.90    -9999
KERGUELEN  010414 300  004000-004500   10     185.20  748.3    182.00    -3.20    -9999
KERGUELEN  010414 300  004500-005000   10     184.80  748.5    181.87    -3.30    -9999
KERGUELEN  010414 300  005000-005500   10     187.73  748.7    184.93    -1.70    -9999
KERGUELEN  010414 300  005500-010000   10     186.93  748.9    184.53    -1.90    -9999
KERGUELEN  010414 300  010000-010500   10     184.40  748.9    182.00    -3.20    -9999
KERGUELEN  010414 300  010500-011000   10     185.20  749.0    183.20    -2.60    -9999
KERGUELEN  010414 300  011000-011500   10     186.67  749.1    184.67    -1.80    -9999
KERGUELEN  010414 300  011500-012000   10     183.73  749.3    182.13    -3.20    -9999
KERGUELEN  010414 300  012000-012500   10     183.60  749.4    182.40    -3.00    -9999
KERGUELEN  010414 300  012500-013000   10     184.40  749.4    183.20    -2.60    -9999
KERGUELEN  010414 300  013000-013500   10     183.33  749.5    182.13    -3.20    -9999
KERGUELEN  010414 300  013500-014000   10     186.40  749.7    185.60    -1.30    -9999
KERGUELEN  010414 300  014000-014500   10     183.33  749.8    182.93    -2.70    -9999
KERGUELEN  010414 300  014500-015000   10     185.47  749.8    185.07    -1.60    -9999
KERGUELEN  010414 300  015000-015500   10     183.73  749.9    183.33    -2.50    -9999
KERGUELEN  010414 300  015500-020000   10     183.87  749.9    183.47    -2.50    -9999
KERGUELEN  010414 300  020000-020500   10     185.73  750.2    185.73    -1.30    -9999
KERGUELEN  010414 300  020500-021000   10     183.60  750.2    183.60    -2.40    -9999
KERGUELEN  010414 300  021000-021500   10     181.87  750.1    181.87    -3.30    -9999
KERGUELEN  010414 300  021500-022000   10     183.20  750.2    183.20    -2.60    -9999
KERGUELEN  010414 300  022000-022500   10     184.93  750.2    184.93    -1.70    -9999
KERGUELEN  010414 300  022500-023000   10     182.40  750.3    182.80    -2.80    -9999
KERGUELEN  010414 300  023000-023500   10     182.80  750.4    183.20    -2.60    -9999
KERGUELEN  010414 300  023500-024000   10     183.87  750.6    184.67    -1.80    -9999
KERGUELEN  010414 300  024000-024500   10     181.73  750.6    182.53    -3.00    -9999
KERGUELEN  010414 300  024500-025000   10     182.40  750.7    183.60    -2.40    -9999
KERGUELEN  010414 300  025000-025500   10     183.07  750.8    184.27    -2.00    -9999
KERGUELEN  010414 300  025500-030000   10     181.47  750.9    183.07    -2.70    -9999
KERGUELEN  010414 300  030000-030500   10     183.47  750.9    185.07    -1.60    -9999
KERGUELEN  010414 300  030500-031000   10     183.47  751.0    185.07    -1.60    -9999
KERGUELEN  010414 300  031000-031500   10     184.00  751.1    186.00    -1.10    -9999
KERGUELEN  010414 300  031500-032000   10     181.47  751.0    183.07    -2.70    -9999
KERGUELEN  010414 300  032000-032500   10     180.80  751.1    182.80    -2.80    -9999
KERGUELEN  010414 300  032500-033000   10     181.07  751.2    183.07    -2.70    -9999
