KIEL       LATITUDE    54.3      LONGITUDE     10.1      ALTITUDE    54 M
KIEL       INSTRUMENT   18NM64    NEUTRON MONITOR	
KIEL       STANDARD PRESSURE    993.7   mb     COEFFICIENT   -0.72     % / mb
KIEL       PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
KIEL       PRE-INCREASE AVERAGE COUNTING RATE    172.09      COUNTS PER SECOND
KIEL       TIME INTERVALS    300         3600     
KIEL       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
KIEL       010414 3600 000000-010000   00     136.88 1020.9    166.49    -3.30    -9999
KIEL       010414 3600 010000-020000   00     136.74 1020.8    166.21    -3.40    -9999
KIEL       010414 3600 020000-030000   00     137.79 1020.6    167.24    -2.80    -9999
KIEL       010414 3600 030000-040000   00     137.54 1020.4    166.69    -3.10    -9999
KIEL       010414 3600 040000-050000   00     138.55 1020.3    167.80    -2.50    -9999
KIEL       010414 3600 050000-060000   00     139.24 1020.1    168.39    -2.20    -9999
KIEL       010414 3600 060000-070000   00     139.47 1019.9    168.42    -2.10    -9999
KIEL       010414 3600 070000-080000   00     140.22 1019.7    169.09    -1.70    -9999
KIEL       010414 3600 080000-090000   00     141.09 1019.2    169.52    -1.50    -9999
KIEL       010414 3600 090000-100000   00     141.37 1018.8    169.37    -1.60    -9999
KIEL       010414 3600 100000-110000   00     142.50 1017.9    169.62    -1.40    -9999
KIEL       010414 3600 110000-120000   00     143.64 1016.9    169.75    -1.40    -9999
KIEL       010414 3600 120000-130000   00     144.17 1016.2    169.53    -1.50    -9999
KIEL       010414 3600 130000-140000   00     144.60 1015.3    168.93    -1.80    -9999
KIEL       010414 3600 140000-150000   00     146.28 1014.1    169.43    -1.50    -9999
KIEL       010414 3600 150000-160000   00     147.65 1013.2    169.90    -1.30    -9999
KIEL       010414 3600 160000-170000   00     148.29 1012.4    169.66    -1.40    -9999
KIEL       010414 3600 170000-180000   00     149.33 1011.6    169.87    -1.30    -9999
KIEL       010414 3600 180000-190000   00     148.97 1010.8    168.48    -2.10    -9999
KIEL       010414 3600 190000-200000   00     149.63 1010.0    168.26    -2.20    -9999
KIEL       010414 3600 200000-210000   00     149.74 1008.7    166.81    -3.10    -9999
KIEL       010414 3600 210000-220000   00     151.95 1007.2    167.46    -2.70    -9999
KIEL       010414 3600 220000-230000   00     153.53 1005.6    167.27    -2.80    -9999
KIEL       010414 3600 230000-240000   00     155.12 1004.1    167.18    -2.90    -9999
KIEL       010415 3600 000000-010000   00     157.75 1002.5    168.07    -2.30    -9999
KIEL       010415 3600 010000-020000   00     160.16 1000.8    168.56    -2.10    -9999
KIEL       010415 3600 020000-030000   00     161.97  999.5    168.88    -1.90    -9999
KIEL       010415 3600 030000-040000   00     163.40  998.0    168.54    -2.10    -9999
KIEL       010415 3600 040000-050000   00     166.76  996.6    170.28    -1.10    -9999
KIEL       010415 3600 050000-060000   00     166.87  996.2    169.91    -1.30    -9999
KIEL       010415 3600 060000-070000   00     166.82  995.6    169.12    -1.70    -9999
KIEL       010415 3600 070000-080000   00     167.69  995.0    169.27    -1.60    -9999
KIEL       010415 3600 080000-090000   00     169.36  994.5    170.34    -1.00    -9999
KIEL       010415 300  090000-090500   00     172.44  994.3    173.16     0.60    -9999
KIEL       010415 300  090500-091000   00     169.83  994.3    170.50    -0.90    -9999
KIEL       010415 300  091000-091500   00     174.15  994.2    174.81     1.60    -9999
KIEL       010415 300  091500-092000   00     169.10  994.2    169.69    -1.40    -9999
KIEL       010415 300  092000-092500   00     170.85  994.2    171.41    -0.40    -9999
KIEL       010415 300  092500-093000   00     171.74  994.1    172.27     0.10    -9999
KIEL       010415 300  093000-093500   00     170.36  994.1    170.85    -0.70    -9999
KIEL       010415 300  093500-094000   00     173.81  994.1    174.27     1.30    -9999
KIEL       010415 300  094000-094500   00     172.32  994.0    172.74     0.40    -9999
KIEL       010415 300  094500-095000   00     170.63  994.0    171.01    -0.60    -9999
KIEL       010415 300  095000-095500   00     170.48  994.0    170.83    -0.70    -9999
KIEL       010415 300  095500-100000   00     171.50  994.0    171.82    -0.20    -9999
KIEL       010415 300  100000-100500   00     172.95  993.9    173.22     0.70    -9999
KIEL       010415 300  100500-101000   00     171.59  993.9    171.84    -0.10    -9999
KIEL       010415 300  101000-101500   00     171.38  993.9    171.60    -0.30    -9999
KIEL       010415 300  101500-102000   00     172.43  993.9    172.62     0.30    -9999
KIEL       010415 300  102000-102500   00     171.19  993.8    171.35    -0.40    -9999
KIEL       010415 300  102500-103000   00     171.55  993.8    171.69    -0.20    -9999
KIEL       010415 300  103000-103500   00     171.67  993.8    171.79    -0.20    -9999
KIEL       010415 300  103500-104000   00     173.26  993.8    173.36     0.70    -9999
KIEL       010415 300  104000-104500   00     169.02  993.8    169.10    -1.70    -9999
KIEL       010415 300  104500-105000   00     171.01  993.8    171.08    -0.60    -9999
KIEL       010415 300  105000-105500   00     168.48  993.7    168.53    -2.10    -9999
KIEL       010415 300  105500-110000   00     172.88  993.7    172.92     0.50    -9999
KIEL       010415 300  110000-110500   00     172.51  993.7    172.56     0.30    -9999
KIEL       010415 300  110500-111000   00     177.02  993.7    177.06     2.90    -9999
KIEL       010415 300  111000-111500   00     173.34  993.7    173.37     0.70    -9999
KIEL       010415 300  111500-112000   00     171.10  993.7    171.12    -0.60    -9999
KIEL       010415 300  112000-112500   00     171.16  993.7    171.17    -0.50    -9999
KIEL       010415 300  112500-113000   00     174.13  993.7    174.13     1.20    -9999
KIEL       010415 300  113000-113500   00     172.90  993.7    172.90     0.50    -9999
KIEL       010415 300  113500-114000   00     175.12  993.7    175.12     1.80    -9999
KIEL       010415 300  114000-114500   00     171.48  993.7    171.48    -0.40    -9999
KIEL       010415 300  114500-115000   00     172.11  993.7    172.10     0.00    -9999
KIEL       010415 300  115000-115500   00     173.15  993.7    173.14     0.60    -9999
KIEL       010415 300  115500-120000   00     169.47  993.7    169.46    -1.50    -9999
KIEL       010415 300  120000-120500   00     173.81  993.7    173.81     1.00    -9999
KIEL       010415 300  120500-121000   00     172.68  993.7    172.68     0.30    -9999
KIEL       010415 300  121000-121500   00     172.38  993.7    172.38     0.20    -9999
KIEL       010415 300  121500-122000   00     171.26  993.7    171.26    -0.50    -9999
KIEL       010415 300  122000-122500   00     172.23  993.7    172.23     0.10    -9999
KIEL       010415 300  122500-123000   00     172.93  993.7    172.93     0.50    -9999
KIEL       010415 300  123000-123500   00     171.95  993.7    171.95    -0.10    -9999
KIEL       010415 300  123500-124000   00     172.02  993.7    172.02     0.00    -9999
KIEL       010415 300  124000-124500   00     170.25  993.7    170.25    -1.10    -9999
KIEL       010415 300  124500-125000   00     170.06  993.7    170.06    -1.20    -9999
KIEL       010415 300  125000-125500   00     174.06  993.7    174.06     1.10    -9999
KIEL       010415 300  125500-130000   00     171.48  993.7    171.48    -0.40    -9999
KIEL       010415 300  130000-130500   00     171.07  993.7    171.08    -0.60    -0.81
KIEL       010415 300  130500-131000   00     172.24  993.7    172.26     0.10    -0.11
KIEL       010415 300  131000-131500   00     171.56  993.7    171.57    -0.30    -0.51
KIEL       010415 300  131500-132000   00     171.90  993.7    171.91    -0.10    -0.31
KIEL       010415 300  132000-132500   00     173.39  993.7    173.40     0.80     0.59
KIEL       010415 300  132500-133000   00     173.36  993.7    173.36     0.70     0.49
KIEL       010415 300  133000-133500   00     173.62  993.7    173.62     0.90     0.69
KIEL       010415 300  133500-134000   00     174.13  993.7    174.12     1.20     0.99
KIEL       010415 300  134000-134500   00     174.05  993.7    174.04     1.10     0.89
KIEL       010415 300  134500-135000   00     174.28  993.7    174.26     1.30     1.09
KIEL       010415 300  135000-135500   00     174.38  993.7    174.35     1.30     1.09
KIEL       010415 300  135500-140000   00     175.15  993.7    175.11     1.80     1.59
KIEL       010415 300  140000-140500   00     180.89  993.6    180.82     5.10     4.89
KIEL       010415 300  140500-141000   00     191.91  993.6    191.82    11.50    11.29
KIEL       010415 300  141000-141500   00     200.07  993.6    199.97    16.20    15.99
KIEL       010415 300  141500-142000   00     206.89  993.6    206.78    20.20    19.99
KIEL       010415 300  142000-142500   00     209.72  993.6    209.60    21.80    21.59
KIEL       010415 300  142500-143000   00     214.66  993.6    214.51    24.60    24.39
KIEL       010415 300  143000-143500   00     214.96  993.6    214.81    24.80    24.59
KIEL       010415 300  143500-144000   00     211.73  993.6    211.56    22.90    22.69
KIEL       010415 300  144000-144500   00     211.49  993.6    211.31    22.80    22.59
