LOMNICKY   LATITUDE    49.2      LONGITUDE     20.22     ALTITUDE    2634 M
LOMNICKY   INSTRUMENT   8-NM-64  NEUTRON MONITOR	
LOMNICKY   STANDARD PRESSURE    542.8   MMHG   COEFFICIENT   -0.97     % / MMHG
LOMNICKY   PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
LOMNICKY   PRE-INCREASE AVERAGE COUNTING RATE    418.31      COUNTS PER SECOND
LOMNICKY   TIME INTERVALS    300         3600     
LOMNICKY   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
LOMNICKY   010414 3600 000000-010000   00     402.35  542.6    401.77    -4.00    -9999
LOMNICKY   010414 3600 010000-020000   00     403.57  542.5    402.69    -3.70    -9999
LOMNICKY   010414 3600 020000-030000   00     403.53  542.4    402.35    -3.80    -9999
LOMNICKY   010414 3600 030000-040000   00     405.54  542.0    403.18    -3.60    -9999
LOMNICKY   010414 3600 040000-050000   00     406.53  541.9    403.87    -3.50    -9999
LOMNICKY   010414 3600 050000-060000   00     406.04  542.1    403.97    -3.40    -9999
LOMNICKY   010414 3600 060000-070000   00     405.95  542.4    404.77    -3.20    -9999
LOMNICKY   010414 3600 070000-080000   00     406.12  542.9    406.42    -2.80    -9999
LOMNICKY   010414 3600 080000-090000   00     405.89  543.4    407.67    -2.50    -9999
LOMNICKY   010414 3600 090000-100000   00     406.64  543.8    409.62    -2.10    -9999
LOMNICKY   010414 3600 100000-110000   00     405.38  543.8    408.35    -2.40    -9999
LOMNICKY   010414 3600 110000-120000   00     404.02  543.8    406.98    -2.70    -9999
LOMNICKY   010414 3600 120000-130000   00     401.67  543.8    404.62    -3.30    -9999
LOMNICKY   010414 3600 130000-140000   00     401.49  543.8    404.43    -3.30    -9999
LOMNICKY   010414 3600 140000-150000   00     401.28  543.5    403.34    -3.60    -9999
LOMNICKY   010414 3600 150000-160000   00     402.38  543.5    404.44    -3.30    -9999
LOMNICKY   010414 3600 160000-170000   00     400.58  543.7    403.22    -3.60    -9999
LOMNICKY   010414 3600 170000-180000   00     398.57  543.9    401.78    -4.00    -9999
LOMNICKY   010414 3600 180000-190000   00     395.88  544.0    399.36    -4.50    -9999
LOMNICKY   010414 3600 190000-200000   00     395.49  544.0    398.97    -4.60    -9999
LOMNICKY   010414 3600 200000-210000   00     395.08  544.2    399.14    -4.60    -9999
LOMNICKY   010414 3600 210000-220000   00     396.04  544.5    400.98    -4.10    -9999
LOMNICKY   010414 3600 220000-230000   00     397.40  544.4    402.07    -3.90    -9999
LOMNICKY   010414 3600 230000-240000   00     399.79  544.3    404.19    -3.40    -9999
LOMNICKY   010415 3600 000000-010000   00     401.35  544.1    405.18    -3.10    -9999
LOMNICKY   010415 3600 010000-020000   00     402.67  543.9    405.92    -3.00    -9999
LOMNICKY   010415 3600 020000-030000   00     404.39  543.7    407.06    -2.70    -9999
LOMNICKY   010415 3600 030000-040000   00     405.70  543.5    407.78    -2.50    -9999
LOMNICKY   010415 3600 040000-050000   00     407.48  543.5    409.57    -2.10    -9999
LOMNICKY   010415 3600 050000-060000   00     407.97  543.6    410.36    -1.90    -9999
LOMNICKY   010415 3600 060000-070000   00     409.91  543.7    412.61    -1.40    -9999
LOMNICKY   010415 3600 070000-080000   00     410.60  543.6    413.00    -1.30    -9999
LOMNICKY   010415 3600 080000-090000   00     411.97  543.6    414.38    -0.90    -9999
LOMNICKY   010415 300  090000-090500   00     413.83  543.5    415.95    -0.60    -9999
LOMNICKY   010415 300  090500-091000   00     414.47  543.5    416.54    -0.40    -9999
LOMNICKY   010415 300  091000-091500   00     416.50  543.5    418.53     0.10    -9999
LOMNICKY   010415 300  091500-092000   00     415.47  543.4    417.44    -0.20    -9999
LOMNICKY   010415 300  092000-092500   00     413.60  543.4    415.51    -0.70    -9999
LOMNICKY   010415 300  092500-093000   00     414.47  543.4    416.33    -0.50    -9999
LOMNICKY   010415 300  093000-093500   00     415.97  543.4    417.79    -0.10    -9999
LOMNICKY   010415 300  093500-094000   00     416.37  543.4    418.14     0.00    -9999
LOMNICKY   010415 300  094000-094500   00     416.20  543.4    417.92    -0.10    -9999
LOMNICKY   010415 300  094500-095000   00     415.87  543.3    417.54    -0.20    -9999
LOMNICKY   010415 300  095000-095500   00     415.70  543.3    417.31    -0.20    -9999
LOMNICKY   010415 300  095500-100000   00     415.37  543.3    416.93    -0.30    -9999
LOMNICKY   010415 300  100000-100500   00     416.53  543.3    418.09    -0.10    -9999
LOMNICKY   010415 300  100500-101000   00     414.70  543.3    416.20    -0.50    -9999
LOMNICKY   010415 300  101000-101500   00     418.47  543.3    419.92     0.40    -9999
LOMNICKY   010415 300  101500-102000   00     415.07  543.3    416.46    -0.40    -9999
LOMNICKY   010415 300  102000-102500   00     416.57  543.2    417.90    -0.10    -9999
LOMNICKY   010415 300  102500-103000   00     415.37  543.2    416.64    -0.40    -9999
LOMNICKY   010415 300  103000-103500   00     414.10  543.2    415.30    -0.70    -9999
LOMNICKY   010415 300  103500-104000   00     417.93  543.2    419.08     0.20    -9999
LOMNICKY   010415 300  104000-104500   00     415.77  543.2    416.85    -0.40    -9999
LOMNICKY   010415 300  104500-105000   00     416.63  543.1    417.64    -0.20    -9999
LOMNICKY   010415 300  105000-105500   00     414.63  543.1    415.57    -0.70    -9999
LOMNICKY   010415 300  105500-110000   00     417.90  543.1    418.77     0.10    -9999
LOMNICKY   010415 300  110000-110500   00     418.40  543.0    419.08     0.20    -9999
LOMNICKY   010415 300  110500-111000   00     415.93  543.0    416.54    -0.40    -9999
LOMNICKY   010415 300  111000-111500   00     414.60  543.0    415.13    -0.80    -9999
LOMNICKY   010415 300  111500-112000   00     414.07  543.0    414.54    -0.90    -9999
LOMNICKY   010415 300  112000-112500   00     419.40  542.9    419.81     0.40    -9999
LOMNICKY   010415 300  112500-113000   00     414.97  542.9    415.32    -0.70    -9999
LOMNICKY   010415 300  113000-113500   00     411.63  542.9    411.93    -1.50    -9999
LOMNICKY   010415 300  113500-114000   00     418.00  542.9    418.25     0.00    -9999
LOMNICKY   010415 300  114000-114500   00     420.57  542.9    420.77     0.60    -9999
LOMNICKY   010415 300  114500-115000   00     414.60  542.9    414.77    -0.80    -9999
LOMNICKY   010415 300  115000-115500   00     416.07  542.8    416.20    -0.50    -9999
LOMNICKY   010415 300  115500-120000   00     416.54  542.8    416.63    -0.40    -9999
LOMNICKY   010415 300  120000-120500   00     414.77  542.8    414.92    -0.80    -9999
LOMNICKY   010415 300  120500-121000   00     417.60  542.8    417.73    -0.10    -9999
LOMNICKY   010415 300  121000-121500   00     420.33  542.8    420.44     0.50    -9999
LOMNICKY   010415 300  121500-122000   00     419.63  542.8    419.71     0.30    -9999
LOMNICKY   010415 300  122000-122500   00     420.60  542.8    420.65     0.60    -9999
LOMNICKY   010415 300  122500-123000   00     415.50  542.8    415.52    -0.70    -9999
LOMNICKY   010415 300  123000-123500   00     418.27  542.8    418.26     0.00    -9999
LOMNICKY   010415 300  123500-124000   00     418.73  542.8    418.70     0.10    -9999
LOMNICKY   010415 300  124000-124500   00     420.47  542.8    420.41     0.50    -9999
LOMNICKY   010415 300  124500-125000   00     417.30  542.8    417.22    -0.30    -9999
LOMNICKY   010415 300  125000-125500   00     419.20  542.8    419.09     0.20    -9999
LOMNICKY   010415 300  125500-130000   00     417.30  542.8    417.17    -0.30    -9999
LOMNICKY   010415 300  130000-130500   00     417.37  542.7    417.17    -0.30    -0.06
LOMNICKY   010415 300  130500-131000   00     419.50  542.7    419.28     0.20     0.44
LOMNICKY   010415 300  131000-131500   00     423.27  542.7    423.02     1.10     1.34
LOMNICKY   010415 300  131500-132000   00     419.10  542.7    418.84     0.10     0.35
LOMNICKY   010415 300  132000-132500   00     416.97  542.7    416.69    -0.40    -0.15
LOMNICKY   010415 300  132500-133000   00     418.00  542.7    417.71    -0.10     0.15
LOMNICKY   010415 300  133000-133500   00     417.70  542.7    417.39    -0.20     0.05
LOMNICKY   010415 300  133500-134000   00     418.17  542.7    417.85    -0.10     0.15
LOMNICKY   010415 300  134000-134500   00     417.10  542.7    416.77    -0.40    -0.15
LOMNICKY   010415 300  134500-135000   00     420.17  542.7    419.83     0.40     0.65
LOMNICKY   010415 300  135000-135500   00     420.13  542.7    419.79     0.30     0.55
LOMNICKY   010415 300  135500-140000   00     421.20  542.7    420.85     0.60     0.86
LOMNICKY   010415 300  140000-140500   00     431.80  542.7    431.49     3.20     3.46
LOMNICKY   010415 300  140500-141000   00     446.87  542.7    446.54     6.70     6.96
LOMNICKY   010415 300  141000-141500   00     460.13  542.7    459.80     9.90    10.16
LOMNICKY   010415 300  141500-142000   00     466.90  542.7    466.56    11.50    11.76
LOMNICKY   010415 300  142000-142500   00     467.97  542.7    467.63    11.80    12.06
LOMNICKY   010415 300  142500-143000   00     464.63  542.7    464.29    11.00    11.26
LOMNICKY   010415 300  143000-143500   00     463.33  542.7    463.00    10.70    10.96
LOMNICKY   010415 300  143500-144000   00     459.60  542.7    459.26     9.80    10.06
LOMNICKY   010415 300  144000-144500   00     462.47  542.7    462.13    10.50    10.76
LOMNICKY   010415 300  144500-145000   00     454.03  542.7    453.70     8.50     8.76
LOMNICKY   010415 300  145000-145500   00     456.67  542.7    456.33     9.10     9.36
LOMNICKY   010415 300  145500-150000   00     456.50  542.7    456.17     9.00     9.26
LOMNICKY   010415 300  150000-150500   00     448.30  542.7    448.01     7.10     7.36
LOMNICKY   010415 300  150500-151000   00     450.10  542.7    449.81     7.50     7.76
LOMNICKY   010415 300  151000-151500   00     447.13  542.7    446.84     6.80     7.06
LOMNICKY   010415 300  151500-152000   00     444.40  542.7    444.11     6.20     6.46
LOMNICKY   010415 300  152000-152500   00     444.30  542.7    444.00     6.10     6.36
LOMNICKY   010415 300  152500-153000   00     439.33  542.7    439.02     4.90     5.16
LOMNICKY   010415 300  153000-153500   00     441.50  542.7    441.18     5.50     5.76
LOMNICKY   010415 300  153500-154000   00     437.37  542.7    437.03     4.50     4.76
LOMNICKY   010415 300  154000-154500   00     437.00  542.7    436.65     4.40     4.66
LOMNICKY   010415 300  154500-155000   00     435.50  542.7    435.13     4.00     4.26
LOMNICKY   010415 300  155000-155500   00     432.90  542.7    432.51     3.40     3.66
LOMNICKY   010415 300  155500-160000   00     432.13  542.7    431.72     3.20     3.46
LOMNICKY   010415 300  160000-160500   00     432.90  542.6    432.34     3.40     3.66
LOMNICKY   010415 300  160500-161000   00     434.73  542.6    434.15     3.80     4.06
LOMNICKY   010415 300  161000-161500   00     432.23  542.6    431.64     3.20     3.46
LOMNICKY   010415 300  161500-162000   00     433.80  542.6    433.18     3.60     3.86
LOMNICKY   010415 300  162000-162500   00     426.87  542.6    426.25     1.90     2.16
LOMNICKY   010415 300  162500-163000   00     428.30  542.6    427.68     2.30     2.55
LOMNICKY   010415 300  163000-163500   00     431.30  542.6    430.67     2.90     3.15
LOMNICKY   010415 300  163500-164000   00     427.00  542.6    426.38     1.90     2.15
LOMNICKY   010415 300  164000-164500   00     429.27  542.6    428.65     2.50     2.75
LOMNICKY   010415 300  164500-165000   00     426.50  542.6    425.90     1.80     2.05
LOMNICKY   010415 300  165000-165500   00     427.07  542.6    426.48     1.90     2.15
LOMNICKY   010415 300  165500-170000   00     426.13  542.6    425.57     1.70     1.95
LOMNICKY   010415 300  170000-170500   00     427.40  542.6    426.86     2.10     2.35
LOMNICKY   010415 300  170500-171000   00     426.63  542.6    426.12     1.90     2.14
LOMNICKY   010415 300  171000-171500   00     427.27  542.6    426.79     2.00     2.24
LOMNICKY   010415 300  171500-172000   00     425.43  542.7    424.99     1.60     1.84
LOMNICKY   010415 300  172000-172500   00     428.30  542.7    427.90     2.30     2.54
LOMNICKY   010415 300  172500-173000   00     423.20  542.7    422.85     1.10     1.34
LOMNICKY   010415 300  173000-173500   00     429.10  542.7    428.79     2.50     2.74
LOMNICKY   010415 300  173500-174000   00     425.87  542.7    425.62     1.80     2.03
LOMNICKY   010415 300  174000-174500   00     425.33  542.7    425.14     1.60     1.83
LOMNICKY   010415 300  174500-175000   00     425.03  542.8    424.90     1.60     1.83
LOMNICKY   010415 300  175000-175500   00     424.83  542.8    424.77     1.50     1.73
LOMNICKY   010415 300  175500-180000   00     424.27  542.8    424.28     1.40     1.63
