MCMURDO    LATITUDE    -77.95    LONGITUDE     166.6     ALTITUDE    48 M
MCMURDO    INSTRUMENT   18NM64    NEUTRON MONITOR     	
MCMURDO    STANDARD PRESSURE    963.3   mb     COEFFICIENT   -0.74     % / mb
MCMURDO    PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
MCMURDO    PRE-INCREASE AVERAGE COUNTING RATE    245.95      COUNTS PER SECOND
MCMURDO    TIME INTERVALS    300         3600     
MCMURDO    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
MCMURDO    010414 3600 000000-010000   00     242.08  960.5    237.10    -3.60    -9999
MCMURDO    010414 3600 010000-020000   00     243.03  960.8    238.50    -3.00    -9999
MCMURDO    010414 3600 020000-030000   00     243.94  960.5    238.93    -2.90    -9999
MCMURDO    010414 3600 030000-040000   00     244.00  960.5    238.98    -2.80    -9999
MCMURDO    010414 3600 040000-050000   00     243.08  960.3    237.61    -3.40    -9999
MCMURDO    010414 3600 050000-060000   00     244.39  960.0    238.41    -3.10    -9999
MCMURDO    010414 3600 060000-070000   00     245.61  960.0    239.61    -2.60    -9999
MCMURDO    010414 3600 070000-080000   00     245.19  960.3    239.67    -2.60    -9999
MCMURDO    010414 3600 080000-090000   00     245.08  960.5    240.04    -2.40    -9999
MCMURDO    010414 3600 090000-100000   00     245.53  960.8    240.95    -2.00    -9999
MCMURDO    010414 3600 100000-110000   00     244.86  960.5    239.82    -2.50    -9999
MCMURDO    010414 3600 110000-120000   00     244.17  960.5    239.14    -2.80    -9999
MCMURDO    010414 3600 120000-130000   00     244.67  960.3    239.16    -2.80    -9999
MCMURDO    010414 3600 130000-140000   00     245.08  960.0    239.09    -2.80    -9999
MCMURDO    010414 3600 140000-150000   00     246.42  960.1    240.63    -2.20    -9999
MCMURDO    010414 3600 150000-160000   00     247.19  960.4    241.87    -1.70    -9999
MCMURDO    010414 3600 160000-170000   00     247.69  960.5    242.60    -1.40    -9999
MCMURDO    010414 3600 170000-180000   00     247.61  960.5    242.52    -1.40    -9999
MCMURDO    010414 3600 180000-190000   00     246.94  960.7    242.10    -1.60    -9999
MCMURDO    010414 3600 190000-200000   00     246.19  960.7    241.37    -1.90    -9999
MCMURDO    010414 3600 200000-210000   00     244.89  960.7    240.09    -2.40    -9999
MCMURDO    010414 3600 210000-220000   00     244.00  960.9    239.69    -2.50    -9999
MCMURDO    010414 3600 220000-230000   00     243.44  961.3    239.86    -2.50    -9999
MCMURDO    010414 3600 230000-240000   00     243.50  961.3    239.91    -2.50    -9999
MCMURDO    010415 3600 000000-010000   00     243.78  961.5    240.42    -2.20    -9999
MCMURDO    010415 3600 010000-020000   00     244.58  961.2    240.74    -2.10    -9999
MCMURDO    010415 3600 020000-030000   00     244.44  961.5    241.08    -2.00    -9999
MCMURDO    010415 3600 030000-040000   00     244.72  961.5    241.35    -1.90    -9999
MCMURDO    010415 3600 040000-050000   00     244.03  962.3    242.10    -1.60    -9999
MCMURDO    010415 3600 050000-060000   00     243.47  962.1    241.31    -1.90    -9999
MCMURDO    010415 3600 060000-070000   00     243.69  962.1    241.53    -1.80    -9999
MCMURDO    010415 3600 070000-080000   00     245.39  962.4    243.69    -0.90    -9999
MCMURDO    010415 3600 080000-090000   00     243.89  963.2    243.65    -0.90    -9999
MCMURDO    010415 300  090000-090500   00     243.43  963.5    243.65    -0.90    -9999
MCMURDO    010415 300  090500-091000   00     243.11  963.5    243.38    -1.10    -9999
MCMURDO    010415 300  091000-091500   00     244.76  963.5    245.09    -0.30    -9999
MCMURDO    010415 300  091500-092000   00     241.44  963.5    241.82    -1.70    -9999
MCMURDO    010415 300  092000-092500   00     244.10  963.6    244.51    -0.60    -9999
MCMURDO    010415 300  092500-093000   00     243.77  963.6    244.22    -0.70    -9999
MCMURDO    010415 300  093000-093500   00     243.44  963.6    243.92    -0.80    -9999
MCMURDO    010415 300  093500-094000   00     245.09  963.6    245.61    -0.20    -9999
MCMURDO    010415 300  094000-094500   00     244.10  963.6    244.63    -0.50    -9999
MCMURDO    010415 300  094500-095000   00     244.43  963.6    244.98    -0.40    -9999
MCMURDO    010415 300  095000-095500   00     245.10  963.6    245.66    -0.10    -9999
MCMURDO    010415 300  095500-100000   00     243.10  963.6    243.67    -0.90    -9999
MCMURDO    010415 300  100000-100500   00     243.77  963.6    244.29    -0.70    -9999
MCMURDO    010415 300  100500-101000   00     245.09  963.6    245.61    -0.10    -9999
MCMURDO    010415 300  101000-101500   00     243.44  963.6    243.95    -0.80    -9999
MCMURDO    010415 300  101500-102000   00     243.43  963.6    243.94    -0.80    -9999
MCMURDO    010415 300  102000-102500   00     242.11  963.6    242.61    -1.40    -9999
MCMURDO    010415 300  102500-103000   00     241.78  963.6    242.27    -1.50    -9999
MCMURDO    010415 300  103000-103500   00     245.10  963.6    245.58    -0.20    -9999
MCMURDO    010415 300  103500-104000   00     243.77  963.6    244.24    -0.70    -9999
MCMURDO    010415 300  104000-104500   00     244.76  963.6    245.22    -0.30    -9999
MCMURDO    010415 300  104500-105000   00     242.44  963.6    242.88    -1.30    -9999
MCMURDO    010415 300  105000-105500   00     244.43  963.6    244.86    -0.40    -9999
MCMURDO    010415 300  105500-110000   00     246.42  963.6    246.83     0.40    -9999
MCMURDO    010415 300  110000-110500   00     247.42  963.5    247.78     0.70    -9999
MCMURDO    010415 300  110500-111000   00     245.42  963.5    245.77    -0.10    -9999
MCMURDO    010415 300  111000-111500   00     245.09  963.5    245.42    -0.20    -9999
MCMURDO    010415 300  111500-112000   00     244.10  963.5    244.40    -0.60    -9999
MCMURDO    010415 300  112000-112500   00     243.44  963.5    243.72    -0.90    -9999
MCMURDO    010415 300  112500-113000   00     242.77  963.5    243.03    -1.20    -9999
MCMURDO    010415 300  113000-113500   00     247.08  963.5    247.32     0.60    -9999
MCMURDO    010415 300  113500-114000   00     245.10  963.5    245.32    -0.30    -9999
MCMURDO    010415 300  114000-114500   00     247.08  963.4    247.28     0.50    -9999
MCMURDO    010415 300  114500-115000   00     244.10  963.4    244.28    -0.70    -9999
MCMURDO    010415 300  115000-115500   00     245.43  963.4    245.58    -0.10    -9999
MCMURDO    010415 300  115500-120000   00     244.10  963.4    244.24    -0.70    -9999
MCMURDO    010415 300  120000-120500   00     243.10  963.3    243.10    -1.20    -9999
MCMURDO    010415 300  120500-121000   00     248.08  963.3    248.06     0.90    -9999
MCMURDO    010415 300  121000-121500   00     245.76  963.3    245.73    -0.10    -9999
MCMURDO    010415 300  121500-122000   00     243.10  963.3    243.07    -1.20    -9999
