MAGADAN    LATITUDE    60.1      LONGITUDE     151       ALTITUDE    0 M
MAGADAN    INSTRUMENT   18NM64    NEUTRON MONITOR     	
MAGADAN    STANDARD PRESSURE    972.7   mb     COEFFICIENT   -0.74     % / mb
MAGADAN    PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
MAGADAN    PRE-INCREASE AVERAGE COUNTING RATE    141.33      COUNTS PER SECOND
MAGADAN    TIME INTERVALS    300         3600     
MAGADAN    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
MAGADAN    010414 3600 000000-010000   00     149.96  962.0    138.54    -2.00    -9999
MAGADAN    010414 3600 010000-020000   00     150.24  961.5    138.29    -2.20    -9999
MAGADAN    010414 3600 020000-030000   00     151.96  961.0    139.36    -1.40    -9999
MAGADAN    010414 3600 030000-040000   00     150.81  960.6    137.89    -2.40    -9999
MAGADAN    010414 3600 040000-050000   00     150.79  960.2    137.47    -2.70    -9999
MAGADAN    010414 3600 050000-060000   00     150.86  959.7    137.03    -3.00    -9999
MAGADAN    010414 3600 060000-070000   00     150.81  959.3    136.57    -3.40    -9999
MAGADAN    010414 3600 070000-080000   00     151.11  959.5    137.05    -3.00    -9999
MAGADAN    010414 3600 080000-090000   00     152.07  959.6    138.02    -2.30    -9999
MAGADAN    010414 3600 090000-100000   00     152.16  959.6    138.10    -2.30    -9999
MAGADAN    010414 3600 100000-110000   00     151.11  959.6    137.15    -3.00    -9999
MAGADAN    010414 3600 110000-120000   00     151.50  959.5    137.40    -2.80    -9999
MAGADAN    010414 3600 120000-130000   00     151.43  959.5    137.34    -2.80    -9999
MAGADAN    010414 3600 130000-140000   00     151.70  959.3    137.38    -2.80    -9999
MAGADAN    010414 3600 140000-150000   00     151.50  959.3    137.20    -2.90    -9999
MAGADAN    010414 3600 150000-160000   00     152.50  959.1    137.90    -2.40    -9999
MAGADAN    010414 3600 160000-170000   00     152.78  959.3    138.36    -2.10    -9999
MAGADAN    010414 3600 170000-180000   00     152.94  959.6    138.81    -1.80    -9999
MAGADAN    010414 3600 180000-190000   00     152.07  960.0    138.43    -2.10    -9999
MAGADAN    010414 3600 190000-200000   00     151.93  960.4    138.71    -1.90    -9999
MAGADAN    010414 3600 200000-210000   00     150.40  961.0    137.93    -2.40    -9999
MAGADAN    010414 3600 210000-220000   00     150.95  961.6    139.05    -1.60    -9999
MAGADAN    010414 3600 220000-230000   00     150.56  961.9    139.00    -1.70    -9999
MAGADAN    010414 3600 230000-240000   00     150.86  962.0    139.38    -1.40    -9999
MAGADAN    010415 3600 000000-010000   00     150.52  962.6    139.68    -1.20    -9999
MAGADAN    010415 3600 010000-020000   00     150.70  963.3    140.58    -0.50    -9999
MAGADAN    010415 3600 020000-030000   00     150.56  964.0    141.17    -0.10    -9999
MAGADAN    010415 3600 030000-040000   00     150.38  964.6    141.63     0.20    -9999
MAGADAN    010415 3600 040000-050000   00     150.06  964.9    141.65     0.20    -9999
MAGADAN    010415 3600 050000-060000   00     149.16  965.5    141.42     0.10    -9999
MAGADAN    010415 3600 060000-070000   00     149.53  966.1    142.40     0.80    -9999
MAGADAN    010415 3600 070000-080000   00     147.61  966.9    141.41     0.10    -9999
MAGADAN    010415 3600 080000-090000   00     146.19  967.4    140.56    -0.50    -9999
MAGADAN    010415 300  090000-090500   00     146.13  967.6    140.73    -0.40    -9999
MAGADAN    010415 300  090500-091000   00     145.65  967.7    140.32    -0.70    -9999
MAGADAN    010415 300  091000-091500   00     145.65  967.7    140.38    -0.70    -9999
MAGADAN    010415 300  091500-092000   00     144.91  967.8    139.73    -1.10    -9999
MAGADAN    010415 300  092000-092500   00     147.47  967.9    142.27     0.70    -9999
MAGADAN    010415 300  092500-093000   00     146.88  967.9    141.78     0.30    -9999
MAGADAN    010415 300  093000-093500   00     146.45  968.0    141.46     0.10    -9999
MAGADAN    010415 300  093500-094000   00     144.85  968.1    140.00    -0.90    -9999
MAGADAN    010415 300  094000-094500   00     146.19  968.2    141.39     0.00    -9999
MAGADAN    010415 300  094500-095000   00     146.93  968.3    142.21     0.60    -9999
MAGADAN    010415 300  095000-095500   00     145.92  968.4    141.34     0.00    -9999
MAGADAN    010415 300  095500-100000   00     146.99  968.5    142.49     0.80    -9999
MAGADAN    010415 300  100000-100500   00     144.80  968.6    140.51    -0.60    -9999
MAGADAN    010415 300  100500-101000   00     143.79  968.8    139.65    -1.20    -9999
MAGADAN    010415 300  101000-101500   00     145.76  968.9    141.70     0.30    -9999
MAGADAN    010415 300  101500-102000   00     145.01  969.0    141.11    -0.20    -9999
MAGADAN    010415 300  102000-102500   00     144.11  969.1    140.36    -0.70    -9999
MAGADAN    010415 300  102500-103000   00     143.36  969.3    139.77    -1.10    -9999
MAGADAN    010415 300  103000-103500   00     143.15  969.4    139.71    -1.20    -9999
MAGADAN    010415 300  103500-104000   00     142.88  969.6    139.60    -1.20    -9999
MAGADAN    010415 300  104000-104500   00     142.51  969.7    139.38    -1.40    -9999
MAGADAN    010415 300  104500-105000   00     142.72  969.9    139.75    -1.10    -9999
MAGADAN    010415 300  105000-105500   00     143.04  970.0    140.23    -0.80    -9999
MAGADAN    010415 300  105500-110000   00     142.93  970.2    140.29    -0.70    -9999
MAGADAN    010415 300  110000-110500   00     142.19  970.5    139.89    -1.00    -9999
MAGADAN    010415 300  110500-111000   00     143.15  970.7    141.01    -0.20    -9999
MAGADAN    010415 300  111000-111500   00     144.05  970.8    142.07     0.60    -9999
MAGADAN    010415 300  111500-112000   00     143.31  971.0    141.50     0.10    -9999
MAGADAN    010415 300  112000-112500   00     142.13  971.1    140.49    -0.60    -9999
MAGADAN    010415 300  112500-113000   00     142.35  971.3    140.85    -0.40    -9999
MAGADAN    010415 300  113000-113500   00     141.60  971.4    140.26    -0.80    -9999
MAGADAN    010415 300  113500-114000   00     144.48  971.5    143.26     1.40    -9999
MAGADAN    010415 300  114000-114500   00     142.83  971.7    141.75     0.30    -9999
MAGADAN    010415 300  114500-115000   00     141.55  971.8    140.61    -0.50    -9999
MAGADAN    010415 300  115000-115500   00     141.17  971.9    140.36    -0.70    -9999
MAGADAN    010415 300  115500-120000   00     140.69  972.0    140.01    -0.90    -9999
MAGADAN    010415 300  120000-120500   00     142.13  972.0    141.44     0.10    -9999
MAGADAN    010415 300  120500-121000   00     143.94  972.1    143.36     1.40    -9999
MAGADAN    010415 300  121000-121500   00     142.29  972.3    141.83     0.40    -9999
MAGADAN    010415 300  121500-122000   00     140.75  972.4    140.40    -0.70    -9999
MAGADAN    010415 300  122000-122500   00     140.85  972.5    140.62    -0.50    -9999
MAGADAN    010415 300  122500-123000   00     140.80  972.6    140.69    -0.40    -9999
MAGADAN    010415 300  123000-123500   00     140.11  972.7    140.12    -0.90    -9999
MAGADAN    010415 300  123500-124000   00     141.71  972.8    141.84     0.40    -9999
MAGADAN    010415 300  124000-124500   00     140.05  972.9    140.31    -0.70    -9999
MAGADAN    010415 300  124500-125000   00     140.48  973.1    140.86    -0.30    -9999
MAGADAN    010415 300  125000-125500   00     141.76  973.2    142.28     0.70    -9999
MAGADAN    010415 300  125500-130000   00     141.07  973.3    141.71     0.30    -9999
MAGADAN    010415 300  130000-130500   00     139.09  973.5    139.92    -1.00    -1.21
MAGADAN    010415 300  130500-131000   00     137.97  973.6    138.92    -1.70    -1.94
MAGADAN    010415 300  131000-131500   00     139.15  973.7    140.23    -0.80    -1.07
MAGADAN    010415 300  131500-132000   00     141.65  973.9    142.88     1.10     0.81
MAGADAN    010415 300  132000-132500   00     140.05  974.0    141.39     0.00    -0.32
MAGADAN    010415 300  132500-133000   00     140.59  974.1    142.05     0.50     0.16
MAGADAN    010415 300  133000-133500   00     138.67  974.2    140.23    -0.80    -1.17
MAGADAN    010415 300  133500-134000   00     139.41  974.3    141.10    -0.20    -0.60
MAGADAN    010415 300  134000-134500   00     139.31  974.4    141.10    -0.20    -0.62
MAGADAN    010415 300  134500-135000   00     139.79  974.5    141.70     0.30    -0.15
MAGADAN    010415 300  135000-135500   00     138.08  974.6    140.08    -0.90    -1.37
MAGADAN    010415 300  135500-140000   00     139.36  974.7    141.48     0.10    -0.40
MAGADAN    010415 300  140000-140500   00     153.60  974.8    155.99    10.40     9.87
MAGADAN    010415 300  140500-141000   00     173.76  974.9    176.59    24.90    24.35
MAGADAN    010415 300  141000-141500   00     190.66  975.0    193.92    37.20    36.62
MAGADAN    010415 300  141500-142000   00     200.16  975.1    203.74    44.20    43.60
MAGADAN    010415 300  142000-142500   00     204.96  975.2    208.78    47.70    47.07
