MOSCOW     LATITUDE    55.47     LONGITUDE     37.32     ALTITUDE    200 M
MOSCOW     INSTRUMENT   24NM64    NEUTRON MONITOR	
MOSCOW     STANDARD PRESSURE    991.5   MB     COEFFICIENT   -0.71     % / MB
MOSCOW     PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
MOSCOW     PRE-INCREASE AVERAGE COUNTING RATE    211.16      COUNTS PER SECOND
MOSCOW     TIME INTERVALS    300         3600     
MOSCOW     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
MOSCOW     010414 3600 000000-010000   00     210.65  986.6    203.39    -3.70    -9999
MOSCOW     010414 3600 010000-020000   00     211.06  986.3    203.36    -3.70    -9999
MOSCOW     010414 3600 020000-030000   00     212.13  986.2    204.24    -3.30    -9999
MOSCOW     010414 3600 030000-040000   00     211.88  986.1    203.85    -3.50    -9999
MOSCOW     010414 3600 040000-050000   00     214.42  986.0    206.15    -2.40    -9999
MOSCOW     010414 3600 050000-060000   00     213.59  985.9    205.21    -2.80    -9999
MOSCOW     010414 3600 060000-070000   00     214.09  985.8    205.54    -2.70    -9999
MOSCOW     010414 3600 070000-080000   00     214.84  985.5    205.82    -2.50    -9999
MOSCOW     010414 3600 080000-090000   00     216.07  985.3    206.70    -2.10    -9999
MOSCOW     010414 3600 090000-100000   00     217.60  985.0    207.72    -1.60    -9999
MOSCOW     010414 3600 100000-110000   00     217.73  984.8    207.55    -1.70    -9999
MOSCOW     010414 3600 110000-120000   00     218.65  984.4    207.83    -1.60    -9999
MOSCOW     010414 3600 120000-130000   00     216.69  984.0    205.37    -2.70    -9999
MOSCOW     010414 3600 130000-140000   00     217.78  983.8    206.12    -2.40    -9999
MOSCOW     010414 3600 140000-150000   00     218.78  983.5    206.62    -2.20    -9999
MOSCOW     010414 3600 150000-160000   00     218.97  983.3    206.50    -2.20    -9999
MOSCOW     010414 3600 160000-170000   00     218.45  983.3    206.01    -2.40    -9999
MOSCOW     010414 3600 170000-180000   00     218.07  983.4    205.80    -2.50    -9999
MOSCOW     010414 3600 180000-190000   00     216.89  983.4    204.68    -3.10    -9999
MOSCOW     010414 3600 190000-200000   00     215.22  983.7    203.55    -3.60    -9999
MOSCOW     010414 3600 200000-210000   00     215.02  983.7    203.36    -3.70    -9999
MOSCOW     010414 3600 210000-220000   00     215.40  984.0    204.16    -3.30    -9999
MOSCOW     010414 3600 220000-230000   00     215.50  983.8    203.96    -3.40    -9999
MOSCOW     010414 3600 230000-240000   00     216.65  983.4    204.46    -3.20    -9999
MOSCOW     010415 3600 000000-010000   00     218.52  983.3    206.07    -2.40    -9999
MOSCOW     010415 3600 010000-020000   00     217.77  983.9    206.25    -2.30    -9999
MOSCOW     010415 3600 020000-030000   00     215.04  985.5    206.01    -2.40    -9999
MOSCOW     010415 3600 030000-040000   00     214.56  986.6    207.17    -1.90    -9999
MOSCOW     010415 3600 040000-050000   00     213.16  987.7    207.44    -1.80    -9999
MOSCOW     010415 3600 050000-060000   00     212.08  988.6    207.72    -1.60    -9999
MOSCOW     010415 3600 060000-070000   00     210.03  989.3    206.75    -2.10    -9999
MOSCOW     010415 3600 070000-080000   00     211.33  990.0    209.07    -1.00    -9999
MOSCOW     010415 3600 080000-090000   00     210.53  990.3    208.73    -1.20    -9999
MOSCOW     010415 300  090000-090500   00     212.16  990.4    210.56    -0.30    -9999
MOSCOW     010415 300  090500-091000   00     212.53  990.5    210.96    -0.10    -9999
MOSCOW     010415 300  091000-091500   00     211.87  990.5    210.34    -0.40    -9999
MOSCOW     010415 300  091500-092000   00     211.44  990.5    209.96    -0.50    -9999
MOSCOW     010415 300  092000-092500   00     212.43  990.5    210.99    -0.10    -9999
MOSCOW     010415 300  092500-093000   00     212.14  990.6    210.74    -0.20    -9999
MOSCOW     010415 300  093000-093500   00     210.68  990.6    209.33    -0.90    -9999
MOSCOW     010415 300  093500-094000   00     210.76  990.6    209.46    -0.80    -9999
MOSCOW     010415 300  094000-094500   00     212.30  990.7    211.03    -0.10    -9999
MOSCOW     010415 300  094500-095000   00     213.61  990.7    212.39     0.60    -9999
MOSCOW     010415 300  095000-095500   00     211.95  990.7    210.78    -0.20    -9999
MOSCOW     010415 300  095500-100000   00     210.25  990.8    209.14    -1.00    -9999
MOSCOW     010415 300  100000-100500   00     213.53  990.8    212.49     0.60    -9999
MOSCOW     010415 300  100500-101000   00     212.07  990.8    211.09     0.00    -9999
MOSCOW     010415 300  101000-101500   00     211.73  990.9    210.80    -0.20    -9999
MOSCOW     010415 300  101500-102000   00     212.81  990.9    211.91     0.40    -9999
MOSCOW     010415 300  102000-102500   00     212.56  990.9    211.71     0.30    -9999
MOSCOW     010415 300  102500-103000   00     212.51  991.0    211.72     0.30    -9999
MOSCOW     010415 300  103000-103500   00     212.76  991.0    212.01     0.40    -9999
MOSCOW     010415 300  103500-104000   00     211.26  991.0    210.56    -0.30    -9999
MOSCOW     010415 300  104000-104500   00     211.11  991.1    210.45    -0.30    -9999
MOSCOW     010415 300  104500-105000   00     208.48  991.1    207.87    -1.60    -9999
MOSCOW     010415 300  105000-105500   00     211.42  991.1    210.83    -0.20    -9999
MOSCOW     010415 300  105500-110000   00     213.22  991.1    212.67     0.70    -9999
MOSCOW     010415 300  110000-110500   00     211.58  991.2    211.07     0.00    -9999
MOSCOW     010415 300  110500-111000   00     211.40  991.2    210.93    -0.10    -9999
MOSCOW     010415 300  111000-111500   00     209.96  991.2    209.53    -0.80    -9999
MOSCOW     010415 300  111500-112000   00     210.88  991.2    210.48    -0.30    -9999
MOSCOW     010415 300  112000-112500   00     208.65  991.3    208.29    -1.40    -9999
MOSCOW     010415 300  112500-113000   00     209.61  991.3    209.29    -0.90    -9999
MOSCOW     010415 300  113000-113500   00     212.82  991.3    212.52     0.60    -9999
MOSCOW     010415 300  113500-114000   00     213.16  991.3    212.89     0.80    -9999
MOSCOW     010415 300  114000-114500   00     210.50  991.3    210.27    -0.40    -9999
MOSCOW     010415 300  114500-115000   00     210.29  991.4    210.08    -0.50    -9999
MOSCOW     010415 300  115000-115500   00     211.79  991.4    211.61     0.20    -9999
MOSCOW     010415 300  115500-120000   00     210.88  991.4    210.72    -0.20    -9999
MOSCOW     010415 300  120000-120500   00     211.52  991.4    211.39     0.10    -9999
MOSCOW     010415 300  120500-121000   00     211.90  991.4    211.79     0.30    -9999
MOSCOW     010415 300  121000-121500   00     212.13  991.4    212.04     0.40    -9999
MOSCOW     010415 300  121500-122000   00     213.05  991.5    212.99     0.90    -9999
MOSCOW     010415 300  122000-122500   00     210.36  991.5    210.32    -0.40    -9999
MOSCOW     010415 300  122500-123000   00     211.16  991.5    211.15     0.00    -9999
MOSCOW     010415 300  123000-123500   00     209.43  991.5    209.44    -0.80    -9999
MOSCOW     010415 300  123500-124000   00     211.45  991.5    211.47     0.10    -9999
MOSCOW     010415 300  124000-124500   00     212.31  991.5    212.35     0.60    -9999
MOSCOW     010415 300  124500-125000   00     210.47  991.5    210.53    -0.30    -9999
MOSCOW     010415 300  125000-125500   00     209.36  991.5    209.43    -0.80    -9999
MOSCOW     010415 300  125500-130000   00     210.81  991.6    210.90    -0.10    -9999
MOSCOW     010415 300  130000-130500   00     211.66  991.6    211.73     0.30     0.41
MOSCOW     010415 300  130500-131000   00     210.48  991.6    210.57    -0.30    -0.20
MOSCOW     010415 300  131000-131500   00     214.52  991.6    214.62     1.60     1.70
MOSCOW     010415 300  131500-132000   00     213.02  991.6    213.14     0.90     1.00
MOSCOW     010415 300  132000-132500   00     213.29  991.6    213.42     1.10     1.20
MOSCOW     010415 300  132500-133000   00     211.13  991.6    211.27     0.10     0.19
MOSCOW     010415 300  133000-133500   00     214.61  991.6    214.77     1.70     1.79
MOSCOW     010415 300  133500-134000   00     212.80  991.6    212.97     0.80     0.89
MOSCOW     010415 300  134000-134500   00     211.91  991.6    212.09     0.40     0.49
MOSCOW     010415 300  134500-135000   00     211.22  991.6    211.41     0.10     0.18
MOSCOW     010415 300  135000-135500   00     209.71  991.6    209.91    -0.60    -0.52
MOSCOW     010415 300  135500-140000   00     211.68  991.6    211.89     0.40     0.48
MOSCOW     010415 300  140000-140500   00     217.18  991.6    217.38     2.90     2.97
MOSCOW     010415 300  140500-141000   00     231.31  991.6    231.53     9.60     9.67
MOSCOW     010415 300  141000-141500   00     248.23  991.6    248.49    17.70    17.77
MOSCOW     010415 300  141500-142000   00     256.27  991.7    256.56    21.50    21.57
MOSCOW     010415 300  142000-142500   00     261.59  991.7    261.91    24.00    24.06
MOSCOW     010415 300  142500-143000   00     264.79  991.7    265.14    25.60    25.66
MOSCOW     010415 300  143000-143500   00     268.12  991.7    268.51    27.10    27.16
MOSCOW     010415 300  143500-144000   00     260.71  991.7    261.12    23.70    23.75
MOSCOW     010415 300  144000-144500   00     262.04  991.7    262.49    24.30    24.35
MOSCOW     010415 300  144500-145000   00     261.34  991.8    261.83    24.00    24.05
MOSCOW     010415 300  145000-145500   00     259.80  991.8    260.32    23.30    23.34
MOSCOW     010415 300  145500-150000   00     255.56  991.8    256.12    21.30    21.34
MOSCOW     010415 300  150000-150500   00     251.48  991.9    252.12    19.40    19.44
MOSCOW     010415 300  150500-151000   00     248.09  991.9    248.76    17.80    17.83
MOSCOW     010415 300  151000-151500   00     247.66  991.9    248.38    17.60    17.63
MOSCOW     010415 300  151500-152000   00     245.40  991.9    246.15    16.60    16.63
MOSCOW     010415 300  152000-152500   00     242.10  992.0    242.89    15.00    15.02
MOSCOW     010415 300  152500-153000   00     239.11  992.0    239.93    13.60    13.62
MOSCOW     010415 300  153000-153500   00     237.33  992.0    238.19    12.80    12.81
MOSCOW     010415 300  153500-154000   00     237.03  992.0    237.92    12.70    12.71
MOSCOW     010415 300  154000-154500   00     233.42  992.1    234.34    11.00    11.01
MOSCOW     010415 300  154500-155000   00     234.85  992.1    235.82    11.70    11.70
MOSCOW     010415 300  155000-155500   00     232.22  992.1    233.22    10.50    10.50
MOSCOW     010415 300  155500-160000   00     232.90  992.1    233.95    10.80    10.80
MOSCOW     010415 300  160000-160500   00     230.68  992.1    231.71     9.80     9.79
MOSCOW     010415 300  160500-161000   00     228.28  992.2    229.35     8.60     8.59
