MEXICOCITY LATITUDE    19.33     LONGITUDE     260.82    ALTITUDE    2274 M
MEXICOCITY INSTRUMENT   6-NM-64  NEUTRON MONITOR
MEXICOCITY STANDARD PRESSURE    779     MB     COEFFICIENT   -0.7125   % / MB
MEXICOCITY PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
MEXICOCITY PRE-INCREASE AVERAGE COUNTING RATE    203.78      COUNTS PER SECOND
MEXICOCITY TIME INTERVALS    300         3600     
MEXICOCITY SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
MEXICOCITY 010414 3600 000000-010000   00    -999.00 -999.0   -999.00    -9999    -9999
MEXICOCITY 010414 3600 010000-020000   00    -999.00 -999.0   -999.00    -9999    -9999
MEXICOCITY 010414 3600 020000-030000   00    -999.00 -999.0   -999.00    -9999    -9999
MEXICOCITY 010414 3600 030000-040000   00     204.55  774.8    198.92    -2.40    -9999
MEXICOCITY 010414 3600 040000-050000   00     203.91  775.1    198.75    -2.50    -9999
MEXICOCITY 010414 3600 050000-060000   00     204.08  775.6    199.65    -2.00    -9999
MEXICOCITY 010414 3600 060000-070000   00     204.29  775.4    199.63    -2.00    -9999
MEXICOCITY 010414 3600 070000-080000   00     204.30  775.1    199.16    -2.30    -9999
MEXICOCITY 010414 3600 080000-090000   00     206.31  774.7    200.61    -1.60    -9999
MEXICOCITY 010414 3600 090000-100000   00     207.16  774.3    200.79    -1.50    -9999
MEXICOCITY 010414 3600 100000-110000   00     207.55  774.4    201.34    -1.20    -9999
MEXICOCITY 010414 3600 110000-120000   00     207.40  774.6    201.47    -1.10    -9999
MEXICOCITY 010414 3600 120000-130000   00     205.96  774.9    200.56    -1.60    -9999
MEXICOCITY 010414 3600 130000-140000   00     205.44  775.2    200.46    -1.60    -9999
MEXICOCITY 010414 3600 140000-150000   00     204.96  775.3    200.11    -1.80    -9999
MEXICOCITY 010414 3600 150000-160000   00     205.81  775.2    200.85    -1.40    -9999
MEXICOCITY 010414 3600 160000-170000   00     207.16  775.0    201.84    -1.00    -9999
MEXICOCITY 010414 3600 170000-180000   00     208.69  774.5    202.51    -0.60    -9999
MEXICOCITY 010414 3600 180000-190000   00     209.56  773.6    202.12    -0.80    -9999
MEXICOCITY 010414 3600 190000-200000   00     212.41  772.5    203.23    -0.30    -9999
MEXICOCITY 010414 3600 200000-210000   00     213.35  771.5    202.67    -0.50    -9999
MEXICOCITY 010414 3600 210000-220000   00     212.97  771.0    201.72    -1.00    -9999
MEXICOCITY 010414 3600 220000-230000   00     212.22  772.2    202.66    -0.50    -9999
MEXICOCITY 010414 3600 230000-240000   00     207.95  773.9    200.97    -1.40    -9999
MEXICOCITY 010415 3600 000000-010000   00     208.43  773.9    201.43    -1.20    -9999
MEXICOCITY 010415 3600 010000-020000   00     207.10  774.3    200.76    -1.50    -9999
MEXICOCITY 010415 3600 020000-030000   00     208.15  774.0    201.32    -1.20    -9999
MEXICOCITY 010415 3600 030000-040000   00     207.67  774.4    201.51    -1.10    -9999
MEXICOCITY 010415 3600 040000-050000   00     207.24  774.8    201.56    -1.10    -9999
MEXICOCITY 010415 3600 050000-060000   00     207.69  774.7    201.84    -1.00    -9999
MEXICOCITY 010415 3600 060000-070000   00     207.48  774.5    201.47    -1.10    -9999
MEXICOCITY 010415 3600 070000-080000   00     208.33  774.1    201.65    -1.00    -9999
MEXICOCITY 010415 300  080000-080500   00     207.07  773.9    200.17    -1.80    -9999
MEXICOCITY 010415 300  080500-081000   00     208.10  773.8    201.00    -1.40    -9999
MEXICOCITY 010415 300  081000-081500   00     210.97  773.8    203.77     0.00    -9999
MEXICOCITY 010415 300  081500-082000   00     210.43  773.8    203.27    -0.30    -9999
MEXICOCITY 010415 300  082000-082500   00     208.40  773.7    201.17    -1.30    -9999
MEXICOCITY 010415 300  082500-083000   00     208.73  773.7    201.47    -1.10    -9999
MEXICOCITY 010415 300  083000-083500   00     210.63  773.7    203.30    -0.20    -9999
MEXICOCITY 010415 300  083500-084000   00     207.43  773.7    200.23    -1.70    -9999
MEXICOCITY 010415 300  084000-084500   00     213.10  773.6    205.53     0.90    -9999
MEXICOCITY 010415 300  084500-085000   00     211.23  773.5    203.60    -0.10    -9999
MEXICOCITY 010415 300  085000-085500   00     210.30  773.5    202.70    -0.50    -9999
MEXICOCITY 010415 300  085500-090000   00     207.93  773.4    200.27    -1.70    -9999
