NORILSK    LATITUDE    69.26     LONGITUDE     88.05     ALTITUDE    0 M
NORILSK    INSTRUMENT   18NM64    NEUTRON MONITOR     	
NORILSK    STANDARD PRESSURE    1017.1  MB     COEFFICIENT   -0.71     % / MB
NORILSK    PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
NORILSK    PRE-INCREASE AVERAGE COUNTING RATE     97.66      COUNTS PER SECOND
NORILSK    TIME INTERVALS    300         3600     
NORILSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
NORILSK    010414 3600 000000-010000   00      96.19 1014.1     94.16    -3.60    -9999
NORILSK    010414 3600 010000-020000   00      96.85 1014.0     94.74    -3.00    -9999
NORILSK    010414 3600 020000-030000   00      96.76 1014.1     94.72    -3.00    -9999
NORILSK    010414 3600 030000-040000   00      96.59 1014.4     94.76    -3.00    -9999
NORILSK    010414 3600 040000-050000   00      96.94 1014.6     95.23    -2.50    -9999
NORILSK    010414 3600 050000-060000   00      97.15 1014.8     95.58    -2.10    -9999
NORILSK    010414 3600 060000-070000   00      97.36 1015.1     95.99    -1.70    -9999
NORILSK    010414 3600 070000-080000   00      97.00 1015.4     95.84    -1.90    -9999
NORILSK    010414 3600 080000-090000   00      96.79 1015.8     95.90    -1.80    -9999
NORILSK    010414 3600 090000-100000   00      96.36 1016.1     95.68    -2.00    -9999
NORILSK    010414 3600 100000-110000   00      96.20 1016.3     95.66    -2.00    -9999
NORILSK    010414 3600 110000-120000   00      96.07 1016.4     95.59    -2.10    -9999
NORILSK    010414 3600 120000-130000   00      96.26 1016.4     95.78    -1.90    -9999
NORILSK    010414 3600 130000-140000   00      96.28 1016.3     95.73    -2.00    -9999
NORILSK    010414 3600 140000-150000   00      95.82 1016.1     95.14    -2.60    -9999
NORILSK    010414 3600 150000-160000   00      95.62 1016.1     94.94    -2.80    -9999
NORILSK    010414 3600 160000-170000   00      95.47 1016.4     94.99    -2.70    -9999
NORILSK    010414 3600 170000-180000   00      95.34 1016.6     95.00    -2.70    -9999
NORILSK    010414 3600 180000-190000   00      91.90 1016.8     91.70    -6.10    -9999
NORILSK    010414 3600 190000-200000   00      94.72 1017.0     94.66    -3.10    -9999
NORILSK    010414 3600 200000-210000   00      94.59 1017.4     94.79    -2.90    -9999
NORILSK    010414 3600 210000-220000   00      95.05 1017.6     95.39    -2.30    -9999
NORILSK    010414 3600 220000-230000   00      95.26 1017.7     95.67    -2.00    -9999
NORILSK    010414 3600 230000-240000   00      94.75 1018.0     95.36    -2.40    -9999
NORILSK    010415 3600 000000-010000   00      95.79 1017.9     96.34    -1.30    -9999
NORILSK    010415 3600 010000-020000   00      95.84 1017.8     96.31    -1.40    -9999
NORILSK    010415 3600 020000-030000   00      96.42 1018.0     97.04    -0.60    -9999
NORILSK    010415 3600 030000-040000   00      95.94 1018.2     96.70    -1.00    -9999
