NEWARK     LATITUDE    39.7      LONGITUDE     -75.7     ALTITUDE    50 M
NEWARK     INSTRUMENT   9NM64    NEUTRON MONITOR     	
NEWARK     STANDARD PRESSURE    1007.3  MB     COEFFICIENT   -0.74     % / MB
NEWARK     PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
NEWARK     PRE-INCREASE AVERAGE COUNTING RATE     88.49      COUNTS PER SECOND
NEWARK     TIME INTERVALS    300         3600     
NEWARK     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
NEWARK     010414 3600 000000-010000   00      84.81 1006.9     84.55    -4.40    -9999
NEWARK     010414 3600 010000-020000   00      84.47 1007.7     84.72    -4.30    -9999
NEWARK     010414 3600 020000-030000   00      84.58 1008.3     85.17    -3.70    -9999
NEWARK     010414 3600 030000-040000   00      84.36 1008.5     85.12    -3.80    -9999
NEWARK     010414 3600 040000-050000   00      84.00 1009.1     85.09    -3.80    -9999
NEWARK     010414 3600 050000-060000   00      84.08 1009.2     85.26    -3.60    -9999
NEWARK     010414 3600 060000-070000   00      84.50 1009.1     85.59    -3.30    -9999
NEWARK     010414 3600 070000-080000   00      84.58 1009.2     85.76    -3.10    -9999
NEWARK     010414 3600 080000-090000   00      85.39 1009.6     86.84    -1.90    -9999
NEWARK     010414 3600 090000-100000   00      85.11 1009.7     86.64    -2.10    -9999
NEWARK     010414 3600 100000-110000   00      84.42 1010.4     86.36    -2.40    -9999
NEWARK     010414 3600 110000-120000   00      84.00 1010.9     86.28    -2.50    -9999
NEWARK     010414 3600 120000-130000   00      83.94 1010.9     86.22    -2.60    -9999
NEWARK     010414 3600 130000-140000   00      84.31 1011.1     86.68    -2.00    -9999
NEWARK     010414 3600 140000-150000   00      84.81 1011.1     87.19    -1.50    -9999
NEWARK     010414 3600 150000-160000   00      85.36 1010.8     87.59    -1.00    -9999
NEWARK     010414 3600 160000-170000   00      86.00 1010.1     87.81    -0.80    -9999
NEWARK     010414 3600 170000-180000   00      86.64 1009.6     88.11    -0.40    -9999
NEWARK     010414 3600 180000-190000   00      86.78 1009.1     87.90    -0.70    -9999
NEWARK     010414 3600 190000-200000   00      87.56 1008.3     88.16    -0.40    -9999
NEWARK     010414 3600 200000-210000   00      87.19 1007.5     87.28    -1.40    -9999
NEWARK     010414 3600 210000-220000   00      86.94 1007.2     86.86    -1.80    -9999
NEWARK     010414 3600 220000-230000   00      87.58 1007.2     87.50    -1.10    -9999
NEWARK     010414 3600 230000-240000   00      86.78 1007.1     86.61    -2.10    -9999
NEWARK     010415 3600 000000-010000   00      86.83 1007.1     86.66    -2.10    -9999
NEWARK     010415 3600 010000-020000   00      87.19 1007.1     87.02    -1.70    -9999
NEWARK     010415 3600 020000-030000   00      87.44 1006.9     87.19    -1.50    -9999
NEWARK     010415 3600 030000-040000   00      87.64 1006.7     87.21    -1.40    -9999
NEWARK     010415 3600 040000-050000   00      87.17 1006.7     86.74    -2.00    -9999
NEWARK     010415 3600 050000-060000   00      87.08 1006.5     86.57    -2.20    -9999
NEWARK     010415 3600 060000-070000   00      87.56 1006.7     87.12    -1.50    -9999
NEWARK     010415 3600 070000-080000   00      87.64 1006.8     87.29    -1.30    -9999
NEWARK     010415 3600 080000-090000   00      88.50 1006.8     88.15    -0.40    -9999
NEWARK     010415 300  090000-090500   00      86.61 1006.8     86.26    -2.50    -9999
NEWARK     010415 300  090500-091000   00      90.13 1006.8     89.76     1.40    -9999
NEWARK     010415 300  091000-091500   00      87.89 1006.8     87.54    -1.10    -9999
NEWARK     010415 300  091500-092000   00      88.53 1006.8     88.17    -0.40    -9999
NEWARK     010415 300  092000-092500   00      87.25 1006.8     86.90    -1.80    -9999
NEWARK     010415 300  092500-093000   00      88.53 1006.8     88.18    -0.40    -9999
NEWARK     010415 300  093000-093500   00      89.17 1006.8     88.82     0.30    -9999
NEWARK     010415 300  093500-094000   00      89.17 1006.8     88.82     0.40    -9999
NEWARK     010415 300  094000-094500   00      88.21 1006.8     87.87    -0.70    -9999
NEWARK     010415 300  094500-095000   00      87.89 1006.8     87.56    -1.00    -9999
NEWARK     010415 300  095000-095500   00      89.49 1006.8     89.16     0.80    -9999
NEWARK     010415 300  095500-100000   00      89.17 1006.8     88.85     0.40    -9999
NEWARK     010415 300  100000-100500   00      89.53 1006.9     89.21     0.80    -9999
NEWARK     010415 300  100500-101000   00      86.93 1006.9     86.63    -2.10    -9999
NEWARK     010415 300  101000-101500   00      87.25 1006.9     86.96    -1.70    -9999
NEWARK     010415 300  101500-102000   00      87.58 1006.9     87.29    -1.40    -9999
NEWARK     010415 300  102000-102500   00      87.25 1006.9     86.98    -1.70    -9999
NEWARK     010415 300  102500-103000   00      87.26 1006.9     86.99    -1.70    -9999
NEWARK     010415 300  103000-103500   00      86.62 1006.9     86.36    -2.40    -9999
NEWARK     010415 300  103500-104000   00      89.49 1007.0     89.24     0.80    -9999
NEWARK     010415 300  104000-104500   00      86.93 1007.0     86.70    -2.00    -9999
NEWARK     010415 300  104500-105000   00      87.57 1007.0     87.35    -1.30    -9999
NEWARK     010415 300  105000-105500   00      89.49 1007.0     89.28     0.90    -9999
NEWARK     010415 300  105500-110000   00      86.61 1007.0     86.42    -2.30    -9999
NEWARK     010415 300  110000-110500   00      85.98 1007.1     85.82    -3.00    -9999
NEWARK     010415 300  110500-111000   00      89.49 1007.1     89.34     1.00    -9999
NEWARK     010415 300  111000-111500   00      86.93 1007.1     86.80    -1.90    -9999
NEWARK     010415 300  111500-112000   00      88.54 1007.1     88.41    -0.10    -9999
NEWARK     010415 300  112000-112500   00      90.45 1007.2     90.34     2.10    -9999
NEWARK     010415 300  112500-113000   00      87.25 1007.2     87.16    -1.50    -9999
NEWARK     010415 300  113000-113500   00      87.57 1007.2     87.49    -1.20    -9999
NEWARK     010415 300  113500-114000   00      87.25 1007.2     87.18    -1.50    -9999
NEWARK     010415 300  114000-114500   00      88.21 1007.2     88.14    -0.40    -9999
NEWARK     010415 300  114500-115000   00      87.57 1007.2     87.52    -1.10    -9999
NEWARK     010415 300  115000-115500   00      88.21 1007.3     88.17    -0.30    -9999
NEWARK     010415 300  115500-120000   00      88.21 1007.3     88.17    -0.30    -9999
NEWARK     010415 300  120000-120500   00      88.61 1007.3     88.61     0.10    -9999
NEWARK     010415 300  120500-121000   00      87.58 1007.3     87.58    -1.00    -9999
NEWARK     010415 300  121000-121500   00      88.21 1007.3     88.22    -0.30    -9999
NEWARK     010415 300  121500-122000   00      88.53 1007.3     88.54     0.00    -9999
NEWARK     010415 300  122000-122500   00      89.49 1007.3     89.50     1.10    -9999
NEWARK     010415 300  122500-123000   00      87.25 1007.3     87.26    -1.40    -9999
NEWARK     010415 300  123000-123500   00      88.85 1007.3     88.85     0.40    -9999
NEWARK     010415 300  123500-124000   00      88.85 1007.3     88.84     0.40    -9999
NEWARK     010415 300  124000-124500   00      89.49 1007.3     89.47     1.10    -9999
