OULU       LATITUDE    65.02     LONGITUDE     25.5      ALTITUDE    0 M
OULU       INSTRUMENT   9NM64    NEUTRON MONITOR     	
OULU       STANDARD PRESSURE    996.5   mb     COEFFICIENT   -0.74     % / mb
OULU       PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
OULU       PRE-INCREASE AVERAGE COUNTING RATE     94.63      COUNTS PER SECOND
OULU       TIME INTERVALS    300         3600     
OULU       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
OULU       010414 3600 000000-010000   00      73.11 1026.9     91.55    -3.30    -9999
OULU       010414 3600 010000-020000   00      73.75 1026.8     92.28    -2.50    -9999
OULU       010414 3600 020000-030000   00      73.55 1026.6     91.90    -2.90    -9999
OULU       010414 3600 030000-040000   00      73.94 1026.7     92.46    -2.30    -9999
OULU       010414 3600 040000-050000   00      73.84 1026.6     92.26    -2.50    -9999
OULU       010414 3600 050000-060000   00      74.11 1026.2     92.32    -2.40    -9999
OULU       010414 3600 060000-070000   00      75.07 1026.0     93.39    -1.30    -9999
OULU       010414 3600 070000-080000   00      74.71 1025.7     92.73    -2.00    -9999
OULU       010414 3600 080000-090000   00      75.83 1025.1     93.71    -1.00    -9999
OULU       010414 3600 090000-100000   00      76.21 1024.3     93.62    -1.10    -9999
OULU       010414 3600 100000-110000   00      76.88 1023.4     93.81    -0.90    -9999
OULU       010414 3600 110000-120000   00      77.57 1022.3     93.89    -0.80    -9999
OULU       010414 3600 120000-130000   00      77.84 1021.2     93.45    -1.30    -9999
OULU       010414 3600 130000-140000   00      77.94 1020.3     92.95    -1.80    -9999
OULU       010414 3600 140000-150000   00      78.94 1019.6     93.65    -1.00    -9999
OULU       010414 3600 150000-160000   00      79.04 1018.8     93.22    -1.50    -9999
OULU       010414 3600 160000-170000   00      79.71 1018.0     93.46    -1.20    -9999
