POTCHEFSTR LATITUDE    -26.68    LONGITUDE     27.92     ALTITUDE    1351 M
POTCHEFSTR INSTRUMENT   12IGY    NEUTRON MONITOR     
POTCHEFSTR STANDARD PRESSURE    660     MMHG   COEFFICIENT   0.99      % / MMHG
POTCHEFSTR PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
POTCHEFSTR PRE-INCREASE AVERAGE COUNTING RATE     49.61      COUNTS PER SECOND
POTCHEFSTR TIME INTERVALS    300         3600     
POTCHEFSTR SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
POTCHEFSTR 010414 3600 000000-010000   00    -999.00 -999.0     48.28    -2.70    -9999
POTCHEFSTR 010414 3600 010000-020000   00    -999.00 -999.0     48.12    -3.00    -9999
POTCHEFSTR 010414 3600 020000-030000   00    -999.00 -999.0     48.54    -2.20    -9999
POTCHEFSTR 010414 3600 030000-040000   00    -999.00 -999.0     48.57    -2.10    -9999
POTCHEFSTR 010414 3600 040000-050000   00    -999.00 -999.0     48.25    -2.70    -9999
POTCHEFSTR 010414 3600 050000-060000   00    -999.00 -999.0     48.39    -2.50    -9999
POTCHEFSTR 010414 3600 060000-070000   00    -999.00 -999.0     48.81    -1.60    -9999
POTCHEFSTR 010414 3600 070000-080000   00    -999.00 -999.0     48.52    -2.20    -9999
POTCHEFSTR 010414 3600 080000-090000   00    -999.00 -999.0     48.60    -2.00    -9999
POTCHEFSTR 010414 3600 090000-100000   00    -999.00 -999.0     48.62    -2.00    -9999
POTCHEFSTR 010414 3600 100000-110000   00    -999.00 -999.0     48.89    -1.50    -9999
POTCHEFSTR 010414 3600 110000-120000   00    -999.00 -999.0     48.47    -2.30    -9999
POTCHEFSTR 010414 3600 120000-130000   00    -999.00 -999.0     48.54    -2.20    -9999
POTCHEFSTR 010414 3600 130000-140000   00    -999.00 -999.0     48.47    -2.30    -9999
POTCHEFSTR 010414 3600 140000-150000   00    -999.00 -999.0     48.99    -1.20    -9999
POTCHEFSTR 010414 3600 150000-160000   00    -999.00 -999.0     48.57    -2.10    -9999
POTCHEFSTR 010414 3600 160000-170000   00    -999.00 -999.0     48.68    -1.90    -9999
POTCHEFSTR 010414 3600 170000-180000   00    -999.00 -999.0     48.15    -2.90    -9999
POTCHEFSTR 010414 3600 180000-190000   00    -999.00 -999.0     48.44    -2.40    -9999
POTCHEFSTR 010414 3600 190000-200000   00    -999.00 -999.0     48.12    -3.00    -9999
POTCHEFSTR 010414 3600 200000-210000   00    -999.00 -999.0     47.65    -4.00    -9999
POTCHEFSTR 010414 3600 210000-220000   00    -999.00 -999.0     47.99    -3.30    -9999
POTCHEFSTR 010414 3600 220000-230000   00    -999.00 -999.0     48.36    -2.50    -9999
POTCHEFSTR 010414 3600 230000-240000   00    -999.00 -999.0     48.36    -2.50    -9999
