PEAWANUCK  LATITUDE    55        LONGITUDE     -85       ALTITUDE    0 M
PEAWANUCK  INSTRUMENT   18NM64    NEUTRON MONITOR     
PEAWANUCK  STANDARD PRESSURE    1021.1  MB     COEFFICIENT   -0.74     % / MB
PEAWANUCK  PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
PEAWANUCK  PRE-INCREASE AVERAGE COUNTING RATE    174.81      COUNTS PER SECOND
PEAWANUCK  TIME INTERVALS    300         3600     
PEAWANUCK  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
PEAWANUCK  010414 3600 000000-010000   00     182.64 1010.3    168.56    -3.60    -9999
PEAWANUCK  010414 3600 010000-020000   00     181.39 1010.9    168.24    -3.80    -9999
PEAWANUCK  010414 3600 020000-030000   00     181.36 1011.5    168.88    -3.40    -9999
PEAWANUCK  010414 3600 030000-040000   00     181.83 1011.7    169.66    -2.90    -9999
PEAWANUCK  010414 3600 040000-050000   00     181.92 1011.9    169.90    -2.80    -9999
PEAWANUCK  010414 3600 050000-060000   00     180.67 1012.0    168.90    -3.40    -9999
PEAWANUCK  010414 3600 060000-070000   00     181.31 1012.1    169.67    -2.90    -9999
PEAWANUCK  010414 3600 070000-080000   00     181.61 1012.3    170.12    -2.70    -9999
PEAWANUCK  010414 3600 080000-090000   00     182.28 1012.4    170.92    -2.20    -9999
PEAWANUCK  010414 3600 090000-100000   00     182.58 1012.5    171.37    -2.00    -9999
PEAWANUCK  010414 3600 100000-110000   00     183.08 1012.7    172.01    -1.60    -9999
PEAWANUCK  010414 3600 110000-120000   00     183.86 1013.1    173.26    -0.90    -9999
PEAWANUCK  010414 3600 120000-130000   00     184.08 1013.5    173.98    -0.50    -9999
PEAWANUCK  010414 3600 130000-140000   00     183.08 1013.7    173.38    -0.80    -9999
PEAWANUCK  010414 3600 140000-150000   00     180.64 1014.0    171.41    -1.90    -9999
PEAWANUCK  010414 3600 150000-160000   00     180.92 1014.4    172.18    -1.50    -9999
PEAWANUCK  010414 3600 160000-170000   00     181.19 1014.5    172.61    -1.30    -9999
PEAWANUCK  010414 3600 170000-180000   00     181.47 1014.7    173.05    -1.00    -9999
PEAWANUCK  010414 3600 180000-190000   00     181.17 1014.9    173.10    -1.00    -9999
PEAWANUCK  010414 3600 190000-200000   00     182.14 1015.2    174.38    -0.20    -9999
PEAWANUCK  010414 3600 200000-210000   00     181.75 1015.5    174.35    -0.30    -9999
