ROME       LATITUDE    41.86     LONGITUDE     12.47     ALTITUDE    0 M
ROME       INSTRUMENT   17-NM-64  NEUTRON MONITOR
ROME       STANDARD PRESSURE    1016.6  MB     COEFFICIENT   -0.71     % / MB
ROME       PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
ROME       PRE-INCREASE AVERAGE COUNTING RATE     11.58      COUNTS PER SECOND
ROME       TIME INTERVALS    300         3600     
ROME       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
ROME       010414 3600 000000-010000   00      11.96 1009.1     11.34    -2.10    -9999
ROME       010414 3600 010000-020000   00      11.97 1008.8     11.33    -2.20    -9999
ROME       010414 3600 020000-030000   00      12.01 1008.5     11.34    -2.10    -9999
ROME       010414 3600 030000-040000   00      12.05 1008.3     11.37    -1.80    -9999
ROME       010414 3600 040000-050000   00      12.18 1008.0     11.46    -1.00    -9999
ROME       010414 3600 050000-060000   00      12.09 1007.8     11.37    -1.80    -9999
ROME       010414 3600 060000-070000   00      12.14 1007.4     11.38    -1.70    -9999
ROME       010414 3600 070000-080000   00      12.17 1007.6     11.42    -1.40    -9999
ROME       010414 3600 080000-090000   00      12.09 1008.3     11.40    -1.60    -9999
ROME       010414 3600 090000-100000   00      12.03 1009.3     11.42    -1.40    -9999
ROME       010414 3600 100000-110000   00      12.07 1008.9     11.43    -1.30    -9999
ROME       010414 3600 110000-120000   00      11.95 1009.8     11.39    -1.60    -9999
ROME       010414 3600 120000-130000   00      11.89 1010.1     11.36    -1.90    -9999
ROME       010414 3600 130000-140000   00      11.92 1009.8     11.36    -1.90    -9999
ROME       010414 3600 140000-150000   00      11.97 1009.5     11.39    -1.60    -9999
ROME       010414 3600 150000-160000   00      11.99 1009.4     11.39    -1.60    -9999
ROME       010414 3600 160000-170000   00      11.99 1009.8     11.43    -1.30    -9999
ROME       010414 3600 170000-180000   00      11.91 1010.6     11.42    -1.40    -9999
ROME       010414 3600 180000-190000   00      11.71 1011.8     11.32    -2.20    -9999
ROME       010414 3600 190000-200000   00      11.61 1012.9     11.32    -2.20    -9999
ROME       010414 3600 200000-210000   00      11.55 1013.5     11.30    -2.40    -9999
ROME       010414 3600 210000-220000   00      11.53 1013.8     11.31    -2.30    -9999
ROME       010414 3600 220000-230000   00      11.45 1014.7     11.30    -2.40    -9999
ROME       010414 3600 230000-240000   00      11.47 1015.1     11.35    -2.00    -9999
ROME       010415 3600 000000-010000   00      11.48 1015.3     11.38    -1.70    -9999
ROME       010415 3600 010000-020000   00      11.48 1015.5     11.39    -1.60    -9999
ROME       010415 3600 020000-030000   00      11.47 1016.1     11.43    -1.30    -9999
ROME       010415 3600 030000-040000   00      11.42 1016.4     11.41    -1.50    -9999
ROME       010415 3600 040000-050000   00      11.44 1016.8     11.46    -1.00    -9999
ROME       010415 3600 050000-060000   00      11.34 1017.3     11.40    -1.60    -9999
ROME       010415 3600 060000-070000   00      11.36 1017.6     11.44    -1.20    -9999
ROME       010415 3600 070000-080000   00      11.38 1017.7     11.47    -0.90    -9999
ROME       010415 3600 080000-090000   00      11.52 1017.6     11.61     0.30    -9999
ROME       010415 300  090000-090500   00      11.56 1017.5     11.63     0.40    -9999
ROME       010415 300  090500-091000   00      11.63 1017.5     11.71     1.10    -9999
ROME       010415 300  091000-091500   00      11.30 1017.5     11.37    -1.80    -9999
ROME       010415 300  091500-092000   00      11.45 1017.4     11.52    -0.50    -9999
ROME       010415 300  092000-092500   00      11.32 1017.4     11.39    -1.60    -9999
ROME       010415 300  092500-093000   00      11.53 1017.4     11.60     0.20    -9999
ROME       010415 300  093000-093500   00      11.48 1017.4     11.54    -0.30    -9999
