SANAE      LATITUDE    -71.67    LONGITUDE     -2.85     ALTITUDE    856 M
SANAE      INSTRUMENT   6NM64    NEUTRON MONITOR	
SANAE      STANDARD PRESSURE    660     MMHG   COEFFICIENT   -0.97     % / MMHG
SANAE      PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
SANAE      PRE-INCREASE AVERAGE COUNTING RATE    140.47      COUNTS PER SECOND
SANAE      TIME INTERVALS    3600     
SANAE      SCALE FACTORS     1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
SANAE      010414 3600 000000-010000   00    -999.00 -999.0    133.56    -4.90    -9999
SANAE      010414 3600 010000-020000   00    -999.00 -999.0    133.78    -4.80    -9999
SANAE      010414 3600 020000-030000   00    -999.00 -999.0    134.47    -4.30    -9999
SANAE      010414 3600 030000-040000   00    -999.00 -999.0    133.89    -4.70    -9999
SANAE      010414 3600 040000-050000   00    -999.00 -999.0    134.25    -4.40    -9999
SANAE      010414 3600 050000-060000   00    -999.00 -999.0    134.25    -4.40    -9999
SANAE      010414 3600 060000-070000   00    -999.00 -999.0    134.47    -4.30    -9999
SANAE      010414 3600 070000-080000   00    -999.00 -999.0    134.81    -4.00    -9999
SANAE      010414 3600 080000-090000   00    -999.00 -999.0    135.50    -3.50    -9999
SANAE      010414 3600 090000-100000   00    -999.00 -999.0    135.83    -3.30    -9999
SANAE      010414 3600 100000-110000   00    -999.00 -999.0    135.94    -3.20    -9999
SANAE      010414 3600 110000-120000   00    -999.00 -999.0    136.17    -3.10    -9999
SANAE      010414 3600 120000-130000   00    -999.00 -999.0    135.83    -3.30    -9999
SANAE      010414 3600 130000-140000   00    -999.00 -999.0    135.50    -3.50    -9999
SANAE      010414 3600 140000-150000   00    -999.00 -999.0    135.94    -3.20    -9999
SANAE      010414 3600 150000-160000   00    -999.00 -999.0    135.94    -3.20    -9999
SANAE      010414 3600 160000-170000   00    -999.00 -999.0    135.72    -3.40    -9999
SANAE      010414 3600 170000-180000   00    -999.00 -999.0    136.06    -3.10    -9999
SANAE      010414 3600 180000-190000   00    -999.00 -999.0    136.72    -2.70    -9999
SANAE      010414 3600 190000-200000   00    -999.00 -999.0    136.17    -3.10    -9999
SANAE      010414 3600 200000-210000   00    -999.00 -999.0    135.50    -3.50    -9999
SANAE      010414 3600 210000-220000   00    -999.00 -999.0    134.58    -4.20    -9999
SANAE      010414 3600 220000-230000   00    -999.00 -999.0    134.47    -4.30    -9999
SANAE      010414 3600 230000-240000   00    -999.00 -999.0    134.47    -4.30    -9999
SANAE      010415 3600 000000-010000   00    -999.00 -999.0    135.25    -3.70    -9999
SANAE      010415 3600 010000-020000   00    -999.00 -999.0    135.36    -3.60    -9999
SANAE      010415 3600 020000-030000   00    -999.00 -999.0    135.61    -3.50    -9999
