SOUTH POLE LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOUTH POLE INSTRUMENT   3NM64    NEUTRON MONITOR     	
SOUTH POLE STANDARD PRESSURE    676.4   MB     COEFFICIENT   -0.75     % / MB
SOUTH POLE PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
SOUTH POLE PRE-INCREASE AVERAGE COUNTING RATE    250.08      COUNTS PER SECOND
SOUTH POLE TIME INTERVALS    300         3600     
SOUTH POLE SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
SOUTH POLE 010414 3600 000000-010000   00     239.72  675.1    237.34    -5.10    -9999
SOUTH POLE 010414 3600 010000-020000   00     241.94  675.1    239.54    -4.20    -9999
SOUTH POLE 010414 3600 020000-030000   00     242.17  675.2    240.00    -4.00    -9999
SOUTH POLE 010414 3600 030000-040000   00     242.86  675.3    240.93    -3.70    -9999
SOUTH POLE 010414 3600 040000-050000   00     242.22  675.3    240.29    -3.90    -9999
SOUTH POLE 010414 3600 050000-060000   00     241.64  675.6    240.19    -4.00    -9999
SOUTH POLE 010414 3600 060000-070000   00     241.94  675.9    240.98    -3.60    -9999
SOUTH POLE 010414 3600 070000-080000   00     243.08  675.7    241.87    -3.30    -9999
SOUTH POLE 010414 3600 080000-090000   00     243.25  675.9    242.28    -3.10    -9999
SOUTH POLE 010414 3600 090000-100000   00     245.11  675.9    244.13    -2.40    -9999
SOUTH POLE 010414 3600 100000-110000   00     244.47  676.3    244.23    -2.30    -9999
SOUTH POLE 010414 3600 110000-120000   00     243.53  676.3    243.28    -2.70    -9999
SOUTH POLE 010414 3600 120000-130000   00     241.92  676.4    241.92    -3.30    -9999
SOUTH POLE 010414 3600 130000-140000   00     241.83  676.5    242.08    -3.20    -9999
SOUTH POLE 010414 3600 140000-150000   00     242.33  676.4    242.33    -3.10    -9999
SOUTH POLE 010414 3600 150000-160000   00     241.61  676.4    241.61    -3.40    -9999
SOUTH POLE 010414 3600 160000-170000   00     242.50  676.5    242.74    -2.90    -9999
SOUTH POLE 010414 3600 170000-180000   00     243.56  676.4    243.56    -2.60    -9999
SOUTH POLE 010414 3600 180000-190000   00     243.67  676.5    243.91    -2.50    -9999
SOUTH POLE 010414 3600 190000-200000   00     243.61  676.5    243.85    -2.50    -9999
SOUTH POLE 010414 3600 200000-210000   00     242.39  676.8    243.12    -2.80    -9999
SOUTH POLE 010414 3600 210000-220000   00     241.75  676.8    242.48    -3.00    -9999
SOUTH POLE 010414 3600 220000-230000   00     241.56  676.7    242.04    -3.20    -9999
SOUTH POLE 010414 3600 230000-240000   00     241.92  676.7    242.40    -3.10    -9999
SOUTH POLE 010415 3600 000000-010000   00     242.31  676.5    242.55    -3.00    -9999
SOUTH POLE 010415 3600 010000-020000   00     243.36  676.7    243.85    -2.50    -9999
SOUTH POLE 010415 3600 020000-030000   00     243.11  676.7    243.60    -2.60    -9999
SOUTH POLE 010415 3600 030000-040000   00     243.08  676.5    243.33    -2.70    -9999
SOUTH POLE 010415 3600 040000-050000   00     244.06  676.5    244.30    -2.30    -9999
SOUTH POLE 010415 3600 050000-060000   00     242.72  676.7    243.21    -2.70    -9999
SOUTH POLE 010415 3600 060000-070000   00     242.67  676.5    242.91    -2.90    -9999
SOUTH POLE 010415 3600 070000-080000   00     243.81  676.7    244.29    -2.30    -9999
SOUTH POLE 010415 3600 080000-090000   00     246.44  676.5    246.69    -1.40    -9999
SOUTH POLE 010415 300  090000-090500   00     248.17  676.4    248.26    -0.70    -9999
SOUTH POLE 010415 300  090500-091000   00     248.32  676.4    248.39    -0.70    -9999
