THULE      LATITUDE    76.6      LONGITUDE     -68.8     ALTITUDE    260 M
THULE      INSTRUMENT   9NM64    NEUTRON MONITOR     	
THULE      STANDARD PRESSURE    1013.6  mb     COEFFICIENT   -0.74     % / mb
THULE      PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
THULE      PRE-INCREASE AVERAGE COUNTING RATE     98.85      COUNTS PER SECOND
THULE      TIME INTERVALS    300         3600     
THULE      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
THULE      010414 3600 000000-010000   00      96.50 1011.3     94.89    -4.00    -9999
THULE      010414 3600 010000-020000   00      97.06 1011.6     95.62    -3.30    -9999
THULE      010414 3600 020000-030000   00      97.50 1011.3     95.87    -3.00    -9999
THULE      010414 3600 030000-040000   00      97.67 1011.3     96.04    -2.80    -9999
THULE      010414 3600 040000-050000   00      98.14 1011.3     96.50    -2.40    -9999
THULE      010414 3600 050000-060000   00      97.56 1011.3     95.93    -3.00    -9999
THULE      010414 3600 060000-070000   00      97.64 1011.3     96.01    -2.90    -9999
THULE      010414 3600 070000-080000   00      98.31 1011.3     96.66    -2.20    -9999
THULE      010414 3600 080000-090000   00      98.81 1011.3     97.16    -1.70    -9999
THULE      010414 3600 090000-100000   00      98.64 1011.3     96.99    -1.90    -9999
THULE      010414 3600 100000-110000   00      98.75 1011.2     97.01    -1.90    -9999
THULE      010414 3600 110000-120000   00      99.86 1011.2     98.10    -0.80    -9999
THULE      010414 3600 120000-130000   00      99.97 1010.9     98.01    -0.80    -9999
THULE      010414 3600 130000-140000   00     100.72 1010.7     98.55    -0.30    -9999
THULE      010414 3600 140000-150000   00     100.00 1010.5     97.75    -1.10    -9999
THULE      010414 3600 150000-160000   00     100.64 1010.3     98.18    -0.70    -9999
THULE      010414 3600 160000-170000   00     100.67 1010.0     98.01    -0.80    -9999
THULE      010414 3600 170000-180000   00     100.97 1009.9     98.21    -0.60    -9999
THULE      010414 3600 180000-190000   00     100.97 1009.6     98.02    -0.80    -9999
THULE      010414 3600 190000-200000   00     100.61 1009.6     97.67    -1.20    -9999
THULE      010414 3600 200000-210000   00     101.78 1009.6     98.80    -0.10    -9999
THULE      010414 3600 210000-220000   00     101.00 1009.3     97.85    -1.00    -9999
THULE      010414 3600 220000-230000   00     100.64 1009.3     97.50    -1.40    -9999
THULE      010414 3600 230000-240000   00     101.28 1009.3     98.12    -0.70    -9999
