TIXIE BAY  LATITUDE    71.6      LONGITUDE     128.9     ALTITUDE    0 M
TIXIE BAY  INSTRUMENT   18NM64    NEUTRON MONITOR     	
TIXIE BAY  STANDARD PRESSURE    1000.3  MB     COEFFICIENT   -0.72     % / MB
TIXIE BAY  PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
TIXIE BAY  PRE-INCREASE AVERAGE COUNTING RATE     98.84      COUNTS PER SECOND
TIXIE BAY  TIME INTERVALS    300         3600     
TIXIE BAY  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
TIXIE BAY  010414 3600 000000-010000   00      95.70 1000.1     95.56    -3.30    -9999
TIXIE BAY  010414 3600 010000-020000   00      97.15  999.9     96.87    -2.00    -9999
TIXIE BAY  010414 3600 020000-030000   00      97.19  999.7     96.77    -2.10    -9999
TIXIE BAY  010414 3600 030000-040000   00      97.38  999.6     96.89    -2.00    -9999
TIXIE BAY  010414 3600 040000-050000   00      97.20  999.5     96.64    -2.20    -9999
TIXIE BAY  010414 3600 050000-060000   00      97.92  998.9     96.93    -1.90    -9999
TIXIE BAY  010414 3600 060000-070000   00      97.80  998.7     96.67    -2.20    -9999
TIXIE BAY  010414 3600 070000-080000   00      98.27  998.9     97.28    -1.60    -9999
TIXIE BAY  010414 3600 080000-090000   00      97.80  999.2     97.03    -1.80    -9999
TIXIE BAY  010414 3600 090000-100000   00      97.81  999.3     97.11    -1.80    -9999
TIXIE BAY  010414 3600 100000-110000   00      97.92  999.1     97.07    -1.80    -9999
TIXIE BAY  010414 3600 110000-120000   00      98.13  998.6     96.93    -1.90    -9999
TIXIE BAY  010414 3600 120000-130000   00      98.36  998.1     96.81    -2.10    -9999
TIXIE BAY  010414 3600 130000-140000   00      98.81  997.4     96.76    -2.10    -9999
TIXIE BAY  010414 3600 140000-150000   00      99.48  996.5     96.78    -2.10    -9999
TIXIE BAY  010414 3600 150000-160000   00      99.92  996.4     97.14    -1.70    -9999
TIXIE BAY  010414 3600 160000-170000   00      99.52  995.9     96.41    -2.50    -9999
TIXIE BAY  010414 3600 170000-180000   00     100.51  995.6     97.15    -1.70    -9999
TIXIE BAY  010414 3600 180000-190000   00     100.77  995.1     97.06    -1.80    -9999
TIXIE BAY  010414 3600 190000-200000   00     100.93  994.7     96.93    -1.90    -9999
TIXIE BAY  010414 3600 200000-210000   00     100.96  994.6     96.89    -2.00    -9999
TIXIE BAY  010414 3600 210000-220000   00     101.04  994.9     97.18    -1.70    -9999
TIXIE BAY  010414 3600 220000-230000   00     101.13  995.1     97.40    -1.50    -9999
TIXIE BAY  010414 3600 230000-240000   00     101.40  995.0     97.59    -1.30    -9999
TIXIE BAY  010415 3600 000000-010000   00     101.96  994.8     97.99    -0.90    -9999
TIXIE BAY  010415 3600 010000-020000   00     102.14  995.1     98.37    -0.50    -9999
TIXIE BAY  010415 3600 020000-030000   00     101.83  995.4     98.29    -0.60    -9999
TIXIE BAY  010415 3600 030000-040000   00     101.58  995.8     98.33    -0.50    -9999
TIXIE BAY  010415 3600 040000-050000   00     101.53  996.3     98.64    -0.20    -9999
TIXIE BAY  010415 3600 050000-060000   00     100.64  996.8     98.12    -0.70    -9999
TIXIE BAY  010415 3600 060000-070000   00     101.11  997.2     98.87     0.00    -9999
TIXIE BAY  010415 3600 070000-080000   00     100.71  997.6     98.77    -0.10    -9999
TIXIE BAY  010415 3600 080000-090000   00     100.13  998.4     98.76    -0.10    -9999
TIXIE BAY  010415 300  090000-090500   00      98.59  998.8     97.56    -1.30    -9999
TIXIE BAY  010415 300  090500-091000   00     100.08  998.9     99.08     0.20    -9999
TIXIE BAY  010415 300  091000-091500   00      99.55  999.0     98.60    -0.20    -9999
TIXIE BAY  010415 300  091500-092000   00     100.27  999.0     99.36     0.50    -9999
TIXIE BAY  010415 300  092000-092500   00      99.81  999.1     98.96     0.10    -9999
TIXIE BAY  010415 300  092500-093000   00      99.31  999.2     98.50    -0.30    -9999
TIXIE BAY  010415 300  093000-093500   00     101.44  999.2    100.66     1.80    -9999
TIXIE BAY  010415 300  093500-094000   00      99.87  999.3     99.14     0.30    -9999
TIXIE BAY  010415 300  094000-094500   00      99.76  999.4     99.08     0.20    -9999
TIXIE BAY  010415 300  094500-095000   00     102.32  999.4    101.67     2.90    -9999
TIXIE BAY  010415 300  095000-095500   00      98.77  999.5     98.19    -0.70    -9999
TIXIE BAY  010415 300  095500-100000   00      99.65  999.5     99.10     0.30    -9999
TIXIE BAY  010415 300  100000-100500   00      98.32  999.6     97.84    -1.00    -9999
TIXIE BAY  010415 300  100500-101000   00      99.15  999.7     98.71    -0.10    -9999
TIXIE BAY  010415 300  101000-101500   00      99.39  999.7     98.98     0.10    -9999
TIXIE BAY  010415 300  101500-102000   00      98.59  999.8     98.22    -0.60    -9999
TIXIE BAY  010415 300  102000-102500   00      99.12  999.8     98.79    -0.10    -9999
TIXIE BAY  010415 300  102500-103000   00      98.99  999.9     98.69    -0.20    -9999
TIXIE BAY  010415 300  103000-103500   00      98.83  999.9     98.56    -0.30    -9999
TIXIE BAY  010415 300  103500-104000   00      99.20 1000.0     98.96     0.10    -9999
TIXIE BAY  010415 300  104000-104500   00      98.75 1000.0     98.53    -0.30    -9999
TIXIE BAY  010415 300  104500-105000   00      98.40 1000.0     98.21    -0.60    -9999
TIXIE BAY  010415 300  105000-105500   00     100.80 1000.1    100.62     1.80    -9999
TIXIE BAY  010415 300  105500-110000   00      98.37 1000.1     98.22    -0.60    -9999
TIXIE BAY  010415 300  110000-110500   00      98.03 1000.1     97.88    -1.00    -9999
TIXIE BAY  010415 300  110500-111000   00     100.29 1000.1    100.16     1.30    -9999
TIXIE BAY  010415 300  111000-111500   00     101.23 1000.1    101.10     2.30    -9999
TIXIE BAY  010415 300  111500-112000   00      99.01 1000.2     98.91     0.10    -9999
TIXIE BAY  010415 300  112000-112500   00     100.93 1000.2    100.84     2.00    -9999
TIXIE BAY  010415 300  112500-113000   00      99.09 1000.2     99.02     0.20    -9999
TIXIE BAY  010415 300  113000-113500   00      97.15 1000.2     97.08    -1.80    -9999
TIXIE BAY  010415 300  113500-114000   00      98.35 1000.2     98.29    -0.60    -9999
TIXIE BAY  010415 300  114000-114500   00      99.92 1000.2     99.87     1.00    -9999
TIXIE BAY  010415 300  114500-115000   00     100.21 1000.2    100.18     1.40    -9999
TIXIE BAY  010415 300  115000-115500   00      97.81 1000.3     97.79    -1.10    -9999
TIXIE BAY  010415 300  115500-120000   00      98.69 1000.3     98.67    -0.20    -9999
TIXIE BAY  010415 300  120000-120500   00      98.40 1000.3     98.39    -0.50    -9999
TIXIE BAY  010415 300  120500-121000   00      98.56 1000.3     98.55    -0.30    -9999
