YAKUTSK    LATITUDE    62.02     LONGITUDE     129.72    ALTITUDE    105 M
YAKUTSK    INSTRUMENT   18NM64    NEUTRON MONITOR     	
YAKUTSK    STANDARD PRESSURE    1000.3  MB     COEFFICIENT   -0.71     % / MB
YAKUTSK    PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
YAKUTSK    PRE-INCREASE AVERAGE COUNTING RATE     84.22      COUNTS PER SECOND
YAKUTSK    TIME INTERVALS    300         3600     
YAKUTSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
YAKUTSK    010414 3600 000000-010000   00      82.60 1000.2     82.54    -2.00    -9999
YAKUTSK    010414 3600 010000-020000   00      82.89 1000.0     82.72    -1.80    -9999
YAKUTSK    010414 3600 020000-030000   00      83.08  999.4     82.54    -2.00    -9999
YAKUTSK    010414 3600 030000-040000   00      83.84  998.6     82.83    -1.60    -9999
YAKUTSK    010414 3600 040000-050000   00      84.09  997.7     82.54    -2.00    -9999
YAKUTSK    010414 3600 050000-060000   00      84.17  996.8     82.09    -2.50    -9999
YAKUTSK    010414 3600 060000-070000   00      84.24  995.9     81.63    -3.10    -9999
YAKUTSK    010414 3600 070000-080000   00      84.76  995.2     81.72    -3.00    -9999
YAKUTSK    010414 3600 080000-090000   00      86.20  994.8     82.88    -1.60    -9999
YAKUTSK    010414 3600 090000-100000   00      86.07  994.1     82.33    -2.20    -9999
YAKUTSK    010414 3600 100000-110000   00      86.77  993.2     82.47    -2.10    -9999
YAKUTSK    010414 3600 110000-120000   00      86.62  992.5     81.92    -2.70    -9999
YAKUTSK    010414 3600 120000-130000   00      87.19  991.6     81.93    -2.70    -9999
YAKUTSK    010414 3600 130000-140000   00      87.81  990.7     81.98    -2.70    -9999
YAKUTSK    010414 3600 140000-150000   00      87.90  989.8     81.54    -3.20    -9999
YAKUTSK    010414 3600 150000-160000   00      88.79  988.9     81.84    -2.80    -9999
YAKUTSK    010414 3600 160000-170000   00      88.90  987.9     81.36    -3.40    -9999
YAKUTSK    010414 3600 170000-180000   00      90.52  986.9     82.25    -2.30    -9999
YAKUTSK    010414 3600 180000-190000   00      90.59  986.7     82.19    -2.40    -9999
YAKUTSK    010414 3600 190000-200000   00      90.60  987.3     82.56    -2.00    -9999
YAKUTSK    010414 3600 200000-210000   00      90.33  987.7     82.55    -2.00    -9999
YAKUTSK    010414 3600 210000-220000   00      89.44  988.7     82.32    -2.30    -9999
YAKUTSK    010414 3600 220000-230000   00      89.22  989.4     82.53    -2.00    -9999
YAKUTSK    010414 3600 230000-240000   00      88.90  990.0     82.59    -1.90    -9999
YAKUTSK    010415 3600 000000-010000   00      88.38  990.7     82.52    -2.00    -9999
YAKUTSK    010415 3600 010000-020000   00      88.84  991.0     83.12    -1.30    -9999
YAKUTSK    010415 3600 020000-030000   00      89.15  991.4     83.65    -0.70    -9999
YAKUTSK    010415 3600 030000-040000   00      89.05  992.2     84.04    -0.20    -9999
YAKUTSK    010415 3600 040000-050000   00      88.98  992.7     84.27     0.10    -9999
YAKUTSK    010415 3600 050000-060000   00      88.95  993.4     84.66     0.50    -9999
YAKUTSK    010415 3600 060000-070000   00      87.69  994.3     84.01    -0.30    -9999
YAKUTSK    010415 3600 070000-080000   00      87.99  995.1     84.78     0.70    -9999
YAKUTSK    010415 3600 080000-090000   00      87.00  996.1     84.42     0.20    -9999
YAKUTSK    010415 300  090000-090500   00      87.41  996.8     85.26     1.20    -9999
YAKUTSK    010415 300  090500-091000   00      87.20  996.9     85.12     1.10    -9999
YAKUTSK    010415 300  091000-091500   00      89.97  997.0     87.89     4.40    -9999
YAKUTSK    010415 300  091500-092000   00      87.31  997.1     85.35     1.30    -9999
YAKUTSK    010415 300  092000-092500   00      85.55  997.2     83.70    -0.60    -9999
YAKUTSK    010415 300  092500-093000   00      85.65  997.3     83.86    -0.40    -9999
YAKUTSK    010415 300  093000-093500   00      86.13  997.5     84.40     0.20    -9999
YAKUTSK    010415 300  093500-094000   00      84.59  997.6     82.94    -1.50    -9999
YAKUTSK    010415 300  094000-094500   00      85.23  997.7     83.63    -0.70    -9999
YAKUTSK    010415 300  094500-095000   00      86.56  997.8     85.00     0.90    -9999
YAKUTSK    010415 300  095000-095500   00      85.23  997.9     83.75    -0.60    -9999
YAKUTSK    010415 300  095500-100000   00      85.81  998.0     84.39     0.20    -9999
YAKUTSK    010415 300  100000-100500   00      84.69  998.1     83.35    -1.00    -9999
YAKUTSK    010415 300  100500-101000   00      85.33  998.2     84.04    -0.20    -9999
YAKUTSK    010415 300  101000-101500   00      85.87  998.3     84.62     0.50    -9999
YAKUTSK    010415 300  101500-102000   00      84.91  998.4     83.74    -0.60    -9999
YAKUTSK    010415 300  102000-102500   00      85.87  998.5     84.74     0.60    -9999
YAKUTSK    010415 300  102500-103000   00      84.16  998.6     83.11    -1.30    -9999
YAKUTSK    010415 300  103000-103500   00      86.40  998.6     85.39     1.40    -9999
YAKUTSK    010415 300  103500-104000   00      84.37  998.7     83.44    -0.90    -9999
YAKUTSK    010415 300  104000-104500   00      85.65  998.8     84.76     0.60    -9999
YAKUTSK    010415 300  104500-105000   00      85.17  998.9     84.34     0.10    -9999
YAKUTSK    010415 300  105000-105500   00      84.48  999.0     83.71    -0.60    -9999
YAKUTSK    010415 300  105500-110000   00      85.49  999.1     84.77     0.70    -9999
YAKUTSK    010415 300  110000-110500   00      84.05  999.3     83.43    -0.90    -9999
YAKUTSK    010415 300  110500-111000   00      85.28  999.3     84.70     0.60    -9999
YAKUTSK    010415 300  111000-111500   00      84.85  999.4     84.33     0.10    -9999
YAKUTSK    010415 300  111500-112000   00      83.79  999.5     83.32    -1.10    -9999
YAKUTSK    010415 300  112000-112500   00      85.17  999.6     84.74     0.60    -9999
YAKUTSK    010415 300  112500-113000   00      85.39  999.7     85.00     0.90    -9999
YAKUTSK    010415 300  113000-113500   00      84.96  999.7     84.62     0.50    -9999
YAKUTSK    010415 300  113500-114000   00      83.15  999.8     82.85    -1.60    -9999
YAKUTSK    010415 300  114000-114500   00      84.53  999.9     84.27     0.10    -9999
YAKUTSK    010415 300  114500-115000   00      86.13  999.9     85.90     2.00    -9999
YAKUTSK    010415 300  115000-115500   00      83.31 1000.0     83.12    -1.30    -9999
YAKUTSK    010415 300  115500-120000   00      82.77 1000.0     82.62    -1.90    -9999
YAKUTSK    010415 300  120000-120500   00      83.15 1000.0     83.00    -1.40    -9999
YAKUTSK    010415 300  120500-121000   00      84.91 1000.1     84.78     0.70    -9999
YAKUTSK    010415 300  121000-121500   00      84.05 1000.1     83.96    -0.30    -9999
YAKUTSK    010415 300  121500-122000   00      84.05 1000.2     83.99    -0.30    -9999
YAKUTSK    010415 300  122000-122500   00      84.48 1000.2     84.44     0.30    -9999
YAKUTSK    010415 300  122500-123000   00      83.31 1000.3     83.29    -1.10    -9999
YAKUTSK    010415 300  123000-123500   00      85.44 1000.3     85.45     1.50    -9999
YAKUTSK    010415 300  123500-124000   00      85.28 1000.4     85.32     1.30    -9999
YAKUTSK    010415 300  124000-124500   00      84.21 1000.4     84.27     0.10    -9999
YAKUTSK    010415 300  124500-125000   00      83.63 1000.4     83.71    -0.60    -9999
YAKUTSK    010415 300  125000-125500   00      84.27 1000.5     84.37     0.20    -9999
YAKUTSK    010415 300  125500-130000   00      83.84 1000.5     83.96    -0.30    -9999
YAKUTSK    010415 300  130000-130500   00      85.76 1000.5     85.91     2.00     1.85
YAKUTSK    010415 300  130500-131000   00      86.45 1000.6     86.62     2.90     2.73
YAKUTSK    010415 300  131000-131500   00      84.64 1000.6     84.82     0.70     0.51
YAKUTSK    010415 300  131500-132000   00      84.05 1000.6     84.25     0.00    -0.21
YAKUTSK    010415 300  132000-132500   00      84.32 1000.7     84.54     0.40     0.17
YAKUTSK    010415 300  132500-133000   00      84.05 1000.7     84.29     0.10    -0.15
YAKUTSK    010415 300  133000-133500   00      84.75 1000.7     85.00     0.90     0.64
YAKUTSK    010415 300  133500-134000   00      82.99 1000.7     83.25    -1.20    -1.48
YAKUTSK    010415 300  134000-134500   00      84.21 1000.8     84.49     0.30     0.00
YAKUTSK    010415 300  134500-135000   00      84.27 1000.8     84.56     0.40     0.08
YAKUTSK    010415 300  135000-135500   00      84.91 1000.8     85.21     1.20     0.86
YAKUTSK    010415 300  135500-140000   00      87.04 1000.8     87.39     3.30     2.95
YAKUTSK    010415 300  140000-140500   00      89.97 1000.8     90.29     7.20     6.83
YAKUTSK    010415 300  140500-141000   00      86.51 1000.8     86.82     3.10     2.71
YAKUTSK    010415 300  141000-141500   00      97.97 1000.8     98.35    16.80    16.39
YAKUTSK    010415 300  141500-142000   00     107.57 1000.9    108.00    28.20    27.78
YAKUTSK    010415 300  142000-142500   00     118.72 1000.9    119.20    41.50    41.06
YAKUTSK    010415 300  142500-143000   00     117.23 1000.9    117.72    39.80    39.34
YAKUTSK    010415 300  143000-143500   00     118.93 1000.9    119.45    41.80    41.33
YAKUTSK    010415 300  143500-144000   00     121.12 1000.9    121.67    44.50    44.01
YAKUTSK    010415 300  144000-144500   00     123.09 1001.0    123.67    46.80    46.29
YAKUTSK    010415 300  144500-145000   00     122.13 1001.0    122.73    45.70    45.17
YAKUTSK    010415 300  145000-145500   00     121.65 1001.0    122.26    45.20    44.66
YAKUTSK    010415 300  145500-150000   00     122.19 1001.0    122.82    45.80    45.24
YAKUTSK    010415 300  150000-150500   00     118.24 1001.1    118.89    41.20    40.62
YAKUTSK    010415 300  150500-151000   00     117.28 1001.1    117.94    40.00    39.41
YAKUTSK    010415 300  151000-151500   00     115.52 1001.1    116.19    38.00    37.39
