APATITY  L LATITUDE    67.55     LONGITUDE     33.33     ALTITUDE    177 M
APATITY  L INSTRUMENT   18NM64    NEUTRON MONITOR	
APATITY  L STANDARD PRESSURE    951.7   mb     COEFFICIENT   -0.74     % / mb
APATITY  L PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
APATITY  L PRE-INCREASE AVERAGE COUNTING RATE    153.44      COUNTS PER SECOND
APATITY  L TIME INTERVALS    300         3600     
APATITY  L SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
APATITY  L 031027 3600 000000-010000   00     122.99  983.1    155.17     1.10    -9999
APATITY  L 031027 3600 010000-020000   00     123.59  982.8    155.58     1.40    -9999
APATITY  L 031027 3600 020000-030000   00     124.66  982.8    156.92     2.30    -9999
APATITY  L 031027 3600 030000-040000   00     126.02  982.3    158.04     3.00    -9999
APATITY  L 031027 3600 040000-050000   00     125.94  982.1    157.72     2.80    -9999
APATITY  L 031027 3600 050000-060000   00     126.74  981.7    158.24     3.10    -9999
APATITY  L 031027 3600 060000-070000   00     126.89  981.3    157.96     2.90    -9999
APATITY  L 031027 3600 070000-080000   00     128.07  980.8    158.84     3.50    -9999
APATITY  L 031027 3600 080000-090000   00     128.45  980.3    158.72     3.40    -9999
APATITY  L 031027 3600 090000-100000   00     129.13  979.5    158.62     3.40    -9999
APATITY  L 031027 3600 100000-110000   00     131.23  977.9    159.30     3.80    -9999
APATITY  L 031027 3600 110000-120000   00     132.29  976.6    159.05     3.70    -9999
APATITY  L 031027 3600 120000-130000   00     133.41  975.3    158.87     3.50    -9999
APATITY  L 031027 3600 130000-140000   00     134.91  973.5    158.53     3.30    -9999
APATITY  L 031027 3600 140000-150000   00     136.68  971.6    158.37     3.20    -9999
APATITY  L 031027 3600 150000-160000   00     138.72  969.6    158.37     3.20    -9999
APATITY  L 031027 3600 160000-170000   00     141.23  967.2    158.39     3.20    -9999
APATITY  L 031027 3600 170000-180000   00     142.75  965.1    157.63     2.70    -9999
APATITY  L 031027 3600 180000-190000   00     144.94  963.0    157.58     2.70    -9999
APATITY  L 031027 3600 190000-200000   00     146.61  960.9    156.94     2.30    -9999
APATITY  L 031027 3600 200000-210000   00     148.72  958.9    156.86     2.20    -9999
APATITY  L 031027 3600 210000-220000   00     150.31  957.2    156.55     2.00    -9999
APATITY  L 031027 3600 220000-230000   00     151.06  955.6    155.49     1.30    -9999
APATITY  L 031027 3600 230000-240000   00     151.97  954.3    154.92     1.00    -9999
APATITY  L 031028 3600 000000-010000   00     153.40  953.3    155.22     1.20    -9999
APATITY  L 031028 3600 010000-020000   00     154.80  952.7    155.95     1.60    -9999
APATITY  L 031028 3600 020000-030000   00     154.05  952.3    154.74     0.80    -9999
APATITY  L 031028 3600 030000-040000   00     151.31  951.8    151.42    -1.30    -9999
APATITY  L 031028 3600 040000-050000   00     148.65  951.8    148.76    -3.10    -9999
APATITY  L 031028 3600 050000-060000   00     149.50  951.9    149.72    -2.40    -9999
APATITY  L 031028 3600 060000-070000   00     151.31  952.0    151.65    -1.20    -9999
APATITY  L 031028 3600 070000-080000   00     154.31  951.9    154.54     0.70    -9999
APATITY  L 031028 3600 080000-090000   00     155.18  951.9    155.41     1.30    -9999
APATITY  L 031028 300  090000-090500   00     153.98  951.9    154.20     0.50    -9999
APATITY  L 031028 300  090500-091000   00     154.64  951.9    154.84     0.90    -9999
APATITY  L 031028 300  091000-091500   00     155.26  951.9    155.44     1.30    -9999
APATITY  L 031028 300  091500-092000   00     153.90  951.8    154.06     0.40    -9999
APATITY  L 031028 300  092000-092500   00     155.50  951.8    155.65     1.40    -9999
APATITY  L 031028 300  092500-093000   00     153.62  951.8    153.75     0.20    -9999
APATITY  L 031028 300  093000-093500   00     155.06  951.8    155.17     1.10    -9999
APATITY  L 031028 300  093500-094000   00     154.12  951.8    154.21     0.50    -9999
APATITY  L 031028 300  094000-094500   00     155.26  951.8    155.33     1.20    -9999
APATITY  L 031028 300  094500-095000   00     155.50  951.7    155.55     1.40    -9999
APATITY  L 031028 300  095000-095500   00     154.68  951.7    154.71     0.80    -9999
APATITY  L 031028 300  095500-100000   00     154.16  951.7    154.17     0.50    -9999
APATITY  L 031028 300  100000-100500   00     154.86  951.7    154.86     0.90    -9999
APATITY  L 031028 300  100500-101000   00     153.34  951.7    153.35     0.00    -9999
APATITY  L 031028 300  101000-101500   00     154.00  951.7    154.02     0.40    -9999
APATITY  L 031028 300  101500-102000   00     154.06  951.7    154.09     0.40    -9999
