BARENSBURG LATITUDE    78.12     LONGITUDE     14.42     ALTITUDE    0 M
BARENSBURG INSTRUMENT   6NM64    NEUTRON MONITOR     	
BARENSBURG STANDARD PRESSURE    974     mb     COEFFICIENT   -0.72     % / mb
BARENSBURG PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
BARENSBURG PRE-INCREASE AVERAGE COUNTING RATE     54.85      COUNTS PER SECOND
BARENSBURG TIME INTERVALS    300         3600     
BARENSBURG SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
BARENSBURG 031027 3600 000000-010000   00      53.07  976.6     54.07    -1.40    -9999
BARENSBURG 031027 3600 010000-020000   00      53.77  974.9     54.12    -1.30    -9999
BARENSBURG 031027 3600 020000-030000   00      54.08  973.6     53.93    -1.70    -9999
BARENSBURG 031027 3600 030000-040000   00      55.22  972.1     54.47    -0.70    -9999
BARENSBURG 031027 3600 040000-050000   00      55.82  970.5     54.43    -0.80    -9999
BARENSBURG 031027 3600 050000-060000   00      56.91  969.2     54.98     0.20    -9999
BARENSBURG 031027 3600 060000-070000   00      57.45  967.7     54.91     0.10    -9999
BARENSBURG 031027 3600 070000-080000   00      57.52  966.5     54.50    -0.60    -9999
BARENSBURG 031027 3600 080000-090000   00      58.41  965.8     55.06     0.40    -9999
BARENSBURG 031027 3600 090000-100000   00      58.83  965.4     55.30     0.80    -9999
BARENSBURG 031027 3600 100000-110000   00      58.98  965.2     55.36     0.90    -9999
BARENSBURG 031027 3600 110000-120000   00      59.09  964.6     55.22     0.70    -9999
BARENSBURG 031027 3600 120000-130000   00      58.90  964.2     54.89     0.10    -9999
BARENSBURG 031027 3600 130000-140000   00      59.27  963.9     55.11     0.50    -9999
BARENSBURG 031027 3600 140000-150000   00      59.79  963.7     55.51     1.20    -9999
BARENSBURG 031027 3600 150000-160000   00      59.52  963.6     55.23     0.70    -9999
BARENSBURG 031027 3600 160000-170000   00      59.50  963.7     55.25     0.70    -9999
BARENSBURG 031027 3600 170000-180000   00      59.12  964.0     55.02     0.30    -9999
BARENSBURG 031027 3600 180000-190000   00      59.30  964.3     55.30     0.80    -9999
BARENSBURG 031027 3600 190000-200000   00      59.46  964.6     55.57     1.30    -9999
BARENSBURG 031027 3600 200000-210000   00      59.67  964.8     55.84     1.80    -9999
BARENSBURG 031027 3600 210000-220000   00      59.20  965.3     55.60     1.40    -9999
BARENSBURG 031027 3600 220000-230000   00      58.48  965.8     55.12     0.50    -9999
BARENSBURG 031027 3600 230000-240000   00      58.63  966.2     55.42     1.00    -9999
BARENSBURG 031028 3600 000000-010000   00      58.08  966.7     55.11     0.50    -9999
BARENSBURG 031028 3600 010000-020000   00      58.25  967.2     55.47     1.10    -9999
BARENSBURG 031028 3600 020000-030000   00      58.11  967.8     55.57     1.30    -9999
BARENSBURG 031028 3600 030000-040000   00      58.19  968.6     55.97     2.00    -9999
BARENSBURG 031028 3600 040000-050000   00      57.02  969.1     55.05     0.40    -9999
BARENSBURG 031028 3600 050000-060000   00      56.52  969.7     54.80    -0.10    -9999
BARENSBURG 031028 3600 060000-070000   00      55.97  970.7     54.66    -0.30    -9999
BARENSBURG 031028 3600 070000-080000   00      55.51  971.7     54.60    -0.50    -9999
BARENSBURG 031028 3600 080000-090000   00      55.47  972.2     54.76    -0.20    -9999
BARENSBURG 031028 300  090000-090500   00      55.89  973.0     55.50     1.20    -9999
BARENSBURG 031028 300  090500-091000   00      56.64  973.1     56.28     2.60    -9999
BARENSBURG 031028 300  091000-091500   00      55.29  973.2     54.97     0.20    -9999
BARENSBURG 031028 300  091500-092000   00      55.34  973.3     55.06     0.40    -9999
BARENSBURG 031028 300  092000-092500   00      55.74  973.4     55.48     1.10    -9999
BARENSBURG 031028 300  092500-093000   00      55.75  973.5     55.52     1.20    -9999
BARENSBURG 031028 300  093000-093500   00      56.02  973.5     55.84     1.80    -9999
BARENSBURG 031028 300  093500-094000   00      54.16  973.6     54.01    -1.50    -9999
BARENSBURG 031028 300  094000-094500   00      54.69  973.7     54.57    -0.50    -9999
BARENSBURG 031028 300  094500-095000   00      55.54  973.8     55.45     1.10    -9999
BARENSBURG 031028 300  095000-095500   00      55.29  973.9     55.23     0.70    -9999
BARENSBURG 031028 300  095500-100000   00      54.34  974.0     54.32    -1.00    -9999
BARENSBURG 031028 300  100000-100500   00      55.33  974.0     55.34     0.90    -9999
BARENSBURG 031028 300  100500-101000   00      54.34  974.1     54.38    -0.90    -9999
BARENSBURG 031028 300  101000-101500   00      55.52  974.2     55.60     1.40    -9999
BARENSBURG 031028 300  101500-102000   00      54.56  974.3     54.66    -0.30    -9999
BARENSBURG 031028 300  102000-102500   00      54.56  974.3     54.69    -0.30    -9999
BARENSBURG 031028 300  102500-103000   00      53.65  974.4     53.81    -1.90    -9999
BARENSBURG 031028 300  103000-103500   00      55.19  974.5     55.39     1.00    -9999
BARENSBURG 031028 300  103500-104000   00      54.67  974.6     54.89     0.10    -9999
BARENSBURG 031028 300  104000-104500   00      54.64  974.6     54.89     0.10    -9999
BARENSBURG 031028 300  104500-105000   00      55.80  974.7     56.09     2.30    -9999
BARENSBURG 031028 300  105000-105500   00      53.75  974.8     54.06    -1.40    -9999
BARENSBURG 031028 300  105500-110000   00      54.01  974.9     54.35    -0.90    -9999
BARENSBURG 031028 300  110000-110500   00      54.31  974.9     54.67    -0.30    -0.30
BARENSBURG 031028 300  110500-111000   00      54.09  975.0     54.47    -0.70    -0.70
BARENSBURG 031028 300  111000-111500   00      53.20  975.0     53.58    -2.30    -2.30
BARENSBURG 031028 300  111500-112000   00      54.18  975.0     54.59    -0.50    -0.50
BARENSBURG 031028 300  112000-112500   00      53.75  975.1     54.18    -1.20    -1.20
BARENSBURG 031028 300  112500-113000   00      54.37  975.1     54.81    -0.10    -0.10
BARENSBURG 031028 300  113000-113500   00      54.50  975.2     54.95     0.20     0.20
BARENSBURG 031028 300  113500-114000   00      55.04  975.2     55.52     1.20     1.20
BARENSBURG 031028 300  114000-114500   00      56.99  975.3     57.50     4.80     4.80
BARENSBURG 031028 300  114500-115000   00      56.90  975.3     57.44     4.70     4.70
BARENSBURG 031028 300  115000-115500   00      57.53  975.3     58.08     5.90     5.90
BARENSBURG 031028 300  115500-120000   00      57.30  975.4     57.87     5.50     5.50
BARENSBURG 031028 300  120000-120500   00      57.24  975.4     57.83     5.40     5.40
BARENSBURG 031028 300  120500-121000   00      57.69  975.5     58.31     6.30     6.30
BARENSBURG 031028 300  121000-121500   00      57.29  975.5     57.92     5.60     5.60
BARENSBURG 031028 300  121500-122000   00      55.58  975.6     56.21     2.50     2.50
BARENSBURG 031028 300  122000-122500   00      57.49  975.6     58.17     6.10     6.10
BARENSBURG 031028 300  122500-123000   00      58.46  975.7     59.17     7.90     7.90
BARENSBURG 031028 300  123000-123500   00      57.47  975.7     58.18     6.10     6.10
BARENSBURG 031028 300  123500-124000   00      56.16  975.8     56.88     3.70     3.70
BARENSBURG 031028 300  124000-124500   00      56.08  975.8     56.82     3.60     3.60
BARENSBURG 031028 300  124500-125000   00      55.53  975.9     56.28     2.60     2.60
BARENSBURG 031028 300  125000-125500   00      56.79  975.9     57.58     5.00     5.00
BARENSBURG 031028 300  125500-130000   00      56.59  976.0     57.40     4.60     4.60
BARENSBURG 031028 300  130000-130500   00      55.97  976.0     56.79     3.50     3.50
BARENSBURG 031028 300  130500-131000   00      56.91  976.1     57.78     5.30     5.30
BARENSBURG 031028 300  131000-131500   00      58.27  976.2     59.19     7.90     7.90
BARENSBURG 031028 300  131500-132000   00      57.38  976.3     58.31     6.30     6.30
BARENSBURG 031028 300  132000-132500   00      55.63  976.3     56.57     3.10     3.10
BARENSBURG 031028 300  132500-133000   00      55.85  976.4     56.82     3.60     3.60
BARENSBURG 031028 300  133000-133500   00      56.23  976.5     57.24     4.40     4.40
BARENSBURG 031028 300  133500-134000   00      57.50  976.6     58.56     6.80     6.80
BARENSBURG 031028 300  134000-134500   00      57.65  976.6     58.75     7.10     7.10
BARENSBURG 031028 300  134500-135000   00      56.82  976.7     57.94     5.60     5.60
BARENSBURG 031028 300  135000-135500   00      57.42  976.8     58.58     6.80     6.80
BARENSBURG 031028 300  135500-140000   00      58.22  976.9     59.43     8.40     8.40
BARENSBURG 031028 300  140000-140500   00      58.41  976.9     59.65     8.80     8.80
BARENSBURG 031028 300  140500-141000   00      57.87  977.0     59.14     7.80     7.80
BARENSBURG 031028 300  141000-141500   00      58.37  977.1     59.69     8.80     8.80
BARENSBURG 031028 300  141500-142000   00      58.92  977.2     60.29     9.90     9.90
BARENSBURG 031028 300  142000-142500   00      58.34  977.3     59.73     8.90     8.90
BARENSBURG 031028 300  142500-143000   00      58.39  977.3     59.82     9.10     9.10
BARENSBURG 031028 300  143000-143500   00      57.61  977.4     59.05     7.70     7.70
BARENSBURG 031028 300  143500-144000   00      56.64  977.5     58.09     5.90     5.90
BARENSBURG 031028 300  144000-144500   00      55.98  977.6     57.45     4.70     4.70
BARENSBURG 031028 300  144500-145000   00      56.29  977.7     57.80     5.40     5.40
BARENSBURG 031028 300  145000-145500   00      56.14  977.8     57.68     5.20     5.20
BARENSBURG 031028 300  145500-150000   00      56.23  977.8     57.81     5.40     5.40
BARENSBURG 031028 300  150000-150500   00      55.99  977.9     57.59     5.00     5.00
BARENSBURG 031028 300  150500-151000   00      56.46  978.0     58.10     5.90     5.90
BARENSBURG 031028 300  151000-151500   00      56.25  978.1     57.92     5.60     5.60
BARENSBURG 031028 300  151500-152000   00      55.66  978.1     57.34     4.50     4.50
BARENSBURG 031028 300  152000-152500   00      56.22  978.2     57.95     5.70     5.70
BARENSBURG 031028 300  152500-153000   00      55.90  978.3     57.64     5.10     5.10
BARENSBURG 031028 300  153000-153500   00      56.67  978.3     58.46     6.60     6.60
BARENSBURG 031028 300  153500-154000   00      55.97  978.4     57.76     5.30     5.30
BARENSBURG 031028 300  154000-154500   00      56.78  978.5     58.63     6.90     6.90
BARENSBURG 031028 300  154500-155000   00      55.90  978.5     57.75     5.30     5.30
BARENSBURG 031028 300  155000-155500   00      55.99  978.6     57.87     5.50     5.50
BARENSBURG 031028 300  155500-160000   00      56.17  978.7     58.09     5.90     5.90
BARENSBURG 031028 300  160000-160500   00      55.03  978.7     56.93     3.80     3.80
BARENSBURG 031028 300  160500-161000   00      56.17  978.8     58.15     6.00     6.00
BARENSBURG 031028 300  161000-161500   00      55.64  978.9     57.64     5.10     5.10
BARENSBURG 031028 300  161500-162000   00      56.25  979.0     58.32     6.30     6.30
BARENSBURG 031028 300  162000-162500   00      56.14  979.1     58.25     6.20     6.20
BARENSBURG 031028 300  162500-163000   00      56.72  979.2     58.88     7.30     7.30
BARENSBURG 031028 300  163000-163500   00      56.19  979.3     58.37     6.40     6.40
BARENSBURG 031028 300  163500-164000   00      55.98  979.4     58.20     6.10     6.10
BARENSBURG 031028 300  164000-164500   00      55.50  979.5     57.73     5.30     5.30
BARENSBURG 031028 300  164500-165000   00      56.07  979.6     58.37     6.40     6.40
BARENSBURG 031028 300  165000-165500   00      54.70  979.7     56.97     3.90     3.90
BARENSBURG 031028 300  165500-170000   00      55.90  979.7     58.27     6.20     6.20
BARENSBURG 031028 300  170000-170500   00      55.94  979.8     58.34     6.40     6.40
BARENSBURG 031028 300  170500-171000   00      56.52  979.9     58.98     7.50     7.50
BARENSBURG 031028 300  171000-171500   00      55.43  980.0     57.89     5.50     5.50
BARENSBURG 031028 300  171500-172000   00      55.50  980.1     58.00     5.70     5.70
BARENSBURG 031028 300  172000-172500   00      54.92  980.2     57.43     4.70     4.70
BARENSBURG 031028 300  172500-173000   00      55.92  980.3     58.52     6.70     6.70
BARENSBURG 031028 300  173000-173500   00      54.45  980.4     57.01     3.90     3.90
BARENSBURG 031028 300  173500-174000   00      55.33  980.5     57.97     5.70     5.70
BARENSBURG 031028 300  174000-174500   00      54.28  980.6     56.91     3.80     3.80
BARENSBURG 031028 300  174500-175000   00      55.72  980.7     58.46     6.60     6.60
BARENSBURG 031028 300  175000-175500   00      54.32  980.8     57.03     4.00     4.00
BARENSBURG 031028 300  175500-180000   00      55.30  980.8     58.10     5.90     5.90
BARENSBURG 031028 300  180000-180500   00      54.52  980.9     57.31     4.50     4.50
BARENSBURG 031028 300  180500-181000   00      54.46  981.0     57.28     4.40     4.40
BARENSBURG 031028 300  181000-181500   00      55.53  981.1     58.44     6.50     6.50
BARENSBURG 031028 300  181500-182000   00      54.93  981.2     57.85     5.50     5.50
BARENSBURG 031028 300  182000-182500   00      55.22  981.3     58.19     6.10     6.10
BARENSBURG 031028 300  182500-183000   00      55.11  981.3     58.10     5.90     5.90
BARENSBURG 031028 300  183000-183500   00      56.09  981.4     59.18     7.90     7.90
BARENSBURG 031028 300  183500-184000   00      54.09  981.5     57.10     4.10     4.10
BARENSBURG 031028 300  184000-184500   00      53.49  981.6     56.50     3.00     3.00
BARENSBURG 031028 300  184500-185000   00      55.37  981.7     58.52     6.70     6.70
BARENSBURG 031028 300  185000-185500   00      54.76  981.8     57.91     5.60     5.60
BARENSBURG 031028 300  185500-190000   00      54.84  981.8     58.02     5.80     5.80
BARENSBURG 031028 300  190000-190500   00      55.05  981.9     58.29     6.30     6.30
BARENSBURG 031028 300  190500-191000   00      53.83  982.0     57.02     4.00     4.00
BARENSBURG 031028 300  191000-191500   00      54.68  982.1     57.95     5.70     5.70
BARENSBURG 031028 300  191500-192000   00      54.24  982.2     57.52     4.90     4.90
BARENSBURG 031028 300  192000-192500   00      54.73  982.2     58.07     5.90     5.90
BARENSBURG 031028 300  192500-193000   00      53.99  982.3     57.32     4.50     4.50
BARENSBURG 031028 300  193000-193500   00      55.08  982.4     58.51     6.70     6.70
BARENSBURG 031028 300  193500-194000   00      55.79  982.5     59.29     8.10     8.10
BARENSBURG 031028 300  194000-194500   00      53.58  982.5     56.97     3.90     3.90
BARENSBURG 031028 300  194500-195000   00      53.00  982.6     56.38     2.80     2.80
BARENSBURG 031028 300  195000-195500   00      53.93  982.7     57.41     4.70     4.70
BARENSBURG 031028 300  195500-200000   00      53.85  982.8     57.35     4.60     4.60
BARENSBURG 031028 300  200000-200500   00      54.30  982.8     57.86     5.50     5.50
BARENSBURG 031028 300  200500-201000   00      54.49  982.9     58.09     5.90     5.90
BARENSBURG 031028 300  201000-201500   00      53.58  983.0     57.15     4.20     4.20
BARENSBURG 031028 300  201500-202000   00      53.39  983.0     56.98     3.90     3.90
BARENSBURG 031028 300  202000-202500   00      54.06  983.1     57.72     5.20     5.20
BARENSBURG 031028 300  202500-203000   00      53.41  983.2     57.05     4.00     4.00
BARENSBURG 031028 300  203000-203500   00      54.59  983.2     58.34     6.40     6.40
BARENSBURG 031028 300  203500-204000   00      52.85  983.3     56.50     3.00     3.00
BARENSBURG 031028 300  204000-204500   00      52.61  983.4     56.28     2.60     2.60
BARENSBURG 031028 300  204500-205000   00      54.35  983.4     58.17     6.10     6.10
BARENSBURG 031028 300  205000-205500   00      53.68  983.5     57.48     4.80     4.80
BARENSBURG 031028 300  205500-210000   00      53.82  983.6     57.65     5.10     5.10
BARENSBURG 031028 300  210000-210500   00      54.63  983.6     58.56     6.80     6.80
BARENSBURG 031028 300  210500-211000   00      52.11  983.7     55.89     1.90     1.90
BARENSBURG 031028 300  211000-211500   00      53.48  983.8     57.40     4.60     4.60
BARENSBURG 031028 300  211500-212000   00      53.67  983.9     57.64     5.10     5.10
BARENSBURG 031028 300  212000-212500   00      53.45  984.0     57.44     4.70     4.70
BARENSBURG 031028 300  212500-213000   00      54.22  984.1     58.31     6.30     6.30
BARENSBURG 031028 300  213000-213500   00      53.06  984.2     57.09     4.10     4.10
BARENSBURG 031028 300  213500-214000   00      52.70  984.3     56.75     3.50     3.50
BARENSBURG 031028 300  214000-214500   00      52.32  984.4     56.38     2.80     2.80
BARENSBURG 031028 300  214500-215000   00      53.36  984.5     57.53     4.90     4.90
BARENSBURG 031028 300  215000-215500   00      52.89  984.6     57.06     4.00     4.00
BARENSBURG 031028 300  215500-220000   00      53.06  984.6     57.30     4.50     4.50
BARENSBURG 031028 300  220000-220500   00      52.86  984.7     57.10     4.10     4.10
BARENSBURG 031028 300  220500-221000   00      53.93  984.8     58.28     6.30     6.30
BARENSBURG 031028 300  221000-221500   00      52.55  984.8     56.82     3.60     3.60
BARENSBURG 031028 300  221500-222000   00      52.12  984.9     56.38     2.80     2.80
BARENSBURG 031028 300  222000-222500   00      52.69  985.0     57.02     4.00     4.00
BARENSBURG 031028 300  222500-223000   00      51.98  985.0     56.27     2.60     2.60
BARENSBURG 031028 300  223000-223500   00      53.04  985.1     57.44     4.70     4.70
BARENSBURG 031028 300  223500-224000   00      54.26  985.1     58.79     7.20     7.20
BARENSBURG 031028 300  224000-224500   00      53.01  985.2     57.45     4.70     4.70
BARENSBURG 031028 300  224500-225000   00      52.29  985.2     56.70     3.40     3.40
BARENSBURG 031028 300  225000-225500   00      52.15  985.3     56.58     3.20     3.20
BARENSBURG 031028 300  225500-230000   00      51.17  985.4     55.53     1.20     1.20
BARENSBURG 031028 300  230000-230500   00      52.78  985.4     57.30     4.50     4.50
BARENSBURG 031028 300  230500-231000   00      52.41  985.5     56.94     3.80     3.80
BARENSBURG 031028 300  231000-231500   00      53.10  985.6     57.72     5.20     5.20
BARENSBURG 031028 300  231500-232000   00      52.84  985.7     57.47     4.80     4.80
BARENSBURG 031028 300  232000-232500   00      52.78  985.7     57.43     4.70     4.70
BARENSBURG 031028 300  232500-233000   00      52.97  985.8     57.68     5.20     5.20
BARENSBURG 031028 300  233000-233500   00      53.03  985.9     57.76     5.30     5.30
BARENSBURG 031028 300  233500-234000   00      52.63  986.0     57.36     4.60     4.60
BARENSBURG 031028 300  234000-234500   00      51.89  986.0     56.59     3.20     3.20
BARENSBURG 031028 300  234500-235000   00      52.84  986.1     57.65     5.10     5.10
BARENSBURG 031028 300  235000-235500   00      52.45  986.2     57.26     4.40     4.40
BARENSBURG 031028 300  235500-240000   00      52.46  986.3     57.30     4.50     4.50
BARENSBURG 031029 300  000000-000500   00      53.32  986.3     58.26     6.20     6.20
BARENSBURG 031029 300  000500-001000   00      52.13  986.4     56.98     3.90     3.90
BARENSBURG 031029 300  001000-001500   00      52.35  986.4     57.23     4.30     4.30
BARENSBURG 031029 300  001500-002000   00      51.38  986.4     56.19     2.40     2.40
BARENSBURG 031029 300  002000-002500   00      52.09  986.5     56.98     3.90     3.90
BARENSBURG 031029 300  002500-003000   00      51.18  986.5     56.01     2.10     2.10
BARENSBURG 031029 300  003000-003500   00      51.87  986.6     56.79     3.50     3.50
BARENSBURG 031029 300  003500-004000   00      51.13  986.6     55.99     2.10     2.10
BARENSBURG 031029 300  004000-004500   00      51.98  986.7     56.94     3.80     3.80
BARENSBURG 031029 300  004500-005000   00      52.28  986.7     57.28     4.40     4.40
BARENSBURG 031029 300  005000-005500   00      52.33  986.7     57.36     4.60     4.60
BARENSBURG 031029 300  005500-010000   00      51.11  986.8     56.03     2.20     2.20
BARENSBURG 031029 300  010000-010500   00      52.28  986.8     57.35     4.60     4.60
BARENSBURG 031029 300  010500-011000   00      52.59  987.0     57.72     5.20     5.20
BARENSBURG 031029 300  011000-011500   00      52.09  987.1     57.22     4.30     4.30
BARENSBURG 031029 300  011500-012000   00      51.53  987.2     56.66     3.30     3.30
BARENSBURG 031029 300  012000-012500   00      52.14  987.3     57.37     4.60     4.60
BARENSBURG 031029 300  012500-013000   00      51.79  987.4     57.02     4.00     4.00
BARENSBURG 031029 300  013000-013500   00      51.54  987.5     56.80     3.60     3.60
BARENSBURG 031029 300  013500-014000   00      52.18  987.6     57.55     4.90     4.90
BARENSBURG 031029 300  014000-014500   00      51.84  987.7     57.22     4.30     4.30
BARENSBURG 031029 300  014500-015000   00      51.07  987.8     56.42     2.90     2.90
BARENSBURG 031029 300  015000-015500   00      51.89  987.9     57.36     4.60     4.60
BARENSBURG 031029 300  015500-020000   00      50.51  988.0     55.88     1.90     1.90
BARENSBURG 031029 300  020000-020500   00      51.36  988.1     56.85     3.60     3.60
BARENSBURG 031029 300  020500-021000   00      52.31  988.2     57.94     5.60     5.60
