CALGARY    LATITUDE    51.08     LONGITUDE     -114.13   ALTITUDE    1128 M
CALGARY    INSTRUMENT   12NM64    NEUTRON MONITOR     	
CALGARY    STANDARD PRESSURE    885     mb     COEFFICIENT   -0.73     % / mb
CALGARY    PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
CALGARY    PRE-INCREASE AVERAGE COUNTING RATE    263.82      COUNTS PER SECOND
CALGARY    TIME INTERVALS    300         3600     
CALGARY    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
CALGARY    031027 3600 000000-010000   00     271.43  889.0    279.47     5.90    -9999
CALGARY    031027 3600 010000-020000   00     272.22  889.0    280.29     6.20    -9999
CALGARY    031027 3600 020000-030000   00     275.37  888.0    281.47     6.70    -9999
CALGARY    031027 3600 030000-040000   00     276.91  886.0    278.94     5.70    -9999
CALGARY    031027 3600 040000-050000   00     278.22  886.0    280.26     6.20    -9999
CALGARY    031027 3600 050000-060000   00     277.22  885.0    277.22     5.10    -9999
CALGARY    031027 3600 060000-070000   00     277.32  884.0    275.30     4.40    -9999
CALGARY    031027 3600 070000-080000   00     276.57  884.0    274.56     4.10    -9999
CALGARY    031027 3600 080000-090000   00     277.63  884.0    275.61     4.50    -9999
CALGARY    031027 3600 090000-100000   00     279.30  884.0    277.27     5.10    -9999
CALGARY    031027 3600 100000-110000   00     277.17  884.0    275.15     4.30    -9999
CALGARY    031027 3600 110000-120000   00     278.35  884.0    276.33     4.70    -9999
CALGARY    031027 3600 120000-130000   00     277.99  884.0    275.97     4.60    -9999
CALGARY    031027 3600 130000-140000   00     278.71  884.0    276.68     4.90    -9999
CALGARY    031027 3600 140000-150000   00     277.07  885.0    277.07     5.00    -9999
CALGARY    031027 3600 150000-160000   00     273.51  886.0    275.51     4.40    -9999
CALGARY    031027 3600 160000-170000   00     273.67  886.0    275.68     4.50    -9999
CALGARY    031027 3600 170000-180000   00     271.40  887.0    275.39     4.40    -9999
CALGARY    031027 3600 180000-190000   00     270.62  887.0    274.60     4.10    -9999
CALGARY    031027 3600 190000-200000   00     270.36  888.0    276.35     4.70    -9999
CALGARY    031027 3600 200000-210000   00     272.98  888.0    279.02     5.80    -9999
CALGARY    031027 3600 210000-220000   00     271.44  889.0    279.48     5.90    -9999
