EREVAN3    LATITUDE    40.5      LONGITUDE     44.17     ALTITUDE    3200 M
EREVAN3    INSTRUMENT   18NM64    NEUTRON MONITOR     
EREVAN3    STANDARD PRESSURE    684.9   mb     COEFFICIENT   -0.73     % / mb
EREVAN3    PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
EREVAN3    PRE-INCREASE AVERAGE COUNTING RATE     52.91      COUNTS PER SECOND
EREVAN3    TIME INTERVALS    300         3600     
EREVAN3    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
EREVAN3    031027 3600 000000-010000   00      53.49  685.0     53.53     1.20    -9999
EREVAN3    031027 3600 010000-020000   00      53.87  685.2     53.99     2.00    -9999
EREVAN3    031027 3600 020000-030000   00      53.80  686.0     54.24     2.50    -9999
EREVAN3    031027 3600 030000-040000   00      53.65  685.9     54.04     2.10    -9999
EREVAN3    031027 3600 040000-050000   00      53.32  686.9     54.10     2.30    -9999
EREVAN3    031027 3600 050000-060000   00      53.14  687.6     54.19     2.40    -9999
EREVAN3    031027 3600 060000-070000   00      53.09  687.9     54.27     2.60    -9999
EREVAN3    031027 3600 070000-080000   00      52.89  688.1     54.14     2.30    -9999
EREVAN3    031027 3600 080000-090000   00      53.23  687.9     54.41     2.80    -9999
EREVAN3    031027 3600 090000-100000   00      53.28  687.6     54.34     2.70    -9999
EREVAN3    031027 3600 100000-110000   00      53.15  687.7     54.25     2.50    -9999
EREVAN3    031027 3600 110000-120000   00      53.01  688.0     54.22     2.50    -9999
EREVAN3    031027 3600 120000-130000   00      53.00  688.3     54.33     2.70    -9999
EREVAN3    031027 3600 130000-140000   00      52.81  688.3     54.14     2.30    -9999
EREVAN3    031027 3600 140000-150000   00      52.59  688.6     54.03     2.10    -9999
EREVAN3    031027 3600 150000-160000   00      52.28  689.0     53.87     1.80    -9999
EREVAN3    031027 3600 160000-170000   00      52.39  689.0     53.98     2.00    -9999
EREVAN3    031027 3600 170000-180000   00      52.53  689.0     54.12     2.30    -9999
EREVAN3    031027 3600 180000-190000   00      52.55  688.8     54.07     2.20    -9999
EREVAN3    031027 3600 190000-200000   00      52.66  688.6     54.10     2.30    -9999
EREVAN3    031027 3600 200000-210000   00      52.68  688.4     54.05     2.10    -9999
EREVAN3    031027 3600 210000-220000   00      52.45  688.3     53.77     1.60    -9999
EREVAN3    031027 3600 220000-230000   00      51.94  688.0     53.13     0.40    -9999
EREVAN3    031027 3600 230000-240000   00      51.42  687.7     52.48    -0.80    -9999
EREVAN3    031028 3600 000000-010000   00      51.34  687.5     52.32    -1.10    -9999
EREVAN3    031028 3600 010000-020000   00      51.39  687.4     52.34    -1.10    -9999
EREVAN3    031028 3600 020000-030000   00      51.51  686.9     52.27    -1.20    -9999
EREVAN3    031028 3600 030000-040000   00      52.03  686.8     52.76    -0.30    -9999
EREVAN3    031028 3600 040000-050000   00      52.04  686.7     52.73    -0.30    -9999
EREVAN3    031028 3600 050000-060000   00      52.28  686.7     52.97     0.10    -9999
EREVAN3    031028 3600 060000-070000   00      52.49  686.4     53.07     0.30    -9999
EREVAN3    031028 3600 070000-080000   00      53.01  686.2     53.51     1.10    -9999
EREVAN3    031028 3600 080000-090000   00      53.05  685.9     53.43     1.00    -9999
EREVAN3    031028 300  090000-090500   00      52.84  685.4     53.03     0.20    -9999
EREVAN3    031028 300  090500-091000   00      53.18  685.3     53.35     0.80    -9999
EREVAN3    031028 300  091000-091500   00      52.83  685.3     52.99     0.10    -9999
EREVAN3    031028 300  091500-092000   00      52.85  685.3     52.99     0.10    -9999
EREVAN3    031028 300  092000-092500   00      52.83  685.2     52.96     0.10    -9999
EREVAN3    031028 300  092500-093000   00      53.00  685.2     53.11     0.40    -9999
EREVAN3    031028 300  093000-093500   00      53.04  685.1     53.13     0.40    -9999
EREVAN3    031028 300  093500-094000   00      52.85  685.1     52.93     0.00    -9999
EREVAN3    031028 300  094000-094500   00      52.73  685.0     52.79    -0.20    -9999
EREVAN3    031028 300  094500-095000   00      53.22  685.0     53.26     0.70    -9999
EREVAN3    031028 300  095000-095500   00      52.74  685.0     52.77    -0.30    -9999
EREVAN3    031028 300  095500-100000   00      52.77  684.9     52.78    -0.30    -9999
EREVAN3    031028 300  100000-100500   00      52.80  684.9     52.80    -0.20    -9999
EREVAN3    031028 300  100500-101000   00      52.99  684.9     52.98     0.10    -9999
EREVAN3    031028 300  101000-101500   00      53.07  684.8     53.05     0.30    -9999
EREVAN3    031028 300  101500-102000   00      52.86  684.8     52.83    -0.10    -9999
EREVAN3    031028 300  102000-102500   00      52.83  684.8     52.79    -0.20    -9999
EREVAN3    031028 300  102500-103000   00      53.24  684.8     53.19     0.50    -9999
EREVAN3    031028 300  103000-103500   00      52.76  684.7     52.70    -0.40    -9999
EREVAN3    031028 300  103500-104000   00      52.71  684.7     52.64    -0.50    -9999
EREVAN3    031028 300  104000-104500   00      53.10  684.7     53.02     0.20    -9999
